	SchirmerM_2016__G88861__bin.5	LiJ_2014__O2.UC1-1__bin.22	LiuW_2016__SRR3993014__bin.86	VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	LoombaR_2017__SID5447_cka__bin.26	SchirmerM_2016__G88913__bin.12	QinJ_2012__DLM008__bin.23	KarlssonFH_2013__S304__bin.14	LiuW_2016__SRR3993038__bin.51	LiuW_2016__SRR3992961__bin.129	QinN_2014__HV-26__bin.3	LeChatelierE_2013__MH0217__bin.27	LiuW_2016__SRR3992956__bin.13	VatanenT_2016__G80346__bin.6	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.57	VincentC_2016__MM022.3__bin.14	LiuW_2016__SRR3992993__bin.11	ZeeviD_2015__PNP_Main_187__bin.45	LeChatelierE_2013__MH0188__bin.41	CosteaPI_2017__SID713A081-11-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.106	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.33	ZeeviD_2015__PNP_Main_195__bin.12	LoombaR_2017__SID5486_yds__bin.2	LeChatelierE_2013__MH0415__bin.40	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.19	ChengpingW_2017__AS4raw__bin.16	CosteaPI_2017__SID713B063-11-0-0__bin.12	CosteaPI_2017__SID713B005-11-90-0__bin.3	ZeeviD_2015__PNP_Main_709__bin.27	NielsenHB_2014__O2_UC1_0__bin.3	SchirmerM_2016__G88859__bin.15	LoombaR_2017__SID5208_byt__bin.5
SchirmerM_2016__G88861__bin.5	0.0	18095.0	16008.0	19571.0	18923.0	10149.0	21258.0	3432.0	13096.0	7439.0	10142.0	19100.0	14754.0	8419.0	14745.0	19136.0	18808.0	17377.0	19266.0	18848.0	19606.0	17862.0	19750.0	19135.0	19097.0	14825.0	21634.0	15178.0	19735.0	19831.0	10727.0	17686.0	16509.0
LiJ_2014__O2.UC1-1__bin.22	18095.0	0.0	16241.0	2028.0	18736.0	9926.0	22550.0	11587.0	13496.0	18130.0	22544.0	19634.0	14728.0	19422.0	16418.0	2159.0	19279.0	17906.0	19067.0	19356.0	19462.0	838.0	18986.0	19268.0	19825.0	2470.0	22579.0	15716.0	19587.0	19770.0	500.0	17907.0	16369.0
LiuW_2016__SRR3993014__bin.86	16008.0	16241.0	0.0	17278.0	4514.0	2452.0	18600.0	9387.0	12610.0	15464.0	20208.0	4361.0	4445.0	17587.0	13096.0	17105.0	4164.0	5276.0	4027.0	4760.0	4472.0	15451.0	17613.0	4846.0	15793.0	13817.0	18128.0	14505.0	3467.0	5614.0	9567.0	15599.0	4261.0
VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	19571.0	2028.0	17278.0	0.0	20343.0	10287.0	25050.0	11780.0	14167.0	19674.0	24196.0	20590.0	15563.0	21368.0	18038.0	422.0	20790.0	19041.0	20606.0	20843.0	20893.0	1288.0	20155.0	20946.0	21607.0	1142.0	24589.0	16423.0	21301.0	21473.0	1058.0	18493.0	17716.0
LoombaR_2017__SID5447_cka__bin.26	18923.0	18736.0	4514.0	20343.0	0.0	1224.0	22593.0	10828.0	13408.0	17426.0	23539.0	2289.0	3752.0	20575.0	15579.0	19832.0	4012.0	2738.0	2342.0	2917.0	2543.0	18086.0	20807.0	631.0	18103.0	15174.0	22108.0	15431.0	2956.0	3294.0	11094.0	17984.0	2548.0
SchirmerM_2016__G88913__bin.12	10149.0	9926.0	2452.0	10287.0	1224.0	0.0	11513.0	5326.0	7864.0	9533.0	12797.0	222.0	2114.0	10628.0	7309.0	10317.0	1974.0	2141.0	1029.0	1510.0	277.0	9287.0	10540.0	1318.0	9149.0	8711.0	11296.0	8876.0	1411.0	2123.0	5997.0	9384.0	583.0
QinJ_2012__DLM008__bin.23	21258.0	22550.0	18600.0	25050.0	22593.0	11513.0	0.0	14070.0	15389.0	21981.0	26615.0	22761.0	17137.0	24225.0	16994.0	23914.0	22325.0	20650.0	23221.0	22935.0	23191.0	22736.0	23180.0	22875.0	22230.0	18191.0	2224.0	17181.0	23817.0	24413.0	13319.0	20543.0	20023.0
KarlssonFH_2013__S304__bin.14	3432.0	11587.0	9387.0	11780.0	10828.0	5326.0	14070.0	0.0	7308.0	3058.0	4911.0	12491.0	7733.0	3779.0	14305.0	11561.0	10992.0	10073.0	13047.0	11303.0	11399.0	11742.0	14614.0	11852.0	12026.0	8990.0	13753.0	8155.0	13430.0	11714.0	6378.0	10550.0	8299.0
LiuW_2016__SRR3993038__bin.51	13096.0	13496.0	12610.0	14167.0	13408.0	7864.0	15389.0	7308.0	0.0	13383.0	16461.0	13771.0	11870.0	14022.0	10759.0	13985.0	13512.0	12455.0	13552.0	13786.0	14113.0	13132.0	14471.0	14042.0	14136.0	10913.0	15186.0	11917.0	13975.0	14015.0	8108.0	13020.0	12216.0
LiuW_2016__SRR3992961__bin.129	7439.0	18130.0	15464.0	19674.0	17426.0	9533.0	21981.0	3058.0	13383.0	0.0	10329.0	17982.0	14236.0	8033.0	16073.0	19553.0	17806.0	16748.0	18245.0	18102.0	18420.0	17956.0	20553.0	18316.0	20162.0	15132.0	22087.0	15518.0	18349.0	18861.0	10805.0	17504.0	15524.0
