	SchirmerM_2016__G88861__bin.5	LiJ_2014__O2.UC1-1__bin.22	LiuW_2016__SRR3993014__bin.86	VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	LoombaR_2017__SID5447_cka__bin.26	SchirmerM_2016__G88913__bin.12	QinJ_2012__DLM008__bin.23	KarlssonFH_2013__S304__bin.14	LiuW_2016__SRR3993038__bin.51	LiuW_2016__SRR3992961__bin.129	QinN_2014__HV-26__bin.3	LeChatelierE_2013__MH0217__bin.27	LiuW_2016__SRR3992956__bin.13	VatanenT_2016__G80346__bin.6	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.57	VincentC_2016__MM022.3__bin.14	LiuW_2016__SRR3992993__bin.11	ZeeviD_2015__PNP_Main_187__bin.45	LeChatelierE_2013__MH0188__bin.41	CosteaPI_2017__SID713A081-11-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.106	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.33	ZeeviD_2015__PNP_Main_195__bin.12	LoombaR_2017__SID5486_yds__bin.2	LeChatelierE_2013__MH0415__bin.40	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.19	ChengpingW_2017__AS4raw__bin.16	CosteaPI_2017__SID713B063-11-0-0__bin.12	CosteaPI_2017__SID713B005-11-90-0__bin.3	ZeeviD_2015__PNP_Main_709__bin.27	NielsenHB_2014__O2_UC1_0__bin.3	SchirmerM_2016__G88859__bin.15	LoombaR_2017__SID5208_byt__bin.5
SchirmerM_2016__G88861__bin.5	1625266.0	1455014.0	1330343.0	1564515.0	1486727.0	848461.0	1548542.0	898479.0	1000815.0	1491078.0	1486670.0	1530744.0	1127598.0	1593349.0	1169243.0	1528373.0	1530956.0	1396992.0	1521508.0	1534223.0	1554916.0	1436735.0	1556131.0	1543185.0	1534119.0	1140692.0	1559225.0	1160366.0	1568258.0	1566725.0	893474.0	1404265.0	1356061.0
LiJ_2014__O2.UC1-1__bin.22	1455014.0	1600302.0	1308794.0	1578456.0	1465815.0	841092.0	1530769.0	914530.0	984537.0	1450207.0	1472014.0	1540840.0	1103579.0	1552110.0	1173802.0	1540926.0	1511306.0	1385476.0	1501506.0	1515588.0	1533991.0	1485758.0	1548829.0	1526326.0	1517299.0	1169875.0	1537575.0	1149726.0	1545800.0	1547186.0	930401.0	1409134.0	1320119.0
LiuW_2016__SRR3993014__bin.86	1330343.0	1308794.0	1473432.0	1404524.0	1353703.0	815183.0	1393800.0	751308.0	960970.0	1363767.0	1339532.0	1389328.0	1112451.0	1410517.0	1034135.0	1389395.0	1398531.0	1302220.0	1377102.0	1402981.0	1411728.0	1276323.0	1410572.0	1419409.0	1392724.0	1057831.0	1395465.0	1131595.0	1423319.0	1421492.0	809644.0	1285251.0	1257191.0
VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	1564515.0	1578456.0	1404524.0	1736610.0	1592318.0	885006.0	1661794.0	955108.0	1048874.0	1567957.0	1570097.0	1633314.0	1181134.0	1683448.0	1264580.0	1670607.0	1635359.0	1490670.0	1628399.0	1644215.0	1661958.0	1591042.0	1668541.0	1657481.0	1644373.0	1233871.0	1662847.0	1223113.0	1675886.0	1679233.0	957212.0	1486953.0	1437673.0
LoombaR_2017__SID5447_cka__bin.26	1486727.0	1465815.0	1353703.0	1592318.0	1687889.0	852046.0	1589757.0	878604.0	1001714.0	1493628.0	1492295.0	1576738.0	1144834.0	1599538.0	1199144.0	1550952.0	1578209.0	1444711.0	1581905.0	1615513.0	1616442.0	1444384.0	1602284.0	1662100.0	1586108.0	1147542.0	1590772.0	1168922.0	1629619.0	1626901.0	894500.0	1441593.0	1386589.0
SchirmerM_2016__G88913__bin.12	848461.0	841092.0	815183.0	885006.0	852046.0	917081.0	891939.0	473479.0	638833.0	852511.0	846889.0	895055.0	713654.0	886256.0	638059.0	866214.0	888306.0	823421.0	866631.0	892366.0	901404.0	807687.0	892684.0	897084.0	885896.0	679588.0	892593.0	730029.0	901324.0	901432.0	516985.0	819468.0	843073.0
QinJ_2012__DLM008__bin.23	1548542.0	1530769.0	1393800.0	1661794.0	1589757.0	891939.0	1854790.0	976115.0	1058000.0	1557210.0	1558148.0	1640537.0	1181523.0	1676105.0	1268095.0	1616284.0	1624858.0	1488376.0	1643627.0	1643627.0	1664970.0	1525449.0	1665318.0	1653028.0	1645061.0	1198189.0	1719811.0	1217582.0	1676434.0	1679542.0	930652.0	1490400.0	1441650.0
KarlssonFH_2013__S304__bin.14	898479.0	914530.0	751308.0	955108.0	878604.0	473479.0	976115.0	1191717.0	557539.0	911609.0	910335.0	966080.0	600091.0	1005372.0	988619.0	931786.0	936341.0	823698.0	1004600.0	934968.0	949012.0	951434.0	1008786.0	943561.0	944307.0	679365.0	959526.0	594600.0	1004649.0	953044.0	544705.0	855471.0	725339.0
LiuW_2016__SRR3993038__bin.51	1000815.0	984537.0	960970.0	1048874.0	1001714.0	638833.0	1058000.0	557539.0	1087856.0	1009072.0	988052.0	1044994.0	865144.0	1055110.0	754171.0	1023902.0	1039737.0	942372.0	1014285.0	1043581.0	1059519.0	964375.0	1050903.0	1051933.0	1045969.0	768625.0	1060842.0	874052.0	1056897.0	1056095.0	596701.0	963366.0	957391.0
LiuW_2016__SRR3992961__bin.129	1491078.0	1450207.0	1363767.0	1567957.0	1493628.0	852511.0	1557210.0	911609.0	1009072.0	1635025.0	1493850.0	1537366.0	1165738.0	1590573.0	1189697.0	1545846.0	1545808.0	1426577.0	1533015.0	1552521.0	1566461.0	1440876.0	1562299.0	1564671.0	1555157.0	1153835.0	1563764.0	1189402.0	1574062.0	1575169.0	894194.0	1398213.0	1361838.0
