	SchirmerM_2016__G88861__bin.5	LiJ_2014__O2.UC1-1__bin.22	LiuW_2016__SRR3993014__bin.86	VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	LoombaR_2017__SID5447_cka__bin.26	SchirmerM_2016__G88913__bin.12	QinJ_2012__DLM008__bin.23	KarlssonFH_2013__S304__bin.14	LiuW_2016__SRR3993038__bin.51	LiuW_2016__SRR3992961__bin.129	QinN_2014__HV-26__bin.3	LeChatelierE_2013__MH0217__bin.27	LiuW_2016__SRR3992956__bin.13	VatanenT_2016__G80346__bin.6	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.57	VincentC_2016__MM022.3__bin.14	LiuW_2016__SRR3992993__bin.11	ZeeviD_2015__PNP_Main_187__bin.45	LeChatelierE_2013__MH0188__bin.41	CosteaPI_2017__SID713A081-11-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.106	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.33	ZeeviD_2015__PNP_Main_195__bin.12	LoombaR_2017__SID5486_yds__bin.2	LeChatelierE_2013__MH0415__bin.40	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.19	ChengpingW_2017__AS4raw__bin.16	CosteaPI_2017__SID713B063-11-0-0__bin.12	CosteaPI_2017__SID713B005-11-90-0__bin.3	ZeeviD_2015__PNP_Main_709__bin.27	NielsenHB_2014__O2_UC1_0__bin.3	SchirmerM_2016__G88859__bin.15	LoombaR_2017__SID5208_byt__bin.5
SchirmerM_2016__G88861__bin.5	1.0	0.8841131236363772	0.8086891622663613	0.9505791667333224	0.9031161668305372	0.5157998752204255	0.9397132530921093	0.5507080071815936	0.6077275965903427	0.9128591873576387	0.9084839035579407	0.9300902129251457	0.6847149943455411	0.9751819086844861	0.710344029838808	0.9286092245823145	0.9304003160098101	0.8488548951371652	0.9243053137148012	0.9323858371491189	0.9446515216586086	0.8730097104104805	0.9453104907135201	0.9377234249655133	0.9321686419330744	0.6927278365510631	0.9460549842302736	0.7046157367470925	0.9527812678047778	0.9517789703347022	0.5431400152344293	0.8531397322038361	0.8242047763258444
LiJ_2014__O2.UC1-1__bin.22	0.8979048954509837	1.0	0.8076931729136126	0.9850815658544451	0.9042536971146696	0.5193807168896871	0.9424589858664177	0.5642328760446466	0.6067860941247339	0.8948792165478766	0.9057477901046178	0.9505743290953833	0.6804034488490297	0.9577492248338126	0.723228490622395	0.9615478828371145	0.9323408956559449	0.8545699499219522	0.9263495265268681	0.9349685246909646	0.946401991624081	0.9278998589016323	0.9559714353915699	0.9417334978022899	0.935744628201427	0.7294904336806428	0.9466938115430712	0.7086224975035962	0.9537031135373198	0.9544548466476953	0.5810784464432338	0.869352784661895	0.8146899772667909
LiuW_2016__SRR3993014__bin.86	0.8920228419092296	0.8772396690176405	1.0	0.9415066321350426	0.9156778188609993	0.5515904364775571	0.9333311615330738	0.503532568859642	0.6436401544149984	0.9150765016641419	0.8954088142513532	0.9399599031377085	0.7519899119877944	0.9453642923460329	0.6929664891219954	0.9313561806720636	0.9463395664000782	0.8802197861862645	0.9318889504232296	0.9489552283376498	0.9550871706329168	0.8557381677607111	0.9453839742858849	0.9600463407880377	0.9345059697359633	0.7085593362978406	0.9347815168938912	0.7581551099745357	0.9636359194044923	0.9609388149571885	0.5430023238262778	0.8616970447227968	0.8503480309915897
VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	0.8896320993199395	0.9077616736054728	0.7988241458934361	1.0	0.9051974824514428	0.5036934026638106	0.9424937090077795	0.5432008338083969	0.595820017159869	0.8915548108095658	0.8901831729634172	0.9286621636406562	0.6711760268569223	0.957083052614001	0.7178019244389932	0.9617501914649806	0.9297245783451668	0.8474147908856912	0.9258227235821515	0.9347936496968231	0.9449818900040885	0.9154352445281324	0.9491975745849672	0.9423733595913878	0.9344446939727399	0.709847922101105	0.9433655224834592	0.6948537668215662	0.952767172825217	0.9545954474522201	0.5505864874669615	0.845589971265857	0.8176602691450585
LoombaR_2017__SID5447_cka__bin.26	0.8696093167263961	0.8573306657013583	0.7993351458537854	0.9313260528387827	1.0	0.5040746162810469	0.9284757469241164	0.5141191156527474	0.5855278398046317	0.8745847623866262	0.8701733348579201	0.9327917890335206	0.6760409007938317	0.9354661355100958	0.7012102099130927	0.9071212621209095	0.9326424901163525	0.8543055852606422	0.9358216091224008	0.9553922088478567	0.9561641790425792	0.8450188371391721	0.936955569945654	0.9843473119381665	0.928974002437364	0.6708782390311211	0.9293644309548792	0.6833926875523213	0.9637262876883491	0.9619157420896755	0.5233792032532946	0.8434257229000248	0.8199834230805462
SchirmerM_2016__G88913__bin.12	0.9141090045481262	0.9063168902201659	0.886215067153283	0.9538077879707463	0.9277501114950588	1.0	0.9600307933541312	0.5104816259414381	0.6880188336689999	0.9191968866436008	0.9095074480880097	0.9757404198756707	0.7758747591543168	0.9547989763172501	0.6877800325162117	0.933283973825649	0.9664707915658486	0.8955370354417985	0.943866463267694	0.971403834557689	0.9826034995818254	0.8705883122646746	0.9619041284248611	0.9767577782115211	0.9560191520705368	0.7315351642875603	0.9609805458841695	0.7863569303038663	0.9812797342873748	0.980621122888818	0.557189604844065	0.883328735411594	0.9186647635268859
QinJ_2012__DLM008__bin.23	0.8234269108632245	0.8131481191940867	0.7414316445527526	0.8824416780336319	0.8449279972395797	0.47467691760253183	1.0	0.5186813601539797	0.5621180834488001	0.8277104146561066	0.8257177362396821	0.8722151833900333	0.6277724162843233	0.8906021705961321	0.6745243396826596	0.8585176758554877	0.8639970023560619	0.7913165371821069	0.8736331336701191	0.8737873290237709	0.8851562710603357	0.810179589063991	0.8853498239692903	0.8788881760199269	0.8749405593086009	0.6361895416731813	0.9260277443807655	0.6471897088080052	0.8909995201613121	0.8923538513794015	0.4945751271033379	0.7924654543101914	0.7664625105807127
KarlssonFH_2013__S304__bin.14	0.7510566686553939	0.757682402785225	0.6225647532090253	0.7915704819181063	0.7281728799706642	0.39283907169235643	0.8072763919621856	1.0	0.4617128059765867	0.7623882180081344	0.7597642728936485	0.8001807476103807	0.4970626415499653	0.8404621231382954	0.8175716214503946	0.7721841678854963	0.776483846416557	0.6827334006311901	0.8320373041586216	0.7750707592490499	0.7867748802777841	0.7885194219768619	0.8342349735717456	0.7818206839375456	0.782300663664276	0.5625286875994888	0.7936221435122601	0.4921008930811594	0.83175703627623	0.7898939093761355	0.451723857258057	0.7089946690363568	0.6016864742216482
LiuW_2016__SRR3993038__bin.51	0.9079501331058523	0.8926190598755718	0.8717697930608462	0.9511433498551279	0.9084897265814593	0.5800115088761748	0.9584090173699459	0.5057939653777705	1.0	0.915276470415202	0.8931246414966686	0.9479407200953067	0.7843630039269903	0.9570090158991631	0.6833735347325381	0.9283554073333236	0.9433463620185025	0.8548162624465002	0.9199131135003162	0.9466280463590768	0.9609782912444294	0.8744199599947051	0.9527290376667501	0.9540702078216234	0.9485014560750689	0.6965186568810579	0.9612081010722007	0.7925083834625172	0.9586949007956936	0.9579209012957598	0.5410578238296245	0.8735954023326618	0.8688420158550396
LiuW_2016__SRR3992961__bin.129	0.90741059005214	0.8758746808152781	0.8246375437684439	0.9469476001895996	0.9028620357486888	0.5155749912080855	0.9389636244094127	0.5556801883763245	0.608974786318252	1.0	0.9073384199018364	0.9292726410911148	0.7042718001253804	0.9678995734010184	0.7178018684729591	0.9334982645525297	0.9345435085090441	0.8622675494258497	0.9264506658919589	0.9384682191403801	0.946799590220333	0.8702741548294368	0.9429494961850736	0.9457684133270133	0.9388205073316923	0.6964437852632223	0.9429072949954894	0.7179608874482041	0.9514918732129478	0.9518557820216815	0.5402908212412654	0.8444574241984069	0.8234210486078194
