	SchirmerM_2016__G88861__bin.5	LiJ_2014__O2.UC1-1__bin.22	LiuW_2016__SRR3993014__bin.86	VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	LoombaR_2017__SID5447_cka__bin.26	SchirmerM_2016__G88913__bin.12	QinJ_2012__DLM008__bin.23	KarlssonFH_2013__S304__bin.14	LiuW_2016__SRR3993038__bin.51	LiuW_2016__SRR3992961__bin.129	QinN_2014__HV-26__bin.3	LeChatelierE_2013__MH0217__bin.27	LiuW_2016__SRR3992956__bin.13	VatanenT_2016__G80346__bin.6	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.57	VincentC_2016__MM022.3__bin.14	LiuW_2016__SRR3992993__bin.11	ZeeviD_2015__PNP_Main_187__bin.45	LeChatelierE_2013__MH0188__bin.41	CosteaPI_2017__SID713A081-11-0-0__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.106	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.33	ZeeviD_2015__PNP_Main_195__bin.12	LoombaR_2017__SID5486_yds__bin.2	LeChatelierE_2013__MH0415__bin.40	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.19	ChengpingW_2017__AS4raw__bin.16	CosteaPI_2017__SID713B063-11-0-0__bin.12	CosteaPI_2017__SID713B005-11-90-0__bin.3	ZeeviD_2015__PNP_Main_709__bin.27	NielsenHB_2014__O2_UC1_0__bin.3	SchirmerM_2016__G88859__bin.15	LoombaR_2017__SID5208_byt__bin.5
SchirmerM_2016__G88861__bin.5	1.0	0.8952466857732827	0.8185386269078415	0.9626208879038878	0.9147591840351056	0.5220443915026832	0.9527929581988426	0.5528196615200219	0.6157853545204293	0.9174362842759277	0.9147241128529114	0.9418421353796855	0.6937928929787494	0.9803619838229557	0.719416390916933	0.9403832972571874	0.9419725755660919	0.8595466834352038	0.9361593732964327	0.9439827080613266	0.9567147777656089	0.8839999113991187	0.9574623477018531	0.9494968823564881	0.9439187185359197	0.7018494203410396	0.9593660360827089	0.7139545157531136	0.9649238955346386	0.9639806653187848	0.549740165609814	0.8640216432264011	0.8343624982002946
LiJ_2014__O2.UC1-1__bin.22	0.9092121362092905	1.0	0.8178418823447074	0.9863488266589682	0.915961487269278	0.5255832961528512	0.9565500761731224	0.5714733843986948	0.6152195023189373	0.9062083281780564	0.9198351311190013	0.9628432633340457	0.6896067117331603	0.9698856840771305	0.7334878041769616	0.9628970031906477	0.9443879967656105	0.8657590879721453	0.938264152641189	0.9470637417187506	0.9585634461495393	0.9284235100624757	0.9678354460595563	0.9537737252093668	0.9481329149123103	0.7310338923528185	0.9608030234293277	0.718443143856597	0.9659426783194672	0.9668087648456354	0.58139088746999	0.8805425475941416	0.8249186716007354
LiuW_2016__SRR3993014__bin.86	0.9028872727075291	0.888262234022337	1.0	0.953232996161343	0.918741414602099	0.5532545784264221	0.9459547505415927	0.5099034091834574	0.6521984048127094	0.9255717264183213	0.909123732890286	0.9429196596788993	0.755006678285798	0.9573003708348943	0.7018545816841225	0.9429651317468333	0.9491656214877918	0.8838005418641648	0.9346220253123321	0.9521857812237009	0.9581222614956102	0.8662245695763361	0.957337698651855	0.9633352608060637	0.9452244827043257	0.7179367626059431	0.9470847653641294	0.7679994733384371	0.965988929248177	0.9647489670375016	0.5494953279146917	0.8722838923004251	0.8532399187746703
VogtmannE_2016__MMRS38954404ST-27-0-0__bin.24	0.9009017568711455	0.908929466028642	0.8087734148715026	1.0	0.9169116842584115	0.5096170124553009	0.9569183639389385	0.5499841645504748	0.6039778649207364	0.9028837793171754	0.904116065207502	0.9405185965760879	0.680137739619143	0.9693874848123644	0.728188827658484	0.9619931936358768	0.9416961781862364	0.8583792561369565	0.9376883698700341	0.9467957687678868	0.9570128008015617	0.9161769194004411	0.9608035195006362	0.9544347896188551	0.9468867506233408	0.710505525132298	0.9575247176971226	0.7043106972780302	0.9650330241101917	0.9669603422760435	0.5511957203977865	0.8562388791956743	0.8278617536464722
LoombaR_2017__SID5447_cka__bin.26	0.8808203620024776	0.8684309217016047	0.8020094923303606	0.9433783856639862	1.0	0.5047997824501492	0.941861105795464	0.5205342294428129	0.5934714901276091	0.8849089010000065	0.8841191571246687	0.9341479208644644	0.6782637957827795	0.9476559181320573	0.7104400822565939	0.9188708499196333	0.9350194236706324	0.8559277298447943	0.9372091411224316	0.9571204030596798	0.9576707947027322	0.8557339967260881	0.9492828023643735	0.9847211516871074	0.9396992337766287	0.6798681666863164	0.9424624486562801	0.6925348764047873	0.9654775876849722	0.9638672922212302	0.5299519103448154	0.8540804519728489	0.8214930010208017
SchirmerM_2016__G88913__bin.12	0.9251756387930837	0.9171403616474444	0.8888887677315308	0.965024899654447	0.9290847809517371	1.0	0.9725847553269559	0.5162891827439452	0.6965938668449134	0.9295918244953281	0.9234615044908792	0.9759824922771271	0.7781798990492661	0.9663879199329176	0.6957498846884844	0.9445337979960331	0.9686232731896092	0.8978716165747628	0.9449885015609308	0.9730503630540813	0.9829055448755344	0.880715007725599	0.9733971154129243	0.9781949467931405	0.9659953700927181	0.7410337800041654	0.9732978875366516	0.7960354646972296	0.9828183115777124	0.9829360765297722	0.5637288309320551	0.8935612012461277	0.9193004761847645
QinJ_2012__DLM008__bin.23	0.8348880466252244	0.8253058297704862	0.7514597339860577	0.8959472500930025	0.8571088910334863	0.4808840893039104	1.0	0.5262671245801411	0.5704149795933772	0.8395613519589818	0.8400670695873926	0.8844866534755956	0.6370117371777937	0.9036629483661223	0.683686562899304	0.8714107796569962	0.876033405398994	0.8024498730314483	0.886152610268548	0.886152610268548	0.8976595733209689	0.8224375805347236	0.8978471956393985	0.8912211085891125	0.8869257436151802	0.6459971209678724	0.9272268019560166	0.6564527520635759	0.9038403269372813	0.905515988332911	0.5017559939400148	0.8035411016880617	0.7772578027701249
KarlssonFH_2013__S304__bin.14	0.7539365470157764	0.7674053487531016	0.6304416233048618	0.8014553790874847	0.7372589297626869	0.39730825355348626	0.8190828862892784	1.0	0.46784513437334535	0.7649542634702702	0.7638852177152797	0.8106622629365865	0.5035515982401862	0.8436331780112225	0.8295753102456371	0.7818852965930669	0.7857075127735863	0.6911859107489446	0.8429853732052157	0.784555393604354	0.7963400706711409	0.7983724323811777	0.8464979521144701	0.7917659981354633	0.7923919856811642	0.5700724249129617	0.8051626350886998	0.49894396068865343	0.8430264903496384	0.7997234242693525	0.45707579903618056	0.7178474419681854	0.6086503758862213
LiuW_2016__SRR3993038__bin.51	0.9199884911238252	0.9050251136179789	0.8833614007736318	0.9641662131752732	0.9208148872644909	0.5872404068185495	0.9725551911282375	0.5125117662631818	1.0	0.9275786501154565	0.9082562397964437	0.9605995646482622	0.7952743745495727	0.969898589519201	0.6932636304805048	0.9412109690988513	0.9557671235898869	0.8662653880660676	0.9323706446441441	0.9593006795016987	0.9739515156417761	0.8864914106278772	0.9660313497374653	0.9669781662278831	0.9614958229765704	0.7065503154829316	0.9751676692503419	0.8034629583327205	0.9715412701681105	0.9708040402406201	0.5485110161639041	0.8855638981629922	0.8800714432792576
LiuW_2016__SRR3992961__bin.129	0.9119603675784774	0.8869631962814024	0.8340955031268635	0.9589804437241021	0.9135199767587652	0.5214054830965887	0.9524074555434933	0.5575504961697834	0.6171599822632682	1.0	0.9136557544991667	0.9402706380636382	0.7129787006314888	0.9728126481246464	0.727632299200318	0.945457103102399	0.9454338618675555	0.8725108178774025	0.937609516674057	0.9495396094860935	0.9580654730049999	0.8812562499044357	0.955519946178193	0.9569706885215823	0.9511518172505008	0.7056986896224828	0.9564159569425544	0.7274518738245592	0.962714331585144	0.9633913854528218	0.5468992828855828	0.8551630709010566	0.832915704652834
