	Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	LeChatelierE_2013__MH0316__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	CM_madagascar__A94_02_1FE__bin.8	VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	QinN_2014__LD-84__bin.51	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	WenC_2017__N310__bin.120	QinN_2014__LD-97__bin.25	QinN_2014__LD-68__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.25	QinN_2014__LD-11__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.75	LeChatelierE_2013__MH0434__bin.7	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.103	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.82	CosteaPI_2017__SID713B073-11-90-0__bin.64	GeversD_2014__SKBSTL064__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.92	LiJ_2017__nHM612709__bin.20	WenC_2017__N290__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.69	QinN_2014__LD-56__bin.22	LeChatelierE_2013__MH0204__bin.78	ZellerG_2014__CCIS22958137ST-20-0__bin.59
Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	1.0	0.5229103470965619	0.8257437078466853	0.522372100674453	0.5011363711136699	0.8815107747984866	0.8212126994571476	0.5793748971870374	0.7259615068267808	0.8560671163020234	0.8049942424740911	0.8051554531995394	0.7975397269287713	0.7900957394308274	0.7679809179141306	0.837130449087021	0.6312288205296923	0.8499792729067281	0.757384438229972	0.5240717223227505	0.6656469814114163	0.6222483961177826	0.8113314689916105	0.7274242474091134	0.8599723638756375	0.825483138674124	0.6116453364040138	0.6588116466524099	0.5472307945385755	0.8678993255469649	0.8541944398749793	0.6999361737127817	0.5541937818720184
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	0.5967651096219179	1.0	0.7548758399240652	0.4458130705250859	0.4681707452608308	0.7866675477671612	0.7362270475824305	0.5486697885659189	0.6347670740755204	0.7802049760150427	0.7313226720173497	0.7292117855201146	0.7258243045563909	0.7196568514074079	0.6733517663561789	0.7454620821405935	0.5947263131651433	0.7696242607016164	0.694167014601237	0.49660275684329724	0.6415104966102663	0.6049202954490158	0.7518240282112358	0.6481352709534208	0.7889947043857779	0.7311687297434496	0.5697320953871385	0.624599374618899	0.5184310203444101	0.7921186061390676	0.7482060093056228	0.6670085937335732	0.507583722068864
Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	0.5160382475348942	0.4133671458231473	1.0	0.4016024060763791	0.3934024523787103	0.7522479864037276	0.6873910034488246	0.45350008203654596	0.6144015053603378	0.9160139038581027	0.6961271759731199	0.6701970480824625	0.7116972600616075	0.7162830824193832	0.639415455685256	0.7004288516980742	0.5399530315073793	0.7323634790568305	0.6350229023830897	0.42598062457156977	0.5663264445936683	0.5100016736277795	0.7059316740431022	0.5995432270915515	0.8171337541115935	0.6993099472293236	0.4788590381862645	0.5538984218964793	0.43799414682609034	0.8224683912571659	0.7561437971119024	0.5937311742575487	0.4134917426824018
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	0.5453730451240164	0.4078404567016223	0.670924085720861	1.0	0.4328862264753668	0.7404075828407143	0.7448653698850346	0.4762577671220172	0.627220048706596	0.7453874716193054	0.677042980651322	0.6623011633937986	0.6991594849054206	0.6445503914045566	0.5984158334220677	0.6568513830543637	0.49734999021059256	0.7294544380364854	0.6109126132222265	0.4317465333475308	0.5863106299226122	0.5243976079496859	0.7037697806142251	0.5863236824659689	0.7193806224689229	0.7154669203897902	0.47123047700176207	0.5544273883578184	0.47492365979576207	0.7060594715093892	0.7153796744420897	0.5756528847838258	0.47712953962305626
LeChatelierE_2013__MH0316__bin.58	0.5914886742953179	0.48419309693523316	0.7430036610691814	0.489384918631689	1.0	0.7929468888678334	0.7545289615890625	0.5456018241661631	0.6382150695634209	0.7756783540255452	0.7249980972381217	0.7277870025054326	0.7119404909280974	0.7240692387865194	0.6817246323009749	0.7233562855602895	0.5794313770870192	0.771224337955362	0.6781963681323887	0.48900048306852584	0.6194639337310752	0.6057710379449551	0.7395732532257638	0.6479478907302102	0.7732599048463734	0.7401052499141815	0.5296854152137074	0.6413954001314071	0.5097483539168159	0.7815854588607349	0.7580152873325764	0.6670523966256654	0.5207727232483329
Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	0.5805172879992789	0.4539443123279693	0.7927056394861093	0.467029909937393	0.4424264904702807	1.0	0.7540602705344824	0.48776545589428216	0.683382097023566	0.804173195454577	0.76203911379504	0.7596822502478628	0.7521605665832369	0.7270991208669306	0.7119101557895904	0.7793470460990204	0.5973918936720446	0.8591632116089938	0.6845785118523501	0.4744441285974777	0.6251399645018824	0.5495119008825997	0.8044448912523486	0.6541360160296187	0.8234466973577476	0.7718075960425145	0.532047970991382	0.6009477720077929	0.4864368764429777	0.8366072604743714	0.8064958261978882	0.6347043499060547	0.4585107083677106
CM_madagascar__A94_02_1FE__bin.8	0.5493299083421658	0.43153216123046156	0.735774637224419	0.47724531763330524	0.4276249071273385	0.7659424066255621	1.0	0.4730818934402851	0.6418090714142349	0.7580548327235722	0.7111145247560662	0.6951813613811706	0.7075228616399815	0.6776068607807993	0.6572607054448909	0.7106510417583656	0.5500627660735727	0.7446292312080313	0.6514933571838544	0.4513967872221303	0.596109559809994	0.5318839329415369	0.7154901035596198	0.6154812124327884	0.7628925740604455	0.719338817075189	0.5073972414618773	0.5849340295995296	0.49235891278244737	0.773094481867383	0.747278963065731	0.6070020704881492	0.4485124528594216
VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	0.7049256449772832	0.5849496627504353	0.8829261653623682	0.5550243179953165	0.5624305986429958	0.9011708664411664	0.8604831575365771	1.0	0.7287600824610212	0.9144607009186798	0.8128607169305285	0.8377575405800293	0.8404611412445209	0.8541848968236496	0.7724844384844786	0.8351948441846967	0.6678734263354883	0.8711862778456058	0.8058307147288993	0.5633416728379	0.7163925304725497	0.7030274403058263	0.8548349778836339	0.7628220883453756	0.9073362288093189	0.8372771851169866	0.6509296879690971	0.7065052138582552	0.610864039389148	0.9148377799571683	0.8508464263555031	0.7574813361887798	0.6133762984608611
QinN_2014__LD-84__bin.51	0.5135913548620755	0.39349780533822554	0.6955362408974721	0.42502095972985343	0.38254334974887894	0.7341421779591624	0.6787852154883676	0.42374545368213923	1.0	0.7149546566910301	0.7342040912089237	0.7003561641157322	0.6715613823320068	0.6386295851300201	0.6351829257222553	0.6996983940261627	0.519000152222802	0.7377433877347525	0.6070319486334163	0.41987657384179167	0.5945524719446859	0.4808406422778117	0.6850477639773817	0.5936638073296908	0.7197941314618462	0.7000898905904429	0.4997102180603277	0.5476096597703997	0.43227784432029726	0.7336920267372137	0.7405387942371333	0.5649807487034294	0.40922516731706615
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	0.5078079381485148	0.40553113026969473	0.8694750367680351	0.4235064839766308	0.3898367998850901	0.7243587842036403	0.6722250672129049	0.4458338927903426	0.5994680734798643	1.0	0.6712250703354555	0.6531981945411568	0.7156847285410507	0.6868425079078597	0.6372599148792666	0.6743327889686528	0.5209882248611246	0.7152405456969689	0.6369535145869958	0.41932304661031505	0.5523405859778736	0.49860265853970787	0.6857550796094313	0.5745126478918099	0.7880623323580567	0.6718437257026519	0.462477478602721	0.5484385684978345	0.4351820915469429	0.8018960128149483	0.7417174341375983	0.5756469144514771	0.41426373375883285
