	Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	LeChatelierE_2013__MH0316__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	CM_madagascar__A94_02_1FE__bin.8	VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	QinN_2014__LD-84__bin.51	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	WenC_2017__N310__bin.120	QinN_2014__LD-97__bin.25	QinN_2014__LD-68__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.25	QinN_2014__LD-11__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.75	LeChatelierE_2013__MH0434__bin.7	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.103	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.82	CosteaPI_2017__SID713B073-11-90-0__bin.64	GeversD_2014__SKBSTL064__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.92	LiJ_2017__nHM612709__bin.20	WenC_2017__N290__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.69	QinN_2014__LD-56__bin.22	LeChatelierE_2013__MH0204__bin.78	ZellerG_2014__CCIS22958137ST-20-0__bin.59
Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	1.0	0.9864218402446775	0.9861265980343853	0.9863149001726944	0.9864403662357477	0.9880716805484977	0.9832211486950657	0.986137041471279	0.9805739212202603	0.9858376689212229	0.9824168905777468	0.9836191422436904	0.983259470899986	0.9860503311475813	0.9871766895035101	0.988691928690219	0.9897742620104186	0.9877373559882948	0.985772253281811	0.985706806995484	0.9820894971778508	0.9870778107849134	0.9874358337804614	0.9880310484898047	0.9864450351799605	0.9869275338376031	0.984506083075525	0.9828429568070113	0.981826295558221	0.9879793683775293	0.9851584442510125	0.9874220024914646	0.9897015276145711
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	0.9864218402446775	1.0	0.9856415606419529	0.9851483094793612	0.9853053199862188	0.9859492954883206	0.979282845444893	0.9865488895610093	0.9784164751037681	0.9857952739469327	0.9798196465168315	0.9813099317577557	0.980916638673542	0.9868908033785273	0.9856204308154981	0.9854951609172466	0.9885761362076068	0.9858929208724168	0.9827894891280773	0.9839355935885209	0.980561607136708	0.9891343587073705	0.9852049025058673	0.9856025232126198	0.986471540379762	0.9859530594017899	0.98167575848541	0.9805298989124989	0.9794540759867207	0.9872803901803489	0.9832163967751167	0.9870165948453081	0.9880068056444752
Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	0.9861265980343853	0.9856415606419529	1.0	0.9835562690213724	0.9866608499969576	0.9846427193130238	0.9785805776318686	0.98608639827182	0.9759323307042898	0.999554427789706	0.9780056304569243	0.9800710181574366	0.9794493647604765	0.9929372653593103	0.9837073420079053	0.9841287541100865	0.9874073845695718	0.9845114349711335	0.9822657660780698	0.9832063416134212	0.9770593940064687	0.9870585473197481	0.9841675781903904	0.9837379064932997	0.9862867721873961	0.9853930390231663	0.9814176960437703	0.9785360396356081	0.978656018258614	0.9868110354708745	0.9814672185616038	0.986817473818456	0.9875634692254054
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	0.9863149001726944	0.9851483094793612	0.9835562690213724	1.0	0.9857657313776532	0.9859892982573304	0.9775859752760504	0.9846661449330528	0.9771910690796691	0.9837775938214864	0.9797117152940007	0.9813328501731946	0.9805637879272536	0.984708437017547	0.9860874802038088	0.9851569462833121	0.9872740017073457	0.9857690990128699	0.9815614641775839	0.9835720243954733	0.9791384156484828	0.9848494036137972	0.9859154387386546	0.9848854639428652	0.9844691592475251	0.9859119330149428	0.9829264727797966	0.981194446842216	0.9799162005630098	0.9843636415877713	0.9831169652643574	0.98457604993191	0.9879053651362157
LeChatelierE_2013__MH0316__bin.58	0.9864403662357477	0.9853053199862188	0.9866608499969576	0.9857657313776532	1.0	0.9873100201813517	0.9795358075476644	0.9851315555144218	0.9775248286764819	0.9864891292752982	0.978317917245687	0.9812370225094998	0.9799686562600889	0.9876500443339891	0.9849849243298985	0.9855228727394699	0.9873823964976688	0.9872319865430328	0.9825232340961768	0.9838201355327324	0.9802445133206669	0.9864974932588647	0.9883251602189875	0.984793114112434	0.9848754774017475	0.9855715928647074	0.9820656924111456	0.9798503876750767	0.9790745859444108	0.9866508102554248	0.9826074350295682	0.9859878958195577	0.9877064755322628
Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	0.9880716805484977	0.9859492954883206	0.9846427193130238	0.9859892982573304	0.9873100201813517	1.0	0.9801819359562903	0.9850522135518079	0.9786680815546391	0.9844942446905692	0.9796060584116445	0.981991721232965	0.9811655857039334	0.9846708085177303	0.9856498685516201	0.9858620752031039	0.987838835187985	0.9961354637518859	0.9835069606565092	0.9836429055920654	0.980563453229195	0.9858963743863045	0.9876950448188094	0.9861281954634267	0.9848654542929153	0.9865574825619492	0.9829503834302417	0.9810194276401049	0.9803821219936298	0.9865320673943381	0.9832114162369588	0.9852792496211176	0.9886957399253983
CM_madagascar__A94_02_1FE__bin.8	0.9832211486950657	0.979282845444893	0.9785805776318686	0.9775859752760504	0.9795358075476644	0.9801819359562903	1.0	0.9794863476221114	0.9752747454871243	0.9786039101063071	0.9769483625421927	0.9788318734126694	0.977806178623612	0.9787755657380168	0.979338292825133	0.9800088984226241	0.9815079230440574	0.9790961436178679	0.980334963310609	0.9802195680515677	0.9760505755112072	0.9794767378712547	0.9796269378093082	0.9819829562811406	0.9789650145525589	0.980608470878505	0.9799724396831159	0.9774706191276871	0.9763004054957504	0.9800203434505639	0.9784261055936524	0.9793014267017844	0.9818306201793139
VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	0.986137041471279	0.9865488895610093	0.98608639827182	0.9846661449330528	0.9851315555144218	0.9850522135518079	0.9794863476221114	1.0	0.9764604921585034	0.9856913681350971	0.9783087115883434	0.9799353466036365	0.9798522473247245	0.9860986596819541	0.9835138344554133	0.985018242110193	0.9875757500423218	0.9850991773768215	0.982246159010711	0.9846162457146855	0.9785551344104247	0.9865000432510889	0.9847085860998548	0.984385331261571	0.9860453987836815	0.984833246698458	0.9812052124339575	0.9794047955961755	0.9796486173488123	0.9876174128888843	0.9821057446621725	0.9870205603420847	0.9873220179100015
QinN_2014__LD-84__bin.51	0.9805739212202603	0.9784164751037681	0.9759323307042898	0.9771910690796691	0.9775248286764819	0.9786680815546391	0.9752747454871243	0.9764604921585034	1.0	0.9753570008751173	0.9804219338989288	0.9807702838368166	0.9793509082898463	0.9765403889410894	0.9773091746713662	0.9789180814086395	0.9798415588889787	0.9781073254548013	0.9766138019460289	0.976589103138091	0.9809885172241638	0.9780495934127948	0.9777962198358288	0.98105492970315	0.9765277844441469	0.9792075236807904	0.9820929632564037	0.9798386089181567	0.9782172439620218	0.9778258803325901	0.9780919349275378	0.9775812601791695	0.9800081826765825
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	0.9858376689212229	0.9857952739469327	0.999554427789706	0.9837775938214864	0.9864891292752982	0.9844942446905692	0.9786039101063071	0.9856913681350971	0.9753570008751173	1.0	0.9781747318341757	0.9800775043528117	0.9794269018030506	0.9927236580965523	0.9836374217989378	0.9839219945360638	0.9876504477360141	0.984473122508197	0.9823128547376303	0.9830864427997277	0.9773377424349788	0.9871176381950321	0.984283707841563	0.9849833974193393	0.9861515355027779	0.9851371135472099	0.9814213688218597	0.9786005307034955	0.9783702720893235	0.9865397035767193	0.9812946906004568	0.9867425116768264	0.9875650291101514
