	Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	LeChatelierE_2013__MH0316__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	CM_madagascar__A94_02_1FE__bin.8	VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	QinN_2014__LD-84__bin.51	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	WenC_2017__N310__bin.120	QinN_2014__LD-97__bin.25	QinN_2014__LD-68__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.25	QinN_2014__LD-11__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.75	LeChatelierE_2013__MH0434__bin.7	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.103	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.82	CosteaPI_2017__SID713B073-11-90-0__bin.64	GeversD_2014__SKBSTL064__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.92	LiJ_2017__nHM612709__bin.20	WenC_2017__N290__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.69	QinN_2014__LD-56__bin.22	LeChatelierE_2013__MH0204__bin.78	ZellerG_2014__CCIS22958137ST-20-0__bin.59
Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	1.0	0.5301082414870867	0.8373607501233755	0.5296200032900148	0.5080250041125185	0.8921526566869551	0.8352268465208094	0.5875196578384603	0.740343477545649	0.8683651916433623	0.8194018753084389	0.8185642375390689	0.8111182760322422	0.8012732357295608	0.7779569008060536	0.8467050501727258	0.6377502878762954	0.8605316663924988	0.7683158414212864	0.5316709985194933	0.6777864780391512	0.6303944727751275	0.8216548774469485	0.7362362230630037	0.8717894390524757	0.8364171738772824	0.6212712617206777	0.6703122224050008	0.5573600921204146	0.8784589570653067	0.867063003783517	0.7088521138345123	0.5599605198223392
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	0.6049796195448115	1.0	0.7658725748459826	0.45253396492218784	0.4751529660546022	0.7978782999966959	0.7518022510115134	0.5561506321395423	0.6487698134970579	0.7914472676372789	0.7463849848460727	0.7431003823775896	0.7399449412315983	0.7292162911476434	0.6831755362447697	0.7564340361111027	0.601598897022381	0.7806367653198846	0.7063231976738947	0.504710633581343	0.6542276303102575	0.61156534511605	0.7631143798604457	0.6576030962672378	0.7998149688961513	0.7415857405899969	0.5803668782309104	0.637001865329797	0.5293061033230505	0.8023238524917622	0.7609779614738809	0.6757825524079576	0.5137451677144754
Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	0.5232981734429402	0.41938891614302404	1.0	0.4083166553103963	0.3987210523047746	0.7639806517114798	0.7024367938226276	0.45989893262023906	0.6295533881093475	0.9164222361394219	0.711782380688227	0.6838249837674554	0.7266299674773412	0.7213779836938486	0.6500057775111304	0.7117248111823008	0.5468391668376618	0.743885193246439	0.6464878694882852	0.4332565876991237	0.5796233556195857	0.5166883717411034	0.7172880815085513	0.6094542287474972	0.8284950961061219	0.7096761591928427	0.4879258241588787	0.5660480549114396	0.4475465727022674	0.8334608772030102	0.7704218570031043	0.6016626073311476	0.4186989044934233
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	0.5529400853911126	0.4139888915986274	0.6821410292960901	1.0	0.4391370207913276	0.7509286197622376	0.7619435924034198	0.48367435965252753	0.6418601935211297	0.7576788456055865	0.6910634731443921	0.6748996156369469	0.7130178510704803	0.6545596312313013	0.6068587680459999	0.6667479588226606	0.5037608499266654	0.7399850926215347	0.6223885467366924	0.43895772006416356	0.5988026008910078	0.5324647667201363	0.7138236738787693	0.5953216936705469	0.7307294654296519	0.7256904967179724	0.4794157956383896	0.565053532602162	0.48465742226008224	0.7172750411326859	0.7276648656446755	0.5846708182914221	0.4829708962631942
LeChatelierE_2013__MH0316__bin.58	0.5996192922968433	0.49141427242268965	0.753048690511509	0.4964515432563789	1.0	0.8031387027979142	0.7702923729537543	0.553836511592868	0.6528888585137332	0.786301978406371	0.7410659505033388	0.7417035698919386	0.7264931244282007	0.7331232787771377	0.6921168187064015	0.7339822398536193	0.5868358390247919	0.7811986933850678	0.6902598784406982	0.4970425643948984	0.6319483815651109	0.6140624199092577	0.7483096484783341	0.6579533116599695	0.7851346922418574	0.7509401196953717	0.5393584352928933	0.6545850348166592	0.5206430247856092	0.7921601550789763	0.771432476805721	0.6765320339670178	0.5272545398345141
Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	0.5875254796059154	0.4604134456053746	0.8050693149279291	0.4736663072944472	0.44811303585171214	1.0	0.7693064347271429	0.49516710808206166	0.6982776999715737	0.8168388995583535	0.7779036350904439	0.7736137014414177	0.766599009935313	0.7384184791275228	0.7222748954816165	0.7905234065713117	0.6047463132570217	0.8624963600562978	0.696058634293123	0.482333706572005	0.6375313728480999	0.5573728792994669	0.8144668695790839	0.6633377070434644	0.8361007016424813	0.7823240000554658	0.541276528256363	0.6125747921765476	0.49617069255995505	0.848028450493299	0.8202669465378936	0.6441872699035588	0.46375309395214687
CM_madagascar__A94_02_1FE__bin.8	0.5587043251370643	0.4406614118053037	0.7518794609688335	0.48818756580314165	0.4365587289738055	0.7814288128849154	1.0	0.4829897778450726	0.6580802736706445	0.7746288614780046	0.7278936656443338	0.7102152885126641	0.7235819092858576	0.692300548256811	0.671127342063657	0.7251475398868275	0.5604262106897754	0.7605271821994359	0.6645619931617551	0.4605057906764651	0.6107363437573726	0.5430286523164467	0.7303699765133402	0.6267738238183604	0.7792848188851055	0.7335637396959763	0.5177668482451908	0.5984159709286562	0.5043108760488889	0.7888555447179664	0.763756157765563	0.6198317024131046	0.4568124518030501
VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	0.7148353781798531	0.5929251646218201	0.8953841842963793	0.5636675139603307	0.5709192802673979	0.9148457858815523	0.8785044933250605	1.0	0.7463282829293677	0.9277353241398635	0.8308836539038889	0.8549110341652824	0.8577427296199187	0.8662266076896904	0.7854332205832316	0.8478978444048596	0.6762756439765426	0.8843640293817425	0.820395892960791	0.5721433861057182	0.7320921481896604	0.7126481596381322	0.8681096011048176	0.77492224245942	0.9201769309288874	0.8501715269299281	0.6633981146048076	0.721361807737726	0.6235542301302964	0.9263078678221884	0.8663490983327663	0.7674423073074075	0.6212525268698837
QinN_2014__LD-84__bin.51	0.5237660759149545	0.4021782291600234	0.7126890041602911	0.4349415105995018	0.3913387553202335	0.750144192700102	0.6959938403299185	0.43396067437959895	1.0	0.7330184292003369	0.7488654280602951	0.7140878711943718	0.6857208960011023	0.6539715022156098	0.6499303825075052	0.7147670548891217	0.5296776274842692	0.7542560704079339	0.6215680624457968	0.42994189930298715	0.6060748535844745	0.4916321682625234	0.7006038171147774	0.605127999824967	0.7370953934214611	0.7149555877173422	0.5088217070646742	0.5588774057138016	0.44190372536213435	0.750329932449386	0.7571259590152907	0.5779373763771625	0.41757321474540854
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	0.5151029973364643	0.41137459367808377	0.8698626233797865	0.43049006872734197	0.39517597134747434	0.735767413684891	0.6869225232708095	0.4523057695370194	0.6146140058891307	1.0	0.686201604366575	0.6664760609646808	0.7307178588045002	0.6918768403533478	0.6478605843541472	0.6853518802439337	0.52750264636176	0.7265211505975001	0.6484222531701697	0.4265373097976275	0.5651481181947909	0.5051096639823138	0.6967046941305414	0.5832714027434731	0.7991290425322638	0.6819799157535807	0.47123233026594763	0.5604315052880396	0.4448030607242444	0.8128370403214978	0.755855953611386	0.5833810823385407	0.4194799547854651
