	Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	LeChatelierE_2013__MH0316__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	CM_madagascar__A94_02_1FE__bin.8	VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	QinN_2014__LD-84__bin.51	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	WenC_2017__N310__bin.120	QinN_2014__LD-97__bin.25	QinN_2014__LD-68__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.25	QinN_2014__LD-11__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES38__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES22__bin.75	LeChatelierE_2013__MH0434__bin.7	VogtmannE_2016__MMRS42570301ST-27-0-0__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.103	Bengtsson-PalmeJ_2015__TRAVELRES58__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.82	CosteaPI_2017__SID713B073-11-90-0__bin.64	GeversD_2014__SKBSTL064__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.92	LiJ_2017__nHM612709__bin.20	WenC_2017__N290__bin.92	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.69	QinN_2014__LD-56__bin.22	LeChatelierE_2013__MH0204__bin.78	ZellerG_2014__CCIS22958137ST-20-0__bin.59
Bengtsson-PalmeJ_2015__TRAVELRES47__bin.49	1519750.0	805632.0	1272579.0	804890.0	772071.0	1355849.0	1269336.0	892883.0	1125137.0	1319698.0	1245286.0	1244013.0	1232697.0	1217735.0	1182300.0	1286780.0	969221.0	1307793.0	1167648.0	808007.0	1030066.0	958042.0	1248710.0	1118895.0	1324902.0	1271145.0	944177.0	1018707.0	847048.0	1335038.0	1317719.0	1077278.0	851000.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.84	805632.0	1331668.0	1019888.0	602625.0	632746.0	1062509.0	1001151.0	740608.0	863946.0	1053945.0	993937.0	989563.0	985361.0	971074.0	909763.0	1007319.0	801130.0	1039549.0	940588.0	672107.0	871214.0	814402.0	1016215.0	875709.0	1065088.0	987546.0	772856.0	848275.0	704860.0	1068429.0	1013370.0	899918.0	684138.0
Bengtsson-PalmeJ_2015__TRAVELRES12__bin.112	1272579.0	1019888.0	2431843.0	992962.0	969627.0	1857881.0	1708216.0	1118402.0	1530975.0	2228595.0	1730943.0	1662955.0	1767050.0	1754278.0	1580712.0	1730803.0	1329827.0	1809012.0	1572157.0	1053612.0	1409553.0	1256505.0	1744332.0	1482097.0	2014770.0	1725821.0	1186559.0	1376540.0	1088363.0	2026846.0	1873545.0	1463149.0	1018210.0
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.47	804890.0	602625.0	992962.0	1455655.0	639232.0	1093093.0	1109127.0	704063.0	934327.0	1102919.0	1005950.0	982421.0	1037908.0	952813.0	883377.0	970555.0	733302.0	1077163.0	905983.0	638971.0	871650.0	775085.0	1039081.0	866583.0	1063690.0	1056355.0	697864.0	822523.0	705494.0	1044105.0	1059229.0	851079.0	703039.0
LeChatelierE_2013__MH0316__bin.58	772071.0	632746.0	969627.0	639232.0	1287602.0	1034123.0	991830.0	713121.0	840661.0	1012444.0	954198.0	955019.0	935434.0	943971.0	891171.0	945077.0	755611.0	1005873.0	888780.0	639993.0	813698.0	790668.0	963525.0	847182.0	1010941.0	966912.0	694479.0	842845.0	670381.0	1019987.0	993298.0	871104.0	678894.0
Bengtsson-PalmeJ_2015__TRAVELRES37__bin.8	1355849.0	1062509.0	1857881.0	1093093.0	1034123.0	2307728.0	1775350.0	1142711.0	1611435.0	1885042.0	1795190.0	1785290.0	1769102.0	1704069.0	1666814.0	1824313.0	1395590.0	1990407.0	1606314.0	1113095.0	1471249.0	1286265.0	1879568.0	1530803.0	1929493.0	1805391.0	1249119.0	1413656.0	1145027.0	1957019.0	1892953.0	1486609.0	1070216.0
CM_madagascar__A94_02_1FE__bin.8	1269336.0	1001151.0	1708216.0	1109127.0	991830.0	1775350.0	2271928.0	1097318.0	1495111.0	1759901.0	1653722.0	1613558.0	1643926.0	1572857.0	1524753.0	1647483.0	1273248.0	1727863.0	1509837.0	1046236.0	1387549.0	1233722.0	1659348.0	1423985.0	1770479.0	1666604.0	1176329.0	1359558.0	1145758.0	1792223.0	1735199.0	1408213.0	1037845.0
VogtmannE_2016__MMRS77321055ST-27-0-0__bin.71	892883.0	740608.0	1118402.0	704063.0	713121.0	1142711.0	1097318.0	1249075.0	932220.0	1158811.0	1037836.0	1067848.0	1071385.0	1081982.0	981065.0	1059088.0	844719.0	1104637.0	1024736.0	714650.0	914438.0	890151.0	1084334.0	967936.0	1149370.0	1061928.0	828634.0	901035.0	778866.0	1157028.0	1082135.0	958593.0	775991.0
QinN_2014__LD-84__bin.51	1125137.0	863946.0	1530975.0	934327.0	840661.0	1611435.0	1495111.0	932220.0	2148167.0	1574646.0	1608688.0	1533980.0	1473043.0	1404840.0	1396159.0	1535439.0	1137836.0	1620268.0	1335232.0	923587.0	1301950.0	1056108.0	1505014.0	1299916.0	1583404.0	1535844.0	1093034.0	1200562.0	949283.0	1611834.0	1626433.0	1241506.0	897017.0
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.140	1319698.0	1053945.0	2228595.0	1102919.0	1012444.0	1885042.0	1759901.0	1158811.0	1574646.0	2562008.0	1758054.0	1707517.0	1872105.0	1772594.0	1659824.0	1755877.0	1351466.0	1861353.0	1661263.0	1092792.0	1447914.0	1294095.0	1784963.0	1494346.0	2047375.0	1747238.0	1207301.0	1435830.0	1139589.0	2082495.0	1936509.0	1494627.0	1074711.0
