	BritoIL_2016__M2.31.ST__bin.51	BritoIL_2016__W2.65.ST__bin.29	BritoIL_2016__W2.4.ST__bin.28	BritoIL_2016__M1.7.ST__bin.4	BritoIL_2016__WL.26.ST__bin.2	BritoIL_2016__M1.63.ST__bin.17	BritoIL_2016__M1.22.ST__bin.19	BritoIL_2016__M2.51.ST__bin.51	BritoIL_2016__M2.58.ST__bin.42	BritoIL_2016__M1.62.ST__bin.5	BritoIL_2016__W1.20.ST__bin.32	BritoIL_2016__M1.25.ST__bin.54	BritoIL_2016__M2.11.ST__bin.81	BritoIL_2016__WL.20.ST__bin.78	BritoIL_2016__WL.15.ST__bin.42	BritoIL_2016__W3.23.ST__bin.68	BritoIL_2016__W3.1.ST__bin.28	BritoIL_2016__M1.15.ST__bin.10	BritoIL_2016__W1.8.ST__bin.52	BritoIL_2016__M1.37.ST__bin.8	BritoIL_2016__W2.13.ST__bin.17	BritoIL_2016__WL.13.ST__bin.55	BritoIL_2016__WL.17.ST__bin.1	BritoIL_2016__M2.32.ST__bin.1	BritoIL_2016__W1.37.ST__bin.26	BritoIL_2016__M2.5.ST__bin.36	BritoIL_2016__W2.46.ST__bin.8	BritoIL_2016__M1.64.ST__bin.18	BritoIL_2016__W2.53.ST__bin.13	BritoIL_2016__W1.14.ST__bin.49	BritoIL_2016__WL.9.ST__bin.11	BritoIL_2016__M1.52.ST__bin.64	BritoIL_2016__W1.6.ST__bin.25	BritoIL_2016__W1.2.ST__bin.40	BritoIL_2016__M1.6.ST__bin.26	BritoIL_2016__WL.1.ST__bin.13	BritoIL_2016__M2.57.ST__bin.48	BritoIL_2016__W1.18.ST__bin.39	BritoIL_2016__M1.48.ST__bin.68	BritoIL_2016__W3.17.ST__bin.69	BritoIL_2016__W2.36.ST__bin.37
BritoIL_2016__M2.31.ST__bin.51	1.0	0.7939123783372479	0.8005168028370199	0.5486708464544997	0.5469326822337034	0.93168200238117	0.7673512905332253	0.7388277109041702	0.6343884724589153	0.6675115173988789	0.8201806911388598	0.5441148477395121	0.6242707479302156	0.7207141311901804	0.6142164746392397	0.6755348514666478	0.6001667718358441	0.4735805533447545	0.8095968248401104	0.6593253085004175	0.5129807742749697	0.7826030695410577	0.873072543750128	0.749731331471764	0.761954438014386	0.7444708741332287	0.48418490390135177	0.7021883682390083	0.5503440605894371	0.8345776270935786	0.6913536946856341	0.8436736368101115	0.8686049770751177	0.47278916152936473	0.5658731265022829	0.6286408894764374	0.8686704267770219	0.62354580504882	0.559771815359896	0.7817002633476174	0.48722706599977916
BritoIL_2016__W2.65.ST__bin.29	0.8271773956362293	1.0	0.9012818544073669	0.540559955649139	0.5447628764552627	0.8116519914942127	0.760765624959332	0.7391346897131509	0.6397033906025107	0.6626841120327738	0.8137789588479187	0.5422538253919091	0.6356732924007507	0.7005197691881242	0.6237349983993087	0.6932377950542543	0.5967481240678901	0.46882712273788485	0.7956055167890393	0.6583510537233641	0.5119442803265931	0.7928294235689428	0.8726994942856623	0.7553602336228459	0.7509954217626343	0.7323607723921096	0.4847356516895752	0.6428516770820049	0.5553701240730956	0.8332584608897762	0.6776082809096091	0.845348234945043	0.8548748207355892	0.4694871801545513	0.5599431559385647	0.6323907040178653	0.8585597942786347	0.6199839150045938	0.5659128234892988	0.7748642015153211	0.48419948517603695
BritoIL_2016__W2.4.ST__bin.28	0.8445178371044875	0.9125841413875746	1.0	0.5487423132286522	0.5556986864693322	0.830127031028545	0.7833051258846343	0.7498225065397183	0.6519926441017619	0.6759393712910192	0.8310546880147245	0.5527096280780686	0.6481750193569334	0.7144445153071309	0.6438782808618566	0.693607020255074	0.6073291226842176	0.47476535812566906	0.8077805121404473	0.6613061094118707	0.5287534134878163	0.8038348074821862	0.883302859449952	0.7656506538664057	0.7626789890436331	0.751004215041431	0.49643721738745433	0.6586638682347583	0.5588395432765162	0.8475743614583822	0.6940708487481637	0.8540474043261493	0.8675316365292346	0.48165848202638234	0.5618802552954192	0.6477934150058005	0.864756571738192	0.6319320617756303	0.5818575593239277	0.7856189975717525	0.49786612539287073
BritoIL_2016__M1.7.ST__bin.4	0.8380232088745292	0.7924318953761579	0.7944640263970996	1.0	0.5657367295281687	0.8353386287274495	0.7855121191471307	0.7722288654176781	0.6580998697391043	0.7062231437059263	0.8267263002624294	0.5695354333292381	0.673157327232616	0.7512673156564134	0.6432003736129733	0.7044924365502764	0.6147352773519265	0.49832919606821185	0.8192517515015869	0.6864619477170767	0.5349983631539468	0.7777010439949117	0.8617776987546998	0.7896320873717136	0.782688655092499	0.7562602684427527	0.4927326324528959	0.672748306493891	0.5724107880746035	0.8374646208507478	0.7168286851738376	0.8418188602820259	0.854940337152132	0.496439764446788	0.6663146239412964	0.6362569413337585	0.8765291537925609	0.6094851604070978	0.5959645830773773	0.8002170251830101	0.4884508873689665
BritoIL_2016__WL.26.ST__bin.2	0.8220006938197479	0.7858139391691283	0.7916610975867988	0.5566837218173272	1.0	0.8072367502203853	0.7842866346588495	0.7555193961665708	0.6429523982585424	0.6706999319696221	0.8210192842843821	0.5549701972880958	0.6434096885470183	0.7128111864167515	0.6502307476283229	0.6808489230025274	0.6216369640730524	0.47082502977267643	0.7921897221567281	0.6598030573122144	0.5352571563302042	0.7908208548399935	0.8699448398282572	0.7360624077347386	0.7880545864939426	0.7549382094945177	0.5216000204241311	0.6561244610507314	0.5686603722297895	0.8296267039507178	0.6882241368176502	0.8434940882652855	0.844785614203181	0.46890275860929687	0.5562834989540142	0.6413372399489997	0.8611970042605338	0.6350763426988987	0.5771979593890181	0.8089675451546001	0.5026115855883726
BritoIL_2016__M1.63.ST__bin.17	0.9336243155384598	0.7806353645513382	0.7885162160497815	0.5480533680989981	0.5382289637438775	1.0	0.7551694150266375	0.731470786878565	0.6328592606388491	0.6553232671113508	0.8056717498434193	0.5391636915087968	0.6273314999251517	0.709706199092508	0.6148080503741665	0.6718629920400446	0.5838228513152026	0.46855795086846574	0.7976957733983587	0.6528395046894095	0.5103533491240745	0.7711529093464266	0.8634706687233681	0.7440513113975207	0.7537560585829487	0.7344446931043925	0.47797782387165544	0.6910471904847016	0.5452371690215098	0.8361182413099607	0.6862538944904132	0.8304262648989448	0.8530910350745704	0.46438647163048663	0.5564093436729144	0.6172692832034877	0.8557745598844082	0.6200739671558592	0.5581591420330604	0.768658633114596	0.4757163534302306
BritoIL_2016__M1.22.ST__bin.19	0.7912153919701953	0.7528791943819391	0.7655844316411563	0.530284859424841	0.5380678024776836	0.7770347543334734	1.0	0.7297292145759666	0.6179573329047254	0.653709519217296	0.8065206102717539	0.5467857496105437	0.6165396297486874	0.7258902887333812	0.5960452675914707	0.6616609175506706	0.5826414818294965	0.455972898790831	0.7834520247603505	0.6468986713154142	0.5039903810489355	0.7547801117677605	0.8251496006528029	0.730883674159063	0.7436806087881112	0.7211652984182719	0.4701411727372386	0.6208494061307419	0.5372626171459658	0.818094569867214	0.6670926988287463	0.8185891174797854	0.8325714209177155	0.4583451818698845	0.5455195016608557	0.6047456994963857	0.8331834235882726	0.6017073226016502	0.5868961367588997	0.769711328437312	0.46767822259588043
BritoIL_2016__M2.51.ST__bin.51	0.7803214069932801	0.7492518884177922	0.7506723901841851	0.5339888818825342	0.5309304761477597	0.7709440901691463	0.7474662353800976	1.0	0.626018611105981	0.658655852841927	0.7995768044514684	0.5420559810670121	0.6194791317631477	0.6991565111167983	0.5960973138691523	0.6620160888182977	0.5796222372902821	0.4306716514388385	0.7761733518723236	0.6428535622036773	0.48701153761928756	0.7488044198078734	0.830255315668525	0.7262246682901474	0.7658810461689457	0.7214792847889695	0.4613306386717359	0.6070318003487933	0.5290255685041199	0.7932489228829009	0.6596737383944425	0.8197408586859303	0.8346745958667198	0.4554380891823936	0.5257186277277512	0.5936399302413322	0.8356228282865593	0.5831027832230932	0.5624237179470266	0.7594054155310657	0.4592763989330407
BritoIL_2016__M2.58.ST__bin.42	0.7875021939630819	0.7621650989004446	0.7671862508752595	0.534864941803385	0.5310519425023521	0.7839695257752675	0.7439683846043641	0.7357891661947966	1.0	0.6629260242163908	0.7791877716095285	0.5427495644634419	0.6204056242359892	0.7050687214358411	0.5878593060316464	0.679767598064723	0.5781829210129876	0.46390953987865136	0.7778121645097089	0.6432141574654594	0.5019737915217204	0.7579588917990125	0.8250417550712332	0.7102033702994148	0.7476598243961253	0.7181332676746596	0.4740454942665465	0.6357959263919959	0.531836497498417	0.8031833706591316	0.6520576117649758	0.8004526231115637	0.8348124107297353	0.47618518971035967	0.5472423046938716	0.6040763368910164	0.8294433256697091	0.5905069465677735	0.5622505626778815	0.7450146646663098	0.48516260755070617
BritoIL_2016__M1.62.ST__bin.5	0.7844714406501011	0.7474787448917282	0.7529874583118042	0.5433956503358542	0.5244551176664004	0.7685453755460566	0.7450796185823665	0.7329031424679412	0.6276058058152097	1.0	0.788109469679177	0.5301346939734135	0.6224675888956739	0.6964042463243929	0.6104185259993424	0.6691689370097234	0.591968857156278	0.4532651838977876	0.7678090798064728	0.6308891916012964	0.5041406360092067	0.7462962093099723	0.8115529146507586	0.7178660341021185	0.7339752924045281	0.721825238386021	0.46448341866691717	0.6257280755319649	0.5288505801117948	0.7988051341068156	0.648036544694443	0.81932981821598	0.8201019305744751	0.4544224716989995	0.5420763070130115	0.5888146460613463	0.8208699328291607	0.5921978486542346	0.5521037859927662	0.745606299027667	0.44833129785335146
