	BritoIL_2016__M2.31.ST__bin.51	BritoIL_2016__W2.65.ST__bin.29	BritoIL_2016__W2.4.ST__bin.28	BritoIL_2016__M1.7.ST__bin.4	BritoIL_2016__WL.26.ST__bin.2	BritoIL_2016__M1.63.ST__bin.17	BritoIL_2016__M1.22.ST__bin.19	BritoIL_2016__M2.51.ST__bin.51	BritoIL_2016__M2.58.ST__bin.42	BritoIL_2016__M1.62.ST__bin.5	BritoIL_2016__W1.20.ST__bin.32	BritoIL_2016__M1.25.ST__bin.54	BritoIL_2016__M2.11.ST__bin.81	BritoIL_2016__WL.20.ST__bin.78	BritoIL_2016__WL.15.ST__bin.42	BritoIL_2016__W3.23.ST__bin.68	BritoIL_2016__W3.1.ST__bin.28	BritoIL_2016__M1.15.ST__bin.10	BritoIL_2016__W1.8.ST__bin.52	BritoIL_2016__M1.37.ST__bin.8	BritoIL_2016__W2.13.ST__bin.17	BritoIL_2016__WL.13.ST__bin.55	BritoIL_2016__WL.17.ST__bin.1	BritoIL_2016__M2.32.ST__bin.1	BritoIL_2016__W1.37.ST__bin.26	BritoIL_2016__M2.5.ST__bin.36	BritoIL_2016__W2.46.ST__bin.8	BritoIL_2016__M1.64.ST__bin.18	BritoIL_2016__W2.53.ST__bin.13	BritoIL_2016__W1.14.ST__bin.49	BritoIL_2016__WL.9.ST__bin.11	BritoIL_2016__M1.52.ST__bin.64	BritoIL_2016__W1.6.ST__bin.25	BritoIL_2016__W1.2.ST__bin.40	BritoIL_2016__M1.6.ST__bin.26	BritoIL_2016__WL.1.ST__bin.13	BritoIL_2016__M2.57.ST__bin.48	BritoIL_2016__W1.18.ST__bin.39	BritoIL_2016__M1.48.ST__bin.68	BritoIL_2016__W3.17.ST__bin.69	BritoIL_2016__W2.36.ST__bin.37
BritoIL_2016__M2.31.ST__bin.51	2001537.0	1662570.0	1674780.0	1140916.0	1142140.0	1870896.0	1609156.0	1552829.0	1324306.0	1396359.0	1718859.0	1133185.0	1301825.0	1504857.0	1290489.0	1414076.0	1249869.0	981033.0	1697107.0	1377433.0	1067113.0	1639134.0	1829180.0	1563089.0	1597665.0	1558043.0	1005915.0	1422448.0	1148100.0	1752973.0	1442492.0	1770169.0	1824022.0	982627.0	1176809.0	1316166.0	1817949.0	1309950.0	1169298.0	1638928.0	1019408.0
BritoIL_2016__W2.65.ST__bin.29	1662570.0	1921045.0	1735843.0	1081421.0	1092384.0	1629889.0	1532748.0	1490513.0	1283371.0	1333759.0	1639589.0	1089014.0	1271153.0	1404713.0	1255989.0	1386887.0	1195397.0	934255.0	1599413.0	1323685.0	1020946.0	1592251.0	1749356.0	1516777.0	1511339.0	1472289.0	966470.0	1283530.0	1109565.0	1678458.0	1355293.0	1699898.0	1723666.0	938048.0	1119198.0	1269487.0	1727611.0	1253553.0	1135077.0	1555344.0	967644.0
BritoIL_2016__W2.4.ST__bin.28	1674780.0	1735843.0	1897253.0	1083283.0	1099369.0	1644607.0	1557569.0	1492797.0	1290940.0	1342102.0	1652807.0	1096009.0	1279897.0	1413817.0	1279470.0	1369530.0	1200357.0	934018.0	1603018.0	1312480.0	1040556.0	1592761.0	1747785.0	1516513.0	1515166.0	1489961.0	977525.0	1298416.0	1102189.0	1685564.0	1370220.0	1695100.0	1726249.0	950336.0	1108032.0	1283397.0	1718140.0	1260907.0	1151667.0	1556232.0	983170.0
BritoIL_2016__M1.7.ST__bin.4	1140916.0	1081421.0	1083283.0	1310447.0	771360.0	1136706.0	1073188.0	1052704.0	894577.0	958888.0	1126825.0	771379.0	912620.0	1020419.0	877525.0	956626.0	831306.0	671717.0	1117228.0	935763.0	725069.0	1059979.0	1177376.0	1071877.0	1068550.0	1027701.0	666087.0	910015.0	775403.0	1143094.0	972505.0	1150355.0	1170193.0	670147.0	886521.0	867942.0	1195320.0	836056.0	809724.0	1090660.0	665364.0
BritoIL_2016__WL.26.ST__bin.2	1142140.0	1092384.0	1099369.0	771360.0	1331758.0	1120601.0	1094597.0	1054046.0	893336.0	932406.0	1146088.0	769801.0	891895.0	991465.0	907660.0	945382.0	862419.0	650711.0	1106703.0	919119.0	740672.0	1099844.0	1209103.0	1023850.0	1096160.0	1052446.0	719181.0	907871.0	785021.0	1158312.0	953810.0	1175697.0	1180378.0	647614.0	769105.0	894100.0	1198689.0	887698.0	801915.0	1119304.0	699973.0
BritoIL_2016__M1.63.ST__bin.17	1870896.0	1629889.0	1644607.0	1136706.0	1120601.0	1997373.0	1579408.0	1531683.0	1317465.0	1367243.0	1686781.0	1119026.0	1305099.0	1478615.0	1288010.0	1402604.0	1213212.0	968261.0	1668271.0	1360665.0	1058638.0	1612622.0	1805377.0	1547881.0	1576032.0	1533053.0	990606.0	1396112.0	1134990.0	1751019.0	1428758.0	1737708.0	1786542.0	963356.0	1154051.0	1287959.0	1786177.0	1299530.0	1163474.0	1606136.0	992735.0
BritoIL_2016__M1.22.ST__bin.19	1609156.0	1532748.0	1557569.0	1073188.0	1094597.0	1579408.0	1941168.0	1486908.0	1252939.0	1326942.0	1642886.0	1106099.0	1247035.0	1471511.0	1214162.0	1342343.0	1178194.0	917915.0	1595500.0	1314079.0	1018257.0	1535322.0	1681825.0	1483417.0	1510439.0	1465102.0	948339.0	1254894.0	1088784.0	1665383.0	1352553.0	1667705.0	1697740.0	925395.0	1100050.0	1230540.0	1693344.0	1228108.0	1182643.0	1567825.0	951253.0
BritoIL_2016__M2.51.ST__bin.51	1552829.0	1490513.0	1492797.0	1052704.0	1054046.0	1531683.0	1486908.0	1895105.0	1242022.0	1301473.0	1589311.0	1066949.0	1220631.0	1390239.0	1185132.0	1310808.0	1145916.0	847094.0	1545838.0	1275845.0	963929.0	1486301.0	1654288.0	1436661.0	1516222.0	1431899.0	910756.0	1200693.0	1046462.0	1581125.0	1306184.0	1630971.0	1662601.0	898391.0	1035619.0	1178525.0	1658901.0	1161498.0	1116343.0	1508936.0	913130.0
BritoIL_2016__M2.58.ST__bin.42	1324306.0	1283371.0	1290940.0	894577.0	893336.0	1317465.0	1252939.0	1242022.0	1612379.0	1115289.0	1312932.0	909352.0	1036676.0	1186134.0	990750.0	1140984.0	968307.0	774573.0	1311167.0	1080218.0	841786.0	1275481.0	1390680.0	1192237.0	1259272.0	1206208.0	791383.0	1062152.0	890251.0	1354320.0	1094485.0	1347834.0	1408137.0	796545.0	913047.0	1016809.0	1392244.0	998745.0	943259.0	1253945.0	816864.0
BritoIL_2016__M1.62.ST__bin.5	1396359.0	1333759.0	1342102.0	958888.0	932406.0	1367243.0	1326942.0	1301473.0	1115289.0	1703120.0	1401229.0	938780.0	1099161.0	1238570.0	1085669.0	1186853.0	1046468.0	797703.0	1369177.0	1121775.0	891270.0	1324100.0	1448077.0	1269853.0	1305285.0	1280398.0	820612.0	1105729.0	937373.0	1423092.0	1148825.0	1459437.0	1462934.0	804247.0	956067.0	1050353.0	1460885.0	1055681.0	979511.0	1329072.0	797578.0
