	HeQ_2017__SZAXPI029577-94__bin.45	LiSS_2016__FAT_015-22-42-0__bin.64	BackhedF_2015__SID341_M__bin.41	HMP_2012__SRS017521__bin.41	QinJ_2012__CON-085__bin.12	LiJ_2014__MH0372__bin.30	BackhedF_2015__SID383_4M__bin.9	ZeeviD_2015__PNP_DietIntervention_45__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	ZeeviD_2015__PNP_Main_454__bin.96	BackhedF_2015__SID229_M__bin.16	FengQ_2015__SID31873__bin.56	KarlssonFH_2013__S458__bin.49	VincentC_2016__MM063__bin.15	ZeeviD_2015__PNP_Main_381__bin.24	ZeeviD_2015__PNP_DietIntervention_54__bin.3	CosteaPI_2017__donald5-11-30-0__bin.8	ZeeviD_2015__PNP_DietIntervention_50__bin.4	BritoIL_2016__M2.46.ST__bin.28	XieH_2016__YSZC12003_37207R1__bin.21	XieH_2016__YSZC12003_37206__bin.17	VincentC_2016__MM062.2__bin.4	ZeeviD_2015__PNP_Main_129__bin.30	ZeeviD_2015__PNP_DietIntervention_37__bin.7	BackhedF_2015__SID229_12M__bin.33	NielsenHB_2014__V1_UC30_0__bin.41	XieH_2016__YSZC12003_37647__bin.4	ZeeviD_2015__PNP_Main_89__bin.1	ZellerG_2014__CCIS44093303ST-4-0__bin.47	XieH_2016__YSZC12003_37097__bin.86	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.45	XieH_2016__YSZC12003_37232__bin.33	LiJ_2014__MH0373__bin.56	BackhedF_2015__SID377_M__bin.41	QinJ_2012__T2D-092__bin.9	QinJ_2012__T2D-099__bin.65	KarlssonFH_2013__S58__bin.26
HeQ_2017__SZAXPI029577-94__bin.45	0.0	10509.0	9544.0	7258.0	12161.0	10952.0	15825.0	5283.0	8466.0	10179.0	10411.0	6511.0	9752.0	8793.0	14256.0	5113.0	5789.0	8612.0	7796.0	8299.0	11034.0	8053.0	9567.0	5289.0	44571.0	11702.0	13065.0	11187.0	13292.0	10297.0	9641.0	17771.0	12265.0	15763.0	12846.0	16390.0	11134.0	13451.0
LiSS_2016__FAT_015-22-42-0__bin.64	10509.0	0.0	14251.0	10544.0	10291.0	11072.0	14580.0	9951.0	4741.0	8836.0	9896.0	7034.0	11300.0	13888.0	12998.0	9144.0	2305.0	3542.0	8056.0	13100.0	9227.0	5360.0	2946.0	9817.0	44142.0	13300.0	8674.0	11230.0	14118.0	10115.0	11146.0	15284.0	8737.0	15409.0	11978.0	13972.0	12490.0	14283.0
BackhedF_2015__SID341_M__bin.41	9544.0	14251.0	0.0	5294.0	13681.0	11312.0	17585.0	13424.0	10057.0	10825.0	10062.0	8381.0	14139.0	6160.0	15845.0	11632.0	6466.0	10037.0	9736.0	3499.0	9985.0	8495.0	12503.0	13406.0	48847.0	14026.0	13256.0	15832.0	14115.0	10855.0	11391.0	19587.0	11785.0	18359.0	12102.0	18700.0	11676.0	15054.0
HMP_2012__SRS017521__bin.41	7258.0	10544.0	5294.0	0.0	11381.0	9515.0	12551.0	10221.0	9031.0	9208.0	8099.0	7523.0	10940.0	2855.0	11009.0	9263.0	6492.0	9164.0	8436.0	4220.0	7451.0	6302.0	10442.0	10036.0	38097.0	13755.0	9432.0	11896.0	10209.0	9876.0	8469.0	15126.0	9858.0	12412.0	10586.0	14476.0	9801.0	11450.0
QinJ_2012__CON-085__bin.12	12161.0	10291.0	13681.0	11381.0	0.0	13895.0	14344.0	11417.0	10618.0	11611.0	12314.0	8500.0	11162.0	13853.0	8448.0	11066.0	6521.0	10801.0	8202.0	13821.0	12664.0	1540.0	9582.0	11445.0	42583.0	14906.0	12804.0	12350.0	16062.0	11167.0	12613.0	8409.0	11959.0	15164.0	14203.0	4907.0	14905.0	16063.0
LiJ_2014__MH0372__bin.30	10952.0	11072.0	11312.0	9515.0	13895.0	0.0	13341.0	14252.0	9124.0	8264.0	6568.0	9179.0	14919.0	11293.0	17354.0	13614.0	5644.0	7915.0	10899.0	11186.0	10474.0	8865.0	10558.0	13924.0	42760.0	14812.0	7169.0	15537.0	8604.0	10772.0	6600.0	19017.0	8455.0	13419.0	5337.0	17049.0	8209.0	8863.0
BackhedF_2015__SID383_4M__bin.9	15825.0	14580.0	17585.0	12551.0	14344.0	13341.0	0.0	18605.0	12425.0	10924.0	11346.0	9759.0	16674.0	15406.0	17173.0	16633.0	6856.0	12306.0	12692.0	16228.0	13166.0	7754.0	14650.0	18104.0	37338.0	16391.0	10970.0	16316.0	12636.0	15908.0	12570.0	18894.0	11183.0	4203.0	13762.0	18784.0	12862.0	13535.0
ZeeviD_2015__PNP_DietIntervention_45__bin.2	5283.0	9951.0	13424.0	10221.0	11417.0	14252.0	18605.0	0.0	12766.0	13589.0	12689.0	7929.0	12114.0	13530.0	16393.0	562.0	6924.0	10889.0	9451.0	12087.0	15155.0	6987.0	10881.0	275.0	48463.0	15439.0	14328.0	12254.0	13472.0	11776.0	12183.0	16480.0	15593.0	18859.0	15199.0	16351.0	15384.0	14766.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	8466.0	4741.0	10057.0	9031.0	10618.0	9124.0	12425.0	12766.0	0.0	7104.0	7833.0	7558.0	10750.0	11059.0	14248.0	12143.0	1838.0	2361.0	7519.0	9002.0	6421.0	6997.0	3289.0	12578.0	43188.0	13476.0	7317.0	12077.0	13733.0	11922.0	10086.0	17312.0	6105.0	13009.0	10854.0	16042.0	11926.0	13722.0
ZeeviD_2015__PNP_Main_454__bin.96	10179.0	8836.0	10825.0	9208.0	11611.0	8264.0	10924.0	13589.0	7104.0	0.0	6063.0	7777.0	13222.0	12158.0	15578.0	12481.0	3733.0	6547.0	9437.0	10504.0	6622.0	8096.0	7953.0	13370.0	35419.0	14697.0	4391.0	12983.0	13050.0	13798.0	8736.0	17682.0	3371.0	11700.0	9780.0	17014.0	10125.0	12769.0
BackhedF_2015__SID229_M__bin.16	10411.0	9896.0	10062.0	8099.0	12314.0	6568.0	11346.0	12689.0	7833.0	6063.0	0.0	8513.0	13191.0	10438.0	13825.0	11833.0	5462.0	8487.0	10408.0	9149.0	7392.0	8241.0	8913.0	12746.0	39642.0	15405.0	6061.0	13753.0	11616.0	10201.0	5499.0	16266.0	4852.0	10739.0	7541.0	15949.0	7468.0	10570.0
FengQ_2015__SID31873__bin.56	6511.0	7034.0	8381.0	7523.0	8500.0	9179.0	9759.0	7929.0	7558.0	7777.0	8513.0	0.0	3384.0	8921.0	9169.0	7812.0	5469.0	6871.0	2633.0	9092.0	8362.0	6056.0	7628.0	8020.0	24911.0	4580.0	7623.0	2988.0	10176.0	8518.0	8362.0	11578.0	7810.0	9876.0	10371.0	9979.0	9369.0	10314.0
KarlssonFH_2013__S458__bin.49	9752.0	11300.0	14139.0	10940.0	11162.0	14919.0	16674.0	12114.0	10750.0	13222.0	13191.0	3384.0	0.0	14608.0	13984.0	11365.0	6686.0	10573.0	1638.0	13608.0	13790.0	7231.0	10770.0	12018.0	45705.0	5665.0	14425.0	2503.0	17739.0	13513.0	13363.0	17824.0	14288.0	17598.0	15562.0	15705.0	16369.0	18834.0
VincentC_2016__MM063__bin.15	8793.0	13888.0	6160.0	2855.0	13853.0	11293.0	15406.0	13530.0	11059.0	12158.0	10438.0	8921.0	14608.0	0.0	15292.0	12404.0	7027.0	10323.0	10330.0	5094.0	10306.0	7995.0	12870.0	13483.0	46697.0	17462.0	13054.0	15876.0	13159.0	12274.0	10897.0	19844.0	12926.0	16120.0	11834.0	18959.0	12458.0	13490.0
