	HeQ_2017__SZAXPI029577-94__bin.45	LiSS_2016__FAT_015-22-42-0__bin.64	BackhedF_2015__SID341_M__bin.41	HMP_2012__SRS017521__bin.41	QinJ_2012__CON-085__bin.12	LiJ_2014__MH0372__bin.30	BackhedF_2015__SID383_4M__bin.9	ZeeviD_2015__PNP_DietIntervention_45__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	ZeeviD_2015__PNP_Main_454__bin.96	BackhedF_2015__SID229_M__bin.16	FengQ_2015__SID31873__bin.56	KarlssonFH_2013__S458__bin.49	VincentC_2016__MM063__bin.15	ZeeviD_2015__PNP_Main_381__bin.24	ZeeviD_2015__PNP_DietIntervention_54__bin.3	CosteaPI_2017__donald5-11-30-0__bin.8	ZeeviD_2015__PNP_DietIntervention_50__bin.4	BritoIL_2016__M2.46.ST__bin.28	XieH_2016__YSZC12003_37207R1__bin.21	XieH_2016__YSZC12003_37206__bin.17	VincentC_2016__MM062.2__bin.4	ZeeviD_2015__PNP_Main_129__bin.30	ZeeviD_2015__PNP_DietIntervention_37__bin.7	BackhedF_2015__SID229_12M__bin.33	NielsenHB_2014__V1_UC30_0__bin.41	XieH_2016__YSZC12003_37647__bin.4	ZeeviD_2015__PNP_Main_89__bin.1	ZellerG_2014__CCIS44093303ST-4-0__bin.47	XieH_2016__YSZC12003_37097__bin.86	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.45	XieH_2016__YSZC12003_37232__bin.33	LiJ_2014__MH0373__bin.56	BackhedF_2015__SID377_M__bin.41	QinJ_2012__T2D-092__bin.9	QinJ_2012__T2D-099__bin.65	KarlssonFH_2013__S58__bin.26
HeQ_2017__SZAXPI029577-94__bin.45	1.0	0.9012319350990893	0.9147287713448699	0.7258170131281347	0.7818316266876207	0.8714629723361755	0.7964159850112498	0.9440089833394095	0.8931013286233923	0.7163092326406464	0.8290463667264848	0.46910399035358774	0.895809957655365	0.9162510662848689	0.8986946785453456	0.8710361634274024	0.5349384533884557	0.8549902721784303	0.6641064031364998	0.9200649150688617	0.9225750351888755	0.426424869243684	0.8865832752259698	0.9180299775003569	0.8175245909182616	0.8763882350581487	0.9115122190641706	0.8838764159614143	0.8476607804202372	0.8747921998091011	0.9249538975587829	0.7594567521936267	0.923952504161903	0.9015861835437586	0.8352216751674495	0.8153696041266256	0.9062471609981017	0.9287291064208342
LiSS_2016__FAT_015-22-42-0__bin.64	0.8601490792758524	1.0	0.8803410502324754	0.7071009998299648	0.759166140232937	0.8519727470606981	0.7615750671977173	0.9040240932108629	0.9251977082397295	0.7086760782882965	0.8167999360397095	0.44986605499008503	0.8704463482390088	0.8914611886029068	0.8684810894869777	0.831482088303487	0.5300452901916669	0.870478722505802	0.6457348733349774	0.8953877648918812	0.9132541374312961	0.4235694233777114	0.9145136371672348	0.8780357209214336	0.7809824548364902	0.8406659640043196	0.8968277159757717	0.8577246689660841	0.8018286674977	0.8641108449852543	0.9035201807103421	0.7400726422243767	0.9106748936716472	0.858366242479317	0.8164187642376395	0.7950317605633009	0.8874273549604696	0.8783969051327007
BackhedF_2015__SID341_M__bin.41	0.824552452107789	0.8314569069807634	1.0	0.6796942343228619	0.7079695829622047	0.8077278951356669	0.7358575397827735	0.845537283471371	0.8256763403836694	0.6646035016817112	0.781690485369777	0.42188006008960266	0.8065795456056154	0.8486959758578057	0.8217500432060196	0.7831376876138313	0.493771154331902	0.7900955850095053	0.6065832679703806	0.8581388176174206	0.842277555469882	0.38830113930950133	0.8234041025777376	0.8211946132064184	0.7383711995320456	0.7850275853817418	0.8434687121947329	0.7970606612515122	0.785361002911421	0.81061645019343	0.8508831310405339	0.6912588239986174	0.8567227237074753	0.8360854016830407	0.7899631751771446	0.7482282873133832	0.8267786921205514	0.8654038101062204
HMP_2012__SRS017521__bin.41	0.5618372089518774	0.573492376547283	0.5836748654154301	1.0	0.524074073228436	0.5573335519138659	0.5363897771894166	0.57985366368219	0.570675107893695	0.4617573874816372	0.5536913548507297	0.3224899275624724	0.5633904854451394	0.6058511238251106	0.5763945810902572	0.537962689399042	0.388886047544919	0.5460793182479279	0.4455595197377764	0.5798438458240083	0.590272237791265	0.2995286971428206	0.5666566357076872	0.569003788779969	0.5157718183632306	0.5540365781430732	0.5849521002681873	0.5594316053750719	0.5489210173858285	0.5512604075004783	0.5776078857036916	0.4887729366857742	0.5949745352157441	0.580166236888022	0.5618422320421099	0.5328651661021778	0.5707483993466329	0.5957478627892672
QinJ_2012__CON-085__bin.12	0.9294095783754596	0.945569777818296	0.9336466867348424	0.804828283855404	1.0	0.9330611214451892	0.8520164308919	0.9533577961706835	0.9530099633758715	0.7646059093004949	0.9272514021132946	0.5354643935980533	0.9380303617355875	0.9606451036047329	0.9558718698993143	0.900519119407983	0.6369645978446289	0.9126557489713161	0.7516088143354798	0.9583000373429361	0.975715520460598	0.49815301487230645	0.9262036960740828	0.9368879834639168	0.8705932267277244	0.9410300689529426	0.9705453646546479	0.9322500959871246	0.9046093104881054	0.930836674620303	0.9632026564327152	0.8456246526493323	0.9750917356400632	0.9352652312719916	0.9075248646099416	0.8953072376921715	0.9580917584315266	0.9595076342636342
LiJ_2014__MH0372__bin.30	0.91746566451903	0.9397869877315168	0.9433655540939867	0.7580061261677542	0.8263367454547487	1.0	0.8288644728228939	0.9628756345713608	0.9535550280658476	0.746189466519102	0.8927939274921094	0.4982383541327411	0.927845494372546	0.9398733155212398	0.9225229824450266	0.9009015974988541	0.5706791699117221	0.9053580367445853	0.7052806522654523	0.9611338627276352	0.9663507939051338	0.45251164183034787	0.9344175855297234	0.938245508781213	0.8510240090625547	0.9054136219041551	0.9417309156583705	0.9166356135048959	0.8705505477156673	0.9080919571068887	0.9641233506113125	0.8037638916319182	0.9548238602558036	0.9258565393611247	0.88696462796449	0.8494756984166614	0.9631942400111294	0.9552449411294159
BackhedF_2015__SID383_4M__bin.9	0.9008295758036776	0.9025644618600314	0.9233587394051009	0.7837901588588453	0.8106935707458175	0.8905233517331345	1.0	0.9209198899681882	0.8964156253179929	0.7381423040287725	0.8687572043645729	0.49907567272709075	0.9016686601174718	0.929330083758297	0.9087019549163168	0.8698792085583263	0.5802072855205409	0.8671657800398023	0.69924182143018	0.9167014477957772	0.934372596807476	0.44450016097740813	0.8882189559655892	0.9029227825570553	0.8249700148299395	0.8821281713800518	0.9320271643120593	0.8877895716666416	0.8816791027970033	0.8767743797365308	0.9284569689872436	0.7786862575338261	0.9431491184610226	0.9473532144602753	0.8793013080039969	0.8337672216633887	0.9107911580864874	0.9457277596782454
ZeeviD_2015__PNP_DietIntervention_45__bin.2	0.8782083014113014	0.881179245593662	0.8726261533091714	0.6968775313531064	0.7460766084862481	0.8508455405378706	0.7574266744523497	1.0	0.8748600552754222	0.6958938022597506	0.8031699400926818	0.44578129767724683	0.8664416940885153	0.8818485106588488	0.8653899134428158	0.8474876903522656	0.5154957226306535	0.821298818756764	0.6369907932835313	0.8950499630106885	0.8937364034096023	0.41554994435139186	0.8670887326386221	0.9121421531072119	0.7675504404691605	0.8327202290922582	0.8766077179241203	0.848137198515159	0.7989279685294498	0.8443746062339612	0.8760325725462477	0.7289759119456817	0.8878455537091389	0.8557007992764584	0.8010051872844577	0.7889910698801634	0.8706800984332776	0.8819928458061584
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	0.8397577680491786	0.9114874356389374	0.8612657687203502	0.6932005042107701	0.7538012028394444	0.8516441625400242	0.745178033827606	0.884240639998225	1.0	0.7363194000501992	0.8523652560505985	0.44457772348005276	0.8524304318102082	0.873157710084354	0.903180715740778	0.8245909527725352	0.5288741095535183	0.8610014602143589	0.6426440834970817	0.8800513640454455	0.9370890287009085	0.44337516137934097	0.9104762406621857	0.8662338256645501	0.7716912554931378	0.8365860659772828	0.9270372625071589	0.8426010952301051	0.82568812428324	0.8843818079201028	0.937330317683293	0.7442966356827577	0.9434169015998569	0.8439326221317466	0.8333203444053544	0.816478650778573	0.9342493069875348	0.9113887012967202
ZeeviD_2015__PNP_Main_454__bin.96	0.572418216321827	0.5933671702766032	0.5891821408258285	0.4766980718693658	0.5139923295281111	0.5663972423826218	0.5214952116710347	0.5977704671039714	0.6257860041583942	1.0	0.5822932829982678	0.3087149260707653	0.5759637647869665	0.6111943821842908	0.6222423413725341	0.555317698066448	0.35694117364206934	0.5588941245297881	0.4325491343199993	0.5896417751501885	0.656738722400432	0.30089006419087977	0.5836358866452186	0.5816464950054249	0.525081302240682	0.5706475634784466	0.6667985856462565	0.5732302369615295	0.6018515484844678	0.6060945625730848	0.6391179923738416	0.5208467737088224	0.6754802530487309	0.5838225688938817	0.5827512673532582	0.5754972948752187	0.6208563671021564	0.6500240541963082
