	HeQ_2017__SZAXPI029577-94__bin.45	LiSS_2016__FAT_015-22-42-0__bin.64	BackhedF_2015__SID341_M__bin.41	HMP_2012__SRS017521__bin.41	QinJ_2012__CON-085__bin.12	LiJ_2014__MH0372__bin.30	BackhedF_2015__SID383_4M__bin.9	ZeeviD_2015__PNP_DietIntervention_45__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	ZeeviD_2015__PNP_Main_454__bin.96	BackhedF_2015__SID229_M__bin.16	FengQ_2015__SID31873__bin.56	KarlssonFH_2013__S458__bin.49	VincentC_2016__MM063__bin.15	ZeeviD_2015__PNP_Main_381__bin.24	ZeeviD_2015__PNP_DietIntervention_54__bin.3	CosteaPI_2017__donald5-11-30-0__bin.8	ZeeviD_2015__PNP_DietIntervention_50__bin.4	BritoIL_2016__M2.46.ST__bin.28	XieH_2016__YSZC12003_37207R1__bin.21	XieH_2016__YSZC12003_37206__bin.17	VincentC_2016__MM062.2__bin.4	ZeeviD_2015__PNP_Main_129__bin.30	ZeeviD_2015__PNP_DietIntervention_37__bin.7	BackhedF_2015__SID229_12M__bin.33	NielsenHB_2014__V1_UC30_0__bin.41	XieH_2016__YSZC12003_37647__bin.4	ZeeviD_2015__PNP_Main_89__bin.1	ZellerG_2014__CCIS44093303ST-4-0__bin.47	XieH_2016__YSZC12003_37097__bin.86	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.45	XieH_2016__YSZC12003_37232__bin.33	LiJ_2014__MH0373__bin.56	BackhedF_2015__SID377_M__bin.41	QinJ_2012__T2D-092__bin.9	QinJ_2012__T2D-099__bin.65	KarlssonFH_2013__S58__bin.26
HeQ_2017__SZAXPI029577-94__bin.45	3390276.0	3055425.0	3101183.0	2460720.0	2650625.0	2954500.0	2700070.0	3200451.0	3027860.0	2428486.0	2810696.0	1590392.0	3037043.0	3106344.0	3046823.0	2953053.0	1813589.0	2898653.0	2251504.0	3119274.0	3127784.0	1445698.0	3005762.0	3112375.0	2771634.0	2971198.0	3090278.0	2996585.0	2873804.0	2965787.0	3135849.0	2574768.0	3132454.0	3056626.0	2831632.0	2764328.0	3072428.0	3148648.0
LiSS_2016__FAT_015-22-42-0__bin.64	3055425.0	3552204.0	3127151.0	2511767.0	2696713.0	3026381.0	2705270.0	3211278.0	3286491.0	2517362.0	2901440.0	1598016.0	3092003.0	3166652.0	3085022.0	2953594.0	1882829.0	3092118.0	2293782.0	3180600.0	3244065.0	1504605.0	3248539.0	3118962.0	2774209.0	2986217.0	3185715.0	3046813.0	2848259.0	3069498.0	3209488.0	2628889.0	3234903.0	3049092.0	2900086.0	2824115.0	3152323.0	3120245.0
BackhedF_2015__SID341_M__bin.41	3101183.0	3127151.0	3761050.0	2556364.0	2662709.0	3037905.0	2767597.0	3180108.0	3105410.0	2499607.0	2939977.0	1586712.0	3033586.0	3191988.0	3090643.0	2945420.0	1857098.0	2971589.0	2281390.0	3227503.0	3167848.0	1460420.0	3096864.0	3088554.0	2777051.0	2952528.0	3172328.0	2997785.0	2953782.0	3048769.0	3200214.0	2599859.0	3222177.0	3144559.0	2971091.0	2814124.0	3109556.0	3254827.0
HMP_2012__SRS017521__bin.41	2460720.0	2511767.0	2556364.0	4379774.0	2295326.0	2440995.0	2349266.0	2539628.0	2499428.0	2022393.0	2425043.0	1412433.0	2467523.0	2653491.0	2524478.0	2356155.0	1703233.0	2391704.0	1951450.0	2539585.0	2585259.0	1311868.0	2481828.0	2492108.0	2258964.0	2426555.0	2561958.0	2450184.0	2404150.0	2414396.0	2529792.0	2140715.0	2605854.0	2540997.0	2460742.0	2333829.0	2499749.0	2609241.0
QinJ_2012__CON-085__bin.12	2650625.0	2696713.0	2662709.0	2295326.0	2851945.0	2661039.0	2429904.0	2718924.0	2717932.0	2180614.0	2644470.0	1527115.0	2675211.0	2739707.0	2726094.0	2568231.0	1816588.0	2602844.0	2143547.0	2733019.0	2782687.0	1420705.0	2641482.0	2671953.0	2482884.0	2683766.0	2767942.0	2658726.0	2579896.0	2654695.0	2747001.0	2411675.0	2780908.0	2667325.0	2588211.0	2553367.0	2732425.0	2736463.0
LiJ_2014__MH0372__bin.30	2954500.0	3026381.0	3037905.0	2440995.0	2661039.0	3220284.0	2669179.0	3100733.0	3070718.0	2402942.0	2875050.0	1604469.0	2987926.0	3026659.0	2970786.0	2901159.0	1837749.0	2915510.0	2271204.0	3095124.0	3111924.0	1457216.0	3009090.0	3021417.0	2740539.0	2915689.0	3032641.0	2951827.0	2803420.0	2924314.0	3104751.0	2588348.0	3074804.0	2981521.0	2856278.0	2735553.0	3101759.0	3076160.0
BackhedF_2015__SID383_4M__bin.9	2700070.0	2705270.0	2767597.0	2349266.0	2429904.0	2669179.0	2997315.0	2760287.0	2686840.0	2212445.0	2603939.0	1495887.0	2702585.0	2785495.0	2723666.0	2607302.0	1739064.0	2599169.0	2095848.0	2747643.0	2800609.0	1332307.0	2662272.0	2706344.0	2472695.0	2644016.0	2793579.0	2660985.0	2642670.0	2627969.0	2782878.0	2333968.0	2826915.0	2839516.0	2635543.0	2499063.0	2729928.0	2834644.0
ZeeviD_2015__PNP_DietIntervention_45__bin.2	3200451.0	3211278.0	3180108.0	2539628.0	2718924.0	3100733.0	2760287.0	3644296.0	3188249.0	2536043.0	2926989.0	1624559.0	3157570.0	3213717.0	3153737.0	3088496.0	1878619.0	2993056.0	2321383.0	3261827.0	3257040.0	1514387.0	3159928.0	3324116.0	2797181.0	3034679.0	3194618.0	3090863.0	2911530.0	3077151.0	3192522.0	2656604.0	3235572.0	3118427.0	2919100.0	2875317.0	3173016.0	3214243.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	3027860.0	3286491.0	3105410.0	2499428.0	2717932.0	3070718.0	2686840.0	3188249.0	3605635.0	2654899.0	3073318.0	1602985.0	3073553.0	3148288.0	3256540.0	2973174.0	1906927.0	3104457.0	2317140.0	3173144.0	3378801.0	1598649.0	3282845.0	3123323.0	2782437.0	3016424.0	3342558.0	3038112.0	2977130.0	3188758.0	3379671.0	2683662.0	3401617.0	3042913.0	3004649.0	2943924.0	3368562.0	3286135.0
ZeeviD_2015__PNP_Main_454__bin.96	2428486.0	2517362.0	2499607.0	2022393.0	2180614.0	2402942.0	2212445.0	2536043.0	2654899.0	4242503.0	2470381.0	1309724.0	2443528.0	2592994.0	2639865.0	2355937.0	1514324.0	2371110.0	1835091.0	2501557.0	2786216.0	1276527.0	2476077.0	2467637.0	2227659.0	2420974.0	2828895.0	2431931.0	2553357.0	2571358.0	2711460.0	2209694.0	2865727.0	2476869.0	2472324.0	2441549.0	2633985.0	2757729.0
