	HeQ_2017__SZAXPI029577-94__bin.45	LiSS_2016__FAT_015-22-42-0__bin.64	BackhedF_2015__SID341_M__bin.41	HMP_2012__SRS017521__bin.41	QinJ_2012__CON-085__bin.12	LiJ_2014__MH0372__bin.30	BackhedF_2015__SID383_4M__bin.9	ZeeviD_2015__PNP_DietIntervention_45__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	ZeeviD_2015__PNP_Main_454__bin.96	BackhedF_2015__SID229_M__bin.16	FengQ_2015__SID31873__bin.56	KarlssonFH_2013__S458__bin.49	VincentC_2016__MM063__bin.15	ZeeviD_2015__PNP_Main_381__bin.24	ZeeviD_2015__PNP_DietIntervention_54__bin.3	CosteaPI_2017__donald5-11-30-0__bin.8	ZeeviD_2015__PNP_DietIntervention_50__bin.4	BritoIL_2016__M2.46.ST__bin.28	XieH_2016__YSZC12003_37207R1__bin.21	XieH_2016__YSZC12003_37206__bin.17	VincentC_2016__MM062.2__bin.4	ZeeviD_2015__PNP_Main_129__bin.30	ZeeviD_2015__PNP_DietIntervention_37__bin.7	BackhedF_2015__SID229_12M__bin.33	NielsenHB_2014__V1_UC30_0__bin.41	XieH_2016__YSZC12003_37647__bin.4	ZeeviD_2015__PNP_Main_89__bin.1	ZellerG_2014__CCIS44093303ST-4-0__bin.47	XieH_2016__YSZC12003_37097__bin.86	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.45	XieH_2016__YSZC12003_37232__bin.33	LiJ_2014__MH0373__bin.56	BackhedF_2015__SID377_M__bin.41	QinJ_2012__T2D-092__bin.9	QinJ_2012__T2D-099__bin.65	KarlssonFH_2013__S58__bin.26
HeQ_2017__SZAXPI029577-94__bin.45	1.0	0.898132187467923	0.911913661306631	0.7236761844758363	0.7782446030942614	0.8682325568773752	0.7917482234484744	0.9424507031285948	0.8906041867977711	0.7133068222174241	0.8259755252964656	0.4671834977447264	0.8929334956799978	0.913657472135012	0.8944897111621591	0.8695280266267408	0.5332309227921267	0.8524500660123246	0.6618068853391288	0.9176170317696849	0.9193204329087071	0.424049546408611	0.8837613810792986	0.916469927522125	0.8043778736598437	0.8729365986722025	0.9076585505132916	0.8805766846121083	0.843740155668742	0.871754983960008	0.9221101762806333	0.7542149960652171	0.9203348045999795	0.8969367095776273	0.8314326031272969	0.8105351894654005	0.9029630625943138	0.9247615828327841
LiSS_2016__FAT_015-22-42-0__bin.64	0.8571906343216775	1.0	0.8763291747883849	0.7041327018380702	0.7562690656279876	0.8488558089569181	0.7574705731990617	0.901222733829476	0.9238630439017579	0.7061886085371223	0.8140140600033107	0.44788587592379264	0.8672652246323691	0.8875515032357376	0.8648219527932517	0.8289079118203796	0.5293963972789851	0.8694815950885704	0.6434669855672703	0.8916999136310865	0.910656595173025	0.4220605010297832	0.913684292906601	0.875272084598745	0.7685558036644291	0.8369218096708411	0.8943858517134714	0.8545632514348838	0.7978542335969443	0.8612633170842666	0.900382410469669	0.7357699614098739	0.9082152939414516	0.8540283722443869	0.8130467732146014	0.7910984279056045	0.8839112280713608	0.8743760211969809
BackhedF_2015__SID341_M__bin.41	0.8220148628707409	0.8276678055330293	1.0	0.6782866486752369	0.7043320349370521	0.8047202244054187	0.7311819837545366	0.8419680674279789	0.823002353066298	0.661725316068651	0.779015168636418	0.4196516930112602	0.8028202230760026	0.8470581353611358	0.8175371239414526	0.7800449342603795	0.49205195357679377	0.787426915356084	0.6039946291594103	0.8572084923093285	0.8396227117427314	0.38604246154664257	0.8200797649592533	0.8176301830605814	0.7253836029832095	0.7812983076534478	0.8399441645285226	0.7928511984685128	0.7816080615785486	0.8077302880844445	0.8478544555376823	0.6860509698089629	0.8535892902248042	0.8312040520599301	0.7867454567208625	0.7432562715199212	0.8236742399064091	0.8614012044508847
HMP_2012__SRS017521__bin.41	0.5601800458197158	0.5710849463922111	0.5824661272476617	1.0	0.5214755373222454	0.5551610653883055	0.5335241042117699	0.5775199816246227	0.5686131293532498	0.45965499589704856	0.5518421726783163	0.32077225902523737	0.5608926396658822	0.6051992637063008	0.5738809810734528	0.5358477400888721	0.38740377928176206	0.5439869728438043	0.4436333929558922	0.5788803257884996	0.5885710084584272	0.29808981011348984	0.5642724944255115	0.5667123463448114	0.5070734243365069	0.5508960051363381	0.5827985644921404	0.5567154834929838	0.5465900751956607	0.549005496630648	0.5756742242864586	0.4853193338286405	0.5927237341470131	0.5773323007077533	0.5594252123511395	0.5295599727291864	0.5685106126480498	0.5931335726455291
QinJ_2012__CON-085__bin.12	0.9251454708979311	0.9419613632100199	0.9288496096523601	0.8008376739383123	1.0	0.9281890078525357	0.8469868808830464	0.949354563289264	0.9492868901749507	0.7605346526668642	0.9229336470373727	0.532483971465088	0.9341165415181569	0.9557877168037953	0.9529096809370446	0.89663896042876	0.6346780881117974	0.908868509035062	0.7487328822961172	0.9534538709547343	0.9712750421203775	0.4976130325093927	0.9228438837354858	0.9328749327213534	0.8556620131173638	0.9358034604454153	0.966055797008708	0.9279197179468749	0.8989773645704948	0.9269211012133824	0.9587800606252925	0.8426761385650845	0.97089845701793	0.9299481581867813	0.9025447545447055	0.8935866575267054	0.9528655005618973	0.9538753377081255
LiJ_2014__MH0372__bin.30	0.9140647222418893	0.936348781660251	0.9398528204344709	0.7550514178252602	0.8220219086266924	1.0	0.8247216705110482	0.9584499379557828	0.9507217375858774	0.7436232332303611	0.8907543558270016	0.495387984413797	0.9232126731679566	0.9363664819624604	0.9171340167513176	0.896674020055374	0.5689265294613767	0.9029001789904245	0.7018961681640501	0.9576602560519507	0.9630982857412576	0.44975877903936423	0.9311389927099597	0.9339216665362433	0.8377456770893499	0.9008140275826605	0.9395047144910201	0.9118108837605627	0.8678787336769055	0.9047469105209355	0.962073841934438	0.7978585118579603	0.9521983154280803	0.9216895155830976	0.8853073207207811	0.8441814448663534	0.9606450859613623	0.9524926994016677
BackhedF_2015__SID383_4M__bin.9	0.8955498504494857	0.8977001082635625	0.9174918218472199	0.7796027444562884	0.8059079542857523	0.8860723681027853	1.0	0.9147126678377148	0.8922702485391092	0.7344977087826938	0.8649718164423826	0.49581975868402217	0.8961056812513867	0.924190150184415	0.9029724937152084	0.8643299086015317	0.5779199049816253	0.8630601054610543	0.6950073649249412	0.9112872687722178	0.9299799987655618	0.4419131789618375	0.8833312481337464	0.8968827100254729	0.8125128656814516	0.8766596103512644	0.9283672219970207	0.8823460330328977	0.8774633296800637	0.8714669629318239	0.9242632155779423	0.7723826157744516	0.9394181125440602	0.945950959442034	0.8747098653294698	0.8275002794167446	0.9064999841524831	0.9412120514527168
ZeeviD_2015__PNP_DietIntervention_45__bin.2	0.8767586387055277	0.8784486770558704	0.8689425886371469	0.6940728744317147	0.7429437674656505	0.8469347714894728	0.7523214360194672	1.0	0.8713570467382452	0.692164961353304	0.7996880604649018	0.44360556881219304	0.8631175952776614	0.8781358594362259	0.860891650952612	0.8473334767538093	0.5135957671934441	0.8183108616863175	0.63439742545611	0.8917332730381945	0.8895778498782755	0.4136327016246759	0.8641029707795415	0.9120666927165082	0.7542521244157994	0.8284837455574411	0.8726760943677461	0.8447746835054013	0.7952312325892298	0.8411432551033176	0.8726895400373625	0.7244537765318734	0.8835668123555277	0.8505258628827077	0.7968345600906183	0.7845043322496307	0.8664587069766013	0.8779410344274998
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.132	0.8374097766412851	0.9101725493567707	0.8584765235527168	0.6906958136361556	0.7508563678797217	0.8491136790052237	0.741732038878034	0.8807000708613045	1.0	0.7343491507043837	0.8501928231781641	0.4424815601135445	0.8494489874876409	0.8700905665714915	0.8992291233028301	0.8212231687344947	0.5283643519102738	0.8603466518380257	0.640558736533232	0.8775547164369105	0.9353082050734476	0.441434587804922	0.9095640573713091	0.8627453971353174	0.7597133375951808	0.832848582843244	0.9250079389622077	0.839251615873487	0.8218793638291174	0.8810753168304611	0.9345330295495801	0.7394952622769637	0.9417237185682966	0.8403246584859533	0.8303100563423641	0.8120295038183287	0.9309417065232616	0.9075829916228348
ZeeviD_2015__PNP_Main_454__bin.96	0.5700189251486681	0.591284437512478	0.5866305810508561	0.47452765501874716	0.5112555017639351	0.5644493356869754	0.5189203166149794	0.5945674051379575	0.6241115209582645	1.0	0.5808641738143733	0.30688181010125387	0.5728472083578963	0.6083286210993841	0.6185704523956731	0.5523758026806346	0.35606126854830744	0.5573509317494885	0.43032473990000714	0.587165878256303	0.6551778513768877	0.2989817567601013	0.5817612857315598	0.5784950535096852	0.516732692940936	0.5671833349322323	0.6657635834317619	0.570170015200932	0.5987755341599051	0.6028422372358959	0.6370588306007091	0.5166789510814724	0.6746856749423631	0.5810647629477221	0.5804460244341607	0.5714869264677008	0.6184698042641337	0.6470142743564353
