	HMP_2012__SRS063932__bin.66	HMP_2012__SRS078182__bin.26	HMP_2012__SRS020226__bin.2	HMP_2012__SRS042643__bin.14	HMP_2012__SRS015762__bin.18	HMP_2012__SRS017511__bin.3	HMP_2012__SRS014271__bin.2	HMP_2012__SRS021496__bin.61	CM_cf__CF_TNFC002SA_t1M15__bin.5	HMP_2012__SRS024289__bin.40	CM_periimplantitis__SP_344SPT_T016__bin.26	CM_periimplantitis__SP_282SPT_T016_R__bin.15	HMP_2012__SRS018300__bin.10	HMP_2012__SRS013252__bin.53	HMP_2012__SRS018443__bin.5	HMP_2012__SRS011115__bin.26	CM_periimplantitis__SP_283SPT_T016__bin.9	HMP_2012__SRS058808__bin.22	HMP_2012__SRS017304__bin.36	HMP_2012__SRS022602__bin.56	HMP_2012__SRS022536__bin.33	HMP_2012__SRS018665__bin.34	CM_cf__CF_TNFC022IS_t3M16__bin.14	HMP_2012__SRS049318__bin.75	HMP_2012__SRS024355__bin.9	HMP_2012__SRS015893__bin.10	HMP_2012__SRS063603__bin.69	HMP_2012__SRS022143__bin.95	HMP_2012__SRS022725__bin.68	HMP_2012__SRS012279__bin.14	HMP_2012__SRS056622__bin.20	HMP_2012__SRS047824__bin.23	HMP_2012__SRS013723__bin.46	HMP_2012__SRS018439__bin.57	HMP_2012__SRS062544__bin.37	HMP_2012__SRS018739__bin.85	HMP_2012__SRS063999__bin.35	HMP_2012__SRS019980__bin.38	HMP_2012__SRS052604__bin.10	HMP_2012__SRS016575__bin.43	HMP_2012__SRS055378__bin.27	HMP_2012__SRS024087__bin.39	HMP_2012__SRS015574__bin.56	HMP_2012__SRS023595__bin.81
HMP_2012__SRS063932__bin.66	1521210.0	966987.0	1304939.0	1386441.0	700714.0	1399347.0	1339395.0	971436.0	1164454.0	1445478.0	961473.0	1377935.0	1361798.0	1441867.0	1387698.0	1328504.0	1351297.0	992345.0	1398988.0	954074.0	1367100.0	1247551.0	1155613.0	1073052.0	1380912.0	1295089.0	1146229.0	1384434.0	1300895.0	1374185.0	1354163.0	1309819.0	1170848.0	1162661.0	1026627.0	1048323.0	1437634.0	1447378.0	817618.0	863910.0	1399110.0	1484191.0	840106.0	857376.0
HMP_2012__SRS078182__bin.26	966987.0	1411348.0	1226938.0	1358309.0	728953.0	1274150.0	1315664.0	936246.0	1093376.0	1313328.0	926080.0	1250470.0	1309097.0	1306903.0	1270931.0	1277636.0	1241457.0	973288.0	1285395.0	886796.0	1229932.0	1194227.0	1072275.0	996642.0	1256192.0	1199212.0	1064563.0	1301623.0	1200894.0	1289484.0	1344166.0	1309960.0	1071036.0	1142900.0	1067386.0	948239.0	1284057.0	1276397.0	825530.0	796375.0	1300183.0	1301857.0	813730.0	758257.0
HMP_2012__SRS020226__bin.2	1304939.0	1226938.0	2144710.0	1888504.0	911732.0	1892605.0	1819689.0	1191125.0	1538790.0	1939111.0	1348131.0	1799407.0	1788474.0	1961455.0	1898652.0	1799369.0	1829337.0	1355478.0	1889269.0	1156509.0	1814684.0	1642823.0	1462332.0	1381551.0	1804002.0	1669653.0	1468938.0	1861189.0	1715274.0	1844352.0	1827310.0	1774616.0	1503295.0	1548318.0	1295170.0	1309049.0	1888151.0	1907654.0	1121140.0	1103762.0	1916867.0	1942113.0	1086690.0	1059903.0
HMP_2012__SRS042643__bin.14	1386441.0	1358309.0	1888504.0	2516922.0	964301.0	2066731.0	2187879.0	1289397.0	1713952.0	2210205.0	1437657.0	1996981.0	2087900.0	2177212.0	2134042.0	2026490.0	1988320.0	1416768.0	2141258.0	1225877.0	2016929.0	1750200.0	1573118.0	1435602.0	2028259.0	1866847.0	1570299.0	2121822.0	1847355.0	2104017.0	2211150.0	2118514.0	1609962.0	1681229.0	1455187.0	1391447.0	2135252.0	2112461.0	1237834.0	1180334.0	2108425.0	2210440.0	1134260.0	1112038.0
HMP_2012__SRS015762__bin.18	700714.0	728953.0	911732.0	964301.0	1016555.0	925873.0	936398.0	732292.0	833939.0	953748.0	664149.0	921273.0	940792.0	950163.0	941336.0	938287.0	931464.0	727773.0	938402.0	676662.0	910117.0	846264.0	792319.0	741254.0	917418.0	883782.0	807454.0	916177.0	874655.0	938808.0	929378.0	910842.0	793923.0	876267.0	780476.0	726690.0	935107.0	935628.0	626936.0	615631.0	927376.0	957858.0	640347.0	600694.0
HMP_2012__SRS017511__bin.3	1399347.0	1274150.0	1892605.0	2066731.0	925873.0	2348541.0	1941661.0	1251401.0	1640699.0	2139074.0	1446950.0	1950935.0	2003010.0	2137151.0	2067454.0	1940364.0	1928274.0	1389888.0	2055178.0	1203192.0	1991874.0	1748770.0	1563920.0	1414096.0	1974218.0	1786868.0	1552547.0	2052098.0	1847972.0	2035197.0	2005286.0	1929474.0	1587291.0	1603049.0	1359623.0	1365745.0	2053181.0	2082373.0	1170499.0	1147619.0	2095699.0	2165826.0	1111208.0	1097002.0
HMP_2012__SRS014271__bin.2	1339395.0	1315664.0	1819689.0	2187879.0	936398.0	1941661.0	2286084.0	1252633.0	1606378.0	2083145.0	1373750.0	1887827.0	1971450.0	2059238.0	2008134.0	1930834.0	1898825.0	1356110.0	2003333.0	1189949.0	1894810.0	1691329.0	1500718.0	1394873.0	1938933.0	1761858.0	1519506.0	1980975.0	1806092.0	1997500.0	2099669.0	1997539.0	1561740.0	1627044.0	1419889.0	1364969.0	2018433.0	1996232.0	1174495.0	1137088.0	1994171.0	2058795.0	1085414.0	1072610.0
HMP_2012__SRS021496__bin.61	971436.0	936246.0	1191125.0	1289397.0	732292.0	1251401.0	1252633.0	1378115.0	1089963.0	1293248.0	872299.0	1201411.0	1252799.0	1279276.0	1266508.0	1291936.0	1215122.0	967908.0	1284750.0	861992.0	1240777.0	1182574.0	1031210.0	987753.0	1239768.0	1173943.0	1042958.0	1230384.0	1167296.0	1255930.0	1235796.0	1232664.0	1050600.0	1120206.0	993623.0	936017.0	1270431.0	1265294.0	819378.0	806870.0	1244324.0	1292090.0	824371.0	790116.0
CM_cf__CF_TNFC002SA_t1M15__bin.5	1164454.0	1093376.0	1538790.0	1713952.0	833939.0	1640699.0	1606378.0	1089963.0	1929039.0	1750087.0	1196538.0	1674004.0	1614091.0	1738673.0	1710117.0	1592553.0	1654650.0	1219738.0	1710683.0	1063821.0	1649677.0	1460449.0	1341655.0	1211091.0	1620404.0	1569467.0	1324168.0	1614616.0	1510772.0	1647447.0	1607816.0	1573273.0	1334968.0	1378642.0	1163662.0	1143860.0	1707051.0	1671230.0	1046706.0	1007559.0	1690279.0	1724801.0	975018.0	955231.0
HMP_2012__SRS024289__bin.40	1445478.0	1313328.0	1939111.0	2210205.0	953748.0	2139074.0	2083145.0	1293248.0	1750087.0	2583844.0	1480384.0	2092745.0	2077943.0	2331191.0	2261272.0	2026143.0	2070087.0	1431441.0	2213479.0	1246571.0	2072906.0	1830411.0	1628460.0	1483108.0	2068422.0	1915579.0	1615792.0	2121284.0	1912069.0	2140507.0	2091546.0	1995606.0	1657204.0	1657986.0	1399931.0	1417929.0	2201825.0	2176741.0	1266570.0	1207805.0	2191627.0	2292584.0	1142630.0	1138979.0
