	HMP_2012__SRS063932__bin.66	HMP_2012__SRS078182__bin.26	HMP_2012__SRS020226__bin.2	HMP_2012__SRS042643__bin.14	HMP_2012__SRS015762__bin.18	HMP_2012__SRS017511__bin.3	HMP_2012__SRS014271__bin.2	HMP_2012__SRS021496__bin.61	CM_cf__CF_TNFC002SA_t1M15__bin.5	HMP_2012__SRS024289__bin.40	CM_periimplantitis__SP_344SPT_T016__bin.26	CM_periimplantitis__SP_282SPT_T016_R__bin.15	HMP_2012__SRS018300__bin.10	HMP_2012__SRS013252__bin.53	HMP_2012__SRS018443__bin.5	HMP_2012__SRS011115__bin.26	CM_periimplantitis__SP_283SPT_T016__bin.9	HMP_2012__SRS058808__bin.22	HMP_2012__SRS017304__bin.36	HMP_2012__SRS022602__bin.56	HMP_2012__SRS022536__bin.33	HMP_2012__SRS018665__bin.34	CM_cf__CF_TNFC022IS_t3M16__bin.14	HMP_2012__SRS049318__bin.75	HMP_2012__SRS024355__bin.9	HMP_2012__SRS015893__bin.10	HMP_2012__SRS063603__bin.69	HMP_2012__SRS022143__bin.95	HMP_2012__SRS022725__bin.68	HMP_2012__SRS012279__bin.14	HMP_2012__SRS056622__bin.20	HMP_2012__SRS047824__bin.23	HMP_2012__SRS013723__bin.46	HMP_2012__SRS018439__bin.57	HMP_2012__SRS062544__bin.37	HMP_2012__SRS018739__bin.85	HMP_2012__SRS063999__bin.35	HMP_2012__SRS019980__bin.38	HMP_2012__SRS052604__bin.10	HMP_2012__SRS016575__bin.43	HMP_2012__SRS055378__bin.27	HMP_2012__SRS024087__bin.39	HMP_2012__SRS015574__bin.56	HMP_2012__SRS023595__bin.81
HMP_2012__SRS063932__bin.66	0.0	35958.0	44433.0	51521.0	26165.0	45976.0	49726.0	34332.0	39646.0	51473.0	34296.0	46049.0	50720.0	49765.0	50379.0	49886.0	47125.0	32177.0	48327.0	21261.0	45155.0	41708.0	41185.0	26990.0	47995.0	43881.0	37716.0	51655.0	44704.0	52005.0	51836.0	48457.0	35282.0	41396.0	37976.0	37732.0	50371.0	18065.0	25383.0	23381.0	49816.0	8298.0	20528.0	29933.0
HMP_2012__SRS078182__bin.26	35958.0	0.0	47889.0	22633.0	24219.0	50590.0	19567.0	31885.0	40941.0	54880.0	33656.0	49709.0	45123.0	51812.0	52073.0	45811.0	50111.0	34838.0	49509.0	28657.0	44761.0	43151.0	42463.0	29406.0	47776.0	46453.0	38922.0	50390.0	47168.0	53234.0	21928.0	20697.0	39808.0	38762.0	15296.0	37143.0	49802.0	51770.0	30783.0	24619.0	52500.0	53138.0	24765.0	29262.0
HMP_2012__SRS020226__bin.2	44433.0	47889.0	0.0	74038.0	34059.0	70080.0	70622.0	43168.0	56404.0	75629.0	50720.0	65787.0	71286.0	72325.0	73373.0	71227.0	66392.0	45360.0	70214.0	34315.0	63041.0	58862.0	54433.0	35370.0	65160.0	58051.0	48791.0	74295.0	61425.0	73221.0	74030.0	70618.0	49082.0	58041.0	49619.0	47529.0	68005.0	69538.0	37468.0	31484.0	72558.0	72162.0	30555.0	37970.0
HMP_2012__SRS042643__bin.14	51521.0	22633.0	74038.0	0.0	33025.0	85273.0	38466.0	46431.0	66896.0	93681.0	57154.0	81635.0	75847.0	87833.0	91454.0	74963.0	79680.0	51473.0	82343.0	39724.0	76539.0	65338.0	62681.0	42340.0	79305.0	71388.0	56934.0	84775.0	71154.0	87730.0	39784.0	38327.0	58522.0	57064.0	25938.0	54403.0	86671.0	87290.0	45612.0	36357.0	87261.0	92943.0	35061.0	42060.0
HMP_2012__SRS015762__bin.18	26165.0	24219.0	34059.0	33025.0	0.0	35266.0	31691.0	23643.0	31877.0	38107.0	24044.0	35080.0	33326.0	35906.0	38500.0	31827.0	35917.0	25581.0	34048.0	21189.0	32596.0	29353.0	31573.0	21207.0	32976.0	31407.0	29464.0	34724.0	32428.0	36925.0	32485.0	31813.0	27048.0	8440.0	26689.0	26818.0	35031.0	36070.0	22632.0	18456.0	34771.0	37392.0	19243.0	20989.0
HMP_2012__SRS017511__bin.3	45976.0	50590.0	70080.0	85273.0	35266.0	0.0	77417.0	47350.0	60647.0	86955.0	57687.0	70643.0	83407.0	82431.0	83458.0	80529.0	73275.0	48115.0	78741.0	36410.0	74374.0	63940.0	59580.0	38857.0	74963.0	65739.0	53465.0	86689.0	70279.0	86277.0	84556.0	79585.0	50481.0	60470.0	55300.0	52417.0	78291.0	73394.0	39644.0	34739.0	83013.0	77944.0	31991.0	41491.0
HMP_2012__SRS014271__bin.2	49726.0	19567.0	70622.0	38466.0	31691.0	77417.0	0.0	42525.0	61251.0	87449.0	53011.0	74781.0	68719.0	81666.0	84631.0	68438.0	76202.0	48280.0	76977.0	38678.0	70728.0	61591.0	59825.0	40958.0	75150.0	66680.0	54738.0	79676.0	69632.0	81880.0	28942.0	33632.0	56495.0	54366.0	1558.0	52729.0	79215.0	79992.0	43671.0	34942.0	81428.0	83725.0	33456.0	41233.0
HMP_2012__SRS021496__bin.61	34332.0	31885.0	43168.0	46431.0	23643.0	47350.0	42525.0	0.0	40035.0	53136.0	30687.0	46107.0	44434.0	46839.0	51397.0	1885.0	46475.0	32433.0	44918.0	26645.0	43136.0	41995.0	41124.0	27017.0	44127.0	41488.0	36989.0	48062.0	41617.0	50242.0	43721.0	43206.0	36568.0	36921.0	33379.0	35681.0	46377.0	47373.0	28452.0	23511.0	45904.0	48709.0	24410.0	28082.0
CM_cf__CF_TNFC002SA_t1M15__bin.5	39646.0	40941.0	56404.0	66896.0	31877.0	60647.0	61251.0	40035.0	0.0	69256.0	44882.0	62163.0	63015.0	64909.0	65712.0	62913.0	61379.0	40957.0	62368.0	30269.0	57962.0	50000.0	52235.0	32756.0	58720.0	56188.0	43613.0	66042.0	54951.0	68078.0	63778.0	60828.0	44770.0	51125.0	44101.0	43089.0	63335.0	60896.0	36154.0	28450.0	64495.0	64766.0	27463.0	34152.0
HMP_2012__SRS024289__bin.40	51473.0	54880.0	75629.0	93681.0	38107.0	86955.0	87449.0	53136.0	69256.0	0.0	64452.0	79635.0	90386.0	94726.0	88928.0	89415.0	79088.0	52321.0	90674.0	39088.0	80689.0	71528.0	61340.0	45104.0	83255.0	74014.0	57924.0	89522.0	76550.0	88843.0	91442.0	84320.0	57609.0	65696.0	60158.0	53171.0	89085.0	86698.0	45383.0	36855.0	88923.0	93294.0	35415.0	43630.0
CM_periimplantitis__SP_344SPT_T016__bin.26	34296.0	33656.0	50720.0	57154.0	24044.0	57687.0	53011.0	30687.0	44882.0	64452.0	0.0	52984.0	53132.0	58325.0	60680.0	55084.0	56542.0	33463.0	50854.0	24300.0	48012.0	41520.0	46992.0	26755.0	49054.0	45936.0	36610.0	60755.0	46592.0	61397.0	55366.0	52305.0	37874.0	40545.0	37077.0	35506.0	55206.0	57206.0	27100.0	24174.0	58121.0	58854.0	22106.0	26972.0
