	HeQ_2017__SZAXPI029578-96__bin.27	VincentC_2016__MM009.1__bin.28	VincentC_2016__MM009.2__bin.4	VincentC_2016__MM060.1__bin.3	VincentC_2016__MM041.2__bin.1	VincentC_2016__MM058.1__bin.40	VincentC_2016__MM038__bin.31	VincentC_2016__MM083.2__bin.12	VincentC_2016__MM064.2__bin.4	VincentC_2016__MM061__bin.28	VincentC_2016__MM021.1__bin.17	VincentC_2016__MM096__bin.3	VincentC_2016__MM001.4__bin.11	VincentC_2016__MM083.3__bin.7	OhJ_2014__MET0251__bin.8	VincentC_2016__MM011__bin.19	VincentC_2016__MM052.2__bin.1	VincentC_2016__MM002.1__bin.8	VincentC_2016__MM041.1__bin.2	VincentC_2016__MM103.1__bin.5	VincentC_2016__MM049.1__bin.20	VincentC_2016__MM004.2__bin.3	DavidLA_2015__LD-Run1-06__bin.18	VincentC_2016__MM002.2__bin.16	VincentC_2016__MM027.3__bin.14	VincentC_2016__MM020.1__bin.3	VincentC_2016__MM034.1__bin.5
HeQ_2017__SZAXPI029578-96__bin.27	0.0	18405.0	18957.0	25058.0	21232.0	25180.0	20850.0	18927.0	14683.0	21847.0	22425.0	29008.0	24454.0	20043.0	25184.0	19835.0	22659.0	20883.0	11874.0	22530.0	22085.0	20531.0	21616.0	24746.0	22231.0	15736.0	25376.0
VincentC_2016__MM009.1__bin.28	18405.0	0.0	425.0	20629.0	12637.0	19498.0	9571.0	19543.0	9135.0	11975.0	12765.0	21846.0	14733.0	20203.0	14499.0	8612.0	11421.0	16847.0	7123.0	15149.0	8739.0	13343.0	13110.0	15408.0	13009.0	9071.0	15540.0
VincentC_2016__MM009.2__bin.4	18957.0	425.0	0.0	20080.0	12484.0	19740.0	9222.0	18793.0	8688.0	11309.0	11972.0	21968.0	14329.0	19791.0	14368.0	8090.0	11785.0	17001.0	7101.0	14883.0	8582.0	13469.0	12759.0	15162.0	12912.0	9204.0	15406.0
VincentC_2016__MM060.1__bin.3	25058.0	20629.0	20080.0	0.0	21484.0	20036.0	24327.0	23035.0	15783.0	24234.0	24306.0	26364.0	23867.0	24257.0	25574.0	23880.0	22313.0	15888.0	12496.0	23839.0	24319.0	19797.0	23735.0	24312.0	21886.0	16766.0	23920.0
VincentC_2016__MM041.2__bin.1	21232.0	12637.0	12484.0	21484.0	0.0	20336.0	13349.0	20718.0	10459.0	11876.0	15016.0	23305.0	18650.0	22065.0	14911.0	12678.0	16204.0	18768.0	760.0	18475.0	13190.0	16555.0	15378.0	17730.0	17181.0	11246.0	19919.0
VincentC_2016__MM058.1__bin.40	25180.0	19498.0	19740.0	20036.0	20336.0	0.0	22811.0	22973.0	15356.0	22757.0	22381.0	27447.0	23358.0	24336.0	24553.0	21973.0	21163.0	17323.0	11547.0	22373.0	22568.0	19359.0	22177.0	22525.0	21734.0	16253.0	23376.0
VincentC_2016__MM038__bin.31	20850.0	9571.0	9222.0	24327.0	13349.0	22811.0	0.0	22883.0	10267.0	12526.0	14576.0	24875.0	19362.0	24419.0	15464.0	9523.0	14966.0	20127.0	7537.0	14846.0	9473.0	16300.0	15184.0	18577.0	17737.0	10358.0	20315.0
VincentC_2016__MM083.2__bin.12	18927.0	19543.0	18793.0	23035.0	20718.0	22973.0	22883.0	0.0	15706.0	22564.0	22218.0	24848.0	23165.0	302.0	24109.0	22147.0	21703.0	19988.0	11857.0	22782.0	22331.0	19505.0	22135.0	23843.0	20846.0	16144.0	23440.0
VincentC_2016__MM064.2__bin.4	14683.0	9135.0	8688.0	15783.0	10459.0	15356.0	10267.0	15706.0	0.0	9314.0	6956.0	16189.0	11434.0	16814.0	12907.0	9236.0	8638.0	13085.0	5975.0	12820.0	9267.0	9990.0	9933.0	10061.0	10133.0	7505.0	11208.0
VincentC_2016__MM061__bin.28	21847.0	11975.0	11309.0	24234.0	11876.0	22757.0	12526.0	22564.0	9314.0	0.0	14378.0	26094.0	18976.0	24015.0	17716.0	10159.0	14057.0	20038.0	6556.0	17992.0	9871.0	16374.0	14918.0	17683.0	17806.0	10403.0	20293.0
