	HeQ_2017__SZAXPI029578-96__bin.27	VincentC_2016__MM009.1__bin.28	VincentC_2016__MM009.2__bin.4	VincentC_2016__MM060.1__bin.3	VincentC_2016__MM041.2__bin.1	VincentC_2016__MM058.1__bin.40	VincentC_2016__MM038__bin.31	VincentC_2016__MM083.2__bin.12	VincentC_2016__MM064.2__bin.4	VincentC_2016__MM061__bin.28	VincentC_2016__MM021.1__bin.17	VincentC_2016__MM096__bin.3	VincentC_2016__MM001.4__bin.11	VincentC_2016__MM083.3__bin.7	OhJ_2014__MET0251__bin.8	VincentC_2016__MM011__bin.19	VincentC_2016__MM052.2__bin.1	VincentC_2016__MM002.1__bin.8	VincentC_2016__MM041.1__bin.2	VincentC_2016__MM103.1__bin.5	VincentC_2016__MM049.1__bin.20	VincentC_2016__MM004.2__bin.3	DavidLA_2015__LD-Run1-06__bin.18	VincentC_2016__MM002.2__bin.16	VincentC_2016__MM027.3__bin.14	VincentC_2016__MM020.1__bin.3	VincentC_2016__MM034.1__bin.5
HeQ_2017__SZAXPI029578-96__bin.27	1.0	0.7168705058719904	0.7388276360715527	0.860076919716757	0.7936063663811679	0.8536915009515539	0.8281374384130468	0.8405216562448861	0.5602654049694649	0.8348931775640612	0.8437495721430401	0.8291968937421722	0.8388532585912047	0.864026569183737	0.8569767904306083	0.8204376430672177	0.8251142418831052	0.7785973072231382	0.4583497141426529	0.8355249389264751	0.8629697217446524	0.7039738376471094	0.8120415410804619	0.8279477144125695	0.7861673600394313	0.6145440723637329	0.8450985032667082
VincentC_2016__MM009.1__bin.28	0.9647254429718929	1.0	0.8369898529934328	0.9546574014362862	0.9029282865904216	0.9355338255486974	0.9430670895682807	0.9300992765925712	0.6409442463007076	0.9573413351232074	0.9595111187151512	0.9218939324147069	0.9462063882710606	0.9392276342515212	0.932500690944027	0.9467872199483218	0.9069116337426354	0.8657936643722938	0.5122198386481187	0.9242567416395773	0.9561998517212184	0.7990717221834709	0.9253376851839666	0.9302221110862517	0.8749895810027681	0.6881197109879842	0.943506661577809
VincentC_2016__MM009.2__bin.4	0.9506208879750823	0.800242097236518	1.0	0.9223971820754092	0.8750019923109381	0.9136108811215327	0.9092403800742063	0.8891293643143976	0.626619119641837	0.931052619658195	0.9249926389353762	0.8941676041013923	0.9180149368793952	0.9082194780061456	0.9244456971536378	0.9046568066149756	0.8966321975902685	0.8390204373353197	0.5066182472193631	0.9196540844890834	0.9440533922554051	0.7935403826746963	0.8927616617299299	0.8967697719034664	0.8609870285877745	0.6851964166924619	0.9280008187349371
VincentC_2016__MM060.1__bin.3	0.9398310687579792	0.7751701281232901	0.78336876481853	1.0	0.8473413562374612	0.9168637721138063	0.89638784082619	0.896116405252599	0.6189892337680102	0.9130373141984315	0.9176538562374612	0.8728285154112712	0.9053822610797009	0.9204529910632865	0.9068163813149736	0.890427657076418	0.8718083166149918	0.8575290956137152	0.4966173855553529	0.882016716441729	0.9083495292267008	0.7758989433248222	0.8843734326554806	0.900953087953675	0.8541286704358928	0.6559322565201532	0.9145982468539121
VincentC_2016__MM041.2__bin.1	0.9570933662942834	0.8091693085748792	0.8201513121477456	0.9351796812097424	1.0	0.9371815557065217	0.928862689965781	0.9201758441525765	0.6423178655897746	0.9475935046799517	0.9387407533212561	0.9090302938808373	0.936490413647343	0.9387478298611112	0.9394837900060387	0.9247810990338164	0.904956565770934	0.8638701753723832	0.5391576401469405	0.9208268858192431	0.9514800976247987	0.7940899884259259	0.9122509057971014	0.9211178102355072	0.8709058285527376	0.6953085685889694	0.9408731506642513
VincentC_2016__MM058.1__bin.40	0.9637407979320832	0.7847941577816999	0.8015974539657398	0.9472216047847073	0.8772711682522952	1.0	0.9137666321719456	0.9117970473892697	0.6329256283019618	0.926270109858081	0.9287968604406394	0.9002187446178667	0.9216832442505936	0.9378101396815396	0.919563511749059	0.9114268302197309	0.8918435931821159	0.8643025270449899	0.5090471360794664	0.9044935384959615	0.9312720897471188	0.7891742022666417	0.8935614597302346	0.9154594741002545	0.8695289924940861	0.6699473452558473	0.9239428202157711
VincentC_2016__MM038__bin.31	0.9644281589275451	0.8161068688959366	0.8229661220922773	0.9553245009881911	0.8969532737103214	0.9426348066478721	1.0	0.9232855473545863	0.6532781900196879	0.9651061878299506	0.9586895895609364	0.9108965242856589	0.9522046569120605	0.9514051446676786	0.9446051146005514	0.9454479052855125	0.9183351011690494	0.8708563740411358	0.5207542900703312	0.9269262512594406	0.958285657448865	0.7946172249712047	0.9298334994871125	0.945429682784216	0.8871564014508148	0.6972847713797394	0.9583069170337108
VincentC_2016__MM083.2__bin.12	0.9342400374508223	0.7682027446061178	0.7680867977880246	0.9115101130988744	0.8480690869115608	0.8977356311094009	0.8812074121902137	1.0	0.6015089029039605	0.8921781551846707	0.8953732146907517	0.8685409469811434	0.8820451279509371	0.961997705702337	0.8870924378760572	0.8817885956159058	0.8604790197855998	0.8369055823320238	0.4949334863831332	0.8716548437145593	0.8856974527208733	0.7443706008146713	0.8772072469659978	0.8797385109384953	0.8295277413632303	0.6473281867439452	0.8786094787973127
VincentC_2016__MM064.2__bin.4	0.9570435789778485	0.8135704023788576	0.83191188426457	0.9676281587241483	0.9097849450390351	0.9577040015146284	0.9582274392756512	0.9244222694924881	1.0	0.9739027296722389	0.9744172578543506	0.9198226993796705	0.9589390918911695	0.9565012083616398	0.9406889331892951	0.9581583900390908	0.9250526222004433	0.8831141205688766	0.5452361595260105	0.9306233364145627	0.9651624327605216	0.8229109821697052	0.9409161274515263	0.9593121805080688	0.9167299618001804	0.7284861511732802	0.9757436714147297
VincentC_2016__MM061__bin.28	0.9593188545093189	0.817402306893036	0.8314613643735828	0.9600814761598329	0.9028279179455062	0.9427801529588297	0.9522252745400485	0.9223039863836826	0.6551032348492624	1.0	0.9600702391021141	0.9172510560961412	0.9558705760640183	0.9474300474428576	0.945086746339903	0.9471446261768008	0.9142020677684477	0.8720938159474825	0.5199791140553867	0.934535898279157	0.9627139442147506	0.8020367541683866	0.9313018730676943	0.9397319137683173	0.8903854985021002	0.6951566033820548	0.9585097863535673
