	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	BackhedF_2015__SID590_12M__bin.7	LouisS_2016__AS51_3__bin.10	LouisS_2016__AS51_6__bin.8	Obregon-TitoAJ_2015__NO01__bin.16	LeChatelierE_2013__MH0088__bin.22	LouisS_2016__AS51_12__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	XieH_2016__YSZC12003_35704__bin.28	LouisS_2016__AS51_18__bin.30	KarlssonFH_2013__S317__bin.12	LeChatelierE_2013__MH0212__bin.11	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	BackhedF_2015__SID546_12M__bin.13	LiJ_2017__H1M513747__bin.9	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	LouisS_2016__AS51_24__bin.10	VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	CosteaPI_2017__SID713B029-11-90-0__bin.52	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	FengQ_2015__SID31137__bin.30	XieH_2016__YSZC12003_37283__bin.60	LiJ_2017__H1M513606__bin.21	CosteaPI_2017__SID713B029-11-0-0__bin.8	LoombaR_2017__SID5571_lgi__bin.7	LiJ_2014__V1.FI13__bin.43
VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	1.0	0.9873455004581674	0.9874669425605825	0.9887062677941979	0.9888484253509221	0.9884280775239327	0.9883844243525217	0.9887866235917102	0.9882628197331834	0.9879686758999457	0.9879566652711338	0.988805091487669	0.9884679428824379	0.988245781052592	0.9873252124821894	0.9878967119815095	0.988926971622631	0.9886221121844831	0.9890177269974721	0.9889842043101967	0.987807846742021	0.9880119155646133	0.9879678699869253	0.9888795332987652	0.9895266014415373	0.9885700953469396	0.9881188188307631
VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	0.9873455004581674	1.0	0.9882255146909493	0.9889914052020324	0.9892148224565213	0.9888431773268861	0.9892494605926623	0.9893130344299124	0.9893807528014202	0.9885898460309167	0.9884257170532733	0.9895311839509925	0.9889453590473857	0.9891444421005583	0.9880616475508154	0.9885232049708949	0.9896735196078161	0.989171737146334	0.990274727532566	0.9892053675670138	0.9883644096643736	0.988128936708526	0.9884500347016391	0.989471119447721	0.9896861773219295	0.9895707334629121	0.9884652731235455
BackhedF_2015__SID590_12M__bin.7	0.9874669425605825	0.9882255146909493	1.0	0.9879054965967901	0.9882306162592835	0.988096335009541	0.9883554332269411	0.9880660036916036	0.9885432862448573	0.98735637140561	0.9876715057094804	0.9885071210826764	0.9883228223861652	0.9879991055493557	0.9872811557103978	0.9880961879934118	0.9892459058165987	0.9881116922000005	0.9886736148882062	0.9882635919574119	0.9880801295576706	0.9875538979116625	0.9883165518741226	0.9886698223625657	0.987879322172521	0.9886559947179284	0.987216093489463
LouisS_2016__AS51_3__bin.10	0.9887062677941979	0.9889914052020324	0.9879054965967901	1.0	0.9995028582718111	0.989167420070683	0.9884630806837762	0.9994275220849191	0.9895747674273142	0.9882250991686873	0.9994838097713253	0.9897877109795754	0.9888682615113097	0.9887536676931845	0.9875445126569021	0.9887227935742399	0.9896566729451675	0.9994817003253443	0.9896564888188957	0.9889795306968218	0.988379361717587	0.9876854041888563	0.9888545390180594	0.9884076377552475	0.9892206208235274	0.989332638703631	0.9882476333314482
LouisS_2016__AS51_6__bin.8	0.9888484253509221	0.9892148224565213	0.9882306162592835	0.9995028582718111	1.0	0.9895179402073211	0.9888659749422922	0.9992877803221879	0.9897343228811033	0.9884114131713132	0.9994801087321654	0.9896972799153594	0.98910681159797	0.9886847630394912	0.9879493595531962	0.9889080301813672	0.9898871541283937	0.9994899151660402	0.9896710814627259	0.9896210458047834	0.9888841609431188	0.9878061816218874	0.9894687527687458	0.9886110698916754	0.9896364011844113	0.9895786917037475	0.9884671800149787
Obregon-TitoAJ_2015__NO01__bin.16	0.9884280775239327	0.9888431773268861	0.988096335009541	0.989167420070683	0.9895179402073211	1.0	0.9886488080958596	0.9895029688815161	0.9886218956392072	0.9881395708216928	0.9892186631657793	0.9891464309833514	0.9891623990474961	0.9882270586422673	0.9876354778790667	0.9885551722634204	0.9893278684493819	0.989437509513815	0.9893209424181457	0.9889377483499417	0.9882457400326194	0.9882234209521655	0.987435379398353	0.9895234120741212	0.9897336719952686	0.9891809517988452	0.9886514559705512
LeChatelierE_2013__MH0088__bin.22	0.9883844243525217	0.9892494605926623	0.9883554332269411	0.9884630806837762	0.9888659749422922	0.9886488080958596	1.0	0.9885844208506697	0.9891678840369287	0.9878906638702418	0.9883508208070395	0.988895070900003	0.9888270735180833	0.9888760820578767	0.9883782392522303	0.9882820477213504	0.9890923454069513	0.9885370742361429	0.989417555705331	0.9890935391216018	0.9885917664748963	0.9882957622871555	0.988515158350495	0.9889637037782965	0.9893017522232984	0.9891070283822194	0.9886959107417368
LouisS_2016__AS51_12__bin.20	0.9887866235917102	0.9893130344299124	0.9880660036916036	0.9994275220849191	0.9992877803221879	0.9895029688815161	0.9885844208506697	1.0	0.9894207642971673	0.9885855611244637	0.9993532271979533	0.9897516829796261	0.9891089261208879	0.9889793401610396	0.9878345911074262	0.9888388491223914	0.989716796728077	0.9993519074022416	0.9895929199120884	0.9893942229708653	0.98859446035496	0.9876760416965056	0.9893700644719461	0.9885615677389841	0.9897132098000045	0.9896327907963269	0.9885195880225149
VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	0.9882628197331834	0.9893807528014202	0.9885432862448573	0.9895747674273142	0.9897343228811033	0.9886218956392072	0.9891678840369287	0.9894207642971673	1.0	0.9885067568904454	0.9892627659383794	0.9894536460305323	0.9894046857510508	0.988418548826172	0.9876755307079575	0.9886263237215739	0.9896819220383577	0.989648691720611	0.9902706227141057	0.9892149963812433	0.9887840453834926	0.9882320963030509	0.9876909810136639	0.989509591697311	0.989816214193409	0.9895308909872247	0.9884047726314077
XieH_2016__YSZC12003_35704__bin.28	0.9879686758999457	0.9885898460309167	0.98735637140561	0.9882250991686873	0.9884114131713132	0.9881395708216928	0.9878906638702418	0.9885855611244637	0.9885067568904454	1.0	0.987999364860002	0.9890179341848508	0.9884593282097592	0.9881971157054839	0.9873379757074013	0.9881387196642615	0.988610880034222	0.9882532793392442	0.9891578489097975	0.9884399134798749	0.98781800935567	0.9870246893593417	0.9875048917103791	0.9882110239333458	0.9887399534339196	0.9888062608988488	0.9875359530510253
