	VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	BackhedF_2015__SID590_12M__bin.7	LouisS_2016__AS51_3__bin.10	LouisS_2016__AS51_6__bin.8	Obregon-TitoAJ_2015__NO01__bin.16	LeChatelierE_2013__MH0088__bin.22	LouisS_2016__AS51_12__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	XieH_2016__YSZC12003_35704__bin.28	LouisS_2016__AS51_18__bin.30	KarlssonFH_2013__S317__bin.12	LeChatelierE_2013__MH0212__bin.11	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.39	BackhedF_2015__SID546_12M__bin.13	LiJ_2017__H1M513747__bin.9	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.48	LouisS_2016__AS51_24__bin.10	VogtmannE_2016__MMRS59699117ST-27-0-0__bin.34	CosteaPI_2017__SID713B029-11-90-0__bin.52	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.86	FengQ_2015__SID31137__bin.30	XieH_2016__YSZC12003_37283__bin.60	LiJ_2017__H1M513606__bin.21	CosteaPI_2017__SID713B029-11-0-0__bin.8	LoombaR_2017__SID5571_lgi__bin.7	LiJ_2014__V1.FI13__bin.43
VogtmannE_2016__MMRS40913371ST-27-0-0__bin.37	0.0	23974.0	22762.0	18394.0	19947.0	22422.0	15608.0	19486.0	22389.0	14892.0	21057.0	17590.0	21206.0	22496.0	21625.0	19967.0	19746.0	14044.0	15905.0	20193.0	22588.0	12894.0	11218.0	14026.0	13319.0	18322.0	16927.0
VogtmannE_2016__MMRS99045180ST-27-0-0__bin.36	23974.0	0.0	22437.0	18334.0	19989.0	22148.0	14579.0	19637.0	20589.0	14851.0	21293.0	16915.0	20929.0	20790.0	20931.0	19586.0	18758.0	14237.0	14910.0	19703.0	22663.0	13466.0	10268.0	13612.0	13875.0	17503.0	17486.0
BackhedF_2015__SID590_12M__bin.7	22762.0	22437.0	0.0	19930.0	21815.0	23125.0	15239.0	21446.0	21988.0	16126.0	22284.0	18941.0	22245.0	22970.0	22021.0	19991.0	19245.0	15319.0	16951.0	21396.0	22795.0	13555.0	10261.0	14869.0	16361.0	18590.0	19006.0
LouisS_2016__AS51_3__bin.10	18394.0	18334.0	19930.0	0.0	848.0	18452.0	13753.0	958.0	17584.0	13058.0	862.0	14779.0	18960.0	19337.0	19325.0	17060.0	16282.0	617.0	13195.0	18540.0	19352.0	12355.0	8721.0	13819.0	12550.0	15275.0	16001.0
LouisS_2016__AS51_6__bin.8	19947.0	19989.0	21815.0	848.0	0.0	20060.0	14480.0	1324.0	18838.0	14534.0	958.0	16827.0	20535.0	21482.0	20405.0	18524.0	17874.0	670.0	15273.0	18660.0	20559.0	13689.0	8677.0	15043.0	13951.0	16605.0	17447.0
Obregon-TitoAJ_2015__NO01__bin.16	22422.0	22148.0	23125.0	18452.0	20060.0	0.0	15662.0	19692.0	22601.0	15657.0	20079.0	18482.0	21154.0	23764.0	22213.0	19946.0	19966.0	14086.0	16598.0	21041.0	23617.0	13326.0	11953.0	13958.0	14078.0	18409.0	17363.0
LeChatelierE_2013__MH0088__bin.22	15608.0	14579.0	15239.0	13753.0	14480.0	15662.0	0.0	14470.0	14563.0	11074.0	14875.0	12235.0	14765.0	15017.0	15149.0	14345.0	13780.0	10460.0	10457.0	14205.0	15485.0	9949.0	7841.0	9754.0	9234.0	12965.0	12089.0
LouisS_2016__AS51_12__bin.20	19486.0	19637.0	21446.0	958.0	1324.0	19692.0	14470.0	0.0	19002.0	13915.0	1174.0	16111.0	19825.0	20143.0	20102.0	18089.0	17771.0	848.0	15006.0	18360.0	20745.0	13337.0	8506.0	14702.0	13440.0	16252.0	16837.0
VogtmannE_2016__MMRS57569834ST-27-0-0__bin.18	22389.0	20589.0	21988.0	17584.0	18838.0	22601.0	14563.0	19002.0	0.0	14522.0	19170.0	17047.0	20058.0	22782.0	21672.0	19297.0	18628.0	13114.0	14325.0	20430.0	21669.0	12815.0	11619.0	13482.0	13389.0	17214.0	16961.0
XieH_2016__YSZC12003_35704__bin.28	14892.0	14851.0	16126.0	13058.0	14534.0	15657.0	11074.0	13915.0	14522.0	0.0	15040.0	12511.0	14620.0	15032.0	14903.0	13555.0	13951.0	10550.0	11680.0	14088.0	15771.0	10339.0	6322.0	11212.0	11128.0	12498.0	12879.0
