	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.35	HMP_2012__SRS015434__bin.38	HMP_2012__SRS021496__bin.28	HMP_2012__SRS057205__bin.47	HMP_2012__SRS019327__bin.12	HMP_2012__SRS075404__bin.33	FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.16	HMP_2012__SRS050244__bin.8	HMP_2012__SRS011306__bin.2	HMP_2012__SRS057355__bin.10	HMP_2012__SRS049389__bin.57	HMP_2012__SRS054687__bin.19	HMP_2012__SRS017808__bin.17	HMP_2012__SRS018439__bin.56	HMP_2012__SRS014888__bin.47	HMP_2012__SRS019071__bin.72	HMP_2012__SRS022143__bin.96	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.47	HMP_2012__SRS024441__bin.60	HMP_2012__SRS022719__bin.10	HMP_2012__SRS023926__bin.34	HMP_2012__SRS064329__bin.1	HMP_2012__SRS063193__bin.10	HMP_2012__SRS058336__bin.20	HMP_2012__SRS022077__bin.54	HMP_2012__SRS024081__bin.1	HMP_2012__SRS063288__bin.38	HMP_2012__SRS015797__bin.56	HMP_2012__SRS011115__bin.9	HMP_2012__SRS017209__bin.19	HMP_2012__SRS014573__bin.65	CM_cf__CF_TNFC046IS_t2M15__bin.39	HMP_2012__SRS023958__bin.2	HMP_2012__SRS015762__bin.51	HMP_2012__SRS017439__bin.21	HMP_2012__SRS013705__bin.34	HMP_2012__SRS022530__bin.50	HMP_2012__SRS050669__bin.55	HMP_2012__SRS013164__bin.43	HMP_2012__SRS018739__bin.68
FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.35	1.0	0.9861446875864257	0.9864566987898683	0.9862810424935375	0.9842017161556906	0.9705862137636782	0.9868323084390593	0.9870903214454395	0.9883696930919899	0.9848167874544187	0.9855631234727965	0.9859258201349554	0.9860892083529902	0.9832637867854052	0.9850717060520898	0.9859985564936848	0.9863637085572539	0.9865812965334225	0.9858050512332313	0.9769187085964018	0.9854410893338618	0.9859204633829581	0.984614854306462	0.9868090702586378	0.9860906883413465	0.9859563014846722	0.9850193084875767	0.9846464206034634	0.9850441249492609	0.9853187929315984	0.9856388620023823	0.9849315630521842	0.9855723244837422	0.9863636184167784	0.9850086160962674	0.9858357991274971	0.9855793723572266	0.9860680487421206	0.9853154715988718	0.9854195685135031
HMP_2012__SRS015434__bin.38	0.9861446875864257	1.0	0.9865049621951908	0.9866161097436236	0.9847332337608324	0.970330250407301	0.9882870308855025	0.9871454752794312	0.9871218929940467	0.9854249681481618	0.9855395397760511	0.9898115288875342	0.9862858823891281	0.9835601286851727	0.9855127418526339	0.9998129920770313	0.9860984345700108	0.9867298342307114	0.9869946511701512	0.9769831387027119	0.9855303756867134	0.9858194153265546	0.9846977889584982	0.9871922938826064	0.9875902704855446	0.9859490957451462	0.9850147461524921	0.9855374661622027	0.9847749571568525	0.9861103063351442	0.9858136967424627	0.9851626104052267	0.9856058453913732	0.986647807131411	0.9851252750079872	0.9857588830072169	0.9856574472411783	0.9867031217982105	0.9853556883291451	0.9855568310115641
HMP_2012__SRS021496__bin.28	0.9864566987898683	0.9865049621951908	1.0	0.987113648187889	0.9846321143789498	0.9712522504717113	0.9869402359706885	0.987333578174805	0.98709845941111	0.9856858348536969	0.9858772347891475	0.9867337410413547	0.9862876209274066	0.9836789188305496	0.9857954600023587	0.9863709495940983	0.9868077209104932	0.9866963466010753	0.9861655490915763	0.9767811828836068	0.9853171841031313	0.9867568710806153	0.9846461587838283	0.9873130889148978	0.9870114176265274	0.9866029786944892	0.9983330787250437	0.9850780616701901	0.999706792328666	0.9858981548545936	0.9859857614690194	0.9858165047651151	0.9857703040615065	0.987230440719509	0.9853656319080544	0.9856329389739779	0.9992873164812301	0.9866915168196416	0.98572981575761	0.9859179975370459
HMP_2012__SRS057205__bin.47	0.9862810424935375	0.9866161097436236	0.987113648187889	1.0	0.9835536454483704	0.9703280472581775	0.987672772398428	0.9874201750897122	0.9868808145176716	0.9853141579310881	0.9845205921294822	0.9873529520668933	0.9862919692910724	0.9829744530656106	0.9854115627995557	0.9865515188813446	0.9864303292217582	0.9871596075532133	0.9863226837684812	0.9783066341371061	0.9855242989012264	0.9874461014915485	0.9846147224029274	0.9881708546126875	0.9871241387014108	0.9874037021528881	0.9859102615012536	0.9850896615051344	0.9854746455738965	0.9866652849900021	0.9858002756995382	0.9850652872657132	0.9855679963590205	0.999876382107533	0.9849925970981454	0.9860051033051715	0.9863822724463671	0.9872698658307425	0.9853758696925978	0.9845909910399315
HMP_2012__SRS019327__bin.12	0.9842017161556906	0.9847332337608324	0.9846321143789498	0.9835536454483704	1.0	0.9689950242230418	0.9852533266681702	0.9863449743755357	0.9847220296056146	0.9896999808905026	0.9855267150411349	0.9845842608837003	0.9843049945874371	0.9853994289648298	0.9897869146575615	0.9847386225741966	0.9848262981779373	0.9841886299281203	0.9836399177651025	0.973585196681224	0.9841746854583244	0.9842672219312649	0.9847389928117563	0.9853586892268953	0.9844671110170623	0.9844001432067873	0.9830138047257113	0.9845086646862964	0.9836558463345076	0.9839923315757073	0.9848457209856446	0.9860264792064416	0.9901111827427101	0.9846651074823368	0.9896064339016876	0.9844051464344993	0.9834796902748925	0.9841841356363467	0.9900405980192072	0.9858187460302755
HMP_2012__SRS075404__bin.33	0.9705862137636782	0.970330250407301	0.9712522504717113	0.9703280472581775	0.9689950242230418	1.0	0.9705403300583203	0.9718276962774299	0.9726076897777816	0.969986773795395	0.9701605063121401	0.9705165659453626	0.970589884611237	0.9683323883484425	0.9700054571403105	0.9701931464793843	0.970266650379437	0.9701089537743941	0.9701784789744501	0.9765368318307832	0.9686577753562897	0.9707996928895258	0.9691422025396818	0.9717636076272643	0.9702199304313037	0.9709033714255247	0.9698086544525628	0.968697618565794	0.9701343044854496	0.970037207845019	0.9702403965234035	0.9697477878423135	0.9700314868558226	0.9703739134201634	0.9701155081402303	0.9692416476028528	0.9704136348973081	0.970457552652548	0.969978118131384	0.9700430624479999
FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.16	0.9868323084390593	0.9882870308855025	0.9869402359706885	0.987672772398428	0.9852533266681702	0.9705403300583203	1.0	0.9873995492389787	0.9880271430499109	0.9858003041743428	0.9855343556721603	0.9889256220117751	0.9865575595818017	0.9835437737660384	0.9860495286129366	0.9881588633779715	0.9859539476152247	0.9867547141703423	0.9867695857912596	0.9771201550783507	0.9901932487533442	0.9871290065231334	0.9847073457259347	0.988021042134803	0.9923176820795976	0.9871311942380402	0.985489911738992	0.9877776910924304	0.985434254457744	0.9880899046778829	0.9859350450100741	0.9853504851529348	0.9856838882384716	0.987697569373601	0.9856331676898166	0.9905112949910033	0.9863126632847035	0.9888388776492669	0.9855156503718655	0.9855817423343891
HMP_2012__SRS050244__bin.8	0.9870903214454395	0.9871454752794312	0.987333578174805	0.9874201750897122	0.9863449743755357	0.9718276962774299	0.9873995492389787	1.0	0.9879955092370799	0.9869560176832162	0.986801715170881	0.9868537914308378	0.9865133145786913	0.9852524367249819	0.9870567091954361	0.9870644824114225	0.9903712596791984	0.9868734464941347	0.9870459070663777	0.9772054025893449	0.986502359642362	0.9880929938265586	0.9859474152949685	0.9887249584330264	0.9874893394697011	0.9881012204934436	0.9858913209504734	0.9859015754396409	0.9863455581825846	0.9870137602786541	0.9867915664578241	0.9868763719127938	0.9873751460513581	0.9873411418735895	0.9867496967692538	0.9866237612938757	0.9868813037067542	0.9875135750962528	0.9873146347952811	0.9870912518729822
HMP_2012__SRS011306__bin.2	0.9883696930919899	0.9871218929940467	0.98709845941111	0.9868808145176716	0.9847220296056146	0.9726076897777816	0.9880271430499109	0.9879955092370799	1.0	0.9867570310568734	0.9871311963799849	0.9872797479798714	0.9878466809643811	0.9819655506729023	0.987145937630572	0.9868128888146487	0.9877005393855244	0.9870692210258364	0.9875650085091541	0.9784606066853947	0.9845655966597107	0.9872723018587463	0.9849568947056052	0.987942771431868	0.9873563218390805	0.9873706143106856	0.9857762581395223	0.9851114127661597	0.9853745898602169	0.9861957240346841	0.9875241549515297	0.9866847372495574	0.9869899287176781	0.9870089472923013	0.9865496659786267	0.9856334997912162	0.986705893547732	0.9875587961886203	0.9867613131721428	0.9868416924157782
HMP_2012__SRS057355__bin.10	0.9848167874544187	0.9854249681481618	0.9856858348536969	0.9853141579310881	0.9896999808905026	0.969986773795395	0.9858003041743428	0.9869560176832162	0.9867570310568734	1.0	0.9864900987278871	0.9854031744671474	0.9851776694263397	0.985939165456895	0.9998432338146752	0.9853510065465434	0.9858236499151387	0.9849954980963695	0.9844884117834254	0.9754506278723726	0.9839111933517128	0.9854955213600803	0.9847427793872355	0.9861427064299317	0.9855769396698009	0.9855676814944535	0.9840392943758631	0.98418061749106	0.9842966802087582	0.9847719137688403	0.9860371090471409	0.9871097588981461	0.9915002323988887	0.9854320468940849	0.9917982359848476	0.9843078130321432	0.9848173707883358	0.9856023563573252	0.9912688135901897	0.987273644812046
