	FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.35	HMP_2012__SRS015434__bin.38	HMP_2012__SRS021496__bin.28	HMP_2012__SRS057205__bin.47	HMP_2012__SRS019327__bin.12	HMP_2012__SRS075404__bin.33	FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.16	HMP_2012__SRS050244__bin.8	HMP_2012__SRS011306__bin.2	HMP_2012__SRS057355__bin.10	HMP_2012__SRS049389__bin.57	HMP_2012__SRS054687__bin.19	HMP_2012__SRS017808__bin.17	HMP_2012__SRS018439__bin.56	HMP_2012__SRS014888__bin.47	HMP_2012__SRS019071__bin.72	HMP_2012__SRS022143__bin.96	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.47	HMP_2012__SRS024441__bin.60	HMP_2012__SRS022719__bin.10	HMP_2012__SRS023926__bin.34	HMP_2012__SRS064329__bin.1	HMP_2012__SRS063193__bin.10	HMP_2012__SRS058336__bin.20	HMP_2012__SRS022077__bin.54	HMP_2012__SRS024081__bin.1	HMP_2012__SRS063288__bin.38	HMP_2012__SRS015797__bin.56	HMP_2012__SRS011115__bin.9	HMP_2012__SRS017209__bin.19	HMP_2012__SRS014573__bin.65	CM_cf__CF_TNFC046IS_t2M15__bin.39	HMP_2012__SRS023958__bin.2	HMP_2012__SRS015762__bin.51	HMP_2012__SRS017439__bin.21	HMP_2012__SRS013705__bin.34	HMP_2012__SRS022530__bin.50	HMP_2012__SRS050669__bin.55	HMP_2012__SRS013164__bin.43	HMP_2012__SRS018739__bin.68
FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.35	3106403.0	2795029.0	2626243.0	2852622.0	2320885.0	2837105.0	2700929.0	2699525.0	1453530.0	2732755.0	2849162.0	2716748.0	2547878.0	1864938.0	2846273.0	2818138.0	2770328.0	2845804.0	2914417.0	1852496.0	1824381.0	2879001.0	2262832.0	2434021.0	2697833.0	2821835.0	2181942.0	2082446.0	2559663.0	2554354.0	2849426.0	2876078.0	2810224.0	2786003.0	2886458.0	2021999.0	2826576.0	2739889.0	2844218.0	2919118.0
HMP_2012__SRS015434__bin.38	2795029.0	3067977.0	2587766.0	2852758.0	2293806.0	2807506.0	2731929.0	2689481.0	1414183.0	2707850.0	2810284.0	2755860.0	2535854.0	1820878.0	2803360.0	3015915.0	2792779.0	2852941.0	2906804.0	1826965.0	1852847.0	2901996.0	2261830.0	2428616.0	2792164.0	2857325.0	2124622.0	2140358.0	2503901.0	2554196.0	2865017.0	2870788.0	2794954.0	2792575.0	2860826.0	2070273.0	2783326.0	2747487.0	2838918.0	2858237.0
HMP_2012__SRS021496__bin.28	2626243.0	2587766.0	2801807.0	2617886.0	2127944.0	2590568.0	2476155.0	2545865.0	1290156.0	2513105.0	2603881.0	2518796.0	2383248.0	1688246.0	2603041.0	2612948.0	2558921.0	2580419.0	2649039.0	1718563.0	1678016.0	2650129.0	2050171.0	2271869.0	2482565.0	2590128.0	2075083.0	1938019.0	2428313.0	2348487.0	2599285.0	2610640.0	2593028.0	2571976.0	2661748.0	1860993.0	2713687.0	2544317.0	2618887.0	2631799.0
HMP_2012__SRS057205__bin.47	2852622.0	2852758.0	2617886.0	3160904.0	2371711.0	2824654.0	2732569.0	2685252.0	1432406.0	2740803.0	2895718.0	2754714.0	2558865.0	1857444.0	2836493.0	2874451.0	2783929.0	2847265.0	2917897.0	1859232.0	1861257.0	2910331.0	2253518.0	2443879.0	2748321.0	2882593.0	2143049.0	2110549.0	2575290.0	2605530.0	2837872.0	2866945.0	2812430.0	3025452.0	2896837.0	2053963.0	2831750.0	2797064.0	2843246.0	2945290.0
HMP_2012__SRS019327__bin.12	2320885.0	2293806.0	2127944.0	2371711.0	2607817.0	2317628.0	2212499.0	2201607.0	879698.0	2407180.0	2330017.0	2196197.0	2102516.0	1894104.0	2382238.0	2306607.0	2248825.0	2295500.0	2393631.0	1465239.0	1845145.0	2371482.0	2301814.0	2031717.0	2202166.0	2354637.0	1724989.0	2060894.0	2384400.0	2391104.0	2384673.0	2372201.0	2370152.0	2288376.0	2441318.0	2032786.0	2361578.0	2276322.0	2417113.0	2396262.0
HMP_2012__SRS075404__bin.33	2837105.0	2807506.0	2590568.0	2824654.0	2317628.0	3171626.0	2654137.0	2697330.0	1416894.0	2739259.0	2863688.0	2694564.0	2550075.0	1883628.0	2838483.0	2816567.0	2766994.0	2821380.0	2914573.0	1847193.0	1828077.0	2861511.0	2271387.0	2408098.0	2699490.0	2813350.0	2134254.0	2095208.0	2528955.0	2534143.0	2850374.0	2883723.0	2839280.0	2770160.0	2897891.0	2043575.0	2789900.0	2735860.0	2865843.0	2885809.0
FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.16	2700929.0	2731929.0	2476155.0	2732569.0	2212499.0	2654137.0	2884102.0	2588955.0	1311717.0	2588647.0	2681042.0	2657305.0	2442860.0	1762494.0	2691737.0	2769751.0	2665660.0	2725347.0	2724858.0	1762206.0	1825885.0	2761403.0	2170650.0	2374664.0	2643473.0	2704913.0	2050849.0	2050840.0	2406262.0	2466479.0	2704950.0	2728418.0	2676914.0	2685892.0	2722312.0	2016292.0	2641858.0	2625632.0	2710926.0	2722451.0
HMP_2012__SRS050244__bin.8	2699525.0	2689481.0	2545865.0	2685252.0	2201607.0	2697330.0	2588955.0	2840678.0	1373486.0	2604956.0	2672620.0	2613301.0	2437441.0	1741169.0	2691433.0	2710367.0	2685398.0	2681435.0	2751254.0	1779369.0	1728228.0	2768958.0	2151348.0	2367264.0	2603060.0	2714312.0	2081910.0	1985541.0	2400684.0	2418483.0	2743853.0	2717465.0	2692546.0	2651029.0	2754503.0	1930139.0	2719630.0	2627974.0	2739929.0	2739615.0
HMP_2012__SRS011306__bin.2	1453530.0	1414183.0	1290156.0	1432406.0	879698.0	1416894.0	1311717.0	1373486.0	1624667.0	1302578.0	1439994.0	1383699.0	1273397.0	538414.0	1428809.0	1430791.0	1387134.0	1467661.0	1470769.0	931224.0	561149.0	1453130.0	817185.0	1144044.0	1419840.0	1400464.0	1107866.0	715313.0	1117302.0	1098138.0	1433971.0	1455773.0	1408063.0	1375947.0	1475205.0	644207.0	1408218.0	1362971.0	1454676.0	1466070.0
HMP_2012__SRS057355__bin.10	2732755.0	2707850.0	2513105.0	2740803.0	2407180.0	2739259.0	2588647.0	2604956.0	1302578.0	2992339.0	2738436.0	2613856.0	2462973.0	1855722.0	2870517.0	2743738.0	2641371.0	2712186.0	2787271.0	1759434.0	1817972.0	2793482.0	2278200.0	2359263.0	2607699.0	2783198.0	2087627.0	2064872.0	2518321.0	2521919.0	2782017.0	2804292.0	2818430.0	2689465.0	2901449.0	2008388.0	2730423.0	2636612.0	2844287.0	2786108.0
