	SchirmerM_2016__G88826__bin.15	LeChatelierE_2013__MH0125__bin.25	CM_madagascar__A27_02_1FE__bin.18	LeChatelierE_2013__MH0077__bin.23	XieH_2016__YSZC12003_37583__bin.34	SchirmerM_2016__G88820__bin.25	SchirmerM_2016__G88863__bin.21	LeChatelierE_2013__MH0431__bin.18	ZeeviD_2015__PNP_Main_640__bin.3	LeChatelierE_2013__MH0111__bin.22	VatanenT_2016__G69170__bin.2	KarlssonFH_2013__S198__bin.15	LiJ_2014__MH0364__bin.50	BritoIL_2016__W1.9.ST__bin.62	ZeeviD_2015__PNP_Main_749__bin.39	VatanenT_2016__G80409__bin.3	ZeeviD_2015__PNP_Main_82__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.47	FengQ_2015__SID532779__bin.88	SchirmerM_2016__G89093__bin.27	ZeeviD_2015__PNP_Main_25__bin.9	NielsenHB_2014__O2_UC57_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.85	ZeeviD_2015__PNP_DietIntervention_35__bin.69	ZeeviD_2015__PNP_Validation_33__bin.5	NielsenHB_2014__O2_UC57_0__bin.17	ZeeviD_2015__PNP_Main_409__bin.44	CosteaPI_2017__SID713B040-11-0-0__bin.75	ChengpingW_2017__AS9raw__bin.10	ZeeviD_2015__PNP_Main_359__bin.26	CM_madagascar__V30_01_1FE__bin.40	NielsenHB_2014__MH0111__bin.30	NielsenHB_2014__V1_UC43_0__bin.58	CM_madagascar__A42_02_1FE__bin.10	NielsenHB_2014__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.85	LiJ_2017__H2M514903__bin.46	ZeeviD_2015__PNP_Main_40__bin.3	LeChatelierE_2013__MH0161__bin.61	LeChatelierE_2013__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.62	CosteaPI_2017__SID713A057-11-0-0__bin.57	SchirmerM_2016__G89251__bin.2	LiJ_2017__H1M513730__bin.47
SchirmerM_2016__G88826__bin.15	1.0	0.6504784997904921	0.8513004037557296	0.7541030125760901	0.8572237876482696	0.8512412005391575	0.4308672301519941	0.6429244755794388	0.6253089667864852	0.7433627324938386	0.8364373341608173	0.7940651837621909	0.7915316943909546	0.650068670627498	0.8100316788245916	0.8979668288460527	0.7282164061299827	0.7853623109261068	0.8694441481448213	0.6249409881731367	0.843906636527466	0.6860979108920139	0.8300352208101348	0.7806117631687604	0.8707614197135483	0.7025558947264735	0.8007000269987082	0.8147766124838148	0.806221237316604	0.8280187388387902	0.7162359207350589	0.6629601710360512	0.7459778814741397	0.5529233374486374	0.7136258754803244	0.8105619559109564	0.5550066782249038	0.8315158115969915	0.762388911033387	0.8420325484994281	0.8341809770878448	0.8276640299119148	0.6446066635261742	0.7969329671580363
LeChatelierE_2013__MH0125__bin.25	0.7255425129793242	1.0	0.871217210128427	0.7969453046725568	0.8926575735495036	0.849406252846343	0.43247165042353586	0.714548797704709	0.6454720375261863	0.7892988887876856	0.8809761818016213	0.8223642863648783	0.8282562164131524	0.684433350031879	0.8576965115219966	0.9091179752254304	0.7492502732489298	0.8213674970398033	0.9019548683850989	0.6473637170962747	0.8684312095819291	0.733178112760725	0.8418736906822115	0.7874555970489115	0.8875916522451954	0.7465234766372165	0.8505214500409873	0.851472128609163	0.8594060251389015	0.8821004872939248	0.7569951726022407	0.726132844521359	0.7837411194097823	0.5996447763912924	0.7607557609982695	0.8503529465342927	0.6247523681573914	0.8605121140358867	0.7938906093451134	0.8796349849713089	0.8787987293924765	0.8700308543583204	0.6751246698242098	0.8223096365789234
CM_madagascar__A27_02_1FE__bin.18	0.659128566184214	0.6047610636324587	1.0	0.7050767581425987	0.8149992235076825	0.7813156585504449	0.3841669067272686	0.6020328687419757	0.5801784628297277	0.7077938885115097	0.7935597371543869	0.7719199039283399	0.766102336550343	0.6379554186716172	0.7746378246202201	0.8288891496954688	0.6906525736274758	0.7614014955281551	0.8301631503221949	0.5809593019235275	0.8126503836425274	0.6438464860857713	0.7860117576348162	0.7289622940862899	0.8323543207549481	0.6539606442870911	0.76507491669008	0.7925663011818095	0.7974777632753512	0.7972347389622506	0.7305125125908328	0.6266763244133532	0.726879397900349	0.5443057032471604	0.6818965854491267	0.7940272131908065	0.5739155484584553	0.790475896927659	0.7289140843851544	0.8247261234539801	0.820623556919653	0.7909212439209345	0.5994576013460781	0.7731626867977733
LeChatelierE_2013__MH0077__bin.23	0.718588961709727	0.6808453312634837	0.8677586874351956	1.0	0.8815181296651863	0.8546470458926907	0.4194261419675633	0.680269508430163	0.6384017414750013	0.7610680540884394	0.8564416288782932	0.8090943046063881	0.8281037531587578	0.6910194982170891	0.8291756395815947	0.8999814219322357	0.7509916408421798	0.8203505710567321	0.8888822422852385	0.6271532564142968	0.8719869000305419	0.7223274330946392	0.8297237412143248	0.7769367392475786	0.9105120737986994	0.73872087571759	0.8206516135684091	0.8471448136065379	0.8340448441484922	0.8620811910194982	0.7504707740731879	0.7011489221802676	0.7772620986018788	0.5741619929695144	0.7356394454203604	0.8342121440257408	0.6124867959544555	0.8443984694006579	0.7825519845461602	0.8734235390927289	0.8588198160868559	0.8578247708867088	0.659601164874029	0.8123605429075551
XieH_2016__YSZC12003_37583__bin.34	0.6760482425846588	0.6311585207796996	0.8301438873244879	0.7295664543052691	1.0	0.8015511720127321	0.3880345059095717	0.6510692130714156	0.5968502409392202	0.723436310095941	0.8199955402496494	0.7946115911648642	0.7704882863127525	0.6562100011109125	0.799786994595169	0.8668023911989966	0.7052161368901855	0.7703614973813054	0.858231459433177	0.5925506873972607	0.8329187536527287	0.6680118368536381	0.8004901700340197	0.7651534910829143	0.8527887929854728	0.6840842458111352	0.8103503238551564	0.8076776936811617	0.7984804648444481	0.818951845966341	0.7258062568526399	0.6490108048319866	0.7451317075369781	0.5430003654741262	0.6862847381546938	0.8091279175541892	0.5730066767453804	0.8249322584851982	0.7662181156025252	0.8212763097095366	0.8318170987150445	0.8278922769038063	0.6315666603875958	0.7818288518477373
SchirmerM_2016__G88820__bin.25	0.7688692857399692	0.6878368074731268	0.9114631400667322	0.8100965948850901	0.918010515999421	1.0	0.44215693234485764	0.6872112502569994	0.6530771237828833	0.7886155962431532	0.8922243745119317	0.8606477951528305	0.8714712718495565	0.7170079649061019	0.8802106334585063	0.9328159847616659	0.7757020116481796	0.8414689577027437	0.932361914122104	0.6565391242936551	0.9150565214224535	0.7358083333256502	0.8801866622166208	0.8413587821871545	0.9437961965014895	0.7471292132915004	0.8683199755124544	0.8817198997264513	0.8819075207927474	0.8969370284695376	0.7840730459058501	0.7209374046336411	0.8139790140997001	0.5889623494767354	0.75079543034372	0.8788802295338608	0.6485331904893176	0.9052167876138749	0.828961501263561	0.9096440915959592	0.9089185005435018	0.8883544019036854	0.6849233796131964	0.8637027455369697
SchirmerM_2016__G88863__bin.21	0.7483744403066114	0.6734466652424089	0.86180326982385	0.764506375030694	0.8545989488268932	0.8502605771080418	1.0	0.6651936532476178	0.6761831902722607	0.7655798871172345	0.8608246097548652	0.8059425232232311	0.841159215759973	0.6745627277667314	0.839736435496639	0.8963613170424255	0.7711442433246785	0.784180633700124	0.8849338650956099	0.6869688397825318	0.8589062941848622	0.7069533620607886	0.820828084707284	0.8036811447486111	0.8921940335421555	0.6979096210972162	0.8249466124975955	0.8273436204926454	0.8291644246427314	0.8669518727954663	0.7439509677121959	0.6948114173462179	0.7651818632304824	0.566557306131784	0.7335199051834411	0.8392932017697436	0.5582227391312442	0.8654413322542069	0.7850218913137713	0.8603157774363893	0.8526469474936462	0.8418648438531904	0.6710567489869893	0.8257089745078554
LeChatelierE_2013__MH0431__bin.18	0.6942687866846703	0.6917826338559894	0.839654440739618	0.7709013750723359	0.8914795116977596	0.8215955248146821	0.41356168535919974	1.0	0.6314602221058723	0.7802485601697484	0.8511493841108876	0.8050483617625176	0.7851404006723801	0.6507316266637273	0.8213530270880983	0.892824822949103	0.7312546501694729	0.8114277053652622	0.8688302240348315	0.6091482267353744	0.857458734051641	0.7111659180467911	0.8190729973270137	0.7808002424977266	0.8698255669762187	0.7434208713384222	0.8293146683568023	0.823940588056987	0.8235636143183885	0.845521232329356	0.7513125189451348	0.7035525916944528	0.760307531207804	0.5748607015900135	0.7574262173110309	0.8291361018490452	0.5895753534128799	0.8547681115489543	0.7647777563448979	0.8496668411915457	0.8534095731488881	0.8362087684973408	0.6555391440932514	0.7881479236132162
ZeeviD_2015__PNP_Main_640__bin.3	0.7229821632680278	0.6690836863562897	0.8663776392633519	0.7745993418106051	0.8750136458936334	0.835983144592184	0.4501132682933162	0.6761004786241871	1.0	0.7532515582872914	0.8783004622196101	0.8253803590005954	0.82661837348029	0.6785894896229249	0.837941072163026	0.9027415116640674	0.7672550480955054	0.7996057000594223	0.8969709951736319	0.6486658889244912	0.870387909236662	0.7033604008853751	0.8257202523944487	0.8263168361117847	0.8875059083031354	0.7136185723415291	0.8490979547977192	0.8467676787346524	0.8459869860956457	0.8656742487677389	0.7593135805703718	0.6890754368603764	0.7684747697015725	0.5683106059130829	0.7312588034454333	0.8574914333292617	0.5604712244246449	0.8827332385644461	0.8048516241416364	0.8747321716768487	0.8773793275185598	0.8698609564576499	0.6732107946837369	0.8218038071600667
LeChatelierE_2013__MH0111__bin.22	0.6946807328414083	0.6612962228991716	0.8542873645286482	0.7463767390150339	0.8572377699589967	0.81592446275292	0.4119073135809747	0.6752269441745709	0.6088237440387358	1.0	0.8247804485322139	0.8256337099798203	0.7881235927028738	0.6626946368535496	0.808673409769152	0.857501999607948	0.7030745552094497	0.8130088745867835	0.8522479313537096	0.5989222864354323	0.8399817614769388	0.7117078058875517	0.816537818941641	0.7656011152971319	0.8531665347903166	0.7108760071370622	0.8066540084448559	0.8133122140393703	0.8079641868666417	0.8242662976990558	0.7272496602931995	0.7502929658156469	0.7640491238211614	0.5581102524442435	0.7102602662042171	0.8249736128062667	0.5739268293729888	0.8271871323022654	0.7642842595917986	0.8279855446350173	0.850125032134427	0.8251725004662175	0.6374893223081843	0.7905956184619259
