	SchirmerM_2016__G88826__bin.15	LeChatelierE_2013__MH0125__bin.25	CM_madagascar__A27_02_1FE__bin.18	LeChatelierE_2013__MH0077__bin.23	XieH_2016__YSZC12003_37583__bin.34	SchirmerM_2016__G88820__bin.25	SchirmerM_2016__G88863__bin.21	LeChatelierE_2013__MH0431__bin.18	ZeeviD_2015__PNP_Main_640__bin.3	LeChatelierE_2013__MH0111__bin.22	VatanenT_2016__G69170__bin.2	KarlssonFH_2013__S198__bin.15	LiJ_2014__MH0364__bin.50	BritoIL_2016__W1.9.ST__bin.62	ZeeviD_2015__PNP_Main_749__bin.39	VatanenT_2016__G80409__bin.3	ZeeviD_2015__PNP_Main_82__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.47	FengQ_2015__SID532779__bin.88	SchirmerM_2016__G89093__bin.27	ZeeviD_2015__PNP_Main_25__bin.9	NielsenHB_2014__O2_UC57_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.85	ZeeviD_2015__PNP_DietIntervention_35__bin.69	ZeeviD_2015__PNP_Validation_33__bin.5	NielsenHB_2014__O2_UC57_0__bin.17	ZeeviD_2015__PNP_Main_409__bin.44	CosteaPI_2017__SID713B040-11-0-0__bin.75	ChengpingW_2017__AS9raw__bin.10	ZeeviD_2015__PNP_Main_359__bin.26	CM_madagascar__V30_01_1FE__bin.40	NielsenHB_2014__MH0111__bin.30	NielsenHB_2014__V1_UC43_0__bin.58	CM_madagascar__A42_02_1FE__bin.10	NielsenHB_2014__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.85	LiJ_2017__H2M514903__bin.46	ZeeviD_2015__PNP_Main_40__bin.3	LeChatelierE_2013__MH0161__bin.61	LeChatelierE_2013__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.62	CosteaPI_2017__SID713A057-11-0-0__bin.57	SchirmerM_2016__G89251__bin.2	LiJ_2017__H1M513730__bin.47
SchirmerM_2016__G88826__bin.15	1959353.0	1274517.0	1667998.0	1477554.0	1679604.0	1667882.0	844221.0	1259716.0	1225201.0	1456510.0	1638876.0	1555854.0	1550890.0	1273714.0	1587138.0	1759434.0	1426833.0	1538802.0	1703548.0	1224480.0	1653511.0	1344308.0	1626332.0	1529494.0	1706129.0	1376555.0	1568854.0	1596435.0	1579672.0	1622381.0	1403359.0	1298973.0	1461634.0	1083372.0	1398245.0	1588177.0	1087454.0	1629233.0	1493789.0	1649839.0	1634455.0	1621686.0	1263012.0	1561473.0
LeChatelierE_2013__MH0125__bin.25	1274517.0	1756640.0	1530415.0	1399946.0	1568078.0	1492101.0	759697.0	1255205.0	1133862.0	1386514.0	1547558.0	1444598.0	1454948.0	1202303.0	1506664.0	1596993.0	1316163.0	1442847.0	1584410.0	1137185.0	1525521.0	1287930.0	1478869.0	1383276.0	1559179.0	1311373.0	1494060.0	1495730.0	1509667.0	1549533.0	1329768.0	1275554.0	1376751.0	1053360.0	1336374.0	1493764.0	1097465.0	1511610.0	1394580.0	1545202.0	1543733.0	1528331.0	1185951.0	1444502.0
CM_madagascar__A27_02_1FE__bin.18	1667998.0	1530415.0	2530611.0	1784275.0	2062446.0	1977206.0	972177.0	1523511.0	1468206.0	1791151.0	2008191.0	1953429.0	1938707.0	1614417.0	1960307.0	2097596.0	1747773.0	1926811.0	2100820.0	1470182.0	2056502.0	1629325.0	1989090.0	1844720.0	2106365.0	1654920.0	1936107.0	2005677.0	2018106.0	2017491.0	1848643.0	1585874.0	1839449.0	1377426.0	1725615.0	2009374.0	1452357.0	2000387.0	1844598.0	2087061.0	2076679.0	2001514.0	1516994.0	1956574.0
LeChatelierE_2013__MH0077__bin.23	1477554.0	1399946.0	1784275.0	2056188.0	1812567.0	1757315.0	862419.0	1398762.0	1312674.0	1564899.0	1761005.0	1663650.0	1702737.0	1420866.0	1704941.0	1850531.0	1544180.0	1686795.0	1827709.0	1289545.0	1792969.0	1485241.0	1706068.0	1597528.0	1872184.0	1518949.0	1687414.0	1741889.0	1714953.0	1772601.0	1543109.0	1441694.0	1598197.0	1180585.0	1512613.0	1715297.0	1259388.0	1736242.0	1609074.0	1795923.0	1765895.0	1763849.0	1356264.0	1670366.0
XieH_2016__YSZC12003_37583__bin.34	1679604.0	1568078.0	2062446.0	1812567.0	2484444.0	1991409.0	964050.0	1617545.0	1482841.0	1797337.0	2037233.0	1974168.0	1914235.0	1630317.0	1987026.0	2153522.0	1752070.0	1913920.0	2132228.0	1472159.0	2069340.0	1659638.0	1988773.0	1900981.0	2118706.0	1699569.0	2013270.0	2006630.0	1983780.0	2034640.0	1803225.0	1612431.0	1851238.0	1349054.0	1705036.0	2010233.0	1423603.0	2049498.0	1903626.0	2040415.0	2066603.0	2056852.0	1569092.0	1942410.0
SchirmerM_2016__G88820__bin.25	1667882.0	1492101.0	1977206.0	1757315.0	1991409.0	2169266.0	959156.0	1490744.0	1416698.0	1710717.0	1935472.0	1866974.0	1890453.0	1555381.0	1909411.0	2023526.0	1682704.0	1825370.0	2022541.0	1424208.0	1985001.0	1596164.0	1909359.0	1825131.0	2047345.0	1620722.0	1883617.0	1912685.0	1913092.0	1945695.0	1700863.0	1563905.0	1765737.0	1277616.0	1628675.0	1906525.0	1406841.0	1963656.0	1798238.0	1973260.0	1971686.0	1927077.0	1485781.0	1873601.0
SchirmerM_2016__G88863__bin.21	844221.0	759697.0	972177.0	862419.0	964050.0	959156.0	1128073.0	750387.0	762784.0	863630.0	971073.0	909162.0	948889.0	760956.0	947284.0	1011161.0	869907.0	884613.0	998270.0	774951.0	968909.0	797495.0	925954.0	906611.0	1006460.0	787293.0	930600.0	933304.0	935358.0	977985.0	839231.0	783798.0	863181.0	639118.0	827464.0	946784.0	629716.0	976281.0	885562.0	970499.0	961848.0	949685.0	757001.0	931460.0
LeChatelierE_2013__MH0431__bin.18	1259716.0	1255205.0	1523511.0	1398762.0	1617545.0	1490744.0	750387.0	1814450.0	1145753.0	1415722.0	1544368.0	1460720.0	1424598.0	1180720.0	1490304.0	1619986.0	1326825.0	1472295.0	1576449.0	1105269.0	1555816.0	1290375.0	1486167.0	1416723.0	1578255.0	1348900.0	1504750.0	1494999.0	1494315.0	1534156.0	1363219.0	1276561.0	1379540.0	1043056.0	1374312.0	1504426.0	1069755.0	1550934.0	1387651.0	1541678.0	1548469.0	1517259.0	1189443.0	1430055.0
ZeeviD_2015__PNP_Main_640__bin.3	1225201.0	1133862.0	1468206.0	1312674.0	1482841.0	1416698.0	762784.0	1145753.0	1694649.0	1276497.0	1488411.0	1398730.0	1400828.0	1149971.0	1420016.0	1529830.0	1300228.0	1355051.0	1520051.0	1099261.0	1475002.0	1191949.0	1399306.0	1400317.0	1504011.0	1209333.0	1438923.0	1434974.0	1433651.0	1467014.0	1286770.0	1167741.0	1302295.0	963087.0	1239227.0	1453147.0	949802.0	1495923.0	1363941.0	1482364.0	1486850.0	1474109.0	1140856.0	1392669.0
LeChatelierE_2013__MH0111__bin.22	1456510.0	1386514.0	1791151.0	1564899.0	1797337.0	1710717.0	863630.0	1415722.0	1276497.0	2096661.0	1729285.0	1731074.0	1652428.0	1389446.0	1695514.0	1797891.0	1474109.0	1704604.0	1786875.0	1255737.0	1761157.0	1492210.0	1712003.0	1605206.0	1788801.0	1490466.0	1691280.0	1705240.0	1694027.0	1728207.0	1524796.0	1573110.0	1601952.0	1170168.0	1489175.0	1729690.0	1203330.0	1734331.0	1602445.0	1736005.0	1782424.0	1730107.0	1336599.0	1657611.0
