	SchirmerM_2016__G88826__bin.15	LeChatelierE_2013__MH0125__bin.25	CM_madagascar__A27_02_1FE__bin.18	LeChatelierE_2013__MH0077__bin.23	XieH_2016__YSZC12003_37583__bin.34	SchirmerM_2016__G88820__bin.25	SchirmerM_2016__G88863__bin.21	LeChatelierE_2013__MH0431__bin.18	ZeeviD_2015__PNP_Main_640__bin.3	LeChatelierE_2013__MH0111__bin.22	VatanenT_2016__G69170__bin.2	KarlssonFH_2013__S198__bin.15	LiJ_2014__MH0364__bin.50	BritoIL_2016__W1.9.ST__bin.62	ZeeviD_2015__PNP_Main_749__bin.39	VatanenT_2016__G80409__bin.3	ZeeviD_2015__PNP_Main_82__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.47	FengQ_2015__SID532779__bin.88	SchirmerM_2016__G89093__bin.27	ZeeviD_2015__PNP_Main_25__bin.9	NielsenHB_2014__O2_UC57_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.85	ZeeviD_2015__PNP_DietIntervention_35__bin.69	ZeeviD_2015__PNP_Validation_33__bin.5	NielsenHB_2014__O2_UC57_0__bin.17	ZeeviD_2015__PNP_Main_409__bin.44	CosteaPI_2017__SID713B040-11-0-0__bin.75	ChengpingW_2017__AS9raw__bin.10	ZeeviD_2015__PNP_Main_359__bin.26	CM_madagascar__V30_01_1FE__bin.40	NielsenHB_2014__MH0111__bin.30	NielsenHB_2014__V1_UC43_0__bin.58	CM_madagascar__A42_02_1FE__bin.10	NielsenHB_2014__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.85	LiJ_2017__H2M514903__bin.46	ZeeviD_2015__PNP_Main_40__bin.3	LeChatelierE_2013__MH0161__bin.61	LeChatelierE_2013__MH0060__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.62	CosteaPI_2017__SID713A057-11-0-0__bin.57	SchirmerM_2016__G89251__bin.2	LiJ_2017__H1M513730__bin.47
SchirmerM_2016__G88826__bin.15	1.0	0.6365264452092094	0.8268453923310399	0.7380431193358216	0.8408413389521949	0.8499121904016275	0.42174381032922603	0.6298844567568989	0.6103581131118283	0.7280377757351534	0.8198241970691345	0.7788622060445464	0.7762271525345357	0.6370363073933079	0.7954319614689135	0.8804202203482476	0.7126944455644287	0.7688619661694448	0.8528412185042715	0.611878512958104	0.828399476766055	0.67190496046399	0.8133807435413629	0.765933958811914	0.8534480514741345	0.6882067702961131	0.7852183858651299	0.7992281125453147	0.7851025312947693	0.8125580229800348	0.6949401154360648	0.6487738554512638	0.7296260551314644	0.5357329689953776	0.6969259750540102	0.7943632413352775	0.5395357549150153	0.8154957274161421	0.7474916464771789	0.822339823400888	0.8170309280665606	0.8114306100023834	0.6309715503025745	0.7764333430474243
LeChatelierE_2013__MH0125__bin.25	0.7099804171600328	1.0	0.8467602923763549	0.7800522588578196	0.8745992349029966	0.8317697422351762	0.42260736405865745	0.6996259905273705	0.6294784361052919	0.7724177976136261	0.8624635668093633	0.8055497996174514	0.815125466800255	0.6699522952910101	0.8405968212041169	0.890990755077876	0.73253540850715	0.8029123781765188	0.883178112760725	0.6333562938336824	0.8516241233263503	0.7169169550960925	0.8237299617451499	0.7711961471900902	0.8696278121869023	0.730673330904454	0.8335384597868659	0.8341322069405228	0.8354136305674469	0.8641440477274797	0.735292945623463	0.7108980781491939	0.7665776710082886	0.5807570133891975	0.7425784452135896	0.8329430048273977	0.6067925129793242	0.8426780672192368	0.7773687266599872	0.8581485107933328	0.8602770061025594	0.8523926359413425	0.6609510201293378	0.8004269514527735
CM_madagascar__A27_02_1FE__bin.18	0.6401940084825364	0.5877841359260668	1.0	0.6850412805445009	0.793344769306701	0.7599563899785466	0.37260448168446275	0.5853633766706934	0.5637847934747775	0.6867203216930615	0.7720056539705235	0.7514422406288442	0.7457523104104108	0.6220264592226936	0.7544585082416855	0.8069995744110809	0.6712924270067585	0.738133596985076	0.8081222281891606	0.5657171331350412	0.7917498975543851	0.6249553961474126	0.7638277870443146	0.7094670022377996	0.8105224390473289	0.6351517479375535	0.7456570764925942	0.7716176053925317	0.7799495852977798	0.7763279302903529	0.7151300614752722	0.608236113729056	0.7057121778100229	0.5321276166111661	0.6659668356772336	0.7730524367435374	0.5602311062427215	0.7696117656961106	0.7088904616315981	0.8052023799785901	0.7984451185899375	0.7702222901899975	0.5829319480552325	0.7565516786262291
LeChatelierE_2013__MH0077__bin.23	0.7032853999731542	0.6664132851665314	0.843100436341424	1.0	0.8626589592002288	0.8369220129676858	0.4096784924335713	0.6647704392788986	0.6221872708137582	0.7437933690888187	0.8383630290615449	0.791774390279488	0.8112818477687838	0.6757922913663537	0.8124116082770642	0.8813051141238059	0.7337422453588874	0.8014062916425929	0.8698932198806724	0.6132372137178118	0.853689934967036	0.7052185889617097	0.8110566738060917	0.7604523516332165	0.8924096434761802	0.7217910035463684	0.8034698189076096	0.8292782566574651	0.8115833766173132	0.8442447869552784	0.7277539796944638	0.6845779666061664	0.7587136973856475	0.5560230873830603	0.7177845605557469	0.816617449377197	0.5946849218067609	0.8266063219900126	0.7651177810589304	0.8515262223104112	0.8400924429089169	0.8395686581188102	0.6451914902722903	0.7902609099946113
XieH_2016__YSZC12003_37583__bin.34	0.6631282492179337	0.6183902716261667	0.8080870408026906	0.7139581330873226	1.0	0.7868967865647203	0.380414692381877	0.6387461339438523	0.5832624925335408	0.7087915847569919	0.8047132477125667	0.7809795672593143	0.7566119421488269	0.6431447036037037	0.7861284053896969	0.8507851253640654	0.6912492292037977	0.7546167271228492	0.8425595424972347	0.5812012667623018	0.8182655757183498	0.6542111635440364	0.7854578328189326	0.7516844815177963	0.8362514912793366	0.6701716762382248	0.8003054204481969	0.7931722349145323	0.7783363199170519	0.8044021116998411	0.7060038382833342	0.6355542729077412	0.7292927512151612	0.5268168652624089	0.6711465422444619	0.795128406999715	0.5580314951755805	0.8107902613220502	0.7518555459491137	0.8028556892407315	0.8168012641862726	0.8127210756209438	0.6193679551642138	0.7628302348533514
SchirmerM_2016__G88820__bin.25	0.7676688797040105	0.673555018148996	0.8865459560975925	0.793295520235877	0.9012269587962011	1.0	0.43323824740718747	0.6736651936645852	0.6383361929795609	0.7729213475894612	0.875654253558577	0.8448945403652665	0.8550062555721614	0.7033042512997484	0.8651193537353188	0.9157493825100287	0.7599708841608176	0.8235753476060566	0.9150007421865277	0.6438011751440349	0.8991603611544181	0.7205953534513517	0.8624253549357248	0.8261144553042366	0.9263266929920075	0.7322264766054508	0.852283675676473	0.8652530395073725	0.8592865052049864	0.8809975355719399	0.7616216729529711	0.7063126421563791	0.796413625622676	0.5716500419957717	0.7341211266852474	0.8618357545824257	0.6312655985941789	0.8884940804862106	0.8126522980584215	0.8890601705830452	0.8910308832572861	0.8720161566170308	0.6707310214607153	0.8427071645432141
SchirmerM_2016__G88863__bin.21	0.7325279481026493	0.6580859572031242	0.8358652321259351	0.7467389078543677	0.8378172334591821	0.8331100912795537	1.0	0.650566053792618	0.6591842903783709	0.7483744403066114	0.842162696917664	0.7900428429720417	0.8234777359266643	0.6602152520271295	0.8229804276850877	0.8783022020738019	0.7543182045842778	0.765188068502659	0.8722990444767315	0.6714866857020777	0.8415962442146918	0.690029811900471	0.8041944094043559	0.7875908739948566	0.8735498500540303	0.6819806874200517	0.8084467937801898	0.8102817814095364	0.8049647496217001	0.849192383826224	0.7201404519033786	0.6785376478295289	0.7465846625174081	0.5490017046769137	0.7149927353992162	0.8221719693672307	0.5409454884568641	0.847693367361864	0.7690690230153544	0.8380078239617471	0.8348732750451433	0.8240105028663925	0.656134842337331	0.8029684249157635
LeChatelierE_2013__MH0431__bin.18	0.6801873846069056	0.677335280663562	0.8164055223345917	0.7533373749621096	0.8746060789771004	0.8054005345972609	0.40446746948110995	1.0	0.6157353467993055	0.7678574774725124	0.833515941469867	0.7887905425886633	0.770571247485464	0.6372741051007192	0.8060977155611894	0.8744137341894238	0.7154019124252529	0.7938322907768194	0.8522731406211248	0.596395050841853	0.8410576207666235	0.6959188734878339	0.80213012207556	0.7650544242056821	0.8525222519220701	0.7275455372151342	0.8133731984899005	0.8079649480558847	0.8005671140014881	0.8293284466367219	0.7284571082146105	0.6921783460552784	0.7434037862713219	0.5568078481082421	0.73895891316928	0.8133208410262063	0.5726804265755463	0.8380870236159718	0.7492441235636143	0.8286108738185125	0.8370564082779905	0.8193684036484886	0.6413800325167406	0.7672986304389761
ZeeviD_2015__PNP_Main_640__bin.3	0.7056959877827208	0.6525050320154793	0.8418970536081513	0.7549256512705581	0.8550932966059638	0.8171137503990502	0.43879765072295207	0.6592639537744984	1.0	0.7351315818201882	0.8583677209852896	0.8062743376356991	0.807979705531942	0.6630783129721848	0.8197744783728075	0.8823473179401753	0.7485744835656234	0.7788604011804214	0.876431638646115	0.633256208217749	0.8510175263432133	0.6861013696641606	0.8066490464987145	0.8063581307987672	0.8673784364785865	0.6962444730442705	0.8299382349973358	0.8275400982740378	0.8225508645153067	0.8466213357456324	0.736868224629407	0.6717497251643261	0.748578614214507	0.5499982592265419	0.711995817422959	0.8385329351387809	0.5443534324807084	0.8617306592692646	0.7864537140139344	0.8510098551381436	0.8573226668177304	0.8510847969107467	0.6573001252766797	0.7998653408463936
LeChatelierE_2013__MH0111__bin.22	0.6803593904784798	0.6471527824479016	0.8288521606497188	0.7294355167573584	0.8398844639166752	0.7996867400118569	0.40265021384000566	0.6645037037460991	0.5941780764749285	1.0	0.8085832664412607	0.8095972596428321	0.7734540776978253	0.6491254427873653	0.792987516818408	0.8404191235493006	0.6872846874148945	0.7945748025074154	0.8345874702682027	0.5863494384643011	0.8232880756593459	0.6959761258496246	0.7986384064948984	0.7501355727034557	0.8357474098101696	0.6960376522480267	0.7907511037788179	0.7974164636057045	0.786309279373251	0.8079007526729405	0.7055852138233123	0.7477837380482586	0.7462322235211128	0.5407159288029872	0.6933405066436586	0.8086156989613484	0.5581164527789662	0.8108048940672813	0.7492875576929222	0.8077395439701507	0.8326987529219078	0.80838437878131	0.6241814961980025	0.7704373763808265
