	BackhedF_2015__SID133_B__bin.7	OlmMR_2017__S2_005_027G1__bin.6	HeQ_2017__SZAXPI029503-106__bin.19	FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	BritoIL_2016__M1.7.ST__bin.24	BackhedF_2015__SID105_4M__bin.12	OlmMR_2017__S2_005_022G1__bin.2	QinN_2014__LD-66__bin.8	OlmMR_2017__S2_005_023G1__bin.3	YuJ_2015__SZAXPI015267-102__bin.21	QinN_2014__LD-23__bin.10	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	ZellerG_2014__CCIS63468405ST-4-0__bin.73	BackhedF_2015__SID615_B__bin.13	OlmMR_2017__S2_005_025G1__bin.3	OlmMR_2017__S2_005_028G1__bin.7	QinN_2014__LD-51__bin.65	OlmMR_2017__S2_005_024G1__bin.10	FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.11	ZellerG_2014__CCIS59903910ST-4-0__bin.5	FerrettiP_2018__CA_C10002IS2023FE_t2M15__bin.8	BackhedF_2015__SID544_4M__bin.1	QinJ_2012__DLM010__bin.14	OlmMR_2017__S2_005_019G1__bin.4	BackhedF_2015__SID608_B__bin.4	OlmMR_2017__S2_005_026G1__bin.1	GeversD_2014__SKBSTL036__bin.45	QinN_2014__LD-85__bin.60	HeQ_2017__RSZAXPI003097-131__bin.33	OlmMR_2017__S2_005_022G1__bin.11	CM_madagascar__A04_01_1FE__bin.3	QinN_2014__LD-28__bin.14	FengQ_2015__SID530451__bin.19	OlmMR_2017__S2_005_018G1__bin.5	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.4	OlmMR_2017__S2_005_024G1__bin.3	VatanenT_2016__G80587__bin.4	OlmMR_2017__S2_005_021G1__bin.6	BackhedF_2015__SID180_B__bin.11	OlmMR_2017__S2_005_020G1__bin.10
BackhedF_2015__SID133_B__bin.7	1.0	0.9756206059778707	0.9754070242283152	0.974683271249692	0.9701307794100936	0.9748948812700611	0.9758790496212374	0.974406482541153	0.9758483856810972	0.9696392590653541	0.9753673670482983	0.9751213498728716	0.9751559706530367	0.9745946681688707	0.9758953617635233	0.9758521003942978	0.9748594780361134	0.9758980974592262	0.9763016694201412	0.9748454680594136	0.9748171477399226	0.9819376549253992	0.9756470329530872	0.9749780424542557	0.9754334165036472	0.9755364978987562	0.9758997691276285	0.9703915826573717	0.9753236532937817	0.9756206059778707	0.9697334932429454	0.974927260350991	0.9759482794363008	0.9751990045889161	0.9750854865689659	0.9756206059778707	0.974065608239476	0.9754785219341027	0.9753430401296819	0.9750692644628223
OlmMR_2017__S2_005_027G1__bin.6	0.9756206059778707	1.0	0.9838049164608847	0.9842232304612606	0.9713835155152892	0.9933384778048739	0.9270192701927019	0.9820392857344554	0.9996819355666516	0.9703841276302605	0.9841169429793629	0.9839770510221604	0.9853660726309647	0.9827206802112	0.9999684764324444	0.9999832308177324	0.9837212741060324	0.9278306878306878	0.986311835137445	0.9836390742265354	0.9923607151752141	0.9675671460999419	0.9841846564063496	0.9984811850762589	0.9845742665937118	0.9999064248952637	0.9842988381742114	0.970433162046754	0.9818792822960826	0.9998766209426563	0.972729549339634	0.983899358422328	0.9848892740582302	0.9999174190706893	0.9840515817919044	0.9999812227604286	0.9727793440474511	0.9999356318412342	0.9839456800302535	0.9987217107665958
HeQ_2017__SZAXPI029503-106__bin.19	0.9754070242283152	0.9838049164608847	1.0	0.9861050801268254	0.9738265131740997	0.9860514295063346	0.9843240855564677	0.9832944787639194	0.9847884201433961	0.972007712073443	0.9881778258185888	0.9863072739105512	0.9847718619462672	0.9838598476080281	0.9841723745860181	0.9841951548371219	0.9853830985052058	0.9843380298058642	0.9878271079248259	0.9885818206359102	0.9853880006641642	0.9691534544922331	0.986106175363781	0.9835613935942753	0.9863908162354722	0.9838883218648141	0.9858849515879914	0.9721956696857428	0.9872382428270898	0.9838132402846523	0.9737638904767885	0.9850442762391183	0.9903724108038268	0.9835737610671913	0.9860519649214151	0.9838169028946819	0.9732093241602463	0.9835539003689795	0.9858805564538466	0.9844172680428064
FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	0.974683271249692	0.9842232304612606	0.9861050801268254	1.0	0.9748046622338361	0.9858530704028814	0.9848109139299019	0.9832615852360592	0.9853421506760447	0.9734873599363498	0.9852956478113135	0.9860350356816592	0.9846505025678332	0.9840886527009847	0.9846153200936082	0.984590664312236	0.9851286088322734	0.9848454823701029	0.9874275780614064	0.9857631006944947	0.985622353878219	0.9703014119174568	0.9862128773713879	0.9842206942599953	0.9867868026132768	0.9843746891846193	0.9863436782644759	0.9730955351979791	0.9856699792796716	0.9842040619935171	0.9745162999457988	0.9848469837387788	0.9866307752439242	0.983877041961855	0.999922256764364	0.9842233842884468	0.9740138392004386	0.984347461692277	0.9851048592152585	0.985126396587724
BritoIL_2016__M1.7.ST__bin.24	0.9701307794100936	0.9713835155152892	0.9738265131740997	0.9748046622338361	1.0	0.9750945967244526	0.9730968529176398	0.973701256700625	0.9727003255249889	0.9935468675699164	0.972488936495623	0.9738964211332017	0.9747375101561165	0.9734702282833473	0.9723688814960045	0.9723605065418167	0.9745569754516574	0.973082895676578	0.9769022005546958	0.9742460044058282	0.9738890896476342	0.9639089576739966	0.9761860378413645	0.9717694098212944	0.9734439818180343	0.9713950781297113	0.9729863458285521	0.9938121252900713	0.9754173381881852	0.9713504796213296	0.9944264018163976	0.9744926803699128	0.9757656755874793	0.9708564870450217	0.9745450009819168	0.9713508667941497	0.9664883067189256	0.9717009291055441	0.9753154269289855	0.9734977145007891
BackhedF_2015__SID105_4M__bin.12	0.9748948812700611	0.9933384778048739	0.9860514295063346	0.9858530704028814	0.9750945967244526	1.0	0.9924471620930629	0.9842765072867121	0.9937151344545004	0.9747233788069213	0.9858415678927335	0.9866906639546488	0.9873119791901128	0.9839659717097388	0.9928913080632334	0.9929274960468586	0.9854118194828948	0.9924000938542626	0.9869498914129005	0.9856678252064838	0.9927404674878203	0.9707034903783223	0.985654891379168	0.992467788812826	0.9863823573162451	0.9935399825286109	0.9871894815899304	0.9737254311842888	0.9858998287014548	0.9933767139205205	0.9749893455240721	0.985444764054511	0.9864438554044512	0.9926074432996871	0.9858307473036217	0.9933663134102395	0.9752836517078006	0.9924196023324964	0.9854219912735283	0.9927927272727273
OlmMR_2017__S2_005_022G1__bin.2	0.9758790496212374	0.9270192701927019	0.9843240855564677	0.9848109139299019	0.9730968529176398	0.9924471620930629	1.0	0.9821575357805029	0.9999439238361081	0.9715192298018396	0.9821430836155183	0.9838865668455602	0.9869234190815517	0.9815635474157617	0.9999705587607502	0.9999598466481283	0.9838684368413766	0.9999751133051623	0.9858718400308323	0.9844780063239182	0.9891116279608596	0.9690787169742798	0.9850157360369617	0.9990719248537231	0.9844321071031304	0.999745400710992	0.9834765340830892	0.9709978310177216	0.984731302404164	0.9282749077490775	0.9727750180892838	0.9836281748708602	0.9850551552335489	0.9984425619855338	0.9844378131252786	0.9255073800738007	0.9747270388170887	0.9995558408322902	0.983497948482757	0.9994847134184583
QinN_2014__LD-66__bin.8	0.974406482541153	0.9820392857344554	0.9832944787639194	0.9832615852360592	0.973701256700625	0.9842765072867121	0.9821575357805029	1.0	0.9830042233195779	0.9720977911633828	0.9824062480972294	0.9829512307484659	0.9830172240243444	0.9889919844275661	0.982113753822354	0.9821373474146888	0.9824931736006925	0.9821559270151361	0.9853680232015483	0.9832430841825232	0.9835619088572796	0.9681842970013047	0.9844929728691345	0.9814464578556881	0.983102359536772	0.9821955314657544	0.9827537841290301	0.9723851721070913	0.9839926319888644	0.9819622645158483	0.9742174003178772	0.9825163306381626	0.9847253591303777	0.9813226320931315	0.9831883661703046	0.9819698670072108	0.9724190867012935	0.9818823341379396	0.98258637262712	0.9820666667053403
OlmMR_2017__S2_005_023G1__bin.3	0.9758483856810972	0.9996819355666516	0.9847884201433961	0.9853421506760447	0.9727003255249889	0.9937151344545004	0.9999439238361081	0.9830042233195779	1.0	0.9716270992832031	0.984272950877115	0.9846833633772455	0.9870866292628924	0.9828143689196336	0.9999189626946677	0.9999299432365946	0.9846039635067504	0.9999136455301403	0.9863292293983286	0.9849980932799901	0.9916363404200983	0.9690311607274269	0.985293622769676	0.9989180863205952	0.9850419808323836	0.9999204087578791	0.9849050062538705	0.9712198563365828	0.9846563541224459	0.9997606047575514	0.9730087217131972	0.9844279435939299	0.9851605255416627	0.9997856920648455	0.9850226657638331	0.9996963955099064	0.9748130167770268	0.9998077899968423	0.9843283211751278	0.9994717282779566
YuJ_2015__SZAXPI015267-102__bin.21	0.9696392590653541	0.9703841276302605	0.972007712073443	0.9734873599363498	0.9935468675699164	0.9747233788069213	0.9715192298018396	0.9720977911633828	0.9716270992832031	1.0	0.9710650192891519	0.9726622743175721	0.9740338901210854	0.9716168111788757	0.9710529059352466	0.9710109826118755	0.9733039909888476	0.9715539590261343	0.9760797562405364	0.9726974100778433	0.9732472395916737	0.9624938214839933	0.9751675428330914	0.9706470514898392	0.9720685865804243	0.9704966746251908	0.9719917678217673	0.9923811650060202	0.9734115168775207	0.9702714959161506	0.9932976622460311	0.9729635582551319	0.9745265988092952	0.9701050631076561	0.9731759249337231	0.9702824883113015	0.9652270088756288	0.9703073781451632	0.9739270902989174	0.972351803468748
QinN_2014__LD-23__bin.10	0.9753673670482983	0.9841169429793629	0.9881778258185888	0.9852956478113135	0.972488936495623	0.9858415678927335	0.9821430836155183	0.9824062480972294	0.984272950877115	0.9710650192891519	1.0	0.9861388511420508	0.9836365119235234	0.9830433119142473	0.9834860177654807	0.9834997039883046	0.9855246441721754	0.9820621480873716	0.9875652254856675	0.9875695914115131	0.9845516555064919	0.9690423117774914	0.98587613375687	0.982612398271849	0.9859532243008581	0.9841902934377355	0.9857499893729843	0.9710857394188742	0.9853268163202646	0.9841518169259591	0.9732629330589941	0.9849117173413878	0.9898336835754609	0.9836528288043045	0.985172200839639	0.9841154201699168	0.9732770265581703	0.9836745525636413	0.9850367829187898	0.9831400286577561
FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	0.9751213498728716	0.9839770510221604	0.9863072739105512	0.9860350356816592	0.9738964211332017	0.9866906639546488	0.9838865668455602	0.9829512307484659	0.9846833633772455	0.9726622743175721	0.9861388511420508	1.0	0.9846873826699162	0.9827979317268617	0.9838784614828912	0.9838667024932312	0.9864024255495938	0.9838788283640088	0.9912542709258793	0.9860837071367897	0.9854584973490155	0.9692521093089953	0.9866030910772166	0.983410251328369	0.9896928924900488	0.9836335459896741	0.9923805505819918	0.972326919799364	0.9863138736720708	0.9839893028661038	0.9740967027885649	0.9860992035946864	0.9871172196241964	0.9832340929992566	0.9860667447743352	0.9837931149678092	0.9734706966190749	0.9834716926630503	0.9864331325437452	0.9841766426134061
ZellerG_2014__CCIS63468405ST-4-0__bin.73	0.9751559706530367	0.9853660726309647	0.9847718619462672	0.9846505025678332	0.9747375101561165	0.9873119791901128	0.9869234190815517	0.9830172240243444	0.9870866292628924	0.9740338901210854	0.9836365119235234	0.9846873826699162	1.0	0.9832391661300434	0.9864110282482017	0.9864020888956092	0.9839995758213909	0.9869181499496783	0.9858503552335496	0.9845510418793781	0.9865761679244571	0.9703675188879715	0.9851296128347711	0.9859691558294534	0.9849499154598329	0.9861973624332909	0.9840242472196415	0.9744124392347498	0.9857275077453755	0.9854360497259387	0.9748209709158039	0.9840568581846778	0.9854187653994049	0.9855227501389219	0.984894878256161	0.9855819261034044	0.9760271158004518	0.98600060109055	0.9844392226789168	0.9865537710872555
