	BackhedF_2015__SID133_B__bin.7	OlmMR_2017__S2_005_027G1__bin.6	HeQ_2017__SZAXPI029503-106__bin.19	FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	BritoIL_2016__M1.7.ST__bin.24	BackhedF_2015__SID105_4M__bin.12	OlmMR_2017__S2_005_022G1__bin.2	QinN_2014__LD-66__bin.8	OlmMR_2017__S2_005_023G1__bin.3	YuJ_2015__SZAXPI015267-102__bin.21	QinN_2014__LD-23__bin.10	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	ZellerG_2014__CCIS63468405ST-4-0__bin.73	BackhedF_2015__SID615_B__bin.13	OlmMR_2017__S2_005_025G1__bin.3	OlmMR_2017__S2_005_028G1__bin.7	QinN_2014__LD-51__bin.65	OlmMR_2017__S2_005_024G1__bin.10	FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.11	ZellerG_2014__CCIS59903910ST-4-0__bin.5	FerrettiP_2018__CA_C10002IS2023FE_t2M15__bin.8	BackhedF_2015__SID544_4M__bin.1	QinJ_2012__DLM010__bin.14	OlmMR_2017__S2_005_019G1__bin.4	BackhedF_2015__SID608_B__bin.4	OlmMR_2017__S2_005_026G1__bin.1	GeversD_2014__SKBSTL036__bin.45	QinN_2014__LD-85__bin.60	HeQ_2017__RSZAXPI003097-131__bin.33	OlmMR_2017__S2_005_022G1__bin.11	CM_madagascar__A04_01_1FE__bin.3	QinN_2014__LD-28__bin.14	FengQ_2015__SID530451__bin.19	OlmMR_2017__S2_005_018G1__bin.5	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.4	OlmMR_2017__S2_005_024G1__bin.3	VatanenT_2016__G80587__bin.4	OlmMR_2017__S2_005_021G1__bin.6	BackhedF_2015__SID180_B__bin.11	OlmMR_2017__S2_005_020G1__bin.10
BackhedF_2015__SID133_B__bin.7	1294978.0	424867.0	1064003.0	880801.0	818401.0	1005054.0	630738.0	1031941.0	977533.0	832786.0	652549.0	1038320.0	943607.0	1006521.0	1056975.0	1055040.0	1078657.0	633311.0	957578.0	1003676.0	1020496.0	1098916.0	914057.0	777637.0	1068891.0	473767.0	576509.0	926088.0	606127.0	424867.0	839641.0	1097407.0	699451.0	450869.0	1000742.0	424867.0	1048222.0	631528.0	1068461.0	670979.0
OlmMR_2017__S2_005_027G1__bin.6	424867.0	1491028.0	1335961.0	946645.0	955638.0	938224.0	4878.0	1239483.0	1106694.0	1021952.0	1362647.0	1287029.0	757418.0	1215152.0	1490948.0	1490830.0	1332291.0	4725.0	727782.0	1258364.0	1152333.0	910589.0	682565.0	848688.0	1330504.0	1399945.0	1329201.0	1105360.0	84213.0	1491339.0	918430.0	1372554.0	433864.0	1453120.0	1126444.0	1491167.0	1120142.0	1475885.0	1232254.0	635224.0
HeQ_2017__SZAXPI029503-106__bin.19	1064003.0	1335961.0	3225439.0	2137112.0	2094868.0	2127028.0	1645837.0	2829783.0	2684731.0	2331928.0	2031606.0	2784252.0	1866085.0	2803691.0	2985034.0	2978517.0	2936190.0	1652091.0	1815838.0	2815335.0	2577676.0	2131746.0	1781223.0	2222512.0	2947201.0	1518650.0	1806370.0	2527484.0	1512566.0	1336648.0	2134196.0	2976653.0	1448857.0	1468078.0	2585167.0	1336209.0	2539167.0	1978159.0	2758324.0	1806551.0
FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	880801.0	946645.0	2137112.0	2311749.0	1546040.0	1696976.0	1199348.0	2057662.0	1949945.0	1689232.0	1508873.0	2092952.0	1495619.0	2010452.0	2145966.0	2144609.0	2120111.0	1201028.0	1503688.0	2074890.0	2005057.0	1699037.0	1448308.0	1629476.0	2125148.0	1105962.0	1343041.0	1839992.0	1136565.0	947712.0	1642030.0	2119644.0	1110386.0	1043543.0	2135234.0	946781.0	1931759.0	1484296.0	2049796.0	1342916.0
BritoIL_2016__M1.7.ST__bin.24	818401.0	955638.0	2094868.0	1546040.0	2376151.0	1611578.0	1133399.0	2118086.0	1958375.0	2012511.0	1448908.0	2027653.0	1433865.0	2078382.0	2086090.0	2085277.0	2102423.0	1132737.0	1376971.0	2000078.0	1901121.0	1647805.0	1330396.0	1598160.0	2095043.0	1094462.0	1279316.0	2119306.0	1105698.0	954920.0	1948472.0	2136720.0	1090932.0	1036011.0	1884070.0	954898.0	1838791.0	1420506.0	2017900.0	1304529.0
BackhedF_2015__SID105_4M__bin.12	1005054.0	938224.0	2127028.0	1696976.0	1611578.0	2379340.0	1220336.0	2037270.0	1998929.0	1728989.0	1430455.0	2096348.0	1643834.0	1990579.0	2159047.0	2155248.0	2182109.0	1223173.0	1577075.0	2050282.0	2071070.0	1822811.0	1525398.0	1654627.0	2131059.0	1046282.0	1262244.0	1867357.0	1173390.0	938054.0	1717588.0	2170353.0	1202333.0	1005065.0	1978580.0	937940.0	2003249.0	1392671.0	2124570.0	1375000.0
OlmMR_2017__S2_005_022G1__bin.2	630738.0	4878.0	1645837.0	1199348.0	1133399.0	1220336.0	1769131.0	1585151.0	1765456.0	1292135.0	709641.0	1536482.0	1117341.0	1550244.0	1766230.0	1768221.0	1625075.0	1768013.0	1115715.0	1553151.0	1467437.0	1233584.0	1113368.0	1546211.0	1611008.0	318147.0	508610.0	1411722.0	1429395.0	4336.0	1230010.0	1641051.0	1016404.0	200329.0	1478841.0	4336.0	1424012.0	718211.0	1545929.0	1313832.0
QinN_2014__LD-66__bin.8	1031941.0	1239483.0	2829783.0	2057662.0	2118086.0	2037270.0	1585151.0	3270757.0	2585407.0	2360745.0	1954387.0	2689461.0	1803121.0	2864549.0	2826138.0	2822929.0	2874136.0	1588987.0	1778502.0	2681281.0	2460383.0	2070267.0	1749078.0	2132423.0	2827377.0	1435370.0	1725364.0	2551057.0	1484254.0	1240954.0	2170650.0	2938342.0	1400884.0	1378781.0	2501601.0	1240368.0	2419318.0	1889537.0	2685081.0	1723829.0
OlmMR_2017__S2_005_023G1__bin.3	977533.0	1106694.0	2684731.0	1949945.0	1958375.0	1998929.0	1765456.0	2585407.0	2882840.0	2164072.0	1755129.0	2517981.0	1753299.0	2535723.0	2875219.0	2869102.0	2657697.0	1771767.0	1701294.0	2525279.0	2412102.0	1990743.0	1664108.0	2270976.0	2648947.0	1407190.0	1551839.0	2338800.0	1509941.0	1106956.0	2042030.0	2682690.0	1373364.0	1301865.0	2370315.0	1106703.0	2331760.0	1820925.0	2518875.0	1796424.0
YuJ_2015__SZAXPI015267-102__bin.21	832786.0	1021952.0	2331928.0	1689232.0	2012511.0	1728989.0	1292135.0	2360745.0	2164072.0	2602372.0	1596234.0	2216278.0	1507696.0	2314222.0	2311631.0	2308012.0	2341099.0	1293361.0	1448313.0	2218947.0	2073244.0	1739900.0	1406506.0	1804725.0	2314097.0	1179867.0	1402302.0	2347078.0	1250391.0	1020973.0	2052269.0	2365474.0	1171575.0	1117614.0	2081041.0	1020644.0	2002675.0	1551867.0	2244667.0	1455972.0
