	BackhedF_2015__SID133_B__bin.7	OlmMR_2017__S2_005_027G1__bin.6	HeQ_2017__SZAXPI029503-106__bin.19	FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	BritoIL_2016__M1.7.ST__bin.24	BackhedF_2015__SID105_4M__bin.12	OlmMR_2017__S2_005_022G1__bin.2	QinN_2014__LD-66__bin.8	OlmMR_2017__S2_005_023G1__bin.3	YuJ_2015__SZAXPI015267-102__bin.21	QinN_2014__LD-23__bin.10	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	ZellerG_2014__CCIS63468405ST-4-0__bin.73	BackhedF_2015__SID615_B__bin.13	OlmMR_2017__S2_005_025G1__bin.3	OlmMR_2017__S2_005_028G1__bin.7	QinN_2014__LD-51__bin.65	OlmMR_2017__S2_005_024G1__bin.10	FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.11	ZellerG_2014__CCIS59903910ST-4-0__bin.5	FerrettiP_2018__CA_C10002IS2023FE_t2M15__bin.8	BackhedF_2015__SID544_4M__bin.1	QinJ_2012__DLM010__bin.14	OlmMR_2017__S2_005_019G1__bin.4	BackhedF_2015__SID608_B__bin.4	OlmMR_2017__S2_005_026G1__bin.1	GeversD_2014__SKBSTL036__bin.45	QinN_2014__LD-85__bin.60	HeQ_2017__RSZAXPI003097-131__bin.33	OlmMR_2017__S2_005_022G1__bin.11	CM_madagascar__A04_01_1FE__bin.3	QinN_2014__LD-28__bin.14	FengQ_2015__SID530451__bin.19	OlmMR_2017__S2_005_018G1__bin.5	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.4	OlmMR_2017__S2_005_024G1__bin.3	VatanenT_2016__G80587__bin.4	OlmMR_2017__S2_005_021G1__bin.6	BackhedF_2015__SID180_B__bin.11	OlmMR_2017__S2_005_020G1__bin.10
BackhedF_2015__SID133_B__bin.7	1.0	0.3200896076998992	0.801431375668158	0.6629471697588685	0.6131038519573306	0.7566321590019289	0.4753161829776259	0.7764842337089897	0.7366333636555987	0.6235642613233584	0.4914948362057116	0.7818572979618187	0.7105634226990729	0.7575032162708555	0.7965363118137915	0.7950428501488056	0.8120130226150559	0.4772644786243473	0.7219311833868992	0.755556465051916	0.768196062018042	0.8332705266035407	0.6886580312561295	0.5854763555828748	0.8051349134888778	0.35689949945095595	0.4344591182244023	0.6939639129004509	0.45650968587883345	0.3200896076998992	0.6287581719535004	0.8261854641546034	0.5271348239120665	0.3395324090447868	0.7535332646577779	0.3200896076998992	0.7884589545150574	0.4757161897731081	0.8047364511211774	0.5052217103302141
OlmMR_2017__S2_005_027G1__bin.6	0.2780021569011447	1.0	0.8814891470850984	0.6248776012254632	0.6225845524027718	0.6250546602746562	0.003032806895645152	0.8163636095365077	0.7419994795537038	0.6651021979466516	0.8993821712268314	0.8493515883001527	0.5005499561376446	0.8008937457914942	0.9999148238664868	0.9998504387576893	0.878992882762765	0.00294025330174886	0.48142623746837754	0.8301494002795387	0.7669406610741045	0.590905066839791	0.450541505592115	0.5683320501023456	0.8785750502337984	0.9388247571474178	0.8774691018545594	0.7194217680687418	0.05545636969929472	1.0000851761335132	0.5991731878945266	0.9057207510522941	0.2865861673959174	0.974495448777622	0.7434327189026632	1.0000744452820471	0.730805189439769	0.9897802053348429	0.8131778880074687	0.4254863087748855
HeQ_2017__SZAXPI029503-106__bin.19	0.3217658123436841	0.40748716686317743	1.0	0.6533736957976883	0.6324838262326462	0.6502553605881245	0.5022686834257291	0.862676367465018	0.8196998920146993	0.7027421693605118	0.6224231802244593	0.8513966625938361	0.5697419793088632	0.8552135073706246	0.9108180312819433	0.9088505471658277	0.8970164991494182	0.5041843916440522	0.5561208877303213	0.8628868814446654	0.7874931133405406	0.6405295527213505	0.5445692818868998	0.6777300702323001	0.901301187218236	0.4632491887150865	0.5521335235296653	0.7618215690949356	0.4629642662595696	0.40770016112535373	0.6443163240724752	0.9090654016399009	0.4448721553872202	0.4476795251747127	0.7903138146466263	0.40756777604536937	0.7661409811191594	0.6032127719668547	0.8431032178875496	0.5513668061928935
FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	0.3713647113073261	0.40303250915216143	0.9116115114573424	1.0	0.6519250143506063	0.7236810743726936	0.5109252777875107	0.8751901698670574	0.8311295906259719	0.711342797163533	0.6431000943441525	0.8927111031517695	0.6370336918065067	0.8558295039816174	0.914005369960147	0.9134045261834223	0.9034640006332867	0.5116589214486521	0.6422769080899354	0.8847630084407953	0.8548631360930621	0.7131301884417383	0.6178611951383995	0.693744865900234	0.9071348143764743	0.47093391194286227	0.5730293383927061	0.7745166105835884	0.48460191828784177	0.40347892439879934	0.6921966874431437	0.9030067710638137	0.473901362128847	0.44413039650930963	0.9235725850860106	0.4030904739225582	0.8139118909535595	0.6320162785838774	0.8734789114216119	0.5722688752109334
BritoIL_2016__M1.7.ST__bin.24	0.3341353306250318	0.3906700373839878	0.8585472892926418	0.6342555670914853	1.0	0.6613388627237916	0.4641569496214677	0.8679511529359877	0.8016796912317441	0.8414970260728379	0.5929955629924193	0.8310599789323153	0.5881957838538039	0.8514791357956628	0.8536700739978226	0.8533300282684055	0.8622898965596041	0.46387918949595375	0.566111328783398	0.8200522609884642	0.7791933256766931	0.6684482593909226	0.5465620661313191	0.6535960888007538	0.8582817337787034	0.44742737309202996	0.523854334173207	0.886388112539986	0.45389245043770365	0.3903632386998974	0.8154414429049333	0.8762986864050306	0.4479908894678831	0.42329717261234656	0.7727248815416192	0.390354400877722	0.7479196397872021	0.5809003720723136	0.8282676479735505	0.534459299935063
BackhedF_2015__SID105_4M__bin.12	0.4118041137458287	0.39169433540393556	0.881487723486345	0.7031231349870133	0.660452478418385	1.0	0.5090146847445091	0.8427702640227962	0.8348390730202494	0.7082997806114301	0.5926862070994477	0.869336454647087	0.6821122664268242	0.8231955079980163	0.9009637126261905	0.8994111812519437	0.9037279245505057	0.5101738297174846	0.6541704842519355	0.8493519211209831	0.8641198819840796	0.7436553834256558	0.6319046458261535	0.6901762673682618	0.8834546554926997	0.4368955256499702	0.5237057335227416	0.7642005766304941	0.4862041574554288	0.39163843754990874	0.7038212277354224	0.8988891877579497	0.4984718451335245	0.4192906436238621	0.8197840577639177	0.3915867425420495	0.8211251859759429	0.5808812527843856	0.8799070330427765	0.5737263274689619
OlmMR_2017__S2_005_022G1__bin.2	0.3479244894809938	0.002556057182876791	0.915724725868237	0.6676334313287146	0.6234173727101047	0.6845841263309501	1.0	0.8800184949559982	0.9978667492684262	0.7095766226469379	0.3939612159868319	0.8545008820714803	0.6233173235899433	0.8601188945307046	0.9983308189161797	0.9994454904696148	0.9037544421526728	0.9993431803523877	0.6217470611277514	0.8642904341170891	0.8204361350290057	0.6757215830823156	0.6199003917742665	0.8731835008261117	0.8964446386389703	0.17978657318197466	0.2827410745727705	0.7748318242120001	0.7956279099738798	0.002275128297452252	0.6763337480378785	0.9124163219117183	0.5659354790572321	0.1130594625270825	0.8229051438248497	0.002268345306254879	0.7845789825626255	0.40578792638871847	0.8594151591939772	0.7422599004822141
QinN_2014__LD-66__bin.8	0.3074303593938651	0.3721526851429195	0.8507235480960523	0.6185785125584077	0.63055219326902	0.6130803969845513	0.47599622961901483	1.0	0.7770268473017102	0.7016342088391159	0.5870206805335889	0.8082560092357823	0.5419231694681078	0.8661652333083748	0.8486075241908829	0.8476643174653452	0.8633533460296806	0.47714733928567604	0.535802262289739	0.8060369510789093	0.7398712285871436	0.612824492923198	0.526469866150252	0.6398699139067806	0.8498341515435112	0.4310359956425989	0.5184145444005777	0.7584207570296417	0.4465311852882987	0.3725651278893541	0.6465429868376037	0.8826608029884213	0.42176352446849463	0.41367457136069724	0.7519803519491054	0.37239207926483076	0.719280276706585	0.5672396329045539	0.8066401753477865	0.517591187605805
OlmMR_2017__S2_005_023G1__bin.3	0.33089730959748026	0.3837680898003358	0.9171136795659836	0.6664827045552302	0.6607761790456633	0.6890309555854643	0.6123673183388604	0.8815841323139681	1.0	0.729374852575932	0.5992444950118633	0.8600595246354289	0.6003309236724895	0.8644756559503823	0.997275603224598	0.995164837451957	0.9077087177921771	0.614537747498994	0.5820773959012641	0.862827975191131	0.8297123669714587	0.6691637413106519	0.568756850883157	0.7869042333254708	0.9051227262005522	0.48808744155069306	0.5301764926253278	0.7879344674002025	0.5157320558893315	0.38388915097612075	0.6892206990328981	0.9160810173301327	0.4693233061841795	0.45149435972860097	0.8099006535222212	0.38377676180433185	0.7884690097265197	0.6315213470050367	0.8600546683131912	0.6228146549929929
YuJ_2015__SZAXPI015267-102__bin.21	0.31029460814979565	0.3810700391796407	0.870994615681386	0.6319027410377916	0.7683467236813185	0.647596116158643	0.48238068961701097	0.8818397216078254	0.8079824867467065	1.0	0.5956285265903568	0.8283558230721818	0.5643109440156904	0.8640336585238391	0.86256538265859	0.8611778024048828	0.8755861959781307	0.48285564093065864	0.5432232593956591	0.8293833471924844	0.7753614779132268	0.6435063857127267	0.5270495532537239	0.6731362772117131	0.8643887192146242	0.4400051184073607	0.5237629362750599	0.8950280743875203	0.4677060005256743	0.3806607971496773	0.7833292088909657	0.8843931613159072	0.43872705362646075	0.41662106724173176	0.7782204081507179	0.38054244358608225	0.7427977245374604	0.578621350060637	0.8400574552754181	0.5440102337406029
