	BackhedF_2015__SID133_B__bin.7	OlmMR_2017__S2_005_027G1__bin.6	HeQ_2017__SZAXPI029503-106__bin.19	FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	BritoIL_2016__M1.7.ST__bin.24	BackhedF_2015__SID105_4M__bin.12	OlmMR_2017__S2_005_022G1__bin.2	QinN_2014__LD-66__bin.8	OlmMR_2017__S2_005_023G1__bin.3	YuJ_2015__SZAXPI015267-102__bin.21	QinN_2014__LD-23__bin.10	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	ZellerG_2014__CCIS63468405ST-4-0__bin.73	BackhedF_2015__SID615_B__bin.13	OlmMR_2017__S2_005_025G1__bin.3	OlmMR_2017__S2_005_028G1__bin.7	QinN_2014__LD-51__bin.65	OlmMR_2017__S2_005_024G1__bin.10	FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.11	ZellerG_2014__CCIS59903910ST-4-0__bin.5	FerrettiP_2018__CA_C10002IS2023FE_t2M15__bin.8	BackhedF_2015__SID544_4M__bin.1	QinJ_2012__DLM010__bin.14	OlmMR_2017__S2_005_019G1__bin.4	BackhedF_2015__SID608_B__bin.4	OlmMR_2017__S2_005_026G1__bin.1	GeversD_2014__SKBSTL036__bin.45	QinN_2014__LD-85__bin.60	HeQ_2017__RSZAXPI003097-131__bin.33	OlmMR_2017__S2_005_022G1__bin.11	CM_madagascar__A04_01_1FE__bin.3	QinN_2014__LD-28__bin.14	FengQ_2015__SID530451__bin.19	OlmMR_2017__S2_005_018G1__bin.5	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.4	OlmMR_2017__S2_005_024G1__bin.3	VatanenT_2016__G80587__bin.4	OlmMR_2017__S2_005_021G1__bin.6	BackhedF_2015__SID180_B__bin.11	OlmMR_2017__S2_005_020G1__bin.10
BackhedF_2015__SID133_B__bin.7	1.0	0.3280881991817622	0.8216378965511383	0.6801667673118771	0.6319806205201942	0.7761166598969249	0.48706464511366215	0.7968791747813476	0.7548645614056764	0.6430889173406807	0.5039074022879153	0.80180512719135	0.7286664329432624	0.777249497674864	0.8162107773259468	0.8147165434470701	0.8329539189082749	0.4890515514549282	0.7394550332129195	0.7750525491552752	0.7880411868000846	0.8485982001238631	0.7058475124673933	0.6005020934718582	0.8254124780498201	0.3658494584463983	0.44518825802446066	0.7151380177887192	0.4680596890449104	0.3280881991817622	0.6483824435627478	0.8474329293625066	0.5401257781985486	0.34816730477274516	0.772786873599397	0.3280881991817622	0.8094515891389661	0.4876746940874671	0.8250804260767365	0.5181393042970615
OlmMR_2017__S2_005_027G1__bin.6	0.2849490418690997	1.0	0.895999940980317	0.6348941803909786	0.6409255895932202	0.6292463991286549	0.003271568340768919	0.8312942479953428	0.7422355582859611	0.6854009448514716	0.9138976598695665	0.8631823144836985	0.5079837534908801	0.8149759763062799	0.9999463457426688	0.9998672057131053	0.8935385519252489	0.0031689545736230305	0.4881075338625432	0.8439573234037188	0.7728446414151847	0.6107122066118141	0.45778147694074156	0.5691965543235942	0.8923400499521136	0.9389126159937976	0.8914661562358319	0.7413408735449636	0.05647982465788704	1.000208580925375	0.6159709945084868	0.9205420689618169	0.2909831337842079	0.9745759301636187	0.755481453064597	1.000093224272113	0.751254838943333	0.9898439197654236	0.8264459151672537	0.426030899486797
HeQ_2017__SZAXPI029503-106__bin.19	0.32987850646067096	0.4141950909628116	1.0	0.6625801945099566	0.6494830626156626	0.6594537983821737	0.5102675945816988	0.8773326669640938	0.8323614242898408	0.7229800346557477	0.6298696084470982	0.8632164489857039	0.5785522528871264	0.8692432254958162	0.9254659598274839	0.9234454596723113	0.910322594846779	0.5122065554487312	0.5629739083579011	0.8728532767167508	0.7991705935223081	0.6609165450036414	0.5522420358903083	0.6890572105068489	0.9137363937126078	0.4708351328299807	0.5600384939848498	0.7836093009354695	0.46894887796668916	0.41440808522498795	0.6616761315281424	0.9228675538430583	0.4491968380118179	0.4551560268230154	0.8014930680753845	0.41427197972121005	0.787231443533733	0.6132991509062797	0.8551778533092704	0.5600946103770681
FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	0.38101065470343015	0.4094929856139226	0.9244567641210183	1.0	0.6687750270466214	0.7340658523048998	0.5188054585510797	0.8900888461506851	0.8434933896370237	0.7307160076634618	0.6526975895739546	0.9053543442648835	0.6469642681796337	0.8696670789086531	0.9282867646963403	0.9276997632528445	0.9171025920201544	0.5195321810456066	0.6504546990179297	0.8975412123028927	0.8673333480408124	0.7349573850794355	0.6264988110733475	0.7048671806498024	0.9192814617849948	0.47840920445948065	0.5809631581975379	0.7959307000889803	0.4916472333285318	0.40995454091252986	0.7102977010047371	0.9169005804695926	0.4803229070284014	0.4514084357774136	0.9236443921896365	0.40955181553014625	0.8356266186337704	0.6420662450811052	0.886686227613811	0.5809090865833618
BritoIL_2016__M1.7.ST__bin.24	0.34442297648592196	0.40217898609978914	0.8816224221440473	0.6506488855295812	1.0	0.6782304659931124	0.47698946742021026	0.8913936866806865	0.8241795239443958	0.8469625878153366	0.6097710120274343	0.8533350784525058	0.6034401854090923	0.8746843108876499	0.8779282124747123	0.8775860625019202	0.8848019338838314	0.4767108655973463	0.5794964208924432	0.8417301762387996	0.8000842539047393	0.6934765509431008	0.5598953938533368	0.6725835184716796	0.8816960706621759	0.4606028825609147	0.5383984435332603	0.8919071220642123	0.4653315382734515	0.40187681675112397	0.8200118595156621	0.8992357808910292	0.4591172867380903	0.4360038566572579	0.7929083631469549	0.4018675580802735	0.7738527559906757	0.5978180679594858	0.8492305413250252	0.5490093011765667
BackhedF_2015__SID105_4M__bin.12	0.4224087351954744	0.3943211142585759	0.893957147780477	0.7132129077811494	0.677321442080577	1.0	0.5128884480570243	0.8562332411509074	0.8401191086603849	0.7266674792169256	0.6011982314423328	0.8810628157388183	0.6908781426782217	0.8366097321105853	0.9074142409239537	0.9058175796649491	0.9171068447552683	0.5140807955147225	0.662820361949112	0.8617019845839603	0.8704388611968025	0.7660994225289366	0.6411013138097119	0.695414274546723	0.8956513150705658	0.43973622937453244	0.5305017357754671	0.7848214210663461	0.49315776643943277	0.39424966587372967	0.721875814301445	0.9121659788008439	0.5053220641018098	0.42241335832625854	0.8315667369942925	0.39420175342742103	0.8419347382047122	0.5853181974833357	0.892924088192524	0.5778913480208797
OlmMR_2017__S2_005_022G1__bin.2	0.3565241918207301	0.0027572859217321953	0.9303081569425893	0.6779305772155935	0.6406529533426298	0.6897940288197991	1.0	0.8960054399589403	0.9979227089458045	0.7303783609014821	0.401124054691258	0.8684953234101941	0.6315761806220116	0.8762742838150481	0.998360211878035	0.9994856231675325	0.9185724516726008	0.9993680513201114	0.6306570853147675	0.8779174634326118	0.8294676878083082	0.6972824511016991	0.6293304452864146	0.8739946335234643	0.9106210902414802	0.17983235837255693	0.2874914294079975	0.797974824928171	0.8079644752141023	0.0024509208193175067	0.6952622502234148	0.9276028739533704	0.5745216154145736	0.1132358202982142	0.8359137904428785	0.0024509208193175067	0.804921738412814	0.40596824090471534	0.8738352332303261	0.7426425742355993
QinN_2014__LD-66__bin.8	0.3155052484791747	0.37895906054775697	0.8651767771191806	0.6291087965263087	0.64758280728284	0.6228741542095607	0.4846434632716524	1.0	0.7904613519133338	0.7217732775623502	0.5975335373431899	0.8222747822598866	0.5512855280902861	0.8758061207237346	0.8640623562068352	0.8630812377685043	0.8787372464539555	0.4858162804512839	0.5437585244027606	0.8197738321740197	0.752236561750078	0.6329626444275744	0.5347624418445026	0.6519661962047318	0.8644411675951469	0.4388494773534078	0.5275121325124429	0.7799591959904083	0.453795252903227	0.37940880352774603	0.66365370463168	0.8983675644506761	0.42830574084225764	0.4215479780368887	0.7648385373783501	0.3792296401108367	0.7396813642835588	0.5777063230316407	0.8209356427273564	0.5270428221968186
OlmMR_2017__S2_005_023G1__bin.3	0.33908680329119895	0.3838901916166003	0.9312799184137864	0.676397233283845	0.6793214330313163	0.6933888110335641	0.6124016594746847	0.8968263934176021	1.0	0.7506736412704139	0.6088194280639925	0.8734376517600699	0.6081846373714809	0.8795919995559934	0.9973564263018413	0.9952345603640854	0.9219023601726075	0.6145908201634499	0.5901451346588781	0.8759691831665996	0.8367103273161188	0.6905492500450944	0.5772460490349794	0.7877565178782034	0.9188671587739867	0.48812629212859543	0.5383021603696355	0.8112833178393528	0.5237685754325596	0.383981074218479	0.7083396928029304	0.9305719360075481	0.4763927238417672	0.451591139293197	0.8222152460767854	0.3838933135380389	0.8088412815140625	0.6316427550609816	0.873747762622969	0.6231438442646834
YuJ_2015__SZAXPI015267-102__bin.21	0.32001035977946274	0.39270019812693957	0.8960778858672012	0.6491124251260004	0.7733371708579712	0.6643896414501846	0.49652201914253613	0.9071512450948596	0.8315767307671617	1.0	0.6133765656869963	0.8516376597965241	0.5793545273312194	0.8892740930197528	0.8882784628792502	0.8868878085070082	0.8996019785026891	0.49699312780801513	0.5565357297112019	0.8526632625927423	0.7966747259807591	0.6685823548670213	0.5404707705124402	0.6934923216204294	0.8892260599176444	0.4533813766825035	0.538855321222331	0.9018994978427373	0.480481268627237	0.3923240028712267	0.7886147714469722	0.908968433413824	0.4501950528210417	0.42945973903807755	0.7996708387578717	0.39219757974647745	0.7695575421192665	0.5963278885570549	0.8625465536825635	0.5594788139435869
