	XieH_2016__YSZC12003_37172__bin.63	FengQ_2015__SID31877__bin.4	KarlssonFH_2013__S552__bin.21	XieH_2016__YSZC12003_35519__bin.81	FengQ_2015__SID530373__bin.42	KarlssonFH_2013__S312__bin.88	LeChatelierE_2013__MH0441__bin.21	XieH_2016__YSZC12003_37191R1__bin.4	LiSS_2016__FAT_023-22-84-0__bin.45	XieH_2016__YSZC12003_35705__bin.70	XieH_2016__YSZC12003_35703__bin.62	RaymondF_2016__P1E0__bin.56	LiSS_2016__FAT_015-22-42-0__bin.65	FengQ_2015__SID531663__bin.6	NielsenHB_2014__V1_UC31_4__bin.2	ZellerG_2014__CCMD63399960ST-21-0__bin.3	ZeeviD_2015__PNP_Main_295__bin.23	RaymondF_2016__P1E7__bin.49	LiSS_2016__FAT_023-22-42-0__bin.3	NielsenHB_2014__V1_UC17_2__bin.49	LeChatelierE_2013__MH0203__bin.20	KarlssonFH_2013__S487__bin.70	XieH_2016__YSZC12003_37255__bin.59	LiJ_2014__O2.UC8-0__bin.56	LeChatelierE_2013__MH0131__bin.16	NielsenHB_2014__O2_UC19_2__bin.13	FengQ_2015__SID31285__bin.2
XieH_2016__YSZC12003_37172__bin.63	0.0	20049.0	33299.0	23984.0	26037.0	33429.0	22930.0	32146.0	32293.0	23136.0	25081.0	30131.0	33738.0	35974.0	23127.0	33423.0	34780.0	22448.0	33014.0	34983.0	35180.0	33992.0	25466.0	21184.0	25250.0	26990.0	33704.0
FengQ_2015__SID31877__bin.4	20049.0	0.0	19226.0	15134.0	17146.0	20147.0	14802.0	19908.0	20902.0	15298.0	15291.0	19323.0	20295.0	22571.0	14365.0	19839.0	20239.0	14775.0	20888.0	20451.0	20368.0	19918.0	16365.0	14803.0	16698.0	16552.0	19839.0
KarlssonFH_2013__S552__bin.21	33299.0	19226.0	0.0	22900.0	25742.0	33237.0	22500.0	31813.0	32276.0	23346.0	24290.0	29770.0	32728.0	34370.0	22933.0	32471.0	33307.0	22229.0	33323.0	34834.0	32708.0	32409.0	25450.0	21286.0	24097.0	25294.0	33704.0
XieH_2016__YSZC12003_35519__bin.81	23984.0	15134.0	22900.0	0.0	19083.0	23511.0	17172.0	23403.0	24351.0	17499.0	18717.0	22296.0	23624.0	25609.0	16687.0	23602.0	24095.0	17506.0	24387.0	24476.0	24707.0	24119.0	19803.0	16265.0	19041.0	19438.0	23749.0
FengQ_2015__SID530373__bin.42	26037.0	17146.0	25742.0	19083.0	0.0	21652.0	18929.0	25844.0	26621.0	19310.0	20418.0	25911.0	26131.0	28506.0	18120.0	26184.0	26423.0	18931.0	26864.0	26869.0	26377.0	25234.0	20888.0	18038.0	21645.0	21308.0	25644.0
KarlssonFH_2013__S312__bin.88	33429.0	20147.0	33237.0	23511.0	21652.0	0.0	23137.0	33023.0	32541.0	23662.0	24524.0	30609.0	33360.0	35468.0	22491.0	33192.0	33484.0	22986.0	33025.0	35286.0	32846.0	32494.0	25652.0	21164.0	24214.0	26503.0	32146.0
LeChatelierE_2013__MH0441__bin.21	22930.0	14802.0	22500.0	17172.0	18929.0	23137.0	0.0	22876.0	22159.0	16869.0	17076.0	22154.0	22969.0	24672.0	18368.0	23211.0	23450.0	16568.0	23256.0	24735.0	23327.0	23051.0	18533.0	16873.0	19380.0	20375.0	21691.0
XieH_2016__YSZC12003_37191R1__bin.4	32146.0	19908.0	31813.0	23403.0	25844.0	33023.0	22876.0	0.0	33359.0	23196.0	23527.0	31113.0	33187.0	34716.0	22694.0	32289.0	32925.0	23192.0	33846.0	34100.0	32775.0	33004.0	27064.0	21743.0	24750.0	26578.0	31836.0
LiSS_2016__FAT_023-22-84-0__bin.45	32293.0	20902.0	32276.0	24351.0	26621.0	32541.0	22159.0	33359.0	0.0	23436.0	24027.0	32050.0	33188.0	36738.0	22759.0	34019.0	36254.0	22758.0	12853.0	33846.0	35327.0	34933.0	26429.0	22355.0	27610.0	28290.0	32207.0
XieH_2016__YSZC12003_35705__bin.70	23136.0	15298.0	23346.0	17499.0	19310.0	23662.0	16869.0	23196.0	23436.0	0.0	18670.0	23149.0	24081.0	25132.0	16764.0	23901.0	24669.0	17415.0	24715.0	24922.0	24541.0	24328.0	19040.0	15880.0	18358.0	19797.0	24241.0
XieH_2016__YSZC12003_35703__bin.62	25081.0	15291.0	24290.0	18717.0	20418.0	24524.0	17076.0	23527.0	24027.0	18670.0	0.0	23455.0	25425.0	26363.0	17171.0	24809.0	24917.0	17826.0	25329.0	25742.0	25322.0	25246.0	20186.0	16955.0	20675.0	19898.0	24441.0
RaymondF_2016__P1E0__bin.56	30131.0	19323.0	29770.0	22296.0	25911.0	30609.0	22154.0	31113.0	32050.0	23149.0	23455.0	0.0	30747.0	34621.0	21956.0	30744.0	31636.0	2867.0	32363.0	32787.0	32154.0	30749.0	24328.0	20881.0	24796.0	25663.0	30191.0
LiSS_2016__FAT_015-22-42-0__bin.65	33738.0	20295.0	32728.0	23624.0	26131.0	33360.0	22969.0	33187.0	33188.0	24081.0	25425.0	30747.0	0.0	35158.0	23174.0	33578.0	34803.0	23442.0	34009.0	35492.0	33519.0	34829.0	26080.0	21555.0	25522.0	26947.0	33077.0
FengQ_2015__SID531663__bin.6	35974.0	22571.0	34370.0	25609.0	28506.0	35468.0	24672.0	34716.0	36738.0	25132.0	26363.0	34621.0	35158.0	0.0	24710.0	37012.0	35765.0	25233.0	36089.0	37745.0	36771.0	35420.0	28276.0	24374.0	27154.0	30025.0	35244.0
NielsenHB_2014__V1_UC31_4__bin.2	23127.0	14365.0	22933.0	16687.0	18120.0	22491.0	18368.0	22694.0	22759.0	16764.0	17171.0	21956.0	23174.0	24710.0	0.0	22766.0	24001.0	15372.0	23634.0	25022.0	23197.0	24201.0	18118.0	17749.0	19205.0	19510.0	22978.0
ZellerG_2014__CCMD63399960ST-21-0__bin.3	33423.0	19839.0	32471.0	23602.0	26184.0	33192.0	23211.0	32289.0	34019.0	23901.0	24809.0	30744.0	33578.0	37012.0	22766.0	0.0	35147.0	22713.0	33787.0	35498.0	33726.0	33930.0	27132.0	21919.0	25147.0	27667.0	32820.0
ZeeviD_2015__PNP_Main_295__bin.23	34780.0	20239.0	33307.0	24095.0	26423.0	33484.0	23450.0	32925.0	36254.0	24669.0	24917.0	31636.0	34803.0	35765.0	24001.0	35147.0	0.0	22786.0	33791.0	35030.0	36213.0	34682.0	27758.0	22172.0	26582.0	28383.0	33534.0
RaymondF_2016__P1E7__bin.49	22448.0	14775.0	22229.0	17506.0	18931.0	22986.0	16568.0	23192.0	22758.0	17415.0	17826.0	2867.0	23442.0	25233.0	15372.0	22713.0	22786.0	0.0	23956.0	23284.0	23882.0	22395.0	18507.0	15337.0	18628.0	18909.0	22406.0
LiSS_2016__FAT_023-22-42-0__bin.3	33014.0	20888.0	33323.0	24387.0	26864.0	33025.0	23256.0	33846.0	12853.0	24715.0	25329.0	32363.0	34009.0	36089.0	23634.0	33787.0	33791.0	23956.0	0.0	34200.0	34847.0	33880.0	27151.0	22827.0	26474.0	28079.0	32907.0
NielsenHB_2014__V1_UC17_2__bin.49	34983.0	20451.0	34834.0	24476.0	26869.0	35286.0	24735.0	34100.0	33846.0	24922.0	25742.0	32787.0	35492.0	37745.0	25022.0	35498.0	35030.0	23284.0	34200.0	0.0	33904.0	35643.0	27344.0	22819.0	26176.0	29229.0	33539.0
LeChatelierE_2013__MH0203__bin.20	35180.0	20368.0	32708.0	24707.0	26377.0	32846.0	23327.0	32775.0	35327.0	24541.0	25322.0	32154.0	33519.0	36771.0	23197.0	33726.0	36213.0	23882.0	34847.0	33904.0	0.0	34439.0	27348.0	22561.0	28674.0	27965.0	32769.0
KarlssonFH_2013__S487__bin.70	33992.0	19918.0	32409.0	24119.0	25234.0	32494.0	23051.0	33004.0	34933.0	24328.0	25246.0	30749.0	34829.0	35420.0	24201.0	33930.0	34682.0	22395.0	33880.0	35643.0	34439.0	0.0	27137.0	23639.0	26064.0	28088.0	32695.0
XieH_2016__YSZC12003_37255__bin.59	25466.0	16365.0	25450.0	19803.0	20888.0	25652.0	18533.0	27064.0	26429.0	19040.0	20186.0	24328.0	26080.0	28276.0	18118.0	27132.0	27758.0	18507.0	27151.0	27344.0	27348.0	27137.0	0.0	18624.0	20790.0	21701.0	25164.0
LiJ_2014__O2.UC8-0__bin.56	21184.0	14803.0	21286.0	16265.0	18038.0	21164.0	16873.0	21743.0	22355.0	15880.0	16955.0	20881.0	21555.0	24374.0	17749.0	21919.0	22172.0	15337.0	22827.0	22819.0	22561.0	23639.0	18624.0	0.0	19145.0	19937.0	21134.0
LeChatelierE_2013__MH0131__bin.16	25250.0	16698.0	24097.0	19041.0	21645.0	24214.0	19380.0	24750.0	27610.0	18358.0	20675.0	24796.0	25522.0	27154.0	19205.0	25147.0	26582.0	18628.0	26474.0	26176.0	28674.0	26064.0	20790.0	19145.0	0.0	23200.0	24189.0
