	XieH_2016__YSZC12003_37172__bin.63	FengQ_2015__SID31877__bin.4	KarlssonFH_2013__S552__bin.21	XieH_2016__YSZC12003_35519__bin.81	FengQ_2015__SID530373__bin.42	KarlssonFH_2013__S312__bin.88	LeChatelierE_2013__MH0441__bin.21	XieH_2016__YSZC12003_37191R1__bin.4	LiSS_2016__FAT_023-22-84-0__bin.45	XieH_2016__YSZC12003_35705__bin.70	XieH_2016__YSZC12003_35703__bin.62	RaymondF_2016__P1E0__bin.56	LiSS_2016__FAT_015-22-42-0__bin.65	FengQ_2015__SID531663__bin.6	NielsenHB_2014__V1_UC31_4__bin.2	ZellerG_2014__CCMD63399960ST-21-0__bin.3	ZeeviD_2015__PNP_Main_295__bin.23	RaymondF_2016__P1E7__bin.49	LiSS_2016__FAT_023-22-42-0__bin.3	NielsenHB_2014__V1_UC17_2__bin.49	LeChatelierE_2013__MH0203__bin.20	KarlssonFH_2013__S487__bin.70	XieH_2016__YSZC12003_37255__bin.59	LiJ_2014__O2.UC8-0__bin.56	LeChatelierE_2013__MH0131__bin.16	NielsenHB_2014__O2_UC19_2__bin.13	FengQ_2015__SID31285__bin.2
XieH_2016__YSZC12003_37172__bin.63	2343469.0	1176553.0	2085262.0	1454378.0	1494558.0	2043941.0	1398392.0	1921090.0	1950710.0	1370147.0	1452434.0	1882127.0	2008750.0	1877879.0	1384275.0	1953006.0	2047608.0	1333766.0	1901477.0	2095401.0	2026336.0	1981783.0	1541184.0	1257243.0	1436070.0	1498801.0	2101284.0
FengQ_2015__SID31877__bin.4	1176553.0	1319925.0	1161733.0	859331.0	902913.0	1159796.0	821481.0	1107120.0	1122427.0	801133.0	872367.0	1092776.0	1156858.0	1093349.0	833947.0	1110044.0	1156990.0	814281.0	1103832.0	1182468.0	1139653.0	1131666.0	909476.0	789573.0	864689.0	883243.0	1170376.0
KarlssonFH_2013__S552__bin.21	2085262.0	1161733.0	2265407.0	1445190.0	1478700.0	2038969.0	1383948.0	1914848.0	1921762.0	1367429.0	1427895.0	1865175.0	1990077.0	1854303.0	1374593.0	1922858.0	2006077.0	1314547.0	1882926.0	2072411.0	1959697.0	1961221.0	1530866.0	1278146.0	1408574.0	1460786.0	2088982.0
XieH_2016__YSZC12003_35519__bin.81	1454378.0	859331.0	1445190.0	1627024.0	1057463.0	1429107.0	977854.0	1347365.0	1372665.0	1006876.0	1040592.0	1326857.0	1411098.0	1314666.0	975412.0	1371309.0	1405126.0	963711.0	1337535.0	1438501.0	1392858.0	1381920.0	1115030.0	928247.0	1033038.0	1047576.0	1442386.0
FengQ_2015__SID530373__bin.42	1494558.0	902913.0	1478700.0	1057463.0	1648481.0	1498589.0	1028177.0	1409082.0	1410460.0	1014014.0	1079217.0	1371621.0	1439887.0	1373244.0	1010424.0	1393922.0	1459206.0	981491.0	1375529.0	1500338.0	1438591.0	1405753.0	1143480.0	955175.0	1056383.0	1101279.0	1474255.0
KarlssonFH_2013__S312__bin.88	2043941.0	1159796.0	2038969.0	1429107.0	1498589.0	2241015.0	1374774.0	1897353.0	1909842.0	1364059.0	1425181.0	1841540.0	1952633.0	1833227.0	1341611.0	1893018.0	1992890.0	1313206.0	1861691.0	2065409.0	1917835.0	1944390.0	1520219.0	1242963.0	1380185.0	1467194.0	2021663.0
LeChatelierE_2013__MH0441__bin.21	1398392.0	821481.0	1383948.0	977854.0	1028177.0	1374774.0	1524061.0	1291683.0	1320206.0	928097.0	960162.0	1271639.0	1331626.0	1261498.0	1057507.0	1303003.0	1365464.0	917067.0	1287506.0	1398176.0	1353398.0	1320875.0	1061473.0	945724.0	1055050.0	1107014.0	1380332.0
XieH_2016__YSZC12003_37191R1__bin.4	1921090.0	1107120.0	1914848.0	1347365.0	1409082.0	1897353.0	1291683.0	2116703.0	1796730.0	1277735.0	1345233.0	1753037.0	1850891.0	1739965.0	1283588.0	1798228.0	1865430.0	1239684.0	1762327.0	1913856.0	1832135.0	1824681.0	1468178.0	1192984.0	1296403.0	1372966.0	1900964.0
LiSS_2016__FAT_023-22-84-0__bin.45	1950710.0	1122427.0	1921762.0	1372665.0	1410460.0	1909842.0	1320206.0	1796730.0	2406628.0	1299343.0	1380122.0	1792249.0	1885082.0	1767797.0	1302680.0	1826317.0	1947735.0	1272898.0	1889414.0	1951564.0	1876965.0	1897010.0	1457500.0	1213065.0	1370421.0	1425265.0	1941992.0
XieH_2016__YSZC12003_35705__bin.70	1370147.0	801133.0	1367429.0	1006876.0	1014014.0	1364059.0	928097.0	1277735.0	1299343.0	1508583.0	1006233.0	1271880.0	1364700.0	1239639.0	915410.0	1296525.0	1346123.0	924072.0	1286775.0	1370355.0	1306990.0	1329426.0	1053112.0	855701.0	969903.0	987403.0	1370407.0
XieH_2016__YSZC12003_35703__bin.62	1452434.0	872367.0	1427895.0	1040592.0	1079217.0	1425181.0	960162.0	1345233.0	1380122.0	1006233.0	1576491.0	1348398.0	1415646.0	1312997.0	959337.0	1363924.0	1417221.0	977766.0	1372677.0	1450341.0	1380830.0	1386386.0	1103921.0	925607.0	1022806.0	1052301.0	1437680.0
RaymondF_2016__P1E0__bin.56	1882127.0	1092776.0	1865175.0	1326857.0	1371621.0	1841540.0	1271639.0	1753037.0	1792249.0	1271880.0	1348398.0	2106546.0	1813527.0	1714417.0	1260338.0	1765968.0	1859644.0	1312230.0	1755496.0	1890315.0	1792858.0	1793875.0	1407134.0	1180123.0	1295066.0	1360533.0	1868764.0
LiSS_2016__FAT_015-22-42-0__bin.65	2008750.0	1156858.0	1990077.0	1411098.0	1439887.0	1952633.0	1331626.0	1850891.0	1885082.0	1364700.0	1415646.0	1813527.0	2299084.0	1810186.0	1338649.0	1869477.0	1965985.0	1300078.0	1835105.0	2004929.0	1901423.0	1922303.0	1491437.0	1250335.0	1400511.0	1440281.0	1996122.0
FengQ_2015__SID531663__bin.6	1877879.0	1093349.0	1854303.0	1314666.0	1373244.0	1833227.0	1261498.0	1739965.0	1767797.0	1239639.0	1312997.0	1714417.0	1810186.0	2188231.0	1256093.0	1781179.0	1833623.0	1221022.0	1729624.0	1884872.0	1794462.0	1797550.0	1411952.0	1186233.0	1320630.0	1384844.0	1851276.0
NielsenHB_2014__V1_UC31_4__bin.2	1384275.0	833947.0	1374593.0	975412.0	1010424.0	1341611.0	1057507.0	1283588.0	1302680.0	915410.0	959337.0	1260338.0	1338649.0	1256093.0	1527674.0	1309360.0	1362776.0	881117.0	1284379.0	1400773.0	1363683.0	1340042.0	1036623.0	963550.0	1044786.0	1083872.0	1380148.0
ZellerG_2014__CCMD63399960ST-21-0__bin.3	1953006.0	1110044.0	1922858.0	1371309.0	1393922.0	1893018.0	1303003.0	1798228.0	1826317.0	1296525.0	1363924.0	1765968.0	1869477.0	1781179.0	1309360.0	2135571.0	1911322.0	1249850.0	1776823.0	1948972.0	1852997.0	1867257.0	1456351.0	1203791.0	1338685.0	1416804.0	1919385.0
