	XieH_2016__YSZC12003_37172__bin.63	FengQ_2015__SID31877__bin.4	KarlssonFH_2013__S552__bin.21	XieH_2016__YSZC12003_35519__bin.81	FengQ_2015__SID530373__bin.42	KarlssonFH_2013__S312__bin.88	LeChatelierE_2013__MH0441__bin.21	XieH_2016__YSZC12003_37191R1__bin.4	LiSS_2016__FAT_023-22-84-0__bin.45	XieH_2016__YSZC12003_35705__bin.70	XieH_2016__YSZC12003_35703__bin.62	RaymondF_2016__P1E0__bin.56	LiSS_2016__FAT_015-22-42-0__bin.65	FengQ_2015__SID531663__bin.6	NielsenHB_2014__V1_UC31_4__bin.2	ZellerG_2014__CCMD63399960ST-21-0__bin.3	ZeeviD_2015__PNP_Main_295__bin.23	RaymondF_2016__P1E7__bin.49	LiSS_2016__FAT_023-22-42-0__bin.3	NielsenHB_2014__V1_UC17_2__bin.49	LeChatelierE_2013__MH0203__bin.20	KarlssonFH_2013__S487__bin.70	XieH_2016__YSZC12003_37255__bin.59	LiJ_2014__O2.UC8-0__bin.56	LeChatelierE_2013__MH0131__bin.16	NielsenHB_2014__O2_UC19_2__bin.13	FengQ_2015__SID31285__bin.2
XieH_2016__YSZC12003_37172__bin.63	1.0	0.982959543683965	0.9840312632177636	0.9835091014853085	0.9825787958714215	0.9836448312353439	0.9836025949805205	0.9832667912487182	0.9834455147100286	0.9831142205909293	0.982731745470018	0.9839909846678784	0.9832044803982576	0.9808432811698731	0.9832930595438045	0.9828863813014399	0.9830143269610199	0.98316946150974	0.9826377074242812	0.9833048662284689	0.9826386147213493	0.9828477689030535	0.9834763402682613	0.98315043313027	0.9824172916362016	0.9819922724898101	0.983960283331525
FengQ_2015__SID31877__bin.4	0.982959543683965	1.0	0.9834505863223305	0.9823886255703564	0.9810103520494222	0.9826288416238718	0.9819813239746263	0.9820182094081943	0.9813778535263318	0.9809045439396454	0.9824718266509394	0.9823175106334693	0.9824567924498945	0.9793560884950734	0.9827746847221706	0.9821277354771523	0.9825071953949472	0.9818551581088101	0.9810768305321824	0.9827048173819503	0.9821278933148949	0.9823994005298383	0.9820061222066333	0.9812518918453392	0.9806890107310259	0.981259970359233	0.9830490372324792
KarlssonFH_2013__S552__bin.21	0.9840312632177636	0.9834505863223305	1.0	0.9841543326483023	0.9825914654764321	0.9836991146015461	0.9837421637229145	0.9833861486655859	0.9832049962482347	0.9829270843312523	0.9829889452655832	0.9840390311901028	0.9835544051813071	0.9814647336492471	0.9833165162342599	0.9831131576018614	0.9833969483723706	0.9830899922178514	0.9823025440192551	0.9831915580451946	0.9833096647083708	0.9834750902626476	0.9833754227999054	0.9833461904977991	0.9828926275793817	0.9826846642834748	0.9838658255552226
XieH_2016__YSZC12003_35519__bin.81	0.9835091014853085	0.9823886255703564	0.9841543326483023	1.0	0.9819539785316366	0.983548467679467	0.9824390962249988	0.9826305418353601	0.982260056168111	0.9826205014321525	0.9820131232990451	0.9831963806197653	0.9832584271255433	0.9805205276473264	0.9828923572808208	0.982788707723788	0.9828520716291635	0.9818348031723203	0.9817672060918032	0.9829850657038125	0.9822616519415476	0.982546746555517	0.9822399397325633	0.9824777241402343	0.9815679578098773	0.9814447830038107	0.9835349206107104
FengQ_2015__SID530373__bin.42	0.9825787958714215	0.9810103520494222	0.9825914654764321	0.9819539785316366	1.0	0.9855517423389601	0.9815897457344407	0.9816589808116206	0.9811260156261078	0.9809568704179626	0.9810807279722243	0.981109213113535	0.9818520481121088	0.9792418535963019	0.9820669342770956	0.9812155916902093	0.9818922071318238	0.980711998377978	0.9804700591554231	0.9820913687449094	0.9816646983054947	0.9820494781088854	0.9817329555392311	0.9811155023948491	0.9795102723160066	0.9806515878355985	0.9826054515670627
KarlssonFH_2013__S312__bin.88	0.9836448312353439	0.9826288416238718	0.9836991146015461	0.983548467679467	0.9855517423389601	1.0	0.9831703247224635	0.9825952260860261	0.9829614177507877	0.9826532430048847	0.9827923611106238	0.9833785853144651	0.9829153763149553	0.9806526960381884	0.9832358261821049	0.9824660938247813	0.9831982698493144	0.9824962724812406	0.9822607511128324	0.9829157324287828	0.9828733963036445	0.983288332073298	0.9831261153820601	0.9829729444882913	0.9824559751047867	0.9819362674601996	0.9840992291989318
LeChatelierE_2013__MH0441__bin.21	0.9836025949805205	0.9819813239746263	0.9837421637229145	0.9824390962249988	0.9815897457344407	0.9831703247224635	1.0	0.9822897723357821	0.9832154981874041	0.9818240981276741	0.9822155011341837	0.9825783889924735	0.9827511628640474	0.9804422995518027	0.9826308478336314	0.9821865337224857	0.9828263506031649	0.9819337082241537	0.9819371715549287	0.9823090941340719	0.9827641240788002	0.9825486893157944	0.9825403001301022	0.9821586424792011	0.9816312023126866	0.9815946320462072	0.9842856646082246
XieH_2016__YSZC12003_37191R1__bin.4	0.9832667912487182	0.9820182094081943	0.9833861486655859	0.9826305418353601	0.9816589808116206	0.9825952260860261	0.9822897723357821	1.0	0.9814334930679623	0.9818460009313356	0.9825108364127255	0.9822519433417549	0.9820697166932034	0.9800478745262118	0.9823198721084959	0.9820439899723505	0.9823499139608562	0.9812920066726682	0.9807947106297525	0.9821825675494917	0.9821110343942996	0.9819124548345711	0.9815662678503561	0.9817742735862341	0.9809087143426851	0.9806419095593044	0.983252707573631
LiSS_2016__FAT_023-22-84-0__bin.45	0.9834455147100286	0.9813778535263318	0.9832049962482347	0.982260056168111	0.9811260156261078	0.9829614177507877	0.9832154981874041	0.9814334930679623	1.0	0.9819631921671184	0.9825906695205207	0.9821174401548	0.9823943998192121	0.9792182020899458	0.9825290938680259	0.981372894190877	0.9813865849307015	0.9821211126107512	0.9931973617216767	0.9826569869089612	0.9811786580996449	0.9815852314958804	0.9818668953687821	0.981571473911126	0.979852906515589	0.9801510596275078	0.9834154826590429
XieH_2016__YSZC12003_35705__bin.70	0.9831142205909293	0.9809045439396454	0.9829270843312523	0.9826205014321525	0.9809568704179626	0.9826532430048847	0.9818240981276741	0.9818460009313356	0.9819631921671184	1.0	0.9814456492681118	0.9817993835896468	0.9823543635963948	0.9797263558181051	0.9816868943970462	0.9815653381153467	0.9816740372165099	0.9811540659169415	0.9807930679411707	0.9818134716916419	0.981223268731972	0.9817003729429092	0.981920251597171	0.9814421158792616	0.9810723340375275	0.9799504356377284	0.9823110944412864
