	CM_madagascar__V12_01_2FE__bin.49	ZeeviD_2015__PNP_Main_698__bin.3	XieH_2016__YSZC12003_37100__bin.68	BritoIL_2016__W3.17.ST__bin.75	Obregon-TitoAJ_2015__HCO67__bin.11	LeChatelierE_2013__MH0175__bin.63	BritoIL_2016__W1.33.ST__bin.25	BritoIL_2016__M1.15.ST__bin.41	XieH_2016__YSZC12003_36244__bin.14	BritoIL_2016__W3.18.ST__bin.62	LeChatelierE_2013__MH0189__bin.81	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.45	Obregon-TitoAJ_2015__HCO12__bin.13	CM_madagascar__A81_03_1FE__bin.52	LeChatelierE_2013__MH0407__bin.67	CosteaPI_2017__SID713B076-11-0-0__bin.33	CM_madagascar__A39_02_1FE__bin.21	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.17	ZeeviD_2015__PNP_Main_257__bin.39	XieH_2016__YSZC12003_37315__bin.79	CosteaPI_2017__SID713B046-11-0-0__bin.22	Obregon-TitoAJ_2015__HCO11__bin.22	BritoIL_2016__W1.5.ST__bin.29	RampelliS_2015__H10__bin.58	CM_madagascar__A32_01_1FE__bin.4	CosteaPI_2017__SID713B041-11-0-0__bin.41	RampelliS_2015__H14__bin.94	CosteaPI_2017__SID713A028-11-0-0__bin.67	ZellerG_2014__CCMD86114146ST-21-0__bin.29	LiuW_2016__SRR3993051__bin.74	RampelliS_2015__H13__bin.18	ZeeviD_2015__PNP_Main_438__bin.9	ZellerG_2014__CCMD87156761ST-21-0__bin.33	LeChatelierE_2013__MH0430__bin.47	BritoIL_2016__M1.29.ST__bin.68	NielsenHB_2014__MH0175__bin.23	BritoIL_2016__W2.61.ST__bin.52	CM_madagascar__A90_04_1FE__bin.83	BritoIL_2016__W3.22.ST__bin.21	BritoIL_2016__WL.14.ST__bin.43	CosteaPI_2017__SID713A028-11-90-0__bin.78	BritoIL_2016__W2.35.ST__bin.34	XieH_2016__YSZC12003_35520__bin.2	BritoIL_2016__W1.2.ST__bin.41	LeChatelierE_2013__MH0257__bin.12	CM_madagascar__A08_01_1FE__bin.2	LiJ_2014__MH0252__bin.12	ZellerG_2014__CCMD18872694ST-21-0__bin.35
CM_madagascar__V12_01_2FE__bin.49	3228404.0	2357089.0	2284890.0	1652685.0	2251033.0	2045080.0	2060946.0	2494983.0	1918122.0	2161819.0	2273997.0	1785825.0	1997452.0	2466921.0	2109899.0	2427314.0	2606471.0	1280367.0	2342220.0	1914871.0	2058958.0	1347336.0	2395923.0	2082150.0	2481667.0	2385875.0	2363865.0	2283136.0	2081252.0	2054850.0	1619153.0	2286538.0	2365282.0	2396493.0	2487229.0	1982381.0	2434578.0	2539800.0	2320905.0	2547151.0	2320952.0	2469331.0	1940139.0	2431691.0	2062797.0	2491798.0	2051875.0	1303005.0
ZeeviD_2015__PNP_Main_698__bin.3	2357089.0	2878648.0	2280728.0	1627364.0	2202934.0	1962832.0	1975647.0	2415438.0	1871890.0	2061568.0	2217368.0	1714916.0	1928224.0	2368575.0	2042063.0	2356967.0	2379093.0	1255347.0	2334347.0	1822319.0	2010207.0	1284229.0	2335434.0	2015776.0	2385904.0	2372373.0	2264155.0	2289402.0	1963104.0	1978296.0	1578624.0	2267791.0	2248026.0	2330332.0	2411375.0	1894399.0	2401934.0	2359230.0	2208613.0	2396758.0	2293037.0	2377236.0	1853650.0	2331456.0	1947544.0	2282537.0	1994754.0	1219234.0
XieH_2016__YSZC12003_37100__bin.68	2284890.0	2280728.0	2780356.0	1549964.0	2140488.0	1960072.0	1875801.0	2391567.0	1868263.0	2069575.0	2219710.0	1711013.0	1885473.0	2334123.0	2054977.0	2300170.0	2304446.0	1264987.0	2384749.0	1755948.0	2008023.0	1254770.0	2267093.0	1999279.0	2328356.0	2357517.0	2258651.0	2224161.0	2034603.0	2007506.0	1590311.0	2326738.0	2276274.0	2291078.0	2347616.0	1903436.0	2301588.0	2336138.0	2195061.0	2350216.0	2241749.0	2339103.0	1888083.0	2213786.0	1993761.0	2208839.0	1998746.0	1257569.0
BritoIL_2016__W3.17.ST__bin.75	1652685.0	1627364.0	1549964.0	2051494.0	1478158.0	1365361.0	1440761.0	1686206.0	1267818.0	1487261.0	1558941.0	1177595.0	1363013.0	1657481.0	1374833.0	1639164.0	1691948.0	865433.0	1621786.0	1304125.0	1399161.0	922242.0	1632130.0	1397008.0	1681263.0	1617309.0	1597515.0	1568889.0	1345438.0	1380211.0	1137090.0	1533290.0	1580371.0	1612096.0	1675760.0	1332702.0	1698232.0	1667956.0	1591269.0	1705205.0	1579628.0	1712355.0	1274752.0	1636860.0	1343452.0	1645550.0	1351727.0	915141.0
Obregon-TitoAJ_2015__HCO67__bin.11	2251033.0	2202934.0	2140488.0	1478158.0	2911278.0	1879980.0	1906916.0	2245894.0	1806605.0	1965513.0	2078727.0	1671610.0	1932802.0	2213843.0	1919896.0	2242519.0	2260169.0	1258028.0	2158144.0	1719309.0	1937360.0	1341646.0	2156306.0	1916197.0	2252958.0	2175017.0	2161101.0	2120013.0	1892595.0	1939980.0	1531448.0	2137833.0	2102209.0	2179599.0	2228187.0	1810313.0	2164933.0	2255646.0	2089838.0	2224327.0	2142077.0	2295013.0	1800884.0	2248432.0	1864334.0	2166682.0	1908156.0	1158146.0
LeChatelierE_2013__MH0175__bin.63	2045080.0	1962832.0	1960072.0	1365361.0	1879980.0	2466030.0	1675217.0	2059187.0	1926689.0	1825017.0	1915384.0	1752774.0	1671500.0	1971140.0	2227335.0	2039363.0	2019382.0	1252905.0	1961324.0	1570892.0	1963159.0	1145099.0	1952332.0	1753511.0	1975872.0	1977053.0	1982366.0	1929214.0	2176800.0	1771389.0	1415369.0	2021497.0	1963423.0	2066741.0	2039823.0	2331713.0	1996819.0	1992434.0	1910359.0	2023341.0	1956358.0	2047357.0	2013007.0	1927313.0	2130600.0	1964500.0	2170559.0	1306601.0
BritoIL_2016__W1.33.ST__bin.25	2060946.0	1975647.0	1875801.0	1440761.0	1906916.0	1675217.0	2510916.0	2053418.0	1613291.0	1769565.0	1970179.0	1472968.0	1735731.0	2015937.0	1720014.0	2002332.0	2083327.0	1125252.0	1938447.0	1596776.0	1706196.0	1184407.0	2005832.0	1739906.0	2007769.0	1941448.0	1877961.0	1861048.0	1680333.0	1703600.0	1321126.0	1928800.0	1912437.0	1967293.0	2037893.0	1624760.0	2053707.0	2014509.0	1953604.0	2046156.0	1884604.0	2131986.0	1596918.0	2064549.0	1671240.0	1957594.0	1665868.0	1083405.0
BritoIL_2016__M1.15.ST__bin.41	2494983.0	2415438.0	2391567.0	1686206.0	2245894.0	2059187.0	2053418.0	3198881.0	1929140.0	2191147.0	2302185.0	1767295.0	1995310.0	2505288.0	2137242.0	2388616.0	2499657.0	1264822.0	2394319.0	1912848.0	2048422.0	1320943.0	2386546.0	2079600.0	2502670.0	2370886.0	2355130.0	2254326.0	2078818.0	2062695.0	1645659.0	2305883.0	2389625.0	2379003.0	2555838.0	1995927.0	2476514.0	2486044.0	2354304.0	2517427.0	2276956.0	2535102.0	1949791.0	2366075.0	2056932.0	2380137.0	2075178.0	1281602.0
XieH_2016__YSZC12003_36244__bin.14	1918122.0	1871890.0	1868263.0	1267818.0	1806605.0	1926689.0	1613291.0	1929140.0	2392674.0	1683603.0	1905819.0	1665013.0	1582864.0	1923144.0	2077524.0	1913661.0	1914613.0	1209285.0	1921507.0	1444327.0	1811033.0	1077015.0	1900911.0	1607592.0	1881079.0	1922400.0	1844999.0	1861498.0	1955235.0	1693271.0	1276754.0	1880578.0	1898109.0	1981074.0	1901322.0	1857333.0	1901028.0	1884984.0	1787866.0	1913023.0	1901629.0	1921483.0	1846508.0	1885651.0	1960447.0	1881979.0	2032827.0	1152959.0
BritoIL_2016__W3.18.ST__bin.62	2161819.0	2061568.0	2069575.0	1487261.0	1965513.0	1825017.0	1769565.0	2191147.0	1683603.0	2570008.0	2070738.0	1563470.0	1744454.0	2131733.0	1858821.0	2122354.0	2172186.0	1097330.0	2116338.0	1671338.0	1831181.0	1149619.0	2128016.0	1793224.0	2153545.0	2100622.0	2014364.0	2007226.0	1836354.0	1808200.0	1403187.0	2012722.0	2066620.0	2075832.0	2166364.0	1783724.0	2153972.0	2123745.0	1988200.0	2208214.0	2058680.0	2204372.0	1743719.0	2106580.0	1787232.0	2096530.0	1862241.0	1160346.0
