	CM_madagascar__V12_01_2FE__bin.49	ZeeviD_2015__PNP_Main_698__bin.3	XieH_2016__YSZC12003_37100__bin.68	BritoIL_2016__W3.17.ST__bin.75	Obregon-TitoAJ_2015__HCO67__bin.11	LeChatelierE_2013__MH0175__bin.63	BritoIL_2016__W1.33.ST__bin.25	BritoIL_2016__M1.15.ST__bin.41	XieH_2016__YSZC12003_36244__bin.14	BritoIL_2016__W3.18.ST__bin.62	LeChatelierE_2013__MH0189__bin.81	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.45	Obregon-TitoAJ_2015__HCO12__bin.13	CM_madagascar__A81_03_1FE__bin.52	LeChatelierE_2013__MH0407__bin.67	CosteaPI_2017__SID713B076-11-0-0__bin.33	CM_madagascar__A39_02_1FE__bin.21	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.17	ZeeviD_2015__PNP_Main_257__bin.39	XieH_2016__YSZC12003_37315__bin.79	CosteaPI_2017__SID713B046-11-0-0__bin.22	Obregon-TitoAJ_2015__HCO11__bin.22	BritoIL_2016__W1.5.ST__bin.29	RampelliS_2015__H10__bin.58	CM_madagascar__A32_01_1FE__bin.4	CosteaPI_2017__SID713B041-11-0-0__bin.41	RampelliS_2015__H14__bin.94	CosteaPI_2017__SID713A028-11-0-0__bin.67	ZellerG_2014__CCMD86114146ST-21-0__bin.29	LiuW_2016__SRR3993051__bin.74	RampelliS_2015__H13__bin.18	ZeeviD_2015__PNP_Main_438__bin.9	ZellerG_2014__CCMD87156761ST-21-0__bin.33	LeChatelierE_2013__MH0430__bin.47	BritoIL_2016__M1.29.ST__bin.68	NielsenHB_2014__MH0175__bin.23	BritoIL_2016__W2.61.ST__bin.52	CM_madagascar__A90_04_1FE__bin.83	BritoIL_2016__W3.22.ST__bin.21	BritoIL_2016__WL.14.ST__bin.43	CosteaPI_2017__SID713A028-11-90-0__bin.78	BritoIL_2016__W2.35.ST__bin.34	XieH_2016__YSZC12003_35520__bin.2	BritoIL_2016__W1.2.ST__bin.41	LeChatelierE_2013__MH0257__bin.12	CM_madagascar__A08_01_1FE__bin.2	LiJ_2014__MH0252__bin.12	ZellerG_2014__CCMD18872694ST-21-0__bin.35
CM_madagascar__V12_01_2FE__bin.49	1.0	0.730109676484108	0.707745994615296	0.5119201314333646	0.6972587693485698	0.6334647088778232	0.6383792115237127	0.7728224224725282	0.5941393951934144	0.6696246814215321	0.7043718815860717	0.5531603231813614	0.6187119084228616	0.7641302017963055	0.653542431492465	0.7518619107150158	0.8073558947393201	0.39659441631220876	0.725503995162935	0.5931323960693891	0.6377634273777384	0.4173381026662091	0.742138530369805	0.6449471627466699	0.7686977837965756	0.7390261565776773	0.7322085463901048	0.70720269210421	0.6446690067290215	0.636490972009699	0.5015335751039832	0.7082564635652787	0.7326474629569285	0.7423150881983791	0.7704206165027673	0.6140436574852466	0.7541119389023183	0.7867045140571006	0.7189016616259923	0.7889814905445539	0.7189162199030852	0.7648767006855399	0.6009591736350222	0.7532176889881192	0.6389525598407139	0.7718358668865483	0.6355694640447725	0.4036065498617893
ZeeviD_2015__PNP_Main_698__bin.3	0.818818070149598	1.0	0.7922913812317449	0.5653223318724624	0.765266889178531	0.6818589838007286	0.6863107264243492	0.8390876550380595	0.6502670698188872	0.7161584188132762	0.7702810486033721	0.5957366096862138	0.6698366733272009	0.8228081377090912	0.7093826685305046	0.8187756891429587	0.8264619362978731	0.4360890946027441	0.8109178336496855	0.6330468330966481	0.6983163624034616	0.4461222768466308	0.8112954414711351	0.7002509511409523	0.8288279775783631	0.8241275070797124	0.786534164649516	0.795304601326734	0.6819534726024161	0.687230950084901	0.5483907723347905	0.7877972576014851	0.7809311871406299	0.8095230816688945	0.8376762285628531	0.6580863655438247	0.8343965639425175	0.8195618220775864	0.767239690299057	0.8325984976280532	0.7965673468934027	0.8258168417951761	0.6439307619410223	0.809913542746456	0.676548157329413	0.7929198012400266	0.6929482173575928	0.4235439692522323
XieH_2016__YSZC12003_37100__bin.68	0.8217976403021772	0.820300709693291	1.0	0.5574696189984304	0.7698611256975726	0.704971593565716	0.6746621655644097	0.8601657485588177	0.6719510019580226	0.7443561184251225	0.798354599195211	0.615393496372407	0.6781408567823689	0.8395050849603433	0.7391057116426817	0.8272933394140894	0.8288312719666114	0.45497303223040503	0.8577135445964473	0.6315550958222617	0.7222179461910633	0.45129832294857203	0.8153966614347228	0.7190730251809481	0.837430890145003	0.847919115393856	0.8123603596086256	0.799955473327876	0.7317778730493505	0.7220319987800123	0.5719810700500224	0.8368489502783096	0.8186987565621093	0.8240232545760328	0.8443580606224527	0.684601540234416	0.8278033460463337	0.840229812297418	0.78948918771553	0.8452931926702911	0.8062812819653311	0.8412962224981262	0.6790795854919298	0.7962239367908283	0.717088387242497	0.7944446682367294	0.7188813231111412	0.4523050285646874
BritoIL_2016__W3.17.ST__bin.75	0.8056006988077957	0.7932579866185326	0.7555293849263025	1.0	0.7205275764881593	0.6655447200917965	0.7022984225154936	0.8219404979980444	0.6179974204165355	0.7249648305088877	0.7599052202931132	0.5740182520641055	0.6644001883505387	0.8079385072537381	0.6701618430275692	0.7990098923028778	0.8247394337980029	0.421854999332194	0.7905389925585938	0.6356952542878507	0.6820205177300055	0.44954652560524183	0.7955811715754469	0.6809710386674297	0.8195310344558648	0.7883566805459826	0.7787081024853107	0.7647543692547968	0.6558332610283043	0.6727833471606546	0.5542741046281393	0.7474016497245423	0.7703512659554451	0.7858156056025511	0.816848599118496	0.6496251024862856	0.8278025672997338	0.81304454217268	0.7756634920696819	0.8312015535994743	0.7699890908771851	0.8346868184844801	0.6213773961805397	0.7978868083455277	0.6548651860546509	0.8021227456673039	0.6588988317782065	0.4460851457523151
Obregon-TitoAJ_2015__HCO67__bin.11	0.7732112838416668	0.7566896737446579	0.7352399873869826	0.5077350909119638	1.0	0.6457576363370313	0.6550099303467412	0.7714460796942099	0.6205539285495923	0.6751375169255565	0.71402559288395	0.5741842585970834	0.6639015580099187	0.7604368253392496	0.6594684533733982	0.7702867950089274	0.7763494245482568	0.4321222500908536	0.7413046778768637	0.5905684719906515	0.6654671934456277	0.4608443439616553	0.7406733400245528	0.6581978773583286	0.7738725054769761	0.7471004143197593	0.7423203830070505	0.7282069936296018	0.6500907848717986	0.6663671418531655	0.5260397667278769	0.7343280167678937	0.7220914663594477	0.7486742935576747	0.7653638711246401	0.6218275959904894	0.7436366434260143	0.7747958113240989	0.7178421298137794	0.7640379929364355	0.7357857957914016	0.7883180513849931	0.6185888121986289	0.7723178617775424	0.6403833642819408	0.7442374105118096	0.655435860127408	0.39781360625814505
LeChatelierE_2013__MH0175__bin.63	0.8293005356788036	0.7959481433721406	0.794828935576615	0.553667635835736	0.7623508229826887	1.0	0.6793173643467435	0.8350210662481803	0.7812917928816762	0.7400627729589664	0.7767075015308005	0.7107675089110838	0.6778100834134215	0.7993171210407011	0.9032067736402234	0.8269822346037964	0.8188797378782902	0.5080655953090595	0.79533663418531	0.6370125262060883	0.7960807451653061	0.46434917661180114	0.7916902876282933	0.7110663698332949	0.8012359946959283	0.8017149020895934	0.8038693770959802	0.7823157058105538	0.8827143222101921	0.718316078879819	0.5739463834584332	0.8197373916781223	0.7961877998240087	0.8380842893233253	0.8271687692363839	0.9455331038146333	0.8097302141498685	0.8079520524892235	0.7746698134248164	0.8204851522487561	0.7933228711735056	0.8302238821101122	0.8162946111766686	0.781544831165882	0.8639797569372636	0.7966245341703061	0.8801835338580634	0.5298398640730243
BritoIL_2016__W1.33.ST__bin.25	0.8207944829695617	0.7868232151135283	0.7470584440100744	0.5737989642027053	0.7594503360526597	0.667173652961708	1.0	0.8177963739129465	0.6425109402305772	0.7047487849055882	0.7846455237849455	0.5866257572933543	0.6912740211142069	0.8028691521341216	0.6850145524581468	0.7974508107798111	0.8297079631497032	0.448144023933895	0.7720079046849835	0.6359336592701628	0.6795113815038017	0.47170315534251245	0.7988447243953999	0.692936760927088	0.7996161560163701	0.7732030860450927	0.7479186878414092	0.7411828989898507	0.669211156406666	0.6784774958620678	0.5261530055167118	0.7681658804993875	0.7616491352159929	0.7834961424436341	0.8116133713752272	0.6470785960183455	0.8179114713514909	0.8023004353789613	0.7780443471625494	0.814904202291116	0.750564335883797	0.849086946755686	0.6359902123368524	0.8222294174715522	0.665589768833366	0.7796334086843207	0.6634503105639535	0.4314779944848812
BritoIL_2016__M1.15.ST__bin.41	0.7799549279888811	0.7550884199818624	0.7476261230098901	0.5271237035700922	0.7020873861828558	0.6437210387007206	0.6419175955591971	1.0	0.6030671350387838	0.684972963983343	0.7196844771656088	0.552472880360351	0.6237524934500533	0.7831763669858304	0.66812175882754	0.7467036129196428	0.7814160639298555	0.3953951397379271	0.7484864238463388	0.5979741040695168	0.6403557994186092	0.41293908713703326	0.7460565116364128	0.6501023326594518	0.782357955797668	0.7411610497545861	0.7362355773784646	0.7047233079317424	0.649857872174676	0.6448176721797404	0.5144483336516739	0.7208405064145869	0.747019035719053	0.7436984995690681	0.7989787678878958	0.62394537339776	0.7741813465396181	0.7771605133170005	0.7359773620838037	0.7869711314675351	0.7117976567430924	0.7924965011202355	0.6095228300146207	0.7396570863373786	0.6430161046941102	0.7440529985329245	0.6487199742660011	0.40064072405319234
XieH_2016__YSZC12003_36244__bin.14	0.8016645811339113	0.7823422664349594	0.78082638921976	0.5298749432643143	0.7550568945038062	0.8052450939827156	0.6742627704401017	0.806269470893235	1.0	0.7036491389967877	0.7965226353443887	0.6958795891124324	0.6615460359413777	0.8037634880472643	0.8682854413095975	0.7998001399271275	0.8001980211261542	0.5054115186607119	0.8030793162796102	0.6036455446918385	0.7569075436102035	0.4501302726572864	0.7944713738687343	0.671880916497609	0.7861827394789261	0.8034525388749156	0.7711033763897631	0.777999008640542	0.8171756787594131	0.7076898064675756	0.533609676871985	0.7859733503185139	0.7933002991631957	0.8279748933619875	0.7946431482099108	0.7762582783948001	0.7945202731337407	0.7878148046913203	0.747225071196494	0.7995334926529899	0.7947714565377482	0.8030692856611473	0.7717340515256153	0.7880935722961006	0.8193539947355971	0.7865588876712832	0.8496046682498326	0.4818704930132563
BritoIL_2016__W3.18.ST__bin.62	0.8411720897366857	0.8021640399562958	0.8052795944604063	0.5786989768125236	0.7647886699185372	0.7101211358096939	0.6885445492776676	0.8525837273658292	0.6550964043691693	1.0	0.805732122234639	0.6083521918997917	0.6787737625719453	0.8294655113914042	0.72327440225867	0.8258161064090073	0.8452059293200643	0.4269753245904293	0.8234752576645675	0.6503240456839045	0.7125195719235116	0.4473211756539279	0.8280192123915567	0.6977503571973317	0.8379526445053868	0.8173601016027966	0.7837967819555426	0.7810193586946033	0.7145324061248058	0.7035775764122135	0.5459854599674397	0.7831578734385263	0.8041297925920853	0.8077142172320086	0.8429405667219713	0.6940538706494299	0.8381187918481188	0.8263573498603896	0.7736162688987739	0.8592245627250966	0.8010403080457337	0.8577296257443556	0.6784877712442918	0.8196783823241017	0.6954188469452235	0.8157678886602687	0.7246051374159147	0.45149509262227977
