	CM_madagascar__V12_01_2FE__bin.49	ZeeviD_2015__PNP_Main_698__bin.3	XieH_2016__YSZC12003_37100__bin.68	BritoIL_2016__W3.17.ST__bin.75	Obregon-TitoAJ_2015__HCO67__bin.11	LeChatelierE_2013__MH0175__bin.63	BritoIL_2016__W1.33.ST__bin.25	BritoIL_2016__M1.15.ST__bin.41	XieH_2016__YSZC12003_36244__bin.14	BritoIL_2016__W3.18.ST__bin.62	LeChatelierE_2013__MH0189__bin.81	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.45	Obregon-TitoAJ_2015__HCO12__bin.13	CM_madagascar__A81_03_1FE__bin.52	LeChatelierE_2013__MH0407__bin.67	CosteaPI_2017__SID713B076-11-0-0__bin.33	CM_madagascar__A39_02_1FE__bin.21	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.17	ZeeviD_2015__PNP_Main_257__bin.39	XieH_2016__YSZC12003_37315__bin.79	CosteaPI_2017__SID713B046-11-0-0__bin.22	Obregon-TitoAJ_2015__HCO11__bin.22	BritoIL_2016__W1.5.ST__bin.29	RampelliS_2015__H10__bin.58	CM_madagascar__A32_01_1FE__bin.4	CosteaPI_2017__SID713B041-11-0-0__bin.41	RampelliS_2015__H14__bin.94	CosteaPI_2017__SID713A028-11-0-0__bin.67	ZellerG_2014__CCMD86114146ST-21-0__bin.29	LiuW_2016__SRR3993051__bin.74	RampelliS_2015__H13__bin.18	ZeeviD_2015__PNP_Main_438__bin.9	ZellerG_2014__CCMD87156761ST-21-0__bin.33	LeChatelierE_2013__MH0430__bin.47	BritoIL_2016__M1.29.ST__bin.68	NielsenHB_2014__MH0175__bin.23	BritoIL_2016__W2.61.ST__bin.52	CM_madagascar__A90_04_1FE__bin.83	BritoIL_2016__W3.22.ST__bin.21	BritoIL_2016__WL.14.ST__bin.43	CosteaPI_2017__SID713A028-11-90-0__bin.78	BritoIL_2016__W2.35.ST__bin.34	XieH_2016__YSZC12003_35520__bin.2	BritoIL_2016__W1.2.ST__bin.41	LeChatelierE_2013__MH0257__bin.12	CM_madagascar__A08_01_1FE__bin.2	LiJ_2014__MH0252__bin.12	ZellerG_2014__CCMD18872694ST-21-0__bin.35
CM_madagascar__V12_01_2FE__bin.49	1.0	0.9756343523727784	0.9756727894997134	0.9741523641831323	0.9686379542192407	0.9758860289084046	0.9723316379953671	0.9755212760968712	0.9758988218684734	0.9734085045972859	0.9751490437322476	0.9758845351588201	0.9660722760797256	0.9743210260887966	0.9759329711990953	0.9752821431425848	0.9739091668389942	0.9759873536259526	0.9757768271127392	0.9762109301357638	0.9761131601518827	0.9652492028714441	0.9726890221430321	0.9626122037317196	0.9737067866075505	0.9754509351914916	0.9560368295143759	0.9754815306665919	0.9759865696225157	0.9771516169063436	0.9557861425078421	0.9747574717761087	0.9755191981336686	0.9750464532965463	0.9772164123206991	0.9759551771329528	0.9724757226919819	0.9711930073234113	0.9726869475484778	0.9755495453547905	0.9753954411810326	0.9733377177867204	0.9755429894456016	0.9714754053866219	0.9763403766827274	0.9750409142314104	0.9759171489491318	0.9765618704456238
ZeeviD_2015__PNP_Main_698__bin.3	0.9756343523727784	1.0	0.9787554675524657	0.9763838944452501	0.9724921400277993	0.9779955696666857	0.9753979329303262	0.9775949537930595	0.978297335847726	0.9756709456103315	0.9792059775373325	0.9791418355184743	0.968866169075792	0.9763773576939722	0.9779517086397432	0.9796933940950382	0.9730098823375126	0.979465438639675	0.9789735630563923	0.9786524752252487	0.9789593808000867	0.9690016344437012	0.9737586247352741	0.9649479902528852	0.9751825723080224	0.9795356800975226	0.9562022034710521	0.9793103177161547	0.9786221208861069	0.9798745991499755	0.9554314390253791	0.9778004234076244	0.975893517245797	0.9791115600695524	0.9795427919755326	0.9782273956014546	0.9750180479563552	0.9737236301674699	0.9749385700437333	0.977340223752252	0.9793544543764449	0.9754811890784088	0.9779985434143447	0.9736220627796536	0.9783968937287167	0.9753756456083735	0.9778905067993346	0.9774284509782372
XieH_2016__YSZC12003_37100__bin.68	0.9756727894997134	0.9787554675524657	1.0	0.976840107254104	0.9720432910625988	0.9794895289560792	0.9750794460606429	0.9774804552830842	0.9795564114902452	0.9748793834482925	0.9804222173166766	0.9798189727372031	0.9673609752035696	0.9758444606389638	0.9795623016705296	0.9787676563036645	0.9729140973578899	0.9803397189062022	0.9799563811537398	0.9778854499108174	0.9798194542592391	0.967183627278306	0.974517145966222	0.9632107374708583	0.9748582261475479	0.9792845608324351	0.9555668405610251	0.9799398514765792	0.9796884207877409	0.9805963220035208	0.9552370574057527	0.9795894509824484	0.9757432541073702	0.9799483038115682	0.9787993436746044	0.9795233462012907	0.9747526490405755	0.9730944832882304	0.9746913639302052	0.9772271995425101	0.9799785792254173	0.9756115912809312	0.9794442299411625	0.9738579067714765	0.97969967313033	0.9760955868671279	0.979465124633145	0.9788782961412058
BritoIL_2016__W3.17.ST__bin.75	0.9741523641831323	0.9763838944452501	0.976840107254104	1.0	0.9703752914099846	0.9741365104173915	0.9764256528320797	0.9766801920998976	0.9758916500633372	0.9758468755652169	0.9762576005121425	0.9754788361023952	0.9672666364884267	0.974060034474	0.9751271608988146	0.9752721509257158	0.9719169856283999	0.9761067581199238	0.9761287864120174	0.9755107830921116	0.9754431405678117	0.966261566920613	0.975916746827765	0.9619042983290003	0.9733819158573049	0.9762766422495639	0.9551929089867701	0.9759479478790405	0.9758153107017937	0.9769940972793291	0.954766992938114	0.9763769410874655	0.974858435139597	0.9769492635674302	0.9770241562037524	0.9745787130206153	0.9759502824113548	0.9720700066428611	0.9761391694301843	0.9766409317354805	0.9758493771951371	0.9764161053052667	0.9753889383974295	0.975006414720868	0.9751654692538326	0.9743222630731366	0.9741079374755406	0.9750530246158788
Obregon-TitoAJ_2015__HCO67__bin.11	0.9686379542192407	0.9724921400277993	0.9720432910625988	0.9703752914099846	1.0	0.9718890626496026	0.9686284031388902	0.9707497326231781	0.9721422225666374	0.9696023379138169	0.9716547675572598	0.9722812139195147	0.9698831023560613	0.9698984977706188	0.9715901277985891	0.9712136218243859	0.9672812077326961	0.9721087288995157	0.9718767607722191	0.9700123712491472	0.9720645620844861	0.9691721959443848	0.9672272859232409	0.9624756744739711	0.9687495283977775	0.9719225183067535	0.9582347146200015	0.9718883799297457	0.9724880389095395	0.9725425004381488	0.9586025774299878	0.9716348283518872	0.9693712661300565	0.9721967205894295	0.9711267501336288	0.9722097780880986	0.9682609115386018	0.9679284781388569	0.9678061170291669	0.9696676792575911	0.9716373407678622	0.9692786053935206	0.9714740094309239	0.9668506763824746	0.9722935911698226	0.9689963732564354	0.9716920419504484	0.9723160983157564
LeChatelierE_2013__MH0175__bin.63	0.9758860289084046	0.9779955696666857	0.9794895289560792	0.9741365104173915	0.9718890626496026	1.0	0.9753870692572962	0.9769408994909156	0.9855534546571865	0.9749196856796403	0.9792605555857207	0.9859000646974453	0.9678276996709543	0.9751641182260012	0.9897042878597068	0.9789434249812319	0.9726713420244412	0.9858121725110842	0.978655234933137	0.9774885861026729	0.9825337631847446	0.9658291553830717	0.9734609687286794	0.9639603059233731	0.9744760794221488	0.9791912508162401	0.9548413360600414	0.9791313975536151	0.9875633958103638	0.9799513263320478	0.9542691693826839	0.9775418909847504	0.9774618103180007	0.9797555668562243	0.9780824120524183	0.999692500749449	0.9731953672315818	0.9731700021180124	0.9738834428502705	0.9763317206541062	0.9790069097782717	0.9757472683073836	0.9873179775331133	0.9733904145304888	0.9895419130761288	0.97466581827437	0.989094053651617	0.9860171544335263
BritoIL_2016__W1.33.ST__bin.25	0.9723316379953671	0.9753979329303262	0.9750794460606429	0.9764256528320797	0.9686284031388902	0.9753870692572962	1.0	0.9768171896808151	0.9752958393742976	0.976854198630737	0.9763178878670415	0.9760279924614791	0.9642922780085162	0.9726578757173463	0.97506764479824	0.9741091886859922	0.9700291888887342	0.9761715597928287	0.9739729794005201	0.9755150378011693	0.9752672025957159	0.9641204417062715	0.9768744341500185	0.9612450327776328	0.9722318653191677	0.9751705943192915	0.9538904162546507	0.9750361086871483	0.9749990031737756	0.9763354073726227	0.9534821054161374	0.9750871007880547	0.9741941826057539	0.9759552847491452	0.9762951244250803	0.975461606637288	0.9751644221887543	0.9705729783287144	0.9750742729846991	0.9755869053972425	0.9750573595301718	0.9750640951676043	0.9753306055789965	0.9751379114760658	0.9755098011057658	0.9730919690191122	0.9753539896318316	0.9757385280666048
BritoIL_2016__M1.15.ST__bin.41	0.9755212760968712	0.9775949537930595	0.9774804552830842	0.9766801920998976	0.9707497326231781	0.9769408994909156	0.9768171896808151	1.0	0.9773546761769493	0.9773817092143977	0.9776516657001935	0.9776155084465242	0.966431281354777	0.9753090263474699	0.9769399066647577	0.9770637055098015	0.973277133622733	0.9776838163789054	0.9773889778262629	0.9778006407200154	0.9775881141678814	0.9667775218158543	0.9755387074039218	0.963177534141181	0.9749243807613469	0.9770541476899354	0.9552500286608383	0.9769106154123228	0.9771273868130832	0.9783104142881036	0.9540172052654894	0.977179241097662	0.976757859496783	0.9777272243876952	0.9787682161388945	0.9771960597757333	0.9761959754719739	0.9731247717256815	0.9768436871364106	0.9779175324646951	0.9769775964050249	0.9770908626161787	0.9768975238884577	0.9755962934395571	0.9773799036623476	0.9763849727977844	0.9771397923455241	0.9762937323755737
XieH_2016__YSZC12003_36244__bin.14	0.9758988218684734	0.978297335847726	0.9795564114902452	0.9758916500633372	0.9721422225666374	0.9855534546571865	0.9752958393742976	0.9773546761769493	1.0	0.975274456032687	0.9788600071675222	0.9846163363289056	0.9683946315034014	0.9748183183370565	0.9855847634010485	0.9788107716047931	0.9726425131345081	0.984869571689056	0.9787770744525001	0.977803502946355	0.981400670225225	0.9667711220363691	0.9736784099834237	0.9645656360569099	0.9742754025747988	0.9795921764461091	0.9547246367071202	0.9796851782811478	0.9857720427467798	0.9802559661152881	0.9540976570271172	0.9789676365457853	0.9774380712593429	0.9792355055893924	0.9778596155727436	0.9853268100012221	0.9736232185954126	0.9734963267592722	0.9742100358751719	0.9767885697140076	0.9795017850485032	0.9754559368987391	0.9859637759489804	0.9741389048132448	0.9853732337574033	0.9755273571065352	0.985710540050875	0.9828779687742583
BritoIL_2016__W3.18.ST__bin.62	0.9734085045972859	0.9756709456103315	0.9748793834482925	0.9758468755652169	0.9696023379138169	0.9749196856796403	0.976854198630737	0.9773817092143977	0.975274456032687	1.0	0.9753986259971082	0.9759579652951448	0.9653736928574786	0.9732616608177478	0.9745795856620945	0.9746437210757489	0.9711451965899789	0.9754640809966009	0.9748258548492726	0.975736206560253	0.9749238333075758	0.9647483209654677	0.9754701092472989	0.9622556914250534	0.9724746870857122	0.975293508303731	0.9548641655629271	0.9754596642331257	0.9744967473591694	0.9762023006304612	0.9541565023051097	0.9750626266319938	0.9739627991599811	0.9753607228330616	0.9763073056974728	0.9749815554424339	0.9753850096472935	0.9714278314957775	0.9752208027361432	0.9761150866718533	0.9752899916451319	0.9770791862716456	0.9749191240102333	0.9755855462408264	0.9751358525362124	0.974667665141925	0.9748475089958818	0.9735527161725899
