	CM_madagascar__V12_01_2FE__bin.49	ZeeviD_2015__PNP_Main_698__bin.3	XieH_2016__YSZC12003_37100__bin.68	BritoIL_2016__W3.17.ST__bin.75	Obregon-TitoAJ_2015__HCO67__bin.11	LeChatelierE_2013__MH0175__bin.63	BritoIL_2016__W1.33.ST__bin.25	BritoIL_2016__M1.15.ST__bin.41	XieH_2016__YSZC12003_36244__bin.14	BritoIL_2016__W3.18.ST__bin.62	LeChatelierE_2013__MH0189__bin.81	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.45	Obregon-TitoAJ_2015__HCO12__bin.13	CM_madagascar__A81_03_1FE__bin.52	LeChatelierE_2013__MH0407__bin.67	CosteaPI_2017__SID713B076-11-0-0__bin.33	CM_madagascar__A39_02_1FE__bin.21	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.17	ZeeviD_2015__PNP_Main_257__bin.39	XieH_2016__YSZC12003_37315__bin.79	CosteaPI_2017__SID713B046-11-0-0__bin.22	Obregon-TitoAJ_2015__HCO11__bin.22	BritoIL_2016__W1.5.ST__bin.29	RampelliS_2015__H10__bin.58	CM_madagascar__A32_01_1FE__bin.4	CosteaPI_2017__SID713B041-11-0-0__bin.41	RampelliS_2015__H14__bin.94	CosteaPI_2017__SID713A028-11-0-0__bin.67	ZellerG_2014__CCMD86114146ST-21-0__bin.29	LiuW_2016__SRR3993051__bin.74	RampelliS_2015__H13__bin.18	ZeeviD_2015__PNP_Main_438__bin.9	ZellerG_2014__CCMD87156761ST-21-0__bin.33	LeChatelierE_2013__MH0430__bin.47	BritoIL_2016__M1.29.ST__bin.68	NielsenHB_2014__MH0175__bin.23	BritoIL_2016__W2.61.ST__bin.52	CM_madagascar__A90_04_1FE__bin.83	BritoIL_2016__W3.22.ST__bin.21	BritoIL_2016__WL.14.ST__bin.43	CosteaPI_2017__SID713A028-11-90-0__bin.78	BritoIL_2016__W2.35.ST__bin.34	XieH_2016__YSZC12003_35520__bin.2	BritoIL_2016__W1.2.ST__bin.41	LeChatelierE_2013__MH0257__bin.12	CM_madagascar__A08_01_1FE__bin.2	LiJ_2014__MH0252__bin.12	ZellerG_2014__CCMD18872694ST-21-0__bin.35
CM_madagascar__V12_01_2FE__bin.49	0.0	57432.0	55585.0	42718.0	70597.0	49315.0	57023.0	61074.0	46229.0	57486.0	56511.0	43066.0	67769.0	63348.0	50779.0	59998.0	68005.0	30745.0	56736.0	45553.0	49182.0	46821.0	65435.0	77847.0	65251.0	58571.0	103923.0	55979.0	49978.0	46950.0	71589.0	57718.0	57904.0	59801.0	56668.0	47666.0	67010.0	73164.0	63391.0	62279.0	57106.0	65838.0	47450.0	69363.0	48805.0	62193.0	49415.0	30540.0
ZeeviD_2015__PNP_Main_698__bin.3	57432.0	0.0	48453.0	38432.0	60598.0	43191.0	48605.0	54118.0	40625.0	50156.0	46108.0	35770.0	60033.0	55952.0	45024.0	47862.0	64212.0	25778.0	49083.0	38902.0	42296.0	39809.0	61285.0	70657.0	59212.0	48549.0	99165.0	47367.0	41967.0	39814.0	70357.0	50344.0	54192.0	48677.0	49330.0	41246.0	60005.0	61992.0	55351.0	54310.0	47341.0	58287.0	40783.0	61499.0	42073.0	56206.0	44103.0	27520.0
XieH_2016__YSZC12003_37100__bin.68	55585.0	48453.0	0.0	35897.0	59841.0	40202.0	46746.0	53857.0	38194.0	51989.0	43457.0	34530.0	61540.0	56382.0	41999.0	48838.0	62418.0	24870.0	47799.0	38832.0	40523.0	41177.0	57772.0	73552.0	58539.0	48837.0	100359.0	44617.0	41326.0	38953.0	71187.0	47490.0	55215.0	45940.0	49771.0	38976.0	58109.0	62855.0	55554.0	53521.0	44883.0	57047.0	38811.0	57873.0	40474.0	52801.0	41044.0	26562.0
BritoIL_2016__W3.17.ST__bin.75	42718.0	38432.0	35897.0	0.0	43790.0	35313.0	33965.0	39322.0	30565.0	35922.0	37013.0	28876.0	44616.0	42995.0	34196.0	40533.0	47515.0	20678.0	38714.0	31937.0	34359.0	31115.0	39307.0	53220.0	44752.0	38368.0	71580.0	37735.0	32539.0	31753.0	51434.0	36221.0	39733.0	37160.0	38502.0	33879.0	40842.0	46586.0	37969.0	39832.0	38149.0	40384.0	31373.0	40911.0	33364.0	42254.0	34999.0	22830.0
Obregon-TitoAJ_2015__HCO67__bin.11	70597.0	60598.0	59841.0	43790.0	0.0	52848.0	59823.0	65693.0	50328.0	59747.0	58922.0	46335.0	58210.0	66640.0	54544.0	64554.0	73950.0	35088.0	60694.0	51558.0	54121.0	41360.0	70668.0	71904.0	70406.0	61069.0	90259.0	59597.0	52069.0	53267.0	63398.0	60640.0	64388.0	60600.0	64335.0	50309.0	68713.0	72342.0	67280.0	67469.0	60755.0	70506.0	51372.0	74534.0	51654.0	67175.0	54016.0	32062.0
LeChatelierE_2013__MH0175__bin.63	49315.0	43191.0	40202.0	35313.0	52848.0	0.0	41232.0	47483.0	27834.0	45772.0	39724.0	24714.0	53776.0	48955.0	22932.0	42942.0	55187.0	17776.0	41864.0	35363.0	34289.0	39129.0	51813.0	63196.0	50432.0	41140.0	89521.0	40260.0	27072.0	35514.0	64726.0	45399.0	44252.0	41840.0	44708.0	717.0	53524.0	53457.0	49892.0	47889.0	41070.0	49654.0	25529.0	51285.0	22282.0	49769.0	23672.0	18270.0
BritoIL_2016__W1.33.ST__bin.25	57023.0	48605.0	46746.0	33965.0	59823.0	41232.0	0.0	47604.0	39855.0	40958.0	46658.0	35310.0	61979.0	55120.0	42884.0	51842.0	62439.0	26813.0	50452.0	39097.0	42199.0	42496.0	46386.0	67430.0	55752.0	48205.0	86592.0	46459.0	42010.0	40315.0	61456.0	48052.0	49352.0	47303.0	48308.0	39869.0	51005.0	59281.0	48695.0	49953.0	47007.0	53163.0	39395.0	51329.0	40929.0	52675.0	41057.0	26285.0
BritoIL_2016__M1.15.ST__bin.41	61074.0	54118.0	53857.0	39322.0	65693.0	47483.0	47604.0	0.0	43686.0	49560.0	51450.0	39560.0	66980.0	61858.0	49285.0	54786.0	66798.0	28226.0	54138.0	42464.0	45909.0	43885.0	58378.0	76576.0	62756.0	54402.0	105392.0	52051.0	47548.0	44739.0	75672.0	52622.0	55540.0	52987.0	54265.0	45515.0	58951.0	66813.0	54517.0	55591.0	52421.0	58077.0	45045.0	57741.0	46528.0	56207.0	47439.0	30382.0
XieH_2016__YSZC12003_36244__bin.14	46229.0	40625.0	38194.0	30565.0	50328.0	27834.0	39855.0	43686.0	0.0	41628.0	40289.0	25614.0	50027.0	48428.0	29948.0	40549.0	52379.0	18297.0	40780.0	32059.0	33684.0	35788.0	50035.0	56964.0	48390.0	39232.0	83533.0	37816.0	27819.0	33432.0	58606.0	39553.0	42825.0	41136.0	42096.0	27253.0	50143.0	49959.0	46109.0	44404.0	38980.0	47161.0	25918.0	48765.0	28675.0	46057.0	29048.0	19741.0
BritoIL_2016__W3.18.ST__bin.62	57486.0	50156.0	51989.0	35922.0	59747.0	45772.0	40958.0	49560.0	41628.0	0.0	50943.0	37589.0	60404.0	56999.0	47252.0	53815.0	62678.0	26924.0	53277.0	40553.0	45919.0	40526.0	52200.0	67684.0	59277.0	51899.0	90920.0	49258.0	46833.0	43031.0	64327.0	50192.0	53809.0	51147.0	51327.0	44626.0	53020.0	60680.0	49266.0	52743.0	50870.0	50526.0	43734.0	51431.0	44438.0	53110.0	46840.0	30688.0
