	CosteaPI_2017__SID713A058-11-90-0__bin.61	BritoIL_2016__M1.22.ST__bin.46	HeQ_2017__SZAXPI029560-51__bin.83	CosteaPI_2017__SID713A013-11-90-0__bin.5	CosteaPI_2017__SID713A013-11-0-0__bin.41	HeQ_2017__SZAXPI029554-33__bin.69	BritoIL_2016__W2.39.ST__bin.18	ZellerG_2014__CCIS74726977ST-3-0__bin.74	LiuW_2016__SRR3993041__bin.74	LiuW_2016__SRR3992994__bin.9	CosteaPI_2017__SID713B056-11-0-0__bin.21	Obregon-TitoAJ_2015__SM03__bin.28	BritoIL_2016__M1.59.ST__bin.32	CM_madagascar__A32_01_1FE__bin.62	CosteaPI_2017__SID713B040-11-90-0__bin.55	CosteaPI_2017__SID713A004-11-90-0__bin.40	BritoIL_2016__M1.44.ST__bin.2	LiuW_2016__SRR3992981__bin.32	CosteaPI_2017__SID713B029-11-0-0__bin.23	CosteaPI_2017__SID713A021-11-90-0__bin.15	BritoIL_2016__W2.19.ST__bin.52	BritoIL_2016__M1.48.ST__bin.39	BritoIL_2016__W3.22.ST__bin.109	ZeeviD_2015__PNP_Main_671__bin.34	XieH_2016__YSZC12003_37315__bin.111	VogtmannE_2016__MMRS65205033ST-27-0-0__bin.9	LiuW_2016__SRR3992961__bin.32	BritoIL_2016__M2.39.ST__bin.45	FengQ_2015__SID530840__bin.40	LeChatelierE_2013__MH0189__bin.38	FengQ_2015__SID31188__bin.43	CM_madagascar__A81_03_1FE__bin.25	LiuW_2016__SRR3992995__bin.67	CosteaPI_2017__SID713A084-11-90-0__bin.9	CosteaPI_2017__SID713B007-11-0-0__bin.56	ZellerG_2014__CCMD86114146ST-21-0__bin.68	CosteaPI_2017__SID713A004-11-0-0__bin.7	ZeeviD_2015__PNP_Main_362__bin.25	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.39	LiuW_2016__SRR3992978__bin.107	CosteaPI_2017__SID713A084-11-0-0__bin.19	CM_madagascar__A70_03_1FE__bin.24	ZeeviD_2015__PNP_Main_377__bin.14	BritoIL_2016__W1.41.ST__bin.58	CosteaPI_2017__SID713B041-11-0-0__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.30	QinJ_2012__CON-110__bin.27	RampelliS_2015__H4__bin.33	CosteaPI_2017__SID713A057-11-90-0__bin.64
CosteaPI_2017__SID713A058-11-90-0__bin.61	2882237.0	2544139.0	2539263.0	2462801.0	2559647.0	2481497.0	2539136.0	2557956.0	2475158.0	1325141.0	2583226.0	2553072.0	1780736.0	2505716.0	2599145.0	2545431.0	2004005.0	1843819.0	2402741.0	2341210.0	2388833.0	2526965.0	2479280.0	2544932.0	2313727.0	2475220.0	2516308.0	1655028.0	2408350.0	2487019.0	1955473.0	2519418.0	1747460.0	2569596.0	2216791.0	2495250.0	2572638.0	2529179.0	2488210.0	1912489.0	2553410.0	2356581.0	2578833.0	2506071.0	2563177.0	2459613.0	2407053.0	2548627.0	2492385.0
BritoIL_2016__M1.22.ST__bin.46	2544139.0	3106251.0	2712694.0	2614889.0	2690264.0	2675102.0	2737060.0	2668976.0	2577186.0	1369204.0	2759289.0	2680738.0	1901650.0	2610077.0	2780718.0	2664339.0	2131306.0	1870592.0	2565160.0	2454757.0	2515140.0	2735413.0	2705134.0	2752183.0	2460480.0	2614612.0	2696201.0	1717771.0	2547664.0	2629266.0	2071088.0	2719569.0	1780983.0	2746176.0	2311397.0	2659442.0	2719060.0	2741493.0	2658322.0	1946338.0	2708785.0	2482991.0	2714330.0	2643336.0	2720974.0	2573676.0	2530060.0	2766853.0	2621938.0
HeQ_2017__SZAXPI029560-51__bin.83	2539263.0	2712694.0	3170226.0	2660944.0	2732686.0	2624848.0	2672861.0	2681095.0	2580511.0	1371267.0	2754060.0	2664125.0	1870323.0	2585589.0	2737039.0	2651525.0	2095211.0	1872461.0	2548282.0	2443526.0	2517682.0	2684303.0	2668333.0	2699903.0	2452578.0	2627119.0	2653107.0	1697785.0	2507587.0	2649126.0	2066841.0	2690175.0	1776480.0	2742387.0	2278877.0	2628647.0	2705367.0	2711499.0	2624020.0	1954018.0	2700830.0	2461697.0	2759116.0	2600731.0	2674679.0	2598610.0	2509070.0	2689232.0	2610073.0
CosteaPI_2017__SID713A013-11-90-0__bin.5	2462801.0	2614889.0	2660944.0	3122985.0	2909124.0	2548533.0	2606860.0	2572671.0	2557149.0	1315549.0	2629226.0	2579748.0	1792906.0	2565201.0	2683231.0	2656548.0	2016625.0	1840010.0	2531884.0	2464778.0	2440486.0	2586658.0	2530697.0	2596651.0	2354345.0	2649308.0	2663698.0	1649400.0	2427633.0	2518197.0	1970708.0	2598184.0	1759259.0	2621196.0	2198965.0	2552814.0	2695381.0	2601692.0	2534326.0	1890781.0	2600822.0	2371057.0	2738214.0	2522327.0	2634189.0	2560859.0	2401606.0	2636788.0	2593189.0
CosteaPI_2017__SID713A013-11-0-0__bin.41	2559647.0	2690264.0	2732686.0	2909124.0	3087712.0	2630383.0	2677817.0	2654664.0	2642765.0	1367134.0	2706193.0	2665007.0	1855914.0	2647865.0	2766838.0	2725326.0	2093667.0	1914097.0	2591571.0	2538766.0	2518684.0	2660523.0	2609589.0	2672790.0	2418937.0	2723315.0	2759990.0	1688488.0	2520877.0	2591370.0	2037489.0	2665496.0	1807694.0	2705001.0	2270946.0	2634152.0	2776142.0	2695236.0	2626914.0	1971534.0	2687169.0	2438884.0	2812631.0	2617318.0	2707443.0	2656117.0	2473876.0	2729077.0	2664895.0
HeQ_2017__SZAXPI029554-33__bin.69	2481497.0	2675102.0	2624848.0	2548533.0	2630383.0	2939140.0	2676615.0	2613160.0	2519331.0	1335640.0	2658624.0	2613701.0	1848730.0	2550755.0	2699608.0	2593751.0	2084740.0	1834576.0	2534718.0	2407288.0	2437971.0	2632683.0	2577426.0	2651891.0	2375399.0	2600630.0	2596422.0	1676178.0	2461338.0	2592488.0	1996399.0	2615510.0	1745253.0	2661211.0	2244056.0	2554265.0	2656603.0	2638958.0	2600569.0	1911585.0	2634282.0	2405904.0	2651748.0	2583267.0	2652524.0	2548109.0	2453202.0	2662690.0	2579331.0
BritoIL_2016__W2.39.ST__bin.18	2539136.0	2737060.0	2672861.0	2606860.0	2677817.0	2676615.0	3072880.0	2652399.0	2587351.0	1347032.0	2684293.0	2676224.0	1901296.0	2618342.0	2731725.0	2651745.0	2121555.0	1864088.0	2553154.0	2440156.0	2506298.0	2671281.0	2631232.0	2733481.0	2429995.0	2642823.0	2657830.0	1705637.0	2517100.0	2610870.0	2047356.0	2667945.0	1792818.0	2689220.0	2293184.0	2617682.0	2686745.0	2668414.0	2658871.0	1934173.0	2663201.0	2461724.0	2666205.0	2632165.0	2686056.0	2557683.0	2498250.0	2706052.0	2601177.0
ZellerG_2014__CCIS74726977ST-3-0__bin.74	2557956.0	2668976.0	2681095.0	2572671.0	2654664.0	2613160.0	2652399.0	3070965.0	2586920.0	1358452.0	2702598.0	2650401.0	1867618.0	2600997.0	2767272.0	2639645.0	2138444.0	1861300.0	2525766.0	2446917.0	2504228.0	2672143.0	2630779.0	2687283.0	2408797.0	2585274.0	2623037.0	1683051.0	2515039.0	2634200.0	2040355.0	2615774.0	1783808.0	2705161.0	2260839.0	2645443.0	2692534.0	2663781.0	2623674.0	1947587.0	2686020.0	2448500.0	2778364.0	2601176.0	2686859.0	2578451.0	2508276.0	2691450.0	2607507.0
LiuW_2016__SRR3993041__bin.74	2475158.0	2577186.0	2580511.0	2557149.0	2642765.0	2519331.0	2587351.0	2586920.0	3422568.0	1339401.0	2602908.0	2572678.0	1818145.0	2590119.0	2708300.0	2632538.0	2064265.0	1872792.0	2513737.0	2423096.0	2412793.0	2571039.0	2551859.0	2596032.0	2355429.0	2587102.0	2617009.0	1691123.0	2478822.0	2534617.0	2006149.0	2581666.0	1781770.0	2645347.0	2244050.0	2540283.0	2656767.0	2609756.0	2542114.0	1956885.0	2615652.0	2359531.0	2727897.0	2529279.0	2654795.0	2550986.0	2422515.0	2611175.0	2594877.0
LiuW_2016__SRR3992994__bin.9	1325141.0	1369204.0	1371267.0	1315549.0	1367134.0	1335640.0	1347032.0	1358452.0	1339401.0	1577767.0	1376162.0	1359188.0	1016348.0	1341870.0	1383348.0	1356630.0	1100605.0	1214024.0	1310424.0	1297533.0	1324804.0	1362174.0	1316731.0	1353742.0	1305674.0	1372052.0	1363906.0	981934.0	1323565.0	1347504.0	1071895.0	1363784.0	1184845.0	1369798.0	1303036.0	1353414.0	1380499.0	1351452.0	1339860.0	1246798.0	1356614.0	1328677.0	1377728.0	1349764.0	1380582.0	1323053.0	1343074.0	1369337.0	1352913.0
CosteaPI_2017__SID713B056-11-0-0__bin.21	2583226.0	2759289.0	2754060.0	2629226.0	2706193.0	2658624.0	2684293.0	2702598.0	2602908.0	1376162.0	3046922.0	2696900.0	1894987.0	2626744.0	2791429.0	2699009.0	2105298.0	1893085.0	2603279.0	2471387.0	2507450.0	2688100.0	2744344.0	2758961.0	2471600.0	2641924.0	2724865.0	1724836.0	2544256.0	2685123.0	2088965.0	2747973.0	1797666.0	2807235.0	2339729.0	2669397.0	2762071.0	2757415.0	2638916.0	1960695.0	2789649.0	2492973.0	2754173.0	2645636.0	2770091.0	2624958.0	2528989.0	2730283.0	2674164.0
Obregon-TitoAJ_2015__SM03__bin.28	2553072.0	2680738.0	2664125.0	2579748.0	2665007.0	2613701.0	2676224.0	2650401.0	2572678.0	1359188.0	2696900.0	3189758.0	1845221.0	2573674.0	2733149.0	2649525.0	2129326.0	1874785.0	2513737.0	2421551.0	2500039.0	2657120.0	2606177.0	2672233.0	2395597.0	2574447.0	2629280.0	1712327.0	2518315.0	2622611.0	2036741.0	2654580.0	1787155.0	2711094.0	2287318.0	2616437.0	2678324.0	2669241.0	2640932.0	1938048.0	2676943.0	2424145.0	2663847.0	2626927.0	2651804.0	2544823.0	2481633.0	2729729.0	2591813.0
