	CosteaPI_2017__SID713A058-11-90-0__bin.61	BritoIL_2016__M1.22.ST__bin.46	HeQ_2017__SZAXPI029560-51__bin.83	CosteaPI_2017__SID713A013-11-90-0__bin.5	CosteaPI_2017__SID713A013-11-0-0__bin.41	HeQ_2017__SZAXPI029554-33__bin.69	BritoIL_2016__W2.39.ST__bin.18	ZellerG_2014__CCIS74726977ST-3-0__bin.74	LiuW_2016__SRR3993041__bin.74	LiuW_2016__SRR3992994__bin.9	CosteaPI_2017__SID713B056-11-0-0__bin.21	Obregon-TitoAJ_2015__SM03__bin.28	BritoIL_2016__M1.59.ST__bin.32	CM_madagascar__A32_01_1FE__bin.62	CosteaPI_2017__SID713B040-11-90-0__bin.55	CosteaPI_2017__SID713A004-11-90-0__bin.40	BritoIL_2016__M1.44.ST__bin.2	LiuW_2016__SRR3992981__bin.32	CosteaPI_2017__SID713B029-11-0-0__bin.23	CosteaPI_2017__SID713A021-11-90-0__bin.15	BritoIL_2016__W2.19.ST__bin.52	BritoIL_2016__M1.48.ST__bin.39	BritoIL_2016__W3.22.ST__bin.109	ZeeviD_2015__PNP_Main_671__bin.34	XieH_2016__YSZC12003_37315__bin.111	VogtmannE_2016__MMRS65205033ST-27-0-0__bin.9	LiuW_2016__SRR3992961__bin.32	BritoIL_2016__M2.39.ST__bin.45	FengQ_2015__SID530840__bin.40	LeChatelierE_2013__MH0189__bin.38	FengQ_2015__SID31188__bin.43	CM_madagascar__A81_03_1FE__bin.25	LiuW_2016__SRR3992995__bin.67	CosteaPI_2017__SID713A084-11-90-0__bin.9	CosteaPI_2017__SID713B007-11-0-0__bin.56	ZellerG_2014__CCMD86114146ST-21-0__bin.68	CosteaPI_2017__SID713A004-11-0-0__bin.7	ZeeviD_2015__PNP_Main_362__bin.25	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.39	LiuW_2016__SRR3992978__bin.107	CosteaPI_2017__SID713A084-11-0-0__bin.19	CM_madagascar__A70_03_1FE__bin.24	ZeeviD_2015__PNP_Main_377__bin.14	BritoIL_2016__W1.41.ST__bin.58	CosteaPI_2017__SID713B041-11-0-0__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.30	QinJ_2012__CON-110__bin.27	RampelliS_2015__H4__bin.33	CosteaPI_2017__SID713A057-11-90-0__bin.64
CosteaPI_2017__SID713A058-11-90-0__bin.61	1.0	0.992104598058518	0.9919216717606644	0.9914243984796173	0.991479684503371	0.9917606186910563	0.9915542137167919	0.9919936073959051	0.9915354898555971	0.99097001753021	0.9921458672218382	0.9906778970589157	0.9917623948749281	0.9913425942924098	0.9918638629241538	0.9915256001832302	0.9910409405166155	0.9919384711839937	0.9913952440150645	0.9916795161476331	0.9919981848877674	0.9920374837008031	0.9919924332870833	0.9918988012253372	0.9918763103857975	0.9918637535249392	0.9917088846039515	0.9923312475680169	0.9912973612639359	0.9922461388513719	0.9911801390251873	0.9912134469151209	0.9911608849415723	0.9920501121577089	0.9923267461840111	0.9922196172728184	0.991395991196585	0.9918973706487362	0.9909039028056313	0.9913782510644505	0.9920725617899201	0.991640431625308	0.9911033401542481	0.9917608080537224	0.9920461989164229	0.991190484031431	0.9918302588268725	0.9903261638521447	0.9914708201180796
BritoIL_2016__M1.22.ST__bin.46	0.992104598058518	1.0	0.9934456300636931	0.9914267871408691	0.9914606893598547	0.9922354362562624	0.9918295543393276	0.9919422280305256	0.9918131636598988	0.99076032497714	0.9937607115456192	0.9903358701969383	0.9936555096889543	0.9915791756335158	0.9914126495387162	0.9913243022002831	0.9911655107244103	0.9916892620090324	0.9919782781580876	0.9912150163946981	0.9933677648162726	0.991951124016739	0.9937367243175385	0.9919463930995868	0.9939137891793471	0.9915146109633093	0.9912725349482475	0.9939863928311748	0.9916256617827155	0.9923716352776782	0.9928626885965252	0.9921627287265005	0.9912677437123206	0.9919844904332424	0.9930673960379804	0.9922780793865781	0.9915853272822225	0.9925927222867248	0.9910789588319248	0.9912343077101716	0.9920717221927913	0.9932686022623521	0.9910777245213368	0.9920373346407722	0.9920884947816481	0.9913264140474558	0.9922903014157767	0.9901100636716154	0.991562729553483
HeQ_2017__SZAXPI029560-51__bin.83	0.9919216717606644	0.9934456300636931	1.0	0.9906886428275078	0.990849296260163	0.9923157455212644	0.9918675157443653	0.9918283387944105	0.9913323368898641	0.9906531696598839	0.9942535747224098	0.990354056209825	0.9936294426149922	0.9917415335538634	0.9916650804025811	0.9914762259454465	0.9907384029579837	0.9917787339763018	0.99141225343192	0.9913870366020251	0.9935071228217066	0.9922449142291314	0.9946472198185159	0.991949710785906	0.9944470675346513	0.9914316785802242	0.9915378460047032	0.9946571562359191	0.991663300216503	0.9918339105048231	0.9935471572317367	0.9923079353573653	0.9911409078627398	0.9919639350682453	0.9934147389262343	0.9921651709035104	0.9914536549015346	0.993986352198544	0.9908076157956113	0.9908951708735538	0.9920439272371826	0.993173002201327	0.9908670023297317	0.9923056248416311	0.991897345438462	0.9913376766809948	0.9924641400997182	0.9902395925676922	0.9915121147952567
CosteaPI_2017__SID713A013-11-90-0__bin.5	0.9914243984796173	0.9914267871408691	0.9906886428275078	1.0	0.9998295019394154	0.9912479061483607	0.9904943111636222	0.9906323039362592	0.9928604082124272	0.9923651646574928	0.9913833957217828	0.9891454514161848	0.991769786034516	0.991562454560091	0.9916760800691405	0.9929863868448829	0.9903611231637017	0.9930984070738746	0.993407675865087	0.9925283331805136	0.9905658135305837	0.9904900454563379	0.9913446769802944	0.9906556560739198	0.99106248234647	0.9930759277516997	0.9925543361146797	0.9916442342670062	0.9916960265410794	0.9907656152397926	0.9907231309762786	0.9897309043547339	0.9926037041731774	0.9910304303836874	0.9915646679233184	0.9917929782585022	0.9927179126067892	0.991054283135744	0.9898217514242446	0.9931864134450261	0.990927099201714	0.9910588400025812	0.9918271544882905	0.9912957360405689	0.9917682444198196	0.9926641802613888	0.9912096322211054	0.9892198386825183	0.9930074514429916
CosteaPI_2017__SID713A013-11-0-0__bin.41	0.991479684503371	0.9914606893598547	0.990849296260163	0.9998295019394154	1.0	0.9912746546795657	0.9908201344602712	0.990931055681623	0.9928847248998681	0.9925274333020757	0.9915752498066472	0.9894615661422278	0.9918072712420942	0.9914497151478644	0.9920262769269469	0.9928621383276717	0.9904621890682711	0.9930693167587641	0.9933634849286398	0.9925188063807378	0.9907415936258777	0.9907179904101562	0.9913683725674809	0.991075991753935	0.9913528132398652	0.9930489128139786	0.9926260602393487	0.9919004458426711	0.9916667889785975	0.9912772008628641	0.9907778643222123	0.9902847349986644	0.9926901345028528	0.9912820734631891	0.9917091819884752	0.9917123233587127	0.992929756474993	0.9907852225185475	0.9899852069767034	0.9929684195149564	0.9913161397738661	0.9910573852630957	0.9922168958530287	0.9913319665397938	0.9919451674513554	0.9925632041058432	0.9912897817028824	0.9895777949834321	0.9933588377778486
HeQ_2017__SZAXPI029554-33__bin.69	0.9917606186910563	0.9922354362562624	0.9923157455212644	0.9912479061483607	0.9912746546795657	1.0	0.9922887677159398	0.9914440753723461	0.9911087506961174	0.9908478332484801	0.9919853277484895	0.9900237249784883	0.9920659047021468	0.9911555598244441	0.990873860204889	0.9912913768515174	0.9909676986098986	0.9916127759220659	0.9912672731246632	0.9909317040586751	0.9922816965419194	0.9919036967230768	0.9921332368029189	0.9913970823084357	0.9919377755063465	0.990974494641683	0.9912718348558132	0.9926415929573112	0.991143841276574	0.9917770111182771	0.9912923218254467	0.9910847215265857	0.9908964488243251	0.9918559633189552	0.9917216860898302	0.991899430951761	0.9913238824167555	0.9914765600665111	0.9907166470107119	0.9910106011503543	0.9919492294294991	0.991530002859632	0.9906122301214143	0.9923434163019154	0.9909742569718502	0.9908591037510561	0.9922880382455257	0.9902470809594808	0.9911019562824623
BritoIL_2016__W2.39.ST__bin.18	0.9915542137167919	0.9918295543393276	0.9918675157443653	0.9904943111636222	0.9908201344602712	0.9922887677159398	1.0	0.9911321788313145	0.9911403593868787	0.9906037866954905	0.9915691021807231	0.9898524936627129	0.9910860802315894	0.9907200816394497	0.9908296040047955	0.9910715396842457	0.9909556905194539	0.9910132998012969	0.9910001511855533	0.9908313238989639	0.9918744698355901	0.9917455333227766	0.9919129137985552	0.9911735256253839	0.9917275549949691	0.9903538753824982	0.9907300316423548	0.9928167599553716	0.9910313455961225	0.9914070788664315	0.9911598178333422	0.9908386417261226	0.9905919061499828	0.9917485367504332	0.9919003446736067	0.9916399318175393	0.9910304104036669	0.9913094444865003	0.9910240098146921	0.9912438029069789	0.9917629198847552	0.9913495582770449	0.9908754203071407	0.992153227476241	0.990940993039609	0.9909113052712162	0.9920648453917742	0.99002753827347	0.9910532808801554
ZellerG_2014__CCIS74726977ST-3-0__bin.74	0.9919936073959051	0.9919422280305256	0.9918283387944105	0.9906323039362592	0.990931055681623	0.9914440753723461	0.9911321788313145	1.0	0.9908408454842051	0.9909713409086225	0.9921856672727501	0.9902094060483678	0.9922141465760128	0.9907439339607081	0.9910218438953597	0.991091226282322	0.9905936278901856	0.991716542201687	0.9911116073302119	0.990899160045069	0.992001527017508	0.991658754789695	0.9918123111063301	0.9915360607721628	0.9921155664009877	0.9913003418593155	0.9907946399536111	0.99283028262364	0.9911870153902186	0.9917963708146685	0.99111184083162	0.9909177933567656	0.9910988178099885	0.9918818140583869	0.9924532441275119	0.992473094298384	0.9908082869148542	0.9918345389504618	0.9906954903696115	0.991474578542576	0.9919650635512766	0.9917083928936083	0.9905523538312474	0.9912585692010075	0.99113053569242	0.9906470978118258	0.9919709792702238	0.9902398335469729	0.9908448951431387
LiuW_2016__SRR3993041__bin.74	0.9915354898555971	0.9918131636598988	0.9913323368898641	0.9928604082124272	0.9928847248998681	0.9911087506961174	0.9911403593868787	0.9908408454842051	1.0	0.992372709890466	0.9915544460272895	0.9895532981585725	0.9917800835466918	0.9911390171648484	0.9931813314625411	0.9925463564058714	0.9902352653365726	0.9931214998782566	0.9930418337320094	0.9919693648126199	0.9914675647682997	0.990851169507736	0.9914924766611322	0.9911988758227942	0.9912563698587391	0.9918557521118224	0.9927126731318081	0.9917758791051863	0.9919130942036177	0.9911868341449616	0.9902205668671669	0.9904503526017695	0.9923474971517087	0.9910197036532448	0.9916254094160112	0.9915281092697152	0.9927287564171039	0.9908727099391668	0.9899552105059017	0.9926817365353611	0.9911781077910976	0.9915169582429728	0.9942189899398695	0.9911286971504527	0.9927956772556826	0.9924213617793277	0.9915872553936714	0.9891497122942736	0.993144183712754
LiuW_2016__SRR3992994__bin.9	0.99097001753021	0.99076032497714	0.9906531696598839	0.9923651646574928	0.9925274333020757	0.9908478332484801	0.9906037866954905	0.9909713409086225	0.992372709890466	1.0	0.9910439323277347	0.9893767455274767	0.9908122021197464	0.9911138932981586	0.9915415354632384	0.9926568039922455	0.9900872701832174	0.9917382193432749	0.992490980018681	0.9914383680415064	0.9906159703624083	0.9908117465169648	0.9907042516656781	0.9910078877659111	0.9911754388920971	0.9916592082515823	0.9929217995961599	0.9915167414510547	0.9916301806106992	0.9907985430841022	0.9899719655376693	0.9903540443354666	0.9923078546138946	0.990984072104062	0.990513692637809	0.9910899399592438	0.9926613492657366	0.9910540662931425	0.9903124207006703	0.9923002763879955	0.990974588202687	0.9903211992079339	0.9924368235239467	0.9911347465186506	0.9915767408237975	0.9924968992171893	0.9906185362831832	0.9896343997131458	0.9923468840938036
