	CosteaPI_2017__SID713A058-11-90-0__bin.61	BritoIL_2016__M1.22.ST__bin.46	HeQ_2017__SZAXPI029560-51__bin.83	CosteaPI_2017__SID713A013-11-90-0__bin.5	CosteaPI_2017__SID713A013-11-0-0__bin.41	HeQ_2017__SZAXPI029554-33__bin.69	BritoIL_2016__W2.39.ST__bin.18	ZellerG_2014__CCIS74726977ST-3-0__bin.74	LiuW_2016__SRR3993041__bin.74	LiuW_2016__SRR3992994__bin.9	CosteaPI_2017__SID713B056-11-0-0__bin.21	Obregon-TitoAJ_2015__SM03__bin.28	BritoIL_2016__M1.59.ST__bin.32	CM_madagascar__A32_01_1FE__bin.62	CosteaPI_2017__SID713B040-11-90-0__bin.55	CosteaPI_2017__SID713A004-11-90-0__bin.40	BritoIL_2016__M1.44.ST__bin.2	LiuW_2016__SRR3992981__bin.32	CosteaPI_2017__SID713B029-11-0-0__bin.23	CosteaPI_2017__SID713A021-11-90-0__bin.15	BritoIL_2016__W2.19.ST__bin.52	BritoIL_2016__M1.48.ST__bin.39	BritoIL_2016__W3.22.ST__bin.109	ZeeviD_2015__PNP_Main_671__bin.34	XieH_2016__YSZC12003_37315__bin.111	VogtmannE_2016__MMRS65205033ST-27-0-0__bin.9	LiuW_2016__SRR3992961__bin.32	BritoIL_2016__M2.39.ST__bin.45	FengQ_2015__SID530840__bin.40	LeChatelierE_2013__MH0189__bin.38	FengQ_2015__SID31188__bin.43	CM_madagascar__A81_03_1FE__bin.25	LiuW_2016__SRR3992995__bin.67	CosteaPI_2017__SID713A084-11-90-0__bin.9	CosteaPI_2017__SID713B007-11-0-0__bin.56	ZellerG_2014__CCMD86114146ST-21-0__bin.68	CosteaPI_2017__SID713A004-11-0-0__bin.7	ZeeviD_2015__PNP_Main_362__bin.25	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.39	LiuW_2016__SRR3992978__bin.107	CosteaPI_2017__SID713A084-11-0-0__bin.19	CM_madagascar__A70_03_1FE__bin.24	ZeeviD_2015__PNP_Main_377__bin.14	BritoIL_2016__W1.41.ST__bin.58	CosteaPI_2017__SID713B041-11-0-0__bin.48	CosteaPI_2017__SID713A040-11-0-0__bin.30	QinJ_2012__CON-110__bin.27	RampelliS_2015__H4__bin.33	CosteaPI_2017__SID713A057-11-90-0__bin.64
CosteaPI_2017__SID713A058-11-90-0__bin.61	0.0	20087.0	20513.0	21120.0	21809.0	20446.0	21445.0	20480.0	20951.0	11966.0	20289.0	23800.0	14669.0	21693.0	21147.0	21571.0	17954.0	14864.0	20675.0	19480.0	19115.0	20121.0	19853.0	20617.0	18796.0	20139.0	20863.0	12692.0	20959.0	19284.0	17247.0	22137.0	15446.0	20428.0	17010.0	19414.0	22135.0	20493.0	22633.0	16489.0	20242.0	19700.0	22943.0	20648.0	20387.0	21668.0	19665.0	24655.0	21258.0
BritoIL_2016__M1.22.ST__bin.46	20087.0	0.0	17780.0	22418.0	22973.0	20771.0	22363.0	21506.0	21099.0	12651.0	17216.0	25907.0	12065.0	21979.0	23879.0	23115.0	18829.0	15546.0	20577.0	21565.0	16681.0	22017.0	16943.0	22165.0	14975.0	22186.0	23531.0	10330.0	21335.0	20057.0	14782.0	21314.0	15552.0	22012.0	16024.0	20536.0	22880.0	20307.0	23715.0	17061.0	21476.0	16714.0	24218.0	21048.0	21527.0	22323.0	19506.0	27364.0	22122.0
HeQ_2017__SZAXPI029560-51__bin.83	20513.0	17780.0	0.0	24777.0	25006.0	20170.0	21737.0	21909.0	22367.0	12817.0	15826.0	25698.0	11915.0	21353.0	22813.0	22601.0	19405.0	15394.0	21884.0	21046.0	16347.0	20817.0	14283.0	21735.0	13619.0	22510.0	22451.0	9071.0	20905.0	21633.0	13337.0	20693.0	15738.0	22038.0	15007.0	20595.0	23121.0	16306.0	24121.0	17791.0	21488.0	16806.0	25199.0	20011.0	21672.0	22510.0	18908.0	26248.0	22154.0
CosteaPI_2017__SID713A013-11-90-0__bin.5	21120.0	22418.0	24777.0	0.0	496.0	22305.0	24780.0	24100.0	18257.0	10044.0	22655.0	28002.0	14756.0	21644.0	22335.0	18632.0	19438.0	12699.0	16691.0	18416.0	23024.0	24599.0	21904.0	24264.0	21042.0	18344.0	19833.0	13782.0	20159.0	23254.0	18282.0	26681.0	13012.0	23511.0	18549.0	20951.0	19628.0	23274.0	25795.0	12883.0	23597.0	21200.0	22379.0	21955.0	21684.0	18786.0	21111.0	28425.0	18133.0
CosteaPI_2017__SID713A013-11-0-0__bin.41	21809.0	22973.0	25006.0	496.0	0.0	22951.0	24582.0	24075.0	18804.0	10216.0	22799.0	28085.0	15205.0	22640.0	22062.0	19453.0	19969.0	13266.0	17199.0	18993.0	23319.0	24695.0	22525.0	23852.0	20917.0	18930.0	20352.0	13676.0	21007.0	22604.0	18790.0	25896.0	13214.0	23582.0	18828.0	21831.0	19628.0	24836.0	26308.0	13863.0	23335.0	21810.0	21891.0	22687.0	21808.0	19753.0	21548.0	28443.0	17698.0
HeQ_2017__SZAXPI029554-33__bin.69	20446.0	20771.0	20170.0	22305.0	22951.0	0.0	20640.0	22358.0	22400.0	12224.0	21308.0	26075.0	14668.0	22560.0	24637.0	22588.0	18830.0	15387.0	22135.0	21830.0	18817.0	21315.0	20276.0	22814.0	19151.0	23472.0	22662.0	12334.0	21798.0	21318.0	17384.0	23318.0	15888.0	21673.0	18577.0	20691.0	23049.0	22493.0	24142.0	17184.0	21208.0	20378.0	24894.0	19779.0	23941.0	23292.0	18919.0	25969.0	22951.0
BritoIL_2016__W2.39.ST__bin.18	21445.0	22363.0	21737.0	24780.0	24582.0	20640.0	0.0	23521.0	22923.0	12657.0	22631.0	27157.0	16948.0	24298.0	25051.0	23676.0	19188.0	16752.0	22978.0	22373.0	20365.0	22050.0	21279.0	24127.0	20102.0	25493.0	24638.0	12252.0	22575.0	22435.0	18099.0	24442.0	16867.0	22190.0	18574.0	21884.0	24099.0	23190.0	23866.0	16936.0	21937.0	21295.0	24328.0	20654.0	24333.0	23246.0	19824.0	26986.0	23272.0
ZellerG_2014__CCIS74726977ST-3-0__bin.74	20480.0	21506.0	21909.0	24100.0	24075.0	22358.0	23521.0	0.0	23694.0	12265.0	21119.0	25949.0	14541.0	24075.0	24845.0	23516.0	20115.0	15418.0	22450.0	22269.0	20030.0	22289.0	21540.0	22745.0	18992.0	22491.0	24146.0	12067.0	22165.0	21610.0	18135.0	23757.0	15878.0	21961.0	17062.0	19912.0	24749.0	21751.0	24412.0	16604.0	21582.0	20302.0	26249.0	22738.0	23831.0	24116.0	20139.0	26269.0	23872.0
LiuW_2016__SRR3993041__bin.74	20951.0	21099.0	22367.0	18257.0	18804.0	22400.0	22923.0	23694.0	0.0	10216.0	21983.0	26876.0	14945.0	22951.0	18467.0	19622.0	20157.0	12882.0	17491.0	19459.0	20587.0	23522.0	21710.0	22848.0	20595.0	21070.0	19071.0	13908.0	20046.0	22338.0	19619.0	24654.0	13635.0	23756.0	18793.0	21521.0	19318.0	23820.0	25535.0	14321.0	23075.0	20016.0	15770.0	22438.0	19126.0	19333.0	20380.0	28332.0	17790.0
LiuW_2016__SRR3992994__bin.9	11966.0	12651.0	12817.0	10044.0	10216.0	12224.0	12657.0	12265.0	10216.0	0.0	12325.0	14439.0	9338.0	11924.0	11701.0	9962.0	10910.0	10030.0	9840.0	11109.0	12432.0	12516.0	12240.0	12173.0	11522.0	11444.0	9654.0	8330.0	11078.0	12399.0	10749.0	13155.0	9114.0	12350.0	12361.0	12059.0	10131.0	12090.0	12980.0	9600.0	12244.0	12860.0	10420.0	11966.0	11629.0	9927.0	12600.0	14194.0	10354.0
