	FengQ_2015__SID530258__bin.16	CosteaPI_2017__SID713B076-11-90-0__bin.31	FengQ_2015__SID530026__bin.15	LiuW_2016__SRR3993012__bin.86	LiuW_2016__SRR3993004__bin.71	LiuW_2016__SRR3993014__bin.44	LiuW_2016__SRR3992970__bin.33	BritoIL_2016__M1.37.ST__bin.19	XieH_2016__YSZC12003_35697__bin.56	ZeeviD_2015__PNP_Main_297__bin.15	LiuW_2016__SRR3992955__bin.69	LiuW_2016__SRR3992997__bin.3	LiuW_2016__SRR3992993__bin.60	FengQ_2015__SID31749__bin.28	LiuW_2016__SRR3993044__bin.108	BackhedF_2015__SID590_4M__bin.25	LiuW_2016__SRR3993048__bin.32	XieH_2016__YSZC12003_35515__bin.94	LiuW_2016__SRR3993061__bin.114	ZeeviD_2015__PNP_Main_404__bin.12	LiuW_2016__SRR3993002__bin.82	LiuW_2016__SRR3992969__bin.31	LiuW_2016__SRR3992995__bin.2	FengQ_2015__SID31477__bin.22	XieH_2016__YSZC12003_36244__bin.124	ZeeviD_2015__PNP_Main_198__bin.44	LiuW_2016__SRR3993031__bin.91	LiuW_2016__SRR3992981__bin.82	LiuW_2016__SRR3993038__bin.74	BritoIL_2016__W2.8.ST__bin.73	LiuW_2016__SRR3993005__bin.7
FengQ_2015__SID530258__bin.16	1512579.0	1258262.0	797615.0	1195677.0	1257686.0	1159081.0	1082297.0	1059927.0	1305626.0	1219958.0	883000.0	1254041.0	1244348.0	1323248.0	1280629.0	1038883.0	779887.0	1254199.0	1227967.0	715183.0	1280627.0	1205466.0	1230767.0	1278775.0	1240057.0	792184.0	1284752.0	1247193.0	1308611.0	808511.0	1070115.0
CosteaPI_2017__SID713B076-11-90-0__bin.31	1258262.0	1654060.0	871632.0	1376271.0	1474181.0	1312453.0	1235608.0	1188656.0	1487967.0	1428504.0	977218.0	1482124.0	1459940.0	1528204.0	1461432.0	1143320.0	838221.0	1459780.0	1360583.0	797798.0	1472187.0	1409402.0	1458897.0	1466898.0	1410233.0	880935.0	1497028.0	1453407.0	1524954.0	850025.0	1228885.0
FengQ_2015__SID530026__bin.15	797615.0	871632.0	1004989.0	827761.0	875573.0	792398.0	667942.0	736973.0	918021.0	896634.0	572183.0	879469.0	851493.0	948509.0	900170.0	853293.0	470249.0	873517.0	849427.0	526650.0	910031.0	834089.0	842376.0	894475.0	860122.0	597038.0	901313.0	862567.0	909017.0	556402.0	710601.0
LiuW_2016__SRR3993012__bin.86	1195677.0	1376271.0	827761.0	1542500.0	1393740.0	1257593.0	1199255.0	1122045.0	1387319.0	1305551.0	947252.0	1379249.0	1369389.0	1430935.0	1379489.0	1090779.0	834427.0	1349950.0	1281085.0	743245.0	1381758.0	1325260.0	1376855.0	1363648.0	1315272.0	826815.0	1407255.0	1351999.0	1424366.0	809103.0	1177908.0
LiuW_2016__SRR3993004__bin.71	1257686.0	1474181.0	875573.0	1393740.0	1727101.0	1335005.0	1231271.0	1205180.0	1488286.0	1412481.0	981397.0	1475884.0	1457120.0	1525651.0	1479475.0	1143949.0	844247.0	1442549.0	1385007.0	801294.0	1491690.0	1404693.0	1465108.0	1461302.0	1403984.0	884634.0	1517242.0	1452280.0	1505012.0	859401.0	1239313.0
LiuW_2016__SRR3993014__bin.44	1159081.0	1312453.0	792398.0	1257593.0	1335005.0	1477071.0	1148184.0	1070637.0	1345038.0	1271129.0	950071.0	1315747.0	1315805.0	1368763.0	1337703.0	1023729.0	823575.0	1300241.0	1271188.0	715519.0	1352019.0	1263150.0	1292785.0	1341728.0	1260444.0	801058.0	1338716.0	1324807.0	1372788.0	779321.0	1152387.0
LiuW_2016__SRR3992970__bin.33	1082297.0	1235608.0	667942.0	1199255.0	1231271.0	1148184.0	1380674.0	991502.0	1228931.0	1147873.0	894901.0	1231294.0	1223019.0	1263849.0	1235494.0	941268.0	784397.0	1232134.0	1157098.0	651600.0	1240281.0	1200799.0	1251314.0	1223260.0	1177177.0	700853.0	1254056.0	1219436.0	1270592.0	713453.0	1076748.0
BritoIL_2016__M1.37.ST__bin.19	1059927.0	1188656.0	736973.0	1122045.0	1205180.0	1070637.0	991502.0	1452002.0	1209423.0	1155036.0	828562.0	1190128.0	1168821.0	1237969.0	1207847.0	964834.0	692234.0	1176034.0	1124101.0	685906.0	1230665.0	1139361.0	1177929.0	1202307.0	1166368.0	747907.0	1211530.0	1176154.0	1256531.0	779234.0	995911.0
XieH_2016__YSZC12003_35697__bin.56	1305626.0	1487967.0	918021.0	1387319.0	1488286.0	1345038.0	1228931.0	1209423.0	1629653.0	1449587.0	987599.0	1477974.0	1459329.0	1569320.0	1492180.0	1184449.0	846023.0	1467167.0	1398987.0	800707.0	1508624.0	1397827.0	1460160.0	1510383.0	1434077.0	920446.0	1516822.0	1444129.0	1541972.0	875280.0	1231397.0
ZeeviD_2015__PNP_Main_297__bin.15	1219958.0	1428504.0	896634.0	1305551.0	1412481.0	1271129.0	1147873.0	1155036.0	1449587.0	1596632.0	938310.0	1409901.0	1383350.0	1504606.0	1418103.0	1163300.0	787139.0	1391801.0	1336557.0	807096.0	1427222.0	1331725.0	1375399.0	1420898.0	1353392.0	897839.0	1430116.0	1365817.0	1458119.0	846825.0	1147223.0
