	FengQ_2015__SID530258__bin.16	CosteaPI_2017__SID713B076-11-90-0__bin.31	FengQ_2015__SID530026__bin.15	LiuW_2016__SRR3993012__bin.86	LiuW_2016__SRR3993004__bin.71	LiuW_2016__SRR3993014__bin.44	LiuW_2016__SRR3992970__bin.33	BritoIL_2016__M1.37.ST__bin.19	XieH_2016__YSZC12003_35697__bin.56	ZeeviD_2015__PNP_Main_297__bin.15	LiuW_2016__SRR3992955__bin.69	LiuW_2016__SRR3992997__bin.3	LiuW_2016__SRR3992993__bin.60	FengQ_2015__SID31749__bin.28	LiuW_2016__SRR3993044__bin.108	BackhedF_2015__SID590_4M__bin.25	LiuW_2016__SRR3993048__bin.32	XieH_2016__YSZC12003_35515__bin.94	LiuW_2016__SRR3993061__bin.114	ZeeviD_2015__PNP_Main_404__bin.12	LiuW_2016__SRR3993002__bin.82	LiuW_2016__SRR3992969__bin.31	LiuW_2016__SRR3992995__bin.2	FengQ_2015__SID31477__bin.22	XieH_2016__YSZC12003_36244__bin.124	ZeeviD_2015__PNP_Main_198__bin.44	LiuW_2016__SRR3993031__bin.91	LiuW_2016__SRR3992981__bin.82	LiuW_2016__SRR3993038__bin.74	BritoIL_2016__W2.8.ST__bin.73	LiuW_2016__SRR3993005__bin.7
FengQ_2015__SID530258__bin.16	0.0	23547.0	13747.0	20727.0	23317.0	20098.0	19638.0	22086.0	23278.0	22087.0	19070.0	22150.0	21976.0	22674.0	21775.0	19100.0	15279.0	23478.0	22351.0	15051.0	21847.0	21741.0	21676.0	21576.0	23359.0	14322.0	22138.0	21703.0	22663.0	16396.0	19827.0
CosteaPI_2017__SID713B076-11-90-0__bin.31	23547.0	0.0	15784.0	25086.0	27013.0	22633.0	22523.0	24386.0	25905.0	23367.0	21813.0	25330.0	25715.0	26205.0	26147.0	21513.0	17055.0	27807.0	23424.0	15465.0	26237.0	25844.0	26992.0	25284.0	26219.0	14496.0	25426.0	26326.0	26772.0	16968.0	22345.0
FengQ_2015__SID530026__bin.15	13747.0	15784.0	0.0	13924.0	14864.0	13048.0	11136.0	15706.0	15292.0	15162.0	11872.0	14218.0	13892.0	14879.0	14627.0	14688.0	8987.0	15144.0	14659.0	10253.0	14607.0	14010.0	13975.0	14032.0	15136.0	10019.0	14404.0	13872.0	15011.0	10359.0	12408.0
LiuW_2016__SRR3993012__bin.86	20727.0	25086.0	13924.0	0.0	23275.0	20131.0	19898.0	23883.0	24328.0	23240.0	19879.0	22269.0	23112.0	24085.0	21932.0	20052.0	15488.0	26205.0	21329.0	14585.0	21808.0	21807.0	22095.0	23772.0	24970.0	15000.0	22535.0	22502.0	23541.0	17043.0	19098.0
LiuW_2016__SRR3993004__bin.71	23317.0	27013.0	14864.0	23275.0	0.0	21566.0	21009.0	26322.0	26406.0	24757.0	21001.0	24041.0	23893.0	26506.0	23823.0	21203.0	15998.0	27283.0	22170.0	16739.0	24300.0	23302.0	23849.0	24871.0	25936.0	15742.0	24276.0	25053.0	24800.0	17474.0	21960.0
LiuW_2016__SRR3993014__bin.44	20098.0	22633.0	13048.0	20131.0	21566.0	0.0	18145.0	21582.0	22881.0	21206.0	18708.0	19710.0	19463.0	21387.0	20702.0	18155.0	14681.0	23205.0	20715.0	14022.0	20948.0	20232.0	19632.0	22854.0	22413.0	13814.0	19662.0	19397.0	20795.0	14802.0	17932.0
LiuW_2016__SRR3992970__bin.33	19638.0	22523.0	11136.0	19898.0	21009.0	18145.0	0.0	21036.0	21655.0	20268.0	18467.0	19477.0	19299.0	20757.0	19680.0	17023.0	14909.0	23561.0	19503.0	13231.0	19580.0	20637.0	20222.0	21074.0	22074.0	12316.0	19869.0	18870.0	19763.0	14797.0	17615.0
BritoIL_2016__M1.37.ST__bin.19	22086.0	24386.0	15706.0	23883.0	26322.0	21582.0	21036.0	0.0	24920.0	22654.0	20458.0	24605.0	24260.0	25608.0	25869.0	21558.0	15624.0	25887.0	23200.0	11546.0	26326.0	23321.0	25620.0	24891.0	25607.0	15137.0	25073.0	24783.0	25815.0	10778.0	20954.0
XieH_2016__YSZC12003_35697__bin.56	23278.0	25905.0	15292.0	24328.0	26406.0	22881.0	21655.0	24920.0	0.0	24512.0	21331.0	24819.0	25079.0	26290.0	25783.0	20735.0	16650.0	23965.0	24623.0	15989.0	25956.0	25112.0	25029.0	24553.0	23157.0	15469.0	24559.0	25103.0	26691.0	17474.0	21829.0
ZeeviD_2015__PNP_Main_297__bin.15	22087.0	23367.0	15162.0	23240.0	24757.0	21206.0	20268.0	22654.0	24512.0	0.0	20923.0	23533.0	23062.0	25638.0	24522.0	21442.0	15448.0	24984.0	23887.0	15413.0	24306.0	22902.0	24171.0	22804.0	23773.0	14928.0	23283.0	23622.0	25417.0	15406.0	19663.0
LiuW_2016__SRR3992955__bin.69	19070.0	21813.0	11872.0	19879.0	21001.0	18708.0	18467.0	20458.0	21331.0	20923.0	0.0	20409.0	19771.0	20591.0	20443.0	17311.0	15197.0	22268.0	18820.0	12951.0	20928.0	19498.0	19872.0	20869.0	21636.0	12893.0	19485.0	6572.0	20429.0	14317.0	18605.0
LiuW_2016__SRR3992997__bin.3	22150.0	25330.0	14218.0	22269.0	24041.0	19710.0	19477.0	24605.0	24819.0	23533.0	20409.0	0.0	21843.0	24404.0	22496.0	20380.0	16297.0	26411.0	22425.0	16305.0	22864.0	21863.0	15479.0	23581.0	25551.0	15147.0	22842.0	23358.0	24530.0	17605.0	4017.0
LiuW_2016__SRR3992993__bin.60	21976.0	25715.0	13892.0	23112.0	23893.0	19463.0	19299.0	24260.0	25079.0	23062.0	19771.0	21843.0	0.0	23409.0	22419.0	19716.0	15755.0	25505.0	22108.0	14807.0	22396.0	22431.0	22638.0	23355.0	25095.0	14563.0	22295.0	22277.0	23062.0	16743.0	20529.0
FengQ_2015__SID31749__bin.28	22674.0	26205.0	14879.0	24085.0	26506.0	21387.0	20757.0	25608.0	26290.0	25638.0	20591.0	24404.0	23409.0	0.0	25847.0	20656.0	15892.0	26761.0	24501.0	16335.0	25303.0	24201.0	24647.0	24211.0	25726.0	16160.0	25349.0	23760.0	26114.0	17855.0	21094.0
LiuW_2016__SRR3993044__bin.108	21775.0	26147.0	14627.0	21932.0	23823.0	20702.0	19680.0	25869.0	25783.0	24522.0	20443.0	22496.0	22419.0	25847.0	0.0	21275.0	15037.0	26502.0	22821.0	16096.0	2165.0	22687.0	23026.0	25055.0	25095.0	16515.0	22307.0	22696.0	23594.0	18261.0	19651.0
BackhedF_2015__SID590_4M__bin.25	19100.0	21513.0	14688.0	20052.0	21203.0	18155.0	17023.0	21558.0	20735.0	21442.0	17311.0	20380.0	19716.0	20656.0	21275.0	0.0	13166.0	21717.0	20225.0	14246.0	21162.0	20279.0	20473.0	20287.0	21124.0	14367.0	19944.0	20703.0	21869.0	14873.0	17485.0
LiuW_2016__SRR3993048__bin.32	15279.0	17055.0	8987.0	15488.0	15998.0	14681.0	14909.0	15624.0	16650.0	15448.0	15197.0	16297.0	15755.0	15892.0	15037.0	13166.0	0.0	17080.0	14983.0	10091.0	15609.0	15444.0	15858.0	16480.0	17113.0	9546.0	15364.0	15311.0	16033.0	10921.0	14517.0
XieH_2016__YSZC12003_35515__bin.94	23478.0	27807.0	15144.0	26205.0	27283.0	23205.0	23561.0	25887.0	23965.0	24984.0	22268.0	26411.0	25505.0	26761.0	26502.0	21717.0	17080.0	0.0	24501.0	16519.0	27028.0	25558.0	26886.0	25326.0	24129.0	15735.0	25662.0	26485.0	27790.0	17852.0	22658.0
LiuW_2016__SRR3993061__bin.114	22351.0	23424.0	14659.0	21329.0	22170.0	20715.0	19503.0	23200.0	24623.0	23887.0	18820.0	22425.0	22108.0	24501.0	22821.0	20225.0	14983.0	24501.0	0.0	15416.0	23020.0	21568.0	22400.0	23657.0	23609.0	14838.0	22114.0	21890.0	22943.0	16149.0	19865.0
ZeeviD_2015__PNP_Main_404__bin.12	15051.0	15465.0	10253.0	14585.0	16739.0	14022.0	13231.0	11546.0	15989.0	15413.0	12951.0	16305.0	14807.0	16335.0	16096.0	14246.0	10091.0	16519.0	15416.0	0.0	16303.0	15402.0	15939.0	15882.0	16406.0	10136.0	16330.0	16509.0	16285.0	9008.0	13955.0
LiuW_2016__SRR3993002__bin.82	21847.0	26237.0	14607.0	21808.0	24300.0	20948.0	19580.0	26326.0	25956.0	24306.0	20928.0	22864.0	22396.0	25303.0	2165.0	21162.0	15609.0	27028.0	23020.0	16303.0	0.0	22630.0	23184.0	25253.0	25760.0	16710.0	22042.0	22567.0	23741.0	18429.0	20515.0
LiuW_2016__SRR3992969__bin.31	21741.0	25844.0	14010.0	21807.0	23302.0	20232.0	20637.0	23321.0	25112.0	22902.0	19498.0	21863.0	22431.0	24201.0	22687.0	20279.0	15444.0	25558.0	21568.0	15402.0	22630.0	0.0	23243.0	23580.0	25162.0	14297.0	22727.0	22346.0	23146.0	16393.0	19578.0
LiuW_2016__SRR3992995__bin.2	21676.0	26992.0	13975.0	22095.0	23849.0	19632.0	20222.0	25620.0	25029.0	24171.0	19872.0	15479.0	22638.0	24647.0	23026.0	20473.0	15858.0	26886.0	22400.0	15939.0	23184.0	23243.0	0.0	23327.0	25937.0	15289.0	23539.0	23149.0	24461.0	17451.0	13584.0
FengQ_2015__SID31477__bin.22	21576.0	25284.0	14032.0	23772.0	24871.0	22854.0	21074.0	24891.0	24553.0	22804.0	20869.0	23581.0	23355.0	24211.0	25055.0	20287.0	16480.0	25326.0	23657.0	15882.0	25253.0	23580.0	23327.0	0.0	23948.0	14674.0	23732.0	24038.0	24447.0	16926.0	21233.0
XieH_2016__YSZC12003_36244__bin.124	23359.0	26219.0	15136.0	24970.0	25936.0	22413.0	22074.0	25607.0	23157.0	23773.0	21636.0	25551.0	25095.0	25726.0	25095.0	21124.0	17113.0	24129.0	23609.0	16406.0	25760.0	25162.0	25937.0	23948.0	0.0	14641.0	24941.0	24689.0	26720.0	17759.0	21956.0
ZeeviD_2015__PNP_Main_198__bin.44	14322.0	14496.0	10019.0	15000.0	15742.0	13814.0	12316.0	15137.0	15469.0	14928.0	12893.0	15147.0	14563.0	16160.0	16515.0	14367.0	9546.0	15735.0	14838.0	10136.0	16710.0	14297.0	15289.0	14674.0	14641.0	0.0	14787.0	15081.0	16124.0	11213.0	13020.0
LiuW_2016__SRR3993031__bin.91	22138.0	25426.0	14404.0	22535.0	24276.0	19662.0	19869.0	25073.0	24559.0	23283.0	19485.0	22842.0	22295.0	25349.0	22307.0	19944.0	15364.0	25662.0	22114.0	16330.0	22042.0	22727.0	23539.0	23732.0	24941.0	14787.0	0.0	22558.0	23369.0	17503.0	20127.0
LiuW_2016__SRR3992981__bin.82	21703.0	26326.0	13872.0	22502.0	25053.0	19397.0	18870.0	24783.0	25103.0	23622.0	6572.0	23358.0	22277.0	23760.0	22696.0	20703.0	15311.0	26485.0	21890.0	16509.0	22567.0	22346.0	23149.0	24038.0	24689.0	15081.0	22558.0	0.0	23139.0	17262.0	20666.0
LiuW_2016__SRR3993038__bin.74	22663.0	26772.0	15011.0	23541.0	24800.0	20795.0	19763.0	25815.0	26691.0	25417.0	20429.0	24530.0	23062.0	26114.0	23594.0	21869.0	16033.0	27790.0	22943.0	16285.0	23741.0	23146.0	24461.0	24447.0	26720.0	16124.0	23369.0	23139.0	0.0	18601.0	20790.0
BritoIL_2016__W2.8.ST__bin.73	16396.0	16968.0	10359.0	17043.0	17474.0	14802.0	14797.0	10778.0	17474.0	15406.0	14317.0	17605.0	16743.0	17855.0	18261.0	14873.0	10921.0	17852.0	16149.0	9008.0	18429.0	16393.0	17451.0	16926.0	17759.0	11213.0	17503.0	17262.0	18601.0	0.0	15137.0
LiuW_2016__SRR3993005__bin.7	19827.0	22345.0	12408.0	19098.0	21960.0	17932.0	17615.0	20954.0	21829.0	19663.0	18605.0	4017.0	20529.0	21094.0	19651.0	17485.0	14517.0	22658.0	19865.0	13955.0	20515.0	19578.0	13584.0	21233.0	21956.0	13020.0	20127.0	20666.0	20790.0	15137.0	0.0
