	ZeeviD_2015__PNP_Main_107__bin.35	BritoIL_2016__M1.52.ST__bin.86	RampelliS_2015__H11__bin.13	BritoIL_2016__W1.2.ST__bin.60	LeChatelierE_2013__MH0454__bin.26	ZeeviD_2015__PNP_Main_133__bin.40	ZeeviD_2015__PNP_Main_93__bin.29	ZellerG_2014__CCIS90164298ST-4-0__bin.73	ZeeviD_2015__PNP_Main_310__bin.41	HMP_2012__SRS011529__bin.49	CM_madagascar__A07_01_1FE__bin.9	LiJ_2014__MH0340__bin.28	ZeeviD_2015__PNP_Validation_93__bin.6	BritoIL_2016__W2.61.ST__bin.7	KarlssonFH_2013__S60__bin.4	NielsenHB_2014__MH0115__bin.39	RampelliS_2015__H10__bin.44	ZeeviD_2015__PNP_Main_137__bin.17	ZeeviD_2015__PNP_Main_325__bin.40	ZeeviD_2015__PNP_Main_25__bin.85	FengQ_2015__SID530867__bin.63	ZeeviD_2015__PNP_Main_438__bin.40	XieH_2016__YSZC12003_37255__bin.30	BritoIL_2016__M1.1.ST__bin.103	BritoIL_2016__W2.39.ST__bin.75	ZeeviD_2015__PNP_Validation_18__bin.12	XieH_2016__YSZC12003_37315__bin.109	WenC_2017__N277__bin.7	BritoIL_2016__M2.36.ST__bin.40	LiJ_2014__O2.UC28-0__bin.26	BritoIL_2016__M2.46.ST__bin.6	LiJ_2014__V1.FI26__bin.8	QinN_2014__HD-60__bin.82	NielsenHB_2014__V1_CD22_0__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.44	BritoIL_2016__M1.44.ST__bin.14	CosteaPI_2017__SID713B040-11-90-0__bin.4	RaymondF_2016__P19E0__bin.81	LeChatelierE_2013__MH0177__bin.3	CosteaPI_2017__SID713A063-11-90-0__bin.85	CosteaPI_2017__SID713A084-11-0-0__bin.26	XieH_2016__YSZC12003_37797__bin.39	KarlssonFH_2013__S378__bin.20
ZeeviD_2015__PNP_Main_107__bin.35	1.0	0.8187392806970671	0.5205827853381482	0.8264726921717847	0.7679235363572899	0.6544691413353558	0.7755518017047462	0.8600772220737919	0.8656215256530695	0.8368028682484552	0.6777762455937739	0.7783950564083117	0.5284670211757405	0.6212834722353894	0.8289160468503564	0.753758974049591	0.687465202664851	0.8742719492540658	0.8073438536917494	0.800772220737919	0.8498427117358591	0.786711080850477	0.7528669556748744	0.8668315679700764	0.8593058631893751	0.711507467960596	0.6013031224952382	0.7154513095863965	0.7921174878694119	0.8017926552844548	0.8331718794439321	0.8605477940859613	0.8369166329107378	0.8622060002240819	0.8521671306311354	0.8635073990123159	0.8087435037792277	0.8557420989580191	0.8100664489050151	0.8839910711977178	0.7783304173956511	0.6057640762223238	0.8076170612519284
BritoIL_2016__M1.52.ST__bin.86	0.6232405292829069	1.0	0.42163265761347707	0.6738627693208008	0.6174147171299215	0.5010237815162988	0.594190851769164	0.6548239102352565	0.6902754205180118	0.6808065075896292	0.5455951808461992	0.6142616931200964	0.4291497922586241	0.4498051830046364	0.6397069773941431	0.6147334002077086	0.5617152293159067	0.6880441607058155	0.623208382346477	0.6172303642903958	0.6770558129861814	0.6363125233311312	0.5706763518606843	0.6985706422367445	0.6901671706300341	0.5764306534816116	0.4467781225008217	0.5474603592190525	0.6667366463922281	0.6346467871761278	0.6970636725841085	0.6667687933286578	0.6762980637703371	0.6678421073694556	0.6737158118971219	0.6938292971433183	0.6213766630299078	0.6814127069623047	0.645749289323084	0.6808530878444561	0.620208220299675	0.43913830464929987	0.6227996570118701
RampelliS_2015__H11__bin.13	0.7180198278731397	0.7639603442537207	1.0	0.7808306785221816	0.7218641529171224	0.691167799914412	0.6755337359136513	0.7576422899529266	0.783789406114783	0.759944843326518	0.6648625838048595	0.7278374780086538	0.4810565355903191	0.5071251961390328	0.7412331795920308	0.7163104464837621	0.9209381389377586	0.7742998430887738	0.7113867623983643	0.7084672626123342	0.7705803337929723	0.8420878702867196	0.670569635300271	0.7784044981218202	0.7849460320479292	0.779183110646189	0.590078931101707	0.6539845941705102	0.7455208977224098	0.7285887499405639	0.7704911796871285	0.7722457324901336	0.7724894203794399	0.7661844420141696	0.7757393847177976	0.7907707669630545	0.7127454709714232	0.7776056773334601	0.7580096048690029	0.7877811326137606	0.740872997004422	0.4890031382245257	0.7179710902952784
BritoIL_2016__W1.2.ST__bin.60	0.7816068719929121	0.8371846607650382	0.5353898017186502	1.0	0.7763635459652961	0.6562715738047247	0.7561197268221435	0.822443358956323	0.8744128461080143	0.839792060106301	0.6945267435709552	0.7599024527811309	0.5460166452983267	0.5741046692743377	0.8018449856670468	0.7755370680246769	0.7124435464217336	0.8773617585233594	0.7918905723645012	0.779168191521184	0.8498059733000352	0.8092857323336264	0.7280936479383288	0.8765034929696396	0.8740191687457668	0.7383048073466879	0.581403594282468	0.6722990513435156	0.8151794818293038	0.8048354664995236	0.8545211359099775	0.8456393507828311	0.8551984565891239	0.8444224557479748	0.8521998250866213	0.8790839950998172	0.7886743179723089	0.8584236767183446	0.8137857172548869	0.8658733891219528	0.7833918687285688	0.5577862128156245	0.7865526985645855
LeChatelierE_2013__MH0454__bin.26	0.8534142739196482	0.9013819155640779	0.5816353114482146	0.9123200052104385	1.0	0.6900909719574966	0.8425393991521544	0.9299990996668768	0.9451869532152428	0.9257378421505319	0.7400441354790634	0.8514028914102473	0.5919134760712528	0.6158939445892853	0.8842660082102718	0.8207168567263504	0.785174769984043	0.9493754178407713	0.8733796398284387	0.8527457286855711	0.9472165339473477	0.8721364138773899	0.8017744224937695	0.9434705734738875	0.9482490436355069	0.7977679400952821	0.6130033005829179	0.7625294763317747	0.8685187987640534	0.8904955471822447	0.9179193109961324	0.946603541182578	0.924194824425463	0.9253987805275186	0.9311848575462283	0.937620323775116	0.8732723660946039	0.9412044158466292	0.9211365652099788	0.9496234883502641	0.8570146486114756	0.6080984006635647	0.8753038624290987
ZeeviD_2015__PNP_Main_133__bin.40	0.7509342499646473	0.7551983260139294	0.5749758464616179	0.7962262135855124	0.71248735462141	1.0	0.7123498994797471	0.7686887076151138	0.785045869472993	0.7658713716539809	0.6397211737284658	0.7218135376503477	0.5092307555385027	0.5296364163170131	0.7546663053936804	0.7217828821870992	0.7798532295530533	0.8010143991677536	0.7333024141671751	0.725976747336683	0.7819783453763156	0.8612820510284908	0.6878205844513513	0.7932190115294209	0.7918316045959461	0.8134150284947476	0.6679281554607763	0.6777626258480933	0.7325449275591626	0.7530633213315546	0.7752321656898122	0.7984076959057157	0.7869682636844505	0.7928729014604856	0.7848540256062118	0.7967028565947318	0.7472902053817149	0.7972793770809868	0.7552181037321544	0.7868693750933261	0.7259164252960971	0.5192175143561513	0.7590421255509331
ZeeviD_2015__PNP_Main_93__bin.29	0.8500415165882149	0.8555496673477465	0.536821293522751	0.8763145738811067	0.8309552215965608	0.6804715226433078	1.0	0.8881300342995977	0.9254921297962523	0.8845989988787215	0.7084071327293354	0.8375506440975125	0.5660557729784161	0.6135717207326946	0.8600508401087082	0.7935647871318414	0.7298417835412941	0.9179010648839566	0.8360694606999914	0.8422756947061864	0.905903290437582	0.8312149954704883	0.7616409396068251	0.9057275888355801	0.905575503040299	0.7602929493592087	0.6096788911528576	0.7477642915777531	0.8346950207488478	0.8465425986644789	0.8913285591618467	0.9075025528687065	0.8869945863124673	0.8958656279490239	0.889648058355603	0.9145173920970175	0.846782535260761	0.9095080071754267	0.8383186301320691	0.9008721789738082	0.8196243575319782	0.5837789636061526	0.8376592768084277
ZellerG_2014__CCIS90164298ST-4-0__bin.73	0.8087891087215164	0.8089325600469418	0.5165536345865198	0.8177941238446901	0.7869342587699819	0.6299928355383234	0.761982643200083	1.0	0.8709635066311794	0.8474180382342358	0.6669173687947171	0.7641303607841358	0.5235373638022868	0.5862685473648721	0.8308546781341278	0.7547330832795729	0.682705119186169	0.861220162934771	0.7786124609763767	0.7947065650458558	0.8649588124499541	0.7926082854892096	0.7538496824619814	0.8606406844168096	0.8643428632560372	0.7214815523216422	0.57538893949758	0.6923366194763135	0.779382397468773	0.813788833165298	0.8220279640934038	0.8770597827320264	0.837832734133635	0.8575495920147049	0.8597921333562423	0.8720851825316809	0.8114255333633744	0.8580885475593824	0.8136834734347597	0.868305199583748	0.78830798756431	0.5819074649800465	0.8126314970483066
ZeeviD_2015__PNP_Main_310__bin.41	0.718719721549169	0.7529113826222981	0.47182860733080206	0.7676940647438255	0.706166821472887	0.5680856362249418	0.701091848987367	0.7690128992461963	1.0	0.779212935598227	0.6132866672486809	0.6892881728524751	0.4941006665016036	0.5183134088902183	0.7442083629707338	0.6817408329194831	0.6351859034266798	0.825010769646913	0.7274069981952791	0.7171089258547378	0.7908369983527092	0.745291052391291	0.6708617005594492	0.8103017934145577	0.8039387568464184	0.6659634790897108	0.5120004637030697	0.6280314230388867	0.7320440288927086	0.7422590926590366	0.7901163980575994	0.7796623268448298	0.7751719923345876	0.7962740599636766	0.7890558919629095	0.8108120099095063	0.7219499000319154	0.7815937073776017	0.7393874253459526	0.8403029526722321	0.715377195254772	0.5141951817816216	0.7186402909307408
HMP_2012__SRS011529__bin.49	0.819723672712997	0.8761086228803722	0.5397339727218617	0.8698737404651045	0.8160004727872922	0.6538639807845736	0.7906084181465894	0.8827631040174256	0.9193247584352429	1.0	0.7017623990578025	0.7922733048253853	0.5641863626194105	0.6121945350854605	0.8405482644062932	0.7940530112751326	0.7219892525317337	0.9118673831645511	0.8284162047844386	0.8133165606413022	0.9012440215624776	0.8284947212454568	0.7582706116263461	0.9596678669272625	0.9122709408889246	0.7544874690261004	0.5856044712169629	0.7165724609844951	0.846827892761711	0.8567429176885767	0.8933510065725876	0.894923868582018	0.8858260902601597	0.8885133794582364	0.8994060609642328	0.9166332479220577	0.8151638081327857	0.898932429409058	0.8415124127770766	0.9111759317497773	0.815579185539463	0.5805287619304919	0.8202876404114938
