	ZeeviD_2015__PNP_Main_107__bin.35	BritoIL_2016__M1.52.ST__bin.86	RampelliS_2015__H11__bin.13	BritoIL_2016__W1.2.ST__bin.60	LeChatelierE_2013__MH0454__bin.26	ZeeviD_2015__PNP_Main_133__bin.40	ZeeviD_2015__PNP_Main_93__bin.29	ZellerG_2014__CCIS90164298ST-4-0__bin.73	ZeeviD_2015__PNP_Main_310__bin.41	HMP_2012__SRS011529__bin.49	CM_madagascar__A07_01_1FE__bin.9	LiJ_2014__MH0340__bin.28	ZeeviD_2015__PNP_Validation_93__bin.6	BritoIL_2016__W2.61.ST__bin.7	KarlssonFH_2013__S60__bin.4	NielsenHB_2014__MH0115__bin.39	RampelliS_2015__H10__bin.44	ZeeviD_2015__PNP_Main_137__bin.17	ZeeviD_2015__PNP_Main_325__bin.40	ZeeviD_2015__PNP_Main_25__bin.85	FengQ_2015__SID530867__bin.63	ZeeviD_2015__PNP_Main_438__bin.40	XieH_2016__YSZC12003_37255__bin.30	BritoIL_2016__M1.1.ST__bin.103	BritoIL_2016__W2.39.ST__bin.75	ZeeviD_2015__PNP_Validation_18__bin.12	XieH_2016__YSZC12003_37315__bin.109	WenC_2017__N277__bin.7	BritoIL_2016__M2.36.ST__bin.40	LiJ_2014__O2.UC28-0__bin.26	BritoIL_2016__M2.46.ST__bin.6	LiJ_2014__V1.FI26__bin.8	QinN_2014__HD-60__bin.82	NielsenHB_2014__V1_CD22_0__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.44	BritoIL_2016__M1.44.ST__bin.14	CosteaPI_2017__SID713B040-11-90-0__bin.4	RaymondF_2016__P19E0__bin.81	LeChatelierE_2013__MH0177__bin.3	CosteaPI_2017__SID713A063-11-90-0__bin.85	CosteaPI_2017__SID713A084-11-0-0__bin.26	XieH_2016__YSZC12003_37797__bin.39	KarlssonFH_2013__S378__bin.20
ZeeviD_2015__PNP_Main_107__bin.35	1.0	0.8097975506123469	0.5013789656034267	0.817747287316102	0.7617337045049083	0.6345482594868525	0.7697006782787061	0.8530600108593541	0.858010497375656	0.8296813727602582	0.667795982038973	0.7707349024812762	0.5243801118685846	0.616360565031156	0.8197226555430108	0.7417094002361478	0.6614174042696223	0.8667333166708323	0.8013668996543967	0.7946582319937256	0.8423618233372692	0.7661731118944402	0.7462099992243318	0.8597445466219652	0.8522920993889459	0.692652698894242	0.5840479535288592	0.7071706211378189	0.7836954554464832	0.7951356988339122	0.8244300993717089	0.8537288091770161	0.8287609132199708	0.8558618965948168	0.8449603116462264	0.8557765730981048	0.8018150634755105	0.8480104111903058	0.802682949952167	0.87331184445268	0.7717674029768421	0.6009282162218066	0.8007403321583397
BritoIL_2016__M1.52.ST__bin.86	0.6164339075388502	1.0	0.40600727832883166	0.6668278387221002	0.6104900045989801	0.4861069469529624	0.5880704687088938	0.6472752847136068	0.6822951075643053	0.6731404473410219	0.5379284645376647	0.607565289443799	0.42486637699434016	0.4451898014172207	0.6323663228693961	0.6050545481026419	0.5406766995724458	0.6803990943748766	0.6162167517029675	0.6104572016026233	0.669422555733931	0.6195501921927558	0.564441814373092	0.6914379587089002	0.6826369147863443	0.5613019115618096	0.43343386358283514	0.5411405339409323	0.6649442906712871	0.6277594700610333	0.6956649528194503	0.659333666174403	0.6686359398812926	0.6598742595543647	0.6659539668991524	0.6859487052985368	0.6142761264384934	0.6740077585646983	0.6383390924460605	0.6733090547422964	0.6129758156629058	0.43365101941871775	0.615405861633025
RampelliS_2015__H11__bin.13	0.6915327373876659	0.7356485664019781	1.0	0.7523441586229851	0.6944641243878085	0.6734118681945699	0.650309067566925	0.7294909894917027	0.7551495411535353	0.7316853692168703	0.640297655841377	0.7012814416813276	0.4637214112500595	0.4880783129665731	0.7136358233084494	0.6910346631163521	0.9196697731919548	0.7462258095192811	0.6845763396890304	0.6819338119918216	0.7423137273548571	0.8185499976225572	0.6458703818173173	0.749843088773715	0.7563727354857116	0.7589998098045742	0.5743937520802624	0.6306999191669441	0.717845085825686	0.7016547002044601	0.7419903951309971	0.7435083923731635	0.744495031144501	0.7385466692026057	0.7469426085302648	0.761623317959203	0.6860610527316818	0.7488683372164899	0.7306749560173078	0.7589903000332842	0.7135133850030906	0.4720579145071561	0.6914305073462983
BritoIL_2016__W1.2.ST__bin.60	0.7733551336587624	0.8284446972963412	0.5158575360687525	1.0	0.7680221502608622	0.6377173885579265	0.7481793440829804	0.8134238275057402	0.8649988222281813	0.8306853164864418	0.6845356522532935	0.7512586672187387	0.5405899291951295	0.5682435224587636	0.7930536729771871	0.7633420355320308	0.6862619641647641	0.8674081602878164	0.7828262122287762	0.7701991942247612	0.840642174989995	0.7883042775531361	0.7203236142027055	0.8671383731099616	0.8652873559470956	0.7192860339084174	0.564674344054453	0.6642355934869626	0.8065104291898315	0.7969382823114974	0.8455496934125469	0.8367388191146253	0.8461137197783343	0.8356971634853243	0.8432919578153922	0.8709822290941427	0.7800696556260407	0.8494628300919477	0.8057793140885147	0.8565596184834374	0.775110787982326	0.5522095243839519	0.7778917965951392
LeChatelierE_2013__MH0454__bin.26	0.8465353457374974	0.8912723239513514	0.5595579939045532	0.9025178677812918	1.0	0.6693861835262025	0.8356480195544692	0.9242044024374125	0.9363062205356407	0.9175256547050069	0.7287708154144693	0.8429656206839083	0.5869549392849823	0.6108817709360974	0.8742684793373547	0.8071304467759454	0.7551065170708906	0.9410961843115995	0.8651482963590146	0.8451197155713571	0.937921073350331	0.8490687298981474	0.7948945365104237	0.9352066647638351	0.9412599683159365	0.7767365414565092	0.5948893643839711	0.7543000484647405	0.8585030716684322	0.8822383430805568	0.9076507243850438	0.9400349405875918	0.9142652994373877	0.916931817964136	0.9230349271783751	0.9289694633823025	0.8659221997245363	0.9322221562403621	0.9124473927693673	0.9416737384321561	0.8497947432039216	0.6028486923140285	0.8671050842003031
ZeeviD_2015__PNP_Main_133__bin.40	0.7280771410121643	0.7327140270499852	0.5602048576053733	0.7737152147019646	0.6911106078780586	1.0	0.6906843980503126	0.7458958762468616	0.7620424054056459	0.7426444193706928	0.6218045387885555	0.7002825247048422	0.4938486351891096	0.5149949715151413	0.7316944856754931	0.7011329665885117	0.7604166769675617	0.7765414506362986	0.7109664480899174	0.7038524028444315	0.7583963830508911	0.8490910655146804	0.6673882237532374	0.7696667157813336	0.7689359290929246	0.8022079844626245	0.6599231240092599	0.6577248306285656	0.7103009278716506	0.7303100453997522	0.7514830816453876	0.7746022453643501	0.7638975553751388	0.7698813040240734	0.7618881392034919	0.7737666367693493	0.725184649721777	0.7739159585419471	0.7331966033746721	0.7639123886638074	0.7047720667418879	0.5053345450482033	0.7361909499139174
ZeeviD_2015__PNP_Main_93__bin.29	0.8436284081151468	0.8467371929118573	0.5167761967782372	0.8671119663181918	0.8241585924223488	0.659775574265572	1.0	0.8810065623603716	0.9174854266856727	0.8772270886527939	0.698283508704314	0.8289573243479911	0.5619456779767489	0.6087276464581486	0.8505686213942205	0.7810644683184507	0.7019184536747612	0.9113689327450163	0.8287334465002791	0.8362243803920791	0.8972051165062208	0.8089868535527147	0.7559126895286569	0.8984699791141805	0.8993928848408248	0.7393816248241802	0.5912311675749307	0.7396584020789467	0.826000625346562	0.8388211744990851	0.8819700872745754	0.900430091071997	0.8775643223727652	0.8879014332905416	0.8821882973286744	0.9075346703658467	0.8401115421783031	0.902190885621091	0.8309070453508507	0.8932565536225231	0.8126983137369369	0.5785778183339898	0.8306586070641491
ZellerG_2014__CCIS90164298ST-4-0__bin.73	0.8021903477519475	0.7996074134348244	0.4973603335202793	0.808825579397472	0.7820309790026162	0.6113125553138586	0.7558709683693879	1.0	0.8622575510508418	0.8392510381985756	0.6568968479610461	0.7564553096441434	0.5197946619897752	0.5813839081652171	0.8218050877403418	0.7424829884558154	0.6570184168808981	0.8530539733585765	0.7709244424849335	0.78827232734782	0.8575001539872985	0.7715768623548062	0.7479308969841182	0.8530312804935375	0.8574215394191276	0.7026926705287763	0.5589131090197654	0.6848090719590751	0.7706829255641608	0.8068902021934274	0.8127044384002179	0.87183394009732	0.829048974444592	0.8494879517095831	0.8523496840829002	0.8633403248969906	0.8048138050423547	0.8506388041508491	0.8067483717869335	0.8604802134426048	0.7814668992145027	0.5764887329925081	0.8051274528555729
ZeeviD_2015__PNP_Main_310__bin.41	0.7124003360416074	0.7442069317884197	0.4545878695849428	0.7594289868803517	0.6995318602650836	0.5514395547305584	0.6950264983405442	0.7613260190375872	1.0	0.7715231930249898	0.6037678736781243	0.68193547371419	0.49029443713746357	0.513287812194532	0.7359661840242843	0.6709139387139109	0.6109388126625286	0.8159127436766788	0.7215405818901053	0.7106614495300713	0.7832367046740983	0.7254634526128381	0.6652092460102215	0.8019873397612501	0.7966912496082138	0.6488694375310388	0.4972893406972434	0.6206916045414277	0.7237832445761768	0.7351897676189276	0.7813654337985153	0.7726967625224875	0.7670514638848299	0.7880376057464833	0.7821146577399055	0.8024166944554565	0.7149185013231281	0.7737851766723007	0.7327846657402146	0.832151653802723	0.7090191678247317	0.5089033851755274	0.7120067609052514
HMP_2012__SRS011529__bin.49	0.8127475273646751	0.8662434094717869	0.5196633079069453	0.8604407897236305	0.8087617616392211	0.6340339309308423	0.7840197895252288	0.8742554655477368	0.9102523080040356	1.0	0.6914607016669974	0.7844039292001029	0.5594669323280975	0.6061057101729472	0.8315517976470389	0.7815942218638794	0.6946199338942054	0.9048177869333413	0.8207063948702579	0.8056996196595088	0.8922703499048095	0.8068098255330465	0.750782842886873	0.9536989273638309	0.9035041136715734	0.7343078942813844	0.5683975465716589	0.7084658474501146	0.8377225160726572	0.8480875331900901	0.8840522936515641	0.8864246727425461	0.8757118192601724	0.8797170030351256	0.8910698078879494	0.9072273135972782	0.8070453749161013	0.8900761103114063	0.8332816925785059	0.9019101450866003	0.8080390724926444	0.5747632897552903	0.8123532565335405
