	ZeeviD_2015__PNP_Main_107__bin.35	BritoIL_2016__M1.52.ST__bin.86	RampelliS_2015__H11__bin.13	BritoIL_2016__W1.2.ST__bin.60	LeChatelierE_2013__MH0454__bin.26	ZeeviD_2015__PNP_Main_133__bin.40	ZeeviD_2015__PNP_Main_93__bin.29	ZellerG_2014__CCIS90164298ST-4-0__bin.73	ZeeviD_2015__PNP_Main_310__bin.41	HMP_2012__SRS011529__bin.49	CM_madagascar__A07_01_1FE__bin.9	LiJ_2014__MH0340__bin.28	ZeeviD_2015__PNP_Validation_93__bin.6	BritoIL_2016__W2.61.ST__bin.7	KarlssonFH_2013__S60__bin.4	NielsenHB_2014__MH0115__bin.39	RampelliS_2015__H10__bin.44	ZeeviD_2015__PNP_Main_137__bin.17	ZeeviD_2015__PNP_Main_325__bin.40	ZeeviD_2015__PNP_Main_25__bin.85	FengQ_2015__SID530867__bin.63	ZeeviD_2015__PNP_Main_438__bin.40	XieH_2016__YSZC12003_37255__bin.30	BritoIL_2016__M1.1.ST__bin.103	BritoIL_2016__W2.39.ST__bin.75	ZeeviD_2015__PNP_Validation_18__bin.12	XieH_2016__YSZC12003_37315__bin.109	WenC_2017__N277__bin.7	BritoIL_2016__M2.36.ST__bin.40	LiJ_2014__O2.UC28-0__bin.26	BritoIL_2016__M2.46.ST__bin.6	LiJ_2014__V1.FI26__bin.8	QinN_2014__HD-60__bin.82	NielsenHB_2014__V1_CD22_0__bin.3	CosteaPI_2017__SID713A084-11-90-0__bin.44	BritoIL_2016__M1.44.ST__bin.14	CosteaPI_2017__SID713B040-11-90-0__bin.4	RaymondF_2016__P19E0__bin.81	LeChatelierE_2013__MH0177__bin.3	CosteaPI_2017__SID713A063-11-90-0__bin.85	CosteaPI_2017__SID713A084-11-0-0__bin.26	XieH_2016__YSZC12003_37797__bin.39	KarlssonFH_2013__S378__bin.20
ZeeviD_2015__PNP_Main_107__bin.35	0.0	10375.0	22282.0	10124.0	7182.0	23114.0	6789.0	8142.0	8831.0	8263.0	11580.0	8888.0	4742.0	5712.0	10667.0	13981.0	30223.0	8747.0	6935.0	7094.0	8680.0	23830.0	7724.0	8223.0	8138.0	21877.0	20021.0	9608.0	9772.0	7724.0	10143.0	7912.0	9463.0	7361.0	8362.0	8970.0	8039.0	8971.0	8567.0	12391.0	7615.0	5611.0	7979.0
BritoIL_2016__M1.52.ST__bin.86	10375.0	0.0	23817.0	10723.0	10555.0	22737.0	9329.0	11506.0	12164.0	11685.0	11686.0	10207.0	6529.0	7035.0	11189.0	14753.0	32068.0	11653.0	10657.0	10324.0	11635.0	25550.0	9503.0	10872.0	11478.0	23060.0	20340.0	9633.0	2732.0	10498.0	2132.0	11333.0	11679.0	12145.0	11831.0	12012.0	10823.0	11287.0	11295.0	11499.0	11024.0	8364.0	11270.0
RampelliS_2015__H11__bin.13	22282.0	23817.0	0.0	23964.0	23050.0	14937.0	21220.0	23682.0	24093.0	23773.0	20665.0	22340.0	14583.0	16023.0	23216.0	21263.0	1067.0	23617.0	22554.0	22321.0	23779.0	19801.0	20778.0	24027.0	24037.0	16979.0	13195.0	19588.0	23282.0	22658.0	23976.0	24175.0	23550.0	23250.0	24225.0	24520.0	22448.0	24175.0	22995.0	24220.0	23016.0	14255.0	22327.0
BritoIL_2016__W1.2.ST__bin.60	10124.0	10723.0	23964.0	0.0	10234.0	22764.0	9742.0	11066.0	11550.0	11173.0	12258.0	10605.0	6658.0	7191.0	10786.0	14962.0	32122.0	12212.0	11121.0	11004.0	11243.0	25742.0	9533.0	11490.0	10713.0	23334.0	20525.0	9893.0	10636.0	9689.0	11007.0	10920.0	11146.0	10705.0	10929.0	9940.0	10557.0	10994.0	9823.0	11427.0	10160.0	6842.0	10626.0
LeChatelierE_2013__MH0454__bin.26	7182.0	10555.0	23050.0	10234.0	0.0	21617.0	7195.0	6050.0	9272.0	8574.0	11770.0	8809.0	5177.0	5233.0	10438.0	14185.0	31393.0	8644.0	8594.0	7962.0	9705.0	24084.0	7183.0	8628.0	7297.0	21958.0	18912.0	8592.0	10457.0	8621.0	10721.0	6858.0	10367.0	8840.0	8509.0	9032.0	7674.0	9378.0	9072.0	8300.0	7538.0	5481.0	8560.0
ZeeviD_2015__PNP_Main_133__bin.40	23114.0	22737.0	14937.0	22764.0	21617.0	0.0	21909.0	23049.0	23262.0	23488.0	18118.0	21773.0	15555.0	14806.0	23230.0	20882.0	19655.0	24748.0	22587.0	22373.0	23847.0	12328.0	20662.0	23817.0	23153.0	11333.0	8095.0	20263.0	22494.0	23009.0	24016.0	24073.0	23330.0	23250.0	23224.0	23194.0	22354.0	23626.0	22269.0	23215.0	21382.0	14039.0	23108.0
ZeeviD_2015__PNP_Main_93__bin.29	6789.0	9329.0	21220.0	9742.0	7195.0	21909.0	0.0	7541.0	8476.0	7804.0	10717.0	9097.0	4351.0	5128.0	10038.0	13233.0	29560.0	6915.0	7766.0	6406.0	9208.0	23531.0	6064.0	7683.0	6545.0	22137.0	19529.0	8581.0	9204.0	8174.0	9907.0	7487.0	9983.0	8431.0	7897.0	7392.0	7062.0	7746.0	7846.0	8062.0	7332.0	5506.0	7411.0
ZellerG_2014__CCIS90164298ST-4-0__bin.73	8142.0	11506.0	23682.0	11066.0	6050.0	23049.0	7541.0	0.0	10742.0	10077.0	12364.0	9470.0	4618.0	6027.0	11166.0	15115.0	31694.0	10076.0	9486.0	7939.0	9203.0	25950.0	7303.0	9389.0	8540.0	23183.0	20329.0	9288.0	10734.0	8512.0	11504.0	6448.0	10838.0	9947.0	9183.0	10790.0	8158.0	9192.0	8557.0	9655.0	8441.0	6686.0	9259.0
ZeeviD_2015__PNP_Main_310__bin.41	8831.0	12164.0	24093.0	11550.0	9272.0	23262.0	8476.0	10742.0	0.0	10746.0	13302.0	10275.0	5319.0	7023.0	11518.0	15130.0	33884.0	12714.0	8198.0	9010.0	10621.0	27708.0	7899.0	11619.0	10128.0	23888.0	20558.0	10257.0	11544.0	9879.0	12229.0	9734.0	11348.0	11510.0	9700.0	11732.0	9826.0	10912.0	9227.0	11391.0	8885.0	7395.0	9270.0
HMP_2012__SRS011529__bin.49	8263.0	11685.0	23773.0	11173.0	8574.0	23488.0	7804.0	10077.0	10746.0	0.0	12202.0	9321.0	5590.0	7212.0	10656.0	14757.0	32418.0	8350.0	9132.0	9022.0	10629.0	25685.0	8869.0	7070.0	10384.0	23902.0	20381.0	9602.0	10785.0	10252.0	11014.0	10067.0	11980.0	10419.0	9874.0	11141.0	9616.0	10490.0	9749.0	10975.0	8931.0	6829.0	9398.0
