	XieH_2016__YSZC12003_35387__bin.21	NielsenHB_2014__V1_UC50_1__bin.32	ZeeviD_2015__PNP_Main_123__bin.25	ZellerG_2014__CCIS81710917ST-20-0__bin.55	YuJ_2015__SZAXPI015225-18__bin.48	LiJ_2014__MH0382__bin.26	RaymondF_2016__P21E90__bin.27	VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	ZellerG_2014__CCIS87167916ST-4-0__bin.6	KarlssonFH_2013__S347__bin.32	LouisS_2016__AS60_6__bin.21	Obregon-TitoAJ_2015__NO22__bin.52	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.27	LouisS_2016__AS50_6__bin.15	LiJ_2014__MH0348__bin.42	LiJ_2014__V1.FI26__bin.52	LiJ_2014__MH0343__bin.58	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.38	NielsenHB_2014__V1_UC26_4__bin.30	YuJ_2015__SZAXPI003413-4__bin.66	LeChatelierE_2013__MH0433__bin.72	KarlssonFH_2013__S144__bin.55	XieH_2016__YSZC12003_37199__bin.48	ZellerG_2014__CCMD25511638ST-21-0__bin.43	XieH_2016__YSZC12003_37297R1__bin.8	ZellerG_2014__CCIS90166425ST-4-0__bin.57	ZellerG_2014__CCIS33816588ST-4-0__bin.26	YuJ_2015__SZAXPI017584-108__bin.17	ZellerG_2014__CCIS17669415ST-4-0__bin.25	ZellerG_2014__CCMD12232071ST-21-0__bin.2	GeversD_2014__SKBSTL024__bin.11	XieH_2016__YSZC12003_36699__bin.14
XieH_2016__YSZC12003_35387__bin.21	2426035.0	2145995.0	1802577.0	2096735.0	1705274.0	2018947.0	2124916.0	2133280.0	2148375.0	1653906.0	2162011.0	2167186.0	2207431.0	2095935.0	2155300.0	1662715.0	1519300.0	1176921.0	1941048.0	2123988.0	1806205.0	2121834.0	2177979.0	2152226.0	1671298.0	2101150.0	1694382.0	1750830.0	1363604.0	2074766.0	2002889.0	1305410.0
NielsenHB_2014__V1_UC50_1__bin.32	2145995.0	2526767.0	1862285.0	2104952.0	1721387.0	2060986.0	2098269.0	2123931.0	2228900.0	1678418.0	2298841.0	2177593.0	2206360.0	2148920.0	2196606.0	1674635.0	1554319.0	1156473.0	2039152.0	2216408.0	1863330.0	2140282.0	2239228.0	2110712.0	1697661.0	2157900.0	1687282.0	1791698.0	1394837.0	2083228.0	2077156.0	1318103.0
ZeeviD_2015__PNP_Main_123__bin.25	1802577.0	1862285.0	2004489.0	1751509.0	1454049.0	1711362.0	1733985.0	1741246.0	1873683.0	1430881.0	1831647.0	1840063.0	1818287.0	1788701.0	1801413.0	1419563.0	1320350.0	986378.0	1660705.0	1839395.0	1546233.0	1817731.0	1832925.0	1766565.0	1431102.0	1793825.0	1384470.0	1506722.0	1182301.0	1770093.0	1735767.0	1110939.0
ZellerG_2014__CCIS81710917ST-20-0__bin.55	2096735.0	2104952.0	1751509.0	2355546.0	1691508.0	2063430.0	2056958.0	2145485.0	2098796.0	1614383.0	2113100.0	2058984.0	2110497.0	2100516.0	2102223.0	1591301.0	1479913.0	1115076.0	1909616.0	2080952.0	1759725.0	2081613.0	2177381.0	2007285.0	1615507.0	2032466.0	1637796.0	1798374.0	1359110.0	2010954.0	2026098.0	1286306.0
YuJ_2015__SZAXPI015225-18__bin.48	1705274.0	1721387.0	1454049.0	1691508.0	1911822.0	1648403.0	1636474.0	1673514.0	1718762.0	1387721.0	1706481.0	1699683.0	1696453.0	1674959.0	1752107.0	1336088.0	1420820.0	959102.0	1606928.0	1761121.0	1636725.0	1709725.0	1762146.0	1676909.0	1311732.0	1684908.0	1328637.0	1636625.0	1175083.0	1677077.0	1639237.0	1013365.0
LiJ_2014__MH0382__bin.26	2018947.0	2060986.0	1711362.0	2063430.0	1648403.0	2264962.0	1956674.0	2068650.0	2019815.0	1578633.0	2019923.0	1990174.0	2024500.0	2042077.0	2005295.0	1554129.0	1466301.0	1089609.0	1852656.0	2042223.0	1729738.0	1983626.0	2091521.0	1945993.0	1555505.0	1961126.0	1606141.0	1746724.0	1304889.0	1939659.0	1947726.0	1224894.0
RaymondF_2016__P21E90__bin.27	2124916.0	2098269.0	1733985.0	2056958.0	1636474.0	1956674.0	2325719.0	2072365.0	2104688.0	1604965.0	2094978.0	2074041.0	2162521.0	2044582.0	2103333.0	1619673.0	1486586.0	1132895.0	1885711.0	2091038.0	1760536.0	2060751.0	2119990.0	2031481.0	1617264.0	2043957.0	1679393.0	1702564.0	1333970.0	2009159.0	1985946.0	1285702.0
VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	2133280.0	2123931.0	1741246.0	2145485.0	1673514.0	2068650.0	2072365.0	2520216.0	2103260.0	1591096.0	2143000.0	2085412.0	2207174.0	2114000.0	2093737.0	1592669.0	1461876.0	1119116.0	1886046.0	2093097.0	1735502.0	2058885.0	2204447.0	2054465.0	1623438.0	2049668.0	1656630.0	1758565.0	1332971.0	2020780.0	2068554.0	1282279.0
ZellerG_2014__CCIS87167916ST-4-0__bin.6	2148375.0	2228900.0	1873683.0	2098796.0	1718762.0	2019815.0	2104688.0	2103260.0	2488382.0	1671389.0	2215133.0	2220025.0	2179596.0	2129543.0	2159158.0	1669827.0	1590624.0	1169620.0	1990432.0	2221859.0	1830536.0	2173748.0	2213736.0	2121690.0	1696909.0	2192836.0	1680520.0	1767209.0	1391911.0	2125562.0	2073200.0	1313631.0
KarlssonFH_2013__S347__bin.32	1653906.0	1678418.0	1430881.0	1614383.0	1387721.0	1578633.0	1604965.0	1591096.0	1671389.0	1782411.0	1648282.0	1643234.0	1660416.0	1624837.0	1658369.0	1311100.0	1283155.0	938225.0	1542039.0	1672178.0	1478890.0	1635648.0	1674295.0	1615561.0	1300284.0	1615684.0	1303596.0	1415239.0	1147572.0	1589691.0	1559989.0	1047959.0
LouisS_2016__AS60_6__bin.21	2162011.0	2298841.0	1831647.0	2113100.0	1706481.0	2019923.0	2094978.0	2143000.0	2215133.0	1648282.0	2803193.0	2186094.0	2252460.0	2135167.0	2236645.0	1692916.0	1532382.0	1164843.0	2102845.0	2161454.0	1920285.0	2170546.0	2253219.0	2157111.0	1690945.0	2141216.0	1686433.0	1809437.0	1379783.0	2080698.0	2083358.0	1318918.0
Obregon-TitoAJ_2015__NO22__bin.52	2167186.0	2177593.0	1840063.0	2058984.0	1699683.0	1990174.0	2074041.0	2085412.0	2220025.0	1643234.0	2186094.0	2444024.0	2180106.0	2091782.0	2161438.0	1649744.0	1580997.0	1174435.0	1958925.0	2195966.0	1813319.0	2161866.0	2164223.0	2116987.0	1672033.0	2171464.0	1686664.0	1742183.0	1364810.0	2094944.0	2003975.0	1291539.0
VogtmannE_2016__MMRS15137911ST-27-0-0__bin.27	2207431.0	2206360.0	1818287.0	2110497.0	1696453.0	2024500.0	2162521.0	2207174.0	2179596.0	1660416.0	2252460.0	2180106.0	2579983.0	2137848.0	2197551.0	1667245.0	1541868.0	1185948.0	1955566.0	2183444.0	1811218.0	2158643.0	2239108.0	2177676.0	1671604.0	2124511.0	1752501.0	1742918.0	1370797.0	2078990.0	2037432.0	1316891.0
LouisS_2016__AS50_6__bin.15	2095935.0	2148920.0	1788701.0	2100516.0	1674959.0	2042077.0	2044582.0	2114000.0	2129543.0	1624837.0	2135167.0	2091782.0	2137848.0	2425947.0	2071216.0	1602185.0	1517360.0	1115150.0	1915322.0	2168878.0	1745266.0	2146827.0	2209666.0	2039343.0	1643476.0	2113417.0	1646380.0	1746713.0	1333123.0	2056486.0	2062237.0	1285930.0
LiJ_2014__MH0348__bin.42	2155300.0	2196606.0	1801413.0	2102223.0	1752107.0	2005295.0	2103333.0	2093737.0	2159158.0	1658369.0	2236645.0	2161438.0	2197551.0	2071216.0	2523843.0	1681265.0	1541765.0	1174546.0	1995857.0	2161459.0	1879787.0	2136741.0	2194392.0	2106283.0	1660563.0	2110065.0	1670936.0	1802201.0	1424360.0	2063670.0	2034378.0	1316911.0
LiJ_2014__V1.FI26__bin.52	1662715.0	1674635.0	1419563.0	1591301.0	1336088.0	1554129.0	1619673.0	1592669.0	1669827.0	1311100.0	1692916.0	1649744.0	1667245.0	1602185.0	1681265.0	1805048.0	1204687.0	973154.0	1539777.0	1658777.0	1450425.0	1628941.0	1673917.0	1617169.0	1322018.0	1638597.0	1314824.0	1390479.0	1143130.0	1586687.0	1571733.0	1064910.0
LiJ_2014__MH0343__bin.58	1519300.0	1554319.0	1320350.0	1479913.0	1420820.0	1466301.0	1486586.0	1461876.0	1590624.0	1283155.0	1532382.0	1580997.0	1541868.0	1517360.0	1541765.0	1204687.0	1834602.0	878274.0	1459122.0	1669755.0	1465597.0	1662614.0	1566910.0	1474586.0	1179194.0	1710613.0	1258221.0	1457739.0	1102422.0	1587515.0	1407944.0	896226.0
VogtmannE_2016__MMRS55294627ST-27-0-0__bin.38	1176921.0	1156473.0	986378.0	1115076.0	959102.0	1089609.0	1132895.0	1119116.0	1169620.0	938225.0	1164843.0	1174435.0	1185948.0	1115150.0	1174546.0	973154.0	878274.0	1257858.0	1078553.0	1151877.0	1038686.0	1139595.0	1146244.0	1133291.0	944550.0	1150354.0	946734.0	985928.0	802775.0	1108764.0	1082100.0	728672.0
NielsenHB_2014__V1_UC26_4__bin.30	1941048.0	2039152.0	1660705.0	1909616.0	1606928.0	1852656.0	1885711.0	1886046.0	1990432.0	1542039.0	2102845.0	1958925.0	1955566.0	1915322.0	1995857.0	1539777.0	1459122.0	1078553.0	2238256.0	1984586.0	1787272.0	1939140.0	1977255.0	1897907.0	1549441.0	1932125.0	1520913.0	1675927.0	1305282.0	1900021.0	1853195.0	1188792.0
