	XieH_2016__YSZC12003_35387__bin.21	NielsenHB_2014__V1_UC50_1__bin.32	ZeeviD_2015__PNP_Main_123__bin.25	ZellerG_2014__CCIS81710917ST-20-0__bin.55	YuJ_2015__SZAXPI015225-18__bin.48	LiJ_2014__MH0382__bin.26	RaymondF_2016__P21E90__bin.27	VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	ZellerG_2014__CCIS87167916ST-4-0__bin.6	KarlssonFH_2013__S347__bin.32	LouisS_2016__AS60_6__bin.21	Obregon-TitoAJ_2015__NO22__bin.52	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.27	LouisS_2016__AS50_6__bin.15	LiJ_2014__MH0348__bin.42	LiJ_2014__V1.FI26__bin.52	LiJ_2014__MH0343__bin.58	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.38	NielsenHB_2014__V1_UC26_4__bin.30	YuJ_2015__SZAXPI003413-4__bin.66	LeChatelierE_2013__MH0433__bin.72	KarlssonFH_2013__S144__bin.55	XieH_2016__YSZC12003_37199__bin.48	ZellerG_2014__CCMD25511638ST-21-0__bin.43	XieH_2016__YSZC12003_37297R1__bin.8	ZellerG_2014__CCIS90166425ST-4-0__bin.57	ZellerG_2014__CCIS33816588ST-4-0__bin.26	YuJ_2015__SZAXPI017584-108__bin.17	ZellerG_2014__CCIS17669415ST-4-0__bin.25	ZellerG_2014__CCMD12232071ST-21-0__bin.2	GeversD_2014__SKBSTL024__bin.11	XieH_2016__YSZC12003_36699__bin.14
XieH_2016__YSZC12003_35387__bin.21	0.0	22354.0	17892.0	21544.0	17107.0	21518.0	24777.0	21715.0	21278.0	17120.0	23063.0	22566.0	22414.0	22338.0	21768.0	19196.0	19384.0	15384.0	21955.0	25681.0	15890.0	23847.0	24175.0	21553.0	16651.0	24879.0	19597.0	18920.0	13769.0	23633.0	20063.0	14373.0
NielsenHB_2014__V1_UC50_1__bin.32	22354.0	0.0	19710.0	21984.0	17353.0	22131.0	22915.0	22265.0	22912.0	17549.0	23851.0	22048.0	22247.0	23656.0	24090.0	17801.0	19420.0	15393.0	22755.0	27460.0	15780.0	25498.0	24230.0	21849.0	15524.0	26016.0	19931.0	18188.0	14314.0	25258.0	21946.0	15285.0
ZeeviD_2015__PNP_Main_123__bin.25	17892.0	19710.0	0.0	18110.0	14789.0	18573.0	18100.0	17813.0	19089.0	15110.0	19361.0	18165.0	18723.0	19231.0	18446.0	16098.0	15421.0	14104.0	17721.0	22606.0	13191.0	21200.0	20720.0	18772.0	14701.0	20352.0	15918.0	16323.0	11969.0	20654.0	18217.0	12809.0
ZellerG_2014__CCIS81710917ST-20-0__bin.55	21544.0	21984.0	18110.0	0.0	17188.0	21816.0	23840.0	21837.0	21933.0	17595.0	22733.0	21970.0	22630.0	22518.0	24936.0	17939.0	18831.0	14534.0	21381.0	24808.0	15626.0	24928.0	24255.0	20188.0	15541.0	24091.0	20814.0	20472.0	14181.0	24499.0	22959.0	15059.0
YuJ_2015__SZAXPI015225-18__bin.48	17107.0	17353.0	14789.0	17188.0	0.0	17140.0	17868.0	16708.0	17910.0	13734.0	16890.0	16447.0	17253.0	15501.0	19579.0	15257.0	17170.0	12727.0	17664.0	19989.0	14524.0	19317.0	18808.0	16880.0	12611.0	19092.0	14981.0	14111.0	12979.0	19442.0	16640.0	12173.0
LiJ_2014__MH0382__bin.26	21518.0	22131.0	18573.0	21816.0	17140.0	0.0	21506.0	20818.0	21139.0	16904.0	21607.0	20710.0	21811.0	23004.0	23241.0	17365.0	19496.0	15117.0	19747.0	26335.0	14577.0	24159.0	23322.0	21182.0	15709.0	25254.0	22147.0	18510.0	13711.0	23930.0	21295.0	14159.0
RaymondF_2016__P21E90__bin.27	24777.0	22915.0	18100.0	23840.0	17868.0	21506.0	0.0	24707.0	23060.0	16430.0	22907.0	20679.0	23942.0	22173.0	25551.0	18872.0	18851.0	15583.0	20859.0	26637.0	15296.0	24251.0	24430.0	23514.0	15525.0	24932.0	19917.0	19808.0	13846.0	25082.0	22001.0	15390.0
VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	21715.0	22265.0	17813.0	21837.0	16708.0	20818.0	24707.0	0.0	22668.0	17014.0	23918.0	21512.0	26780.0	22930.0	24637.0	17951.0	19785.0	14260.0	20693.0	27773.0	14800.0	24995.0	24701.0	25096.0	15775.0	26161.0	23645.0	19117.0	13231.0	25814.0	21943.0	15401.0
ZellerG_2014__CCIS87167916ST-4-0__bin.6	21278.0	22912.0	19089.0	21933.0	17910.0	21139.0	23060.0	22668.0	0.0	17344.0	23187.0	21348.0	21851.0	23117.0	23331.0	18069.0	20551.0	14548.0	21797.0	27173.0	15317.0	25481.0	24327.0	22253.0	16163.0	26502.0	20995.0	18630.0	13554.0	25359.0	21724.0	14888.0
KarlssonFH_2013__S347__bin.32	17120.0	17549.0	15110.0	17595.0	13734.0	16904.0	16430.0	17014.0	17344.0	0.0	16630.0	15935.0	17953.0	17325.0	18208.0	14937.0	15539.0	13141.0	16536.0	21203.0	12950.0	19826.0	19029.0	17303.0	12660.0	19122.0	15890.0	15456.0	12434.0	19580.0	15896.0	13129.0
LouisS_2016__AS60_6__bin.21	23063.0	23851.0	19361.0	22733.0	16890.0	21607.0	22907.0	23918.0	23187.0	16630.0	0.0	22050.0	24214.0	22398.0	25864.0	19886.0	19283.0	15427.0	20389.0	26300.0	15817.0	26967.0	26091.0	23109.0	16969.0	26179.0	20530.0	20230.0	13923.0	24880.0	22177.0	15091.0
Obregon-TitoAJ_2015__NO22__bin.52	22566.0	22048.0	18165.0	21970.0	16447.0	20710.0	20679.0	21512.0	21348.0	15935.0	22050.0	0.0	20991.0	22638.0	21951.0	17997.0	21237.0	14442.0	21021.0	26345.0	14590.0	24724.0	23221.0	22302.0	15538.0	26473.0	19794.0	17766.0	13561.0	24801.0	19448.0	14524.0
VogtmannE_2016__MMRS15137911ST-27-0-0__bin.27	22414.0	22247.0	18723.0	22630.0	17253.0	21811.0	23942.0	26780.0	21851.0	17953.0	24214.0	20991.0	0.0	23946.0	23829.0	18507.0	20164.0	15539.0	21370.0	27152.0	14643.0	25821.0	25576.0	25511.0	15881.0	25502.0	21433.0	18880.0	14070.0	25144.0	21181.0	15659.0
LouisS_2016__AS50_6__bin.15	22338.0	23656.0	19231.0	22518.0	15501.0	23004.0	22173.0	22930.0	23117.0	17325.0	22398.0	22638.0	23946.0	0.0	22719.0	18673.0	19259.0	14450.0	20939.0	25568.0	15755.0	25562.0	24704.0	22119.0	17288.0	25348.0	20647.0	17525.0	13667.0	24759.0	22667.0	14719.0
LiJ_2014__MH0348__bin.42	21768.0	24090.0	18446.0	24936.0	19579.0	23241.0	25551.0	24637.0	23331.0	18208.0	25864.0	21951.0	23829.0	22719.0	0.0	20224.0	18908.0	15961.0	23565.0	26853.0	16997.0	26430.0	27849.0	23428.0	16949.0	24713.0	21007.0	22277.0	15914.0	24313.0	22748.0	16319.0
LiJ_2014__V1.FI26__bin.52	19196.0	17801.0	16098.0	17939.0	15257.0	17365.0	18872.0	17951.0	18069.0	14937.0	19886.0	17997.0	18507.0	18673.0	20224.0	0.0	15738.0	14343.0	18229.0	21410.0	13852.0	20866.0	19877.0	17942.0	14513.0	21307.0	16869.0	16844.0	11219.0	20348.0	17830.0	13189.0
LiJ_2014__MH0343__bin.58	19384.0	19420.0	15421.0	18831.0	17170.0	19496.0	18851.0	19785.0	20551.0	15539.0	19283.0	21237.0	20164.0	19259.0	18908.0	15738.0	0.0	14350.0	19142.0	19275.0	15175.0	14868.0	21092.0	19507.0	13464.0	3783.0	17981.0	18890.0	14116.0	15257.0	18639.0	11852.0
VogtmannE_2016__MMRS55294627ST-27-0-0__bin.38	15384.0	15393.0	14104.0	14534.0	12727.0	15117.0	15583.0	14260.0	14548.0	13141.0	15427.0	14442.0	15539.0	14450.0	15961.0	14343.0	14350.0	0.0	14190.0	18098.0	12914.0	16887.0	15221.0	14196.0	12361.0	17830.0	14327.0	13981.0	10587.0	17073.0	13353.0	9674.0
NielsenHB_2014__V1_UC26_4__bin.30	21955.0	22755.0	17721.0	21381.0	17664.0	19747.0	20859.0	20693.0	21797.0	16536.0	20389.0	21021.0	21370.0	20939.0	23565.0	18229.0	19142.0	14190.0	0.0	25174.0	15915.0	23807.0	22819.0	22021.0	16747.0	24032.0	19074.0	19456.0	14141.0	24107.0	21199.0	14242.0
YuJ_2015__SZAXPI003413-4__bin.66	25681.0	27460.0	22606.0	24808.0	19989.0	26335.0	26637.0	27773.0	27173.0	21203.0	26300.0	26345.0	27152.0	25568.0	26853.0	21410.0	19275.0	18098.0	25174.0	0.0	19062.0	23008.0	29266.0	26031.0	17664.0	23583.0	23857.0	21321.0	17115.0	23165.0	27638.0	16690.0
LeChatelierE_2013__MH0433__bin.72	15890.0	15780.0	13191.0	15626.0	14524.0	14577.0	15296.0	14800.0	15317.0	12950.0	15817.0	14590.0	14643.0	15755.0	16997.0	13852.0	15175.0	12914.0	15915.0	19062.0	0.0	18631.0	16401.0	15376.0	12844.0	18894.0	14105.0	14083.0	10349.0	17935.0	14365.0	11486.0
KarlssonFH_2013__S144__bin.55	23847.0	25498.0	21200.0	24928.0	19317.0	24159.0	24251.0	24995.0	25481.0	19826.0	26967.0	24724.0	25821.0	25562.0	26430.0	20866.0	14868.0	16887.0	23807.0	23008.0	18631.0	0.0	27873.0	25692.0	18102.0	19915.0	21615.0	22624.0	16353.0	2023.0	25008.0	16760.0
XieH_2016__YSZC12003_37199__bin.48	24175.0	24230.0	20720.0	24255.0	18808.0	23322.0	24430.0	24701.0	24327.0	19029.0	26091.0	23221.0	25576.0	24704.0	27849.0	19877.0	21092.0	15221.0	22819.0	29266.0	16401.0	27873.0	0.0	23831.0	16471.0	26905.0	21781.0	21490.0	14488.0	26517.0	25807.0	16322.0
ZellerG_2014__CCMD25511638ST-21-0__bin.43	21553.0	21849.0	18772.0	20188.0	16880.0	21182.0	23514.0	25096.0	22253.0	17303.0	23109.0	22302.0	25511.0	22119.0	23428.0	17942.0	19507.0	14196.0	22021.0	26031.0	15376.0	25692.0	23831.0	0.0	16814.0	24268.0	19088.0	18990.0	13762.0	25743.0	21364.0	15200.0
XieH_2016__YSZC12003_37297R1__bin.8	16651.0	15524.0	14701.0	15541.0	12611.0	15709.0	15525.0	15775.0	16163.0	12660.0	16969.0	15538.0	15881.0	17288.0	16949.0	14513.0	13464.0	12361.0	16747.0	17664.0	12844.0	18102.0	16471.0	16814.0	0.0	18360.0	14534.0	14219.0	9944.0	18115.0	15382.0	11604.0
