	XieH_2016__YSZC12003_35387__bin.21	NielsenHB_2014__V1_UC50_1__bin.32	ZeeviD_2015__PNP_Main_123__bin.25	ZellerG_2014__CCIS81710917ST-20-0__bin.55	YuJ_2015__SZAXPI015225-18__bin.48	LiJ_2014__MH0382__bin.26	RaymondF_2016__P21E90__bin.27	VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	ZellerG_2014__CCIS87167916ST-4-0__bin.6	KarlssonFH_2013__S347__bin.32	LouisS_2016__AS60_6__bin.21	Obregon-TitoAJ_2015__NO22__bin.52	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.27	LouisS_2016__AS50_6__bin.15	LiJ_2014__MH0348__bin.42	LiJ_2014__V1.FI26__bin.52	LiJ_2014__MH0343__bin.58	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.38	NielsenHB_2014__V1_UC26_4__bin.30	YuJ_2015__SZAXPI003413-4__bin.66	LeChatelierE_2013__MH0433__bin.72	KarlssonFH_2013__S144__bin.55	XieH_2016__YSZC12003_37199__bin.48	ZellerG_2014__CCMD25511638ST-21-0__bin.43	XieH_2016__YSZC12003_37297R1__bin.8	ZellerG_2014__CCIS90166425ST-4-0__bin.57	ZellerG_2014__CCIS33816588ST-4-0__bin.26	YuJ_2015__SZAXPI017584-108__bin.17	ZellerG_2014__CCIS17669415ST-4-0__bin.25	ZellerG_2014__CCMD12232071ST-21-0__bin.2	GeversD_2014__SKBSTL024__bin.11	XieH_2016__YSZC12003_36699__bin.14
XieH_2016__YSZC12003_35387__bin.21	1.0	0.8753546424515722	0.7356386037299545	0.8553837846527359	0.6958543467015109	0.8233306609344053	0.8656672306871087	0.8703769731269334	0.8767791890883685	0.6746753447497666	0.8816641144913409	0.8840020857077495	0.9006535355013426	0.8547267454921301	0.8794316652480282	0.6774506550812334	0.6182581867120632	0.4787799846251188	0.7910409371670235	0.8649120890671405	0.7379592627476521	0.8647801866007704	0.8877876864925691	0.8782531991500535	0.682037563349251	0.8558289554767347	0.6903383504359994	0.7138850016590857	0.5563955177893147	0.8454671923529545	0.8173113743206508	0.5321592639842376
NielsenHB_2014__V1_UC50_1__bin.32	0.8404577865707443	1.0	0.7292223620143843	0.8243609323693083	0.6743930089319672	0.8069026546571172	0.8213475955638173	0.8317609023704996	0.8730476533847402	0.6573099142105308	0.9003560676548331	0.8530841981077005	0.864390345449343	0.8411001093492197	0.8598006860149748	0.6557130119239328	0.6074556933820966	0.4515968429222006	0.7980146170976588	0.8663038578547211	0.731191281190549	0.8369525167931986	0.8766134748475027	0.8266939531820703	0.6657269942183035	0.8437200580821262	0.6598752476979476	0.7018890146974375	0.546359438761073	0.8144676576827226	0.8133753527729307	0.5156067021612993
ZeeviD_2015__PNP_Main_123__bin.25	0.8903441226167866	0.9192243010562792	1.0	0.8647585494357913	0.7180184076839534	0.844499021945244	0.856021160505246	0.8597867087322505	0.9252203429402706	0.7063002091804944	0.9041137167627261	0.9089089538530767	0.8977669620536706	0.882753659411451	0.8894870463245246	0.7001609886609506	0.6510033230414335	0.4850483090702917	0.8196522904341206	0.906360174588137	0.764804396531984	0.896253858215236	0.9040733074614028	0.8719394319449995	0.7066145037463413	0.8847506771052372	0.6827435820301334	0.743530645466251	0.5838555362488893	0.8727605888583074	0.8568517961435558	0.5478353834817751
ZellerG_2014__CCIS81710917ST-20-0__bin.55	0.8809808851111377	0.8842824551080727	0.735879919135521	1.0	0.7107991098454456	0.866726440494051	0.8631196334098337	0.9015523364858933	0.8816906993113275	0.6778844480218175	0.8874235527559216	0.8647736023834813	0.8863622276958294	0.8821725408886093	0.881870700041519	0.6679394076787293	0.6202731765798672	0.46721312171360696	0.801612449937297	0.8728948617433071	0.7404223903927157	0.873124532486311	0.9140666325344527	0.8435823371736318	0.6792336044382067	0.8526154870250888	0.6864574073272184	0.7547727787952347	0.5709627406979104	0.8433097888982003	0.8503926478192317	0.5396825194668242
YuJ_2015__SZAXPI015225-18__bin.48	0.8830147367275824	0.8913141495390261	0.7528211308374942	0.8757719076357526	1.0	0.8532504595093058	0.8466300733018032	0.8666110129499504	0.8896497686500103	0.7186793540402819	0.8837595759437856	0.8804355217169798	0.8783244465227411	0.8679981713778794	0.9062182567205525	0.6908755103770121	0.7341949198199414	0.4950120879454259	0.8312824101825379	0.9107186756926116	0.8485104784859678	0.8841869169828572	0.9118725488042296	0.8682968393501068	0.6795198506973976	0.8713237947884269	0.6871225459273929	0.8486741966563833	0.6078515677714766	0.8670446307239901	0.8487176107399119	0.5236847363405172
LiJ_2014__MH0382__bin.26	0.8818819035374545	0.9001718351124656	0.7473807507587323	0.9013899570942029	0.7202164981134341	1.0	0.8543931421366009	0.9041352570153494	0.8824324646506212	0.6895166453123718	0.8822735215866756	0.8695351180284702	0.8842042383051019	0.8914379137486633	0.8750937101814511	0.678494385336266	0.6387767211988545	0.4743973629579657	0.8092449233143868	0.8900317091412572	0.7572581791659198	0.8651213574444074	0.913127460858063	0.8498204384885928	0.6798330391414955	0.8547039641283165	0.6993468323088864	0.763021189759475	0.5700660761637502	0.8458106581920579	0.8505356822763472	0.5345498070166298
RaymondF_2016__P21E90__bin.27	0.9030063391149146	0.8923494196848373	0.737786895149414	0.8741890142360277	0.6959594000822971	0.8320730062402207	1.0	0.8804408443152418	0.8950470800642726	0.683029635136489	0.8909378132095924	0.8828934191963862	0.9195345611400173	0.8695844166900645	0.8933933979126455	0.6883037030698894	0.6310887084811192	0.480415733801031	0.8018389151913882	0.8876399083466232	0.7504087983114038	0.8756431881925547	0.9010374856119763	0.8633747241175739	0.6887070192056736	0.8681293827844206	0.713532460284325	0.7235422680040022	0.5676197339403428	0.8531026319172694	0.8444463841074524	0.5462018412370541
VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	0.8378508032644821	0.8339229653331303	0.6838433689810716	0.8426452335831532	0.6574063492970444	0.8125620978519301	0.8124930561507427	1.0	0.8255609836617178	0.6245821786703998	0.84083348411406	0.8189377418443499	0.8651615575807788	0.8297185638056421	0.8210010570522527	0.6248345379919816	0.5722092868230343	0.43839734371974465	0.7401560025013728	0.8195027727782063	0.6827597317055363	0.8070300323464338	0.8649044367625632	0.8052361384897168	0.6379068302082045	0.8029101473841924	0.6479543816879187	0.690197983030026	0.5236614639380116	0.791585324432509	0.812077615569459	0.502686277684135
ZellerG_2014__CCIS87167916ST-4-0__bin.6	0.8548112789756557	0.8865150125663986	0.7453011635673301	0.8346238640208778	0.6835172413238804	0.8032030451916145	0.8365387629391308	0.8361224281480898	1.0	0.6647070264935208	0.8808719883040466	0.8835769588431359	0.8671277159214301	0.8465042746652243	0.8583195827650256	0.6637879553862711	0.6309614038359063	0.4641859650166253	0.7911305418541045	0.8819731054154868	0.7294776284348624	0.863318815197988	0.879852450307067	0.8436956222959336	0.6754372921842386	0.8705793563849923	0.6669092607164013	0.7026971743084462	0.5539169629100356	0.8440034528460663	0.8244216523025806	0.5219226790741935
KarlssonFH_2013__S347__bin.32	0.9182988659742338	0.9318103400394185	0.7943010899281927	0.8958584748411	0.7708586852302863	0.8761890495514222	0.8912282296282955	0.8831195498681281	0.9279818178859982	1.0	0.9154184977538851	0.912976300078938	0.9214838777363918	0.9018750445323778	0.9201923686512257	0.7271964771312565	0.7111805301919703	0.5190071201311033	0.8558648931138777	0.9262594317472232	0.8224477968324926	0.9065372689015048	0.9286668450766966	0.8966832004515233	0.7224057750990092	0.8957316802914704	0.7224517802010872	0.7853312170986377	0.6368553605201045	0.880891668644325	0.8662945863776649	0.5805787778464114
LouisS_2016__AS60_6__bin.21	0.7630398620430345	0.8115709478441191	0.6465077502690681	0.745709267966922	0.6027380205358676	0.7128713577695149	0.7391824251844236	0.7559529436610323	0.7819461592548212	0.5820690904978716	1.0	0.7719925099698808	0.7948956778930313	0.7537008689733458	0.7886652827686143	0.5968301148012285	0.5397769614864193	0.4100381243817318	0.7428871290703138	0.7616864054669087	0.679392392889109	0.7646919066935456	0.7944968469884165	0.761275445536572	0.5971675871051333	0.754509946336196	0.5942876569683215	0.6382746389563615	0.48725150212632523	0.7333843941533815	0.7352975695929607	0.46512209469701166
Obregon-TitoAJ_2015__NO22__bin.52	0.8774954746761898	0.8819655617129784	0.7454501265126693	0.8334672654605684	0.6887150044353083	0.8058284206701735	0.8401562341450002	0.8444679757645588	0.8996135062503477	0.6658277496456664	0.8854430234727646	1.0	0.8834262674998282	0.8466136175422173	0.8753952498011476	0.6676476990405986	0.6381934056294046	0.4746242262760104	0.7929152905208787	0.8877249159582721	0.735970268704399	0.8744357665882169	0.8760151291476679	0.8570640059181088	0.6777736225176185	0.8776472735128624	0.6820186708477495	0.7055646753059708	0.5528787769678203	0.8470223696657643	0.8119916171035964	0.522505098149609
VogtmannE_2016__MMRS15137911ST-27-0-0__bin.27	0.8469113943774048	0.8465610044717349	0.6975100223528604	0.8092561075014836	0.650857001770942	0.7762411612789697	0.8289120509708784	0.8451195221053782	0.8363407820904246	0.6366177606596634	0.8636669311386935	0.8368717933412739	1.0	0.8193472592648866	0.8425334585537967	0.6390499472283344	0.5898116382937406	0.4536498883907375	0.7496933119326755	0.8357776000849618	0.6963514875873213	0.8266806409189518	0.8579637927846813	0.8341779771417099	0.6417573294087597	0.8135747406087559	0.6709610102082068	0.6682361860523888	0.5258666433073397	0.7960695865050273	0.7814977850629248	0.5043568116534101
