	HMP_2012__SRS017139__bin.61	HMP_2012__SRS019387__bin.29	HMP_2012__SRS023358__bin.10	HMP_2012__SRS014690__bin.13	HMP_2012__SRS013723__bin.11	ZeeviD_2015__PNP_Main_136__bin.7	HMP_2012__SRS065099__bin.18	CM_periimplantitis__SP_344SPT_T016__bin.14	HMP_2012__SRS022536__bin.42	CM_periimplantitis__SP_283SPT_T016__bin.10	HMP_2012__SRS019980__bin.27	HMP_2012__SRS024355__bin.50	HMP_2012__SRS011126__bin.8	HMP_2012__SRS024447__bin.9	HMP_2012__SRS011152__bin.29	CM_cf__CF_TNFC045IS_t2M15__bin.6	HMP_2012__SRS075410__bin.20	HMP_2012__SRS015044__bin.3	HMP_2012__SRS015985__bin.25	HMP_2012__SRS016092__bin.15	HMP_2012__SRS023938__bin.43	CM_periimplantitis__SP_164SPT_T016__bin.12	HMP_2012__SRS015470__bin.18	HMP_2012__SRS019591__bin.20	HMP_2012__SRS015989__bin.36	HMP_2012__SRS020226__bin.23	HMP_2012__SRS013949__bin.8	HMP_2012__SRS020340__bin.12	HMP_2012__SRS024021__bin.5	CM_periimplantitis__SP_161SPI_T016__bin.1	HMP_2012__SRS018665__bin.9
HMP_2012__SRS017139__bin.61	0.0	28120.0	33387.0	30126.0	32069.0	40418.0	35162.0	18641.0	35903.0	34379.0	38197.0	9731.0	35873.0	34569.0	31617.0	28186.0	36298.0	35266.0	35308.0	38193.0	39994.0	28885.0	31039.0	37961.0	34246.0	36062.0	48520.0	34517.0	36771.0	33468.0	16226.0
HMP_2012__SRS019387__bin.29	28120.0	0.0	33654.0	29697.0	28803.0	39643.0	32348.0	18063.0	33389.0	33151.0	36978.0	31493.0	32553.0	35983.0	30187.0	30247.0	34618.0	34867.0	35446.0	33094.0	33553.0	26973.0	29181.0	1681.0	34352.0	9561.0	44493.0	33127.0	36223.0	33037.0	25166.0
HMP_2012__SRS023358__bin.10	33387.0	33654.0	0.0	37484.0	34215.0	46586.0	40677.0	21417.0	41514.0	35771.0	21696.0	38074.0	40824.0	45779.0	35407.0	36058.0	42901.0	40156.0	40700.0	41778.0	42156.0	34558.0	35924.0	44559.0	39133.0	42240.0	56358.0	41806.0	44005.0	40979.0	28393.0
HMP_2012__SRS014690__bin.13	30126.0	29697.0	37484.0	0.0	32746.0	42656.0	37523.0	18575.0	36652.0	35848.0	40027.0	33837.0	36972.0	38754.0	34775.0	30137.0	39829.0	37012.0	38267.0	39496.0	41826.0	29966.0	32952.0	39492.0	36889.0	38906.0	50508.0	36423.0	38758.0	34440.0	25695.0
HMP_2012__SRS013723__bin.11	32069.0	28803.0	34215.0	32746.0	0.0	41976.0	36690.0	19010.0	37896.0	32799.0	37378.0	36662.0	36903.0	40436.0	31293.0	32092.0	38632.0	36572.0	38193.0	33348.0	17405.0	26581.0	22925.0	38166.0	36608.0	35992.0	48610.0	36235.0	40145.0	35395.0	27208.0
ZeeviD_2015__PNP_Main_136__bin.7	40418.0	39643.0	46586.0	42656.0	41976.0	0.0	38155.0	22727.0	39905.0	43582.0	50523.0	44333.0	39335.0	52093.0	41724.0	42513.0	45969.0	45827.0	49022.0	51097.0	53280.0	42097.0	40827.0	55015.0	47818.0	51805.0	59888.0	43979.0	50016.0	47492.0	30109.0
HMP_2012__SRS065099__bin.18	35162.0	32348.0	40677.0	37523.0	36690.0	38155.0	0.0	20019.0	2309.0	36182.0	42614.0	38942.0	3961.0	43491.0	35723.0	36500.0	33112.0	38000.0	41341.0	42947.0	46121.0	34900.0	37159.0	44094.0	40392.0	41943.0	51396.0	27679.0	40331.0	41260.0	28410.0
CM_periimplantitis__SP_344SPT_T016__bin.14	18641.0	18063.0	21417.0	18575.0	19010.0	22727.0	20019.0	0.0	21081.0	21194.0	22128.0	20997.0	20445.0	22997.0	19858.0	18730.0	21154.0	20901.0	21530.0	21875.0	22687.0	17333.0	19785.0	22645.0	21147.0	23347.0	30024.0	20903.0	20685.0	20215.0	14582.0
HMP_2012__SRS022536__bin.42	35903.0	33389.0	41514.0	36652.0	37896.0	39905.0	2309.0	21081.0	0.0	38103.0	43743.0	39624.0	4596.0	43685.0	35768.0	37516.0	33228.0	39274.0	41577.0	43817.0	47454.0	33385.0	38340.0	45542.0	40933.0	44001.0	51616.0	27750.0	41283.0	41875.0	28024.0
CM_periimplantitis__SP_283SPT_T016__bin.10	34379.0	33151.0	35771.0	35848.0	32799.0	43582.0	36182.0	21194.0	38103.0	0.0	39220.0	38623.0	37507.0	42141.0	33014.0	35495.0	40069.0	39235.0	38751.0	36666.0	40648.0	34096.0	31695.0	43439.0	37292.0	41269.0	46951.0	36835.0	41718.0	39558.0	28048.0
HMP_2012__SRS019980__bin.27	38197.0	36978.0	21696.0	40027.0	37378.0	50523.0	42614.0	22128.0	43743.0	39220.0	0.0	41905.0	42595.0	50218.0	37561.0	39786.0	45902.0	42015.0	45130.0	46419.0	47256.0	38288.0	38495.0	50323.0	43417.0	47825.0	60164.0	43606.0	49082.0	44360.0	29170.0
