	HMP_2012__SRS017139__bin.61	HMP_2012__SRS019387__bin.29	HMP_2012__SRS023358__bin.10	HMP_2012__SRS014690__bin.13	HMP_2012__SRS013723__bin.11	ZeeviD_2015__PNP_Main_136__bin.7	HMP_2012__SRS065099__bin.18	CM_periimplantitis__SP_344SPT_T016__bin.14	HMP_2012__SRS022536__bin.42	CM_periimplantitis__SP_283SPT_T016__bin.10	HMP_2012__SRS019980__bin.27	HMP_2012__SRS024355__bin.50	HMP_2012__SRS011126__bin.8	HMP_2012__SRS024447__bin.9	HMP_2012__SRS011152__bin.29	CM_cf__CF_TNFC045IS_t2M15__bin.6	HMP_2012__SRS075410__bin.20	HMP_2012__SRS015044__bin.3	HMP_2012__SRS015985__bin.25	HMP_2012__SRS016092__bin.15	HMP_2012__SRS023938__bin.43	CM_periimplantitis__SP_164SPT_T016__bin.12	HMP_2012__SRS015470__bin.18	HMP_2012__SRS019591__bin.20	HMP_2012__SRS015989__bin.36	HMP_2012__SRS020226__bin.23	HMP_2012__SRS013949__bin.8	HMP_2012__SRS020340__bin.12	HMP_2012__SRS024021__bin.5	CM_periimplantitis__SP_161SPI_T016__bin.1	HMP_2012__SRS018665__bin.9
HMP_2012__SRS017139__bin.61	1459606.0	1007281.0	1254430.0	1187915.0	1188219.0	1339327.0	1218462.0	707270.0	1174277.0	1094485.0	1343801.0	1207619.0	1223622.0	1331143.0	1205040.0	1096122.0	1294162.0	1278619.0	1318473.0	1303164.0	1346124.0	1164970.0	1103976.0	1309477.0	1287393.0	1240937.0	1265080.0	1265520.0	1321581.0	1290705.0	954076.0
HMP_2012__SRS019387__bin.29	1007281.0	1369531.0	1120427.0	1046033.0	1072533.0	1190084.0	1085244.0	633490.0	1057770.0	1011280.0	1186803.0	1036991.0	1095745.0	1168710.0	1069706.0	1011311.0	1153280.0	1140019.0	1178562.0	1137144.0	1191295.0	1045732.0	1012024.0	1227923.0	1163146.0	1150220.0	1112322.0	1115665.0	1173512.0	1153684.0	838784.0
HMP_2012__SRS023358__bin.10	1254430.0	1120427.0	1665358.0	1319033.0	1337236.0	1493911.0	1353657.0	765325.0	1300493.0	1234531.0	1552368.0	1283227.0	1352994.0	1470437.0	1340308.0	1244330.0	1444205.0	1425493.0	1504263.0	1447369.0	1509476.0	1309671.0	1227981.0	1491169.0	1452867.0	1403850.0	1416687.0	1406258.0	1487329.0	1452207.0	1032140.0
HMP_2012__SRS014690__bin.13	1187915.0	1046033.0	1319033.0	1634873.0	1233722.0	1420767.0	1276002.0	714777.0	1209755.0	1144573.0	1405785.0	1198389.0	1290821.0	1390673.0	1266184.0	1184481.0	1376868.0	1350877.0	1416718.0	1335027.0	1407810.0	1248614.0	1146403.0	1390587.0	1374241.0	1326306.0	1318245.0	1327872.0	1381513.0	1373554.0	985117.0
HMP_2012__SRS013723__bin.11	1188219.0	1072533.0	1337236.0	1233722.0	1603600.0	1392602.0	1256750.0	730583.0	1235276.0	1153752.0	1422638.0	1239588.0	1282669.0	1398531.0	1251924.0	1152913.0	1346321.0	1333864.0	1408157.0	1351818.0	1501331.0	1209359.0	1178874.0	1397407.0	1359632.0	1309903.0	1324454.0	1315077.0	1397251.0	1351677.0	980188.0
ZeeviD_2015__PNP_Main_136__bin.7	1339327.0	1190084.0	1493911.0	1420767.0	1392602.0	1849304.0	1456272.0	818241.0	1409523.0	1320266.0	1623682.0	1367738.0	1480708.0	1621102.0	1420486.0	1370519.0	1594347.0	1539299.0	1612015.0	1549209.0	1625856.0	1383838.0	1300369.0	1597912.0	1561374.0	1497163.0	1524343.0	1519570.0	1572797.0	1560831.0	1078551.0
HMP_2012__SRS065099__bin.18	1218462.0	1085244.0	1353657.0	1276002.0	1256750.0	1456272.0	1630415.0	732952.0	1311350.0	1161857.0	1433395.0	1239748.0	1385379.0	1439318.0	1277284.0	1197649.0	1407608.0	1371183.0	1419174.0	1372516.0	1436010.0	1242153.0	1186959.0	1419666.0	1382019.0	1341714.0	1348252.0	1377262.0	1410211.0	1379548.0	995310.0
CM_periimplantitis__SP_344SPT_T016__bin.14	707270.0	633490.0	765325.0	714777.0	730583.0	818241.0	732952.0	885387.0	744210.0	728707.0	807403.0	723608.0	740358.0	797075.0	728259.0	692493.0	777440.0	778599.0	797863.0	770644.0	802235.0	694147.0	684490.0	782031.0	791527.0	778752.0	775564.0	748460.0	800156.0	786028.0	576290.0
HMP_2012__SRS022536__bin.42	1174277.0	1057770.0	1300493.0	1209755.0	1235276.0	1409523.0	1311350.0	744210.0	1658496.0	1150291.0	1395262.0	1203516.0	1355853.0	1389362.0	1216603.0	1171207.0	1353009.0	1352249.0	1371951.0	1334325.0	1392295.0	1161855.0	1160196.0	1382366.0	1342569.0	1319700.0	1303325.0	1309176.0	1366460.0	1322776.0	940288.0
CM_periimplantitis__SP_283SPT_T016__bin.10	1094485.0	1011280.0	1234531.0	1144573.0	1153752.0	1320266.0	1161857.0	728707.0	1150291.0	1476721.0	1323908.0	1124461.0	1180732.0	1283343.0	1173443.0	1092366.0	1267692.0	1252658.0	1303202.0	1241664.0	1293924.0	1144002.0	1069427.0	1296383.0	1267053.0	1240799.0	1231673.0	1213602.0	1291277.0	1278901.0	890539.0
