	VincentC_2016__MM098.8__bin.1	KarlssonFH_2013__S54__bin.24	Obregon-TitoAJ_2015__SM24__bin.22	LiJ_2014__V1.FI30__bin.20	VatanenT_2016__G78895__bin.1	CosteaPI_2017__alien-11-600-0__bin.61	VatanenT_2016__G69222__bin.8	KarlssonFH_2013__S59__bin.5	VatanenT_2016__G78889__bin.17	VatanenT_2016__G78793__bin.2	CosteaPI_2017__alien-11-877-0__bin.3	VatanenT_2016__G78880__bin.10	BackhedF_2015__SID82_12M__bin.39	OhJ_2014__MET0310__bin.48	VatanenT_2016__G78780__bin.6	BackhedF_2015__SID38_M__bin.25	ZellerG_2014__CCIS63448910ST-4-0__bin.46	SchirmerM_2016__G89053__bin.11	NielsenHB_2014__V1_UC50_1__bin.21	CM_madagascar__A81_03_1FE__bin.34	CosteaPI_2017__SID713A040-11-0-0__bin.67	ZellerG_2014__CCIS74239020ST-4-0__bin.54	BackhedF_2015__SID637_12M__bin.20	CM_madagascar__V40_01_1FE__bin.14	CosteaPI_2017__SID713A053-11-0-0__bin.33	ZellerG_2014__CCIS50471204ST-4-0__bin.28	IjazUZ_2017__S68_a_WGS__bin.4	KosticAD_2015__PRJNA231909.3109952__bin.14	VatanenT_2016__G78553__bin.4	BackhedF_2015__SID38_12M__bin.19
VincentC_2016__MM098.8__bin.1	1.0	0.41816625171634103	0.5170113758424175	0.3519861930713309	0.49392374976370546	0.40080611244543246	0.581361159184128	0.6738252314221195	0.34779077418154164	0.5962773900186251	0.6455120154862686	0.6718194753601568	0.3572923795190875	0.5760447149884746	0.4009753652857296	0.6781609616492114	0.4216238454538394	0.70941045792052	0.724734800582054	0.41987783022254915	0.3823824645265097	0.6274572801434912	0.6904446147556238	0.3466528968612757	0.6394321017685822	0.7204507254425851	0.6820178748584065	0.453908641566446	0.5937510532509002	0.6524290347019611
KarlssonFH_2013__S54__bin.24	0.7606327116480037	1.0	0.6049283911259906	0.47983543153242725	0.5820150174724054	0.4764462380352007	0.6675578348611138	0.8924314231414079	0.4629434405844926	0.7143308375292873	0.7466814424663413	0.7231683294994442	0.4820471368445183	0.659665931874945	0.44103496346921206	0.7494115890959396	0.5243534143825483	0.9492134085717409	0.8172401063004614	0.5142491397072739	0.4716230012021441	0.7729540226514875	0.7658704349842602	0.4173585881336912	0.7111975328057404	0.9527585342904284	0.7616902519704768	0.718085872007634	0.7017716299315231	0.7328521202783856
Obregon-TitoAJ_2015__SM24__bin.22	0.7940718225609245	0.5107844124685397	1.0	0.4274428735326273	0.5923090903259602	0.45696728806053877	0.666420592367608	0.7733796373142415	0.42401565122569196	0.6950256042933963	0.7464058054028688	0.7800754090188107	0.4368529647920569	0.696524556883394	0.4819267617616294	0.7764006119597736	0.4958956044790774	0.7997491617625296	0.8010016649402079	0.5066352846912715	0.47607893358300873	0.7364690551253319	0.8036310213415063	0.4309528083135602	0.7415747217175386	0.8041177307973426	0.7608804883524519	0.5323352319691027	0.6862541433604109	0.7598901893440451
LiJ_2014__V1.FI30__bin.20	0.9051928157161861	0.6783936357435455	0.715704692169417	1.0	0.6759309157097797	0.5750545491545352	0.8041214288675257	0.9123218908866169	0.5232460421243834	0.8412318122378531	0.8926455680460662	0.8754762452092841	0.5447067535433398	0.8122378531563139	0.5442243845084169	0.9013979280742547	0.6010817502458952	0.9355264794220616	0.9367908138846912	0.5905374646231304	0.5825736649117981	0.9095068153468723	0.8939381663193359	0.5084668955407243	0.870083510139171	0.9400420942353132	0.8770147386351217	0.6658087029925722	0.8162371823618747	0.8776412531043085
VatanenT_2016__G78895__bin.1	0.8455185639737935	0.5477361565867097	0.6601641699596191	0.44993531159242606	1.0	0.4813338040985421	0.7180745619343684	0.8135738416761416	0.4442177719719523	0.7427985152082038	0.7912988290865169	0.8263133502700106	0.4814956035086641	0.7257267960518435	0.5128269931586443	0.8301062294654286	0.5171742548290539	0.8431486416061539	0.8654324340087309	0.5403893345340772	0.4914073852023778	0.7825165076161742	0.8402406421304341	0.4691524407566443	0.7943799163032974	0.8451266080384204	0.8213985364051808	0.5761796149048614	0.7271654311170368	0.8089895250560183
CosteaPI_2017__alien-11-600-0__bin.61	0.9073664463060781	0.5929748347710265	0.6735561488234304	0.5062230924958802	0.636548507942353	1.0	0.7874950964170878	0.8947875639331836	0.48598922994880367	0.7927324961787301	0.8589907866549561	0.8614888148548083	0.4646365626070391	0.755020729819009	0.5295861251618286	0.8647399006925974	0.5725867115183815	0.9325424569417732	0.9357553922824862	0.5582678347353641	0.512238430654422	0.8473275162118878	0.8854075178042564	0.4635758129165972	0.8161627068938777	0.9449139996566456	0.8659963790202123	0.637620039295012	0.8155663980374057	0.8516949187684688
VatanenT_2016__G69222__bin.8	0.8239287403551456	0.5201235496698644	0.6149394582734302	0.4431490316594731	0.5944973772434136	0.4929956848995367	1.0	0.8365734229063247	0.4380411074195741	0.7385820655681359	0.7941923970951601	0.790439594045151	0.4310412055490396	0.7098945134206323	0.4954478831293642	0.8112991147060763	0.5288191702400848	0.8820167110845278	0.8771112762178308	0.5159875744213347	0.4803842313737035	0.7734704653673079	0.8245060946705316	0.4183092968063272	0.7681429180380129	0.8867440591435115	0.7970438628326602	0.5602268296342678	0.763580157495196	0.7917827735540571
KarlssonFH_2013__S59__bin.5	0.817427673568104	0.5951835265015815	0.6108507535850454	0.430362768770074	0.5765484458322279	0.47948345659391917	0.7160815621984871	1.0	0.4302569962104092	0.7276281036802185	0.7852763708101511	0.7843515275468632	0.4265758444805612	0.6860328223807626	0.48681865027991955	0.8025368526263815	0.5179802240867228	0.9437752182003466	0.869261560874108	0.5102566051185919	0.4596933217961247	0.7771554381094977	0.8165766044430697	0.40709769429152604	0.7525393191713653	0.9514250630302239	0.7978939705641188	0.5993984296774693	0.7371614111481611	0.7712859498931386
VatanenT_2016__G78889__bin.17	0.6625899737503133	0.4848738011933452	0.5259555032562594	0.3876299136154285	0.4943784072770469	0.408982822891737	0.5888409866420432	0.6756980664847824	1.0	0.6275322293249692	0.6482883961867113	0.6450848316453549	0.38005791542170847	0.5856765069839801	0.39920113290326004	0.6587896667943904	0.430495561422941	0.7014557025193697	0.7055219262705553	0.4499012059780329	0.4043735984405132	0.6504324812130831	0.6583583371894758	0.3668214009278472	0.6247355663364692	0.7042230518453998	0.6583827652415342	0.4749643873898208	0.5971625770617799	0.6378778583438199
VatanenT_2016__G78793__bin.2	0.8626377994488023	0.5681375874496501	0.6546682213271147	0.4732388170447318	0.627751748993004	0.5065921136315454	0.753937354250583	0.8677358490566037	0.47652904388382444	1.0	0.8338059147763409	0.8314839940640237	0.46562751748993003	0.7475302098791605	0.517314500741997	0.845433008267967	0.5515804536781853	0.9051123595505618	0.9142580029679881	0.5510409158363366	0.5096337714649142	0.8259062963748145	0.8530973076107695	0.4510896756412974	0.8087407250370998	0.9081624973500106	0.8370298918804325	0.5887714649141403	0.7908283866864533	0.814065613737545
CosteaPI_2017__alien-11-877-0__bin.3	0.8972949024800122	0.5706110913072262	0.6755324133014208	0.4824968172327749	0.6425518154504252	0.5274374904516983	0.7789560523501553	0.8998110709375159	0.4730121709018689	0.8011534348423893	1.0	0.8614854611193156	0.46938177929418956	0.7727763915058309	0.530095228395376	0.877010745022152	0.5546193410398738	0.9405800274991089	0.9375495238580231	0.573339104751235	0.5184610683913021	0.8494581657075928	0.8860131384631054	0.46101033762794724	0.841845495747823	0.9409258033304476	0.863880939043642	0.6062046137393695	0.7933126241279218	0.8455079696491318
VatanenT_2016__G78880__bin.10	0.9078059825768069	0.5372220511607047	0.6863052989357773	0.46001219762126583	0.6522618567908177	0.5142114168546968	0.753642702763177	0.8736734344323404	0.45754148626827046	0.776630070502647	0.8374473903327911	1.0	0.465783791222663	0.7650220339335447	0.5343117502101417	0.8853413700344445	0.550334989054813	0.9143562636072287	0.9166789599943764	0.5480523903674435	0.5003559289646972	0.8211939609893935	0.8899837926087564	0.4577820724669392	0.8270848576234638	0.915764633432769	0.8850171232029053	0.5817562396476155	0.7716153828637282	0.8420160529408445
BackhedF_2015__SID82_12M__bin.39	0.8721586996685857	0.646897172158342	0.6943003188945466	0.517033940896303	0.6865953401690874	0.5009988929011534	0.7424152997841247	0.8583530518547929	0.4869616307083108	0.7856520704894665	0.8242654962539281	0.8414255283758914	1.0	0.7814132590736498	0.5341886074341956	0.8759199741021142	0.5562492063406895	0.8706804812571206	0.8699623872556648	0.5864905324269073	0.5261697420406032	0.8284587002051441	0.8630863912691216	0.5020111997624834	0.8477095215866389	0.8839540419839068	0.8436880163256838	0.6231160092931917	0.7702975574072782	0.8498521781588535
OhJ_2014__MET0310__bin.48	0.7417204891477651	0.4669626195557216	0.5839300505865282	0.4066790821592391	0.5458759997962199	0.42943217046584514	0.6449621969006553	0.7281601485330662	0.39583580982786243	0.6653232273488018	0.715825318925324	0.7289832881432046	0.412185862565403	1.0	0.46153791725394966	0.7380529186785236	0.45991286512963625	0.7566223822273545	0.7566728555444231	0.5174015015575971	0.44942667972368927	0.7019927997690492	0.7792032952000347	0.40788902662915605	0.7122478456856163	0.7597885215186148	0.7237081189396641	0.4976433206348128	0.654811097714455	0.7244213493640362
VatanenT_2016__G78780__bin.6	0.8039369789562598	0.48612875977817765	0.6291086709023468	0.42429395130192077	0.600636821036395	0.4690212640934298	0.700904183040141	0.8045804105916486	0.42011605273788977	0.7169334165779132	0.7645877557016416	0.7927907745418488	0.4387601454331779	0.7186668625362664	1.0	0.7969503103308972	0.4919137684086819	0.8354923059972823	0.8263432369899739	0.5268662088214771	0.48548239009879174	0.7542671416504462	0.8594498512615226	0.4200330529949686	0.757717874325168	0.833853611957839	0.7783539608505637	0.5405574938484704	0.7193124977046531	0.7857233097065629
BackhedF_2015__SID38_M__bin.25	0.8883357399630584	0.539682996717098	0.6621715718243405	0.45914032210927297	0.6352062815195312	0.5003587149988938	0.7498626325505908	0.8665772158629291	0.4529646654928648	0.7654968478669294	0.8264534435920065	0.8582516686845885	0.47004237875792954	0.7508406408017556	0.5206804595583031	1.0	0.5336196334916479	0.8990045718766481	0.8971910816013038	0.5470386937111382	0.49716795108231154	0.8219209176193609	0.8795067920705509	0.45200585269314586	0.8405956924447183	0.9023138677059084	0.8644882708593372	0.5816025034707776	0.7678295751038834	0.8494529536281082
ZellerG_2014__CCIS63448910ST-4-0__bin.46	0.8485304038486351	0.5801500377859289	0.6497896890494534	0.47039242069562975	0.6080172525021658	0.5090203306729582	0.7509409617901314	0.8593169041343336	0.454761948648001	0.7673101948279358	0.8029830608445616	0.8196508948813891	0.4586061600280169	0.7188424603247746	0.49377251027592944	0.819841114777063	1.0	0.8856395038062411	0.9010856542495346	0.5137979466573277	0.49955209850146537	0.8018542753396125	0.8378434372292777	0.4204066134591635	0.7845015022210753	0.899841114777063	0.8095043592059425	0.5903717766759442	0.7667424842865832	0.8051130813042596
SchirmerM_2016__G89053__bin.11	0.7373858805027256	0.5424192286235975	0.5412418105278389	0.37812713602187287	0.5119624840780097	0.42817121304146666	0.6468899521531101	0.8086558508197564	0.382710765264643	0.6503087295346495	0.7033348120871944	0.7033511862715792	0.3707526603289688	0.6107905875095436	0.4331470611194992	0.7133699023451259	0.45741664873756943	1.0	0.7952952779517799	0.4467559123181466	0.4062724550043125	0.691577005313994	0.7389627525384745	0.3565174013788586	0.665322714230499	0.8942520900884777	0.7184999723923635	0.5528115045781077	0.6578838841850131	0.695442074418764
NielsenHB_2014__V1_UC50_1__bin.21	0.8526499036049964	0.5285855471714865	0.6135717613713995	0.42856705691593744	0.5947871271616681	0.48630147909114146	0.7281195410106541	0.8430241955122555	0.4356877448396455	0.7434987787380164	0.7935147044942528	0.7981204590583072	0.4192956376358161	0.6913782395121676	0.4848950990478596	0.8058092159054127	0.5267632441304214	0.9001664122999421	1.0	0.5116589896907128	0.459541467522879	0.7801099157335697	0.8441508511767173	0.4090686729815128	0.7610903820069556	0.910534747672663	0.8132540220615903	0.5617037930022356	0.7318956046205812	0.7843605194684289
