	VincentC_2016__MM098.8__bin.1	KarlssonFH_2013__S54__bin.24	Obregon-TitoAJ_2015__SM24__bin.22	LiJ_2014__V1.FI30__bin.20	VatanenT_2016__G78895__bin.1	CosteaPI_2017__alien-11-600-0__bin.61	VatanenT_2016__G69222__bin.8	KarlssonFH_2013__S59__bin.5	VatanenT_2016__G78889__bin.17	VatanenT_2016__G78793__bin.2	CosteaPI_2017__alien-11-877-0__bin.3	VatanenT_2016__G78880__bin.10	BackhedF_2015__SID82_12M__bin.39	OhJ_2014__MET0310__bin.48	VatanenT_2016__G78780__bin.6	BackhedF_2015__SID38_M__bin.25	ZellerG_2014__CCIS63448910ST-4-0__bin.46	SchirmerM_2016__G89053__bin.11	NielsenHB_2014__V1_UC50_1__bin.21	CM_madagascar__A81_03_1FE__bin.34	CosteaPI_2017__SID713A040-11-0-0__bin.67	ZellerG_2014__CCIS74239020ST-4-0__bin.54	BackhedF_2015__SID637_12M__bin.20	CM_madagascar__V40_01_1FE__bin.14	CosteaPI_2017__SID713A053-11-0-0__bin.33	ZellerG_2014__CCIS50471204ST-4-0__bin.28	IjazUZ_2017__S68_a_WGS__bin.4	KosticAD_2015__PRJNA231909.3109952__bin.14	VatanenT_2016__G78553__bin.4	BackhedF_2015__SID38_12M__bin.19
VincentC_2016__MM098.8__bin.1	2729644.0	1141445.0	1411257.0	960797.0	1348236.0	1094058.0	1586909.0	1839303.0	949345.0	1627625.0	1762018.0	1833828.0	975281.0	1572397.0	1094520.0	1851138.0	1150883.0	1936438.0	1978268.0	1146117.0	1043768.0	1712735.0	1884668.0	946239.0	1745422.0	1966574.0	1861666.0	1239009.0	1620729.0	1780899.0
KarlssonFH_2013__S54__bin.24	1141445.0	1500652.0	907787.0	720066.0	873402.0	714980.0	1001772.0	1339229.0	694717.0	1071962.0	1120509.0	1085224.0	723385.0	989929.0	661840.0	1124606.0	786872.0	1424439.0	1226393.0	771709.0	707742.0	1159935.0	1149305.0	626310.0	1067260.0	1429759.0	1143032.0	1077597.0	1053115.0	1099756.0
Obregon-TitoAJ_2015__SM24__bin.22	1411257.0	907787.0	1777241.0	759669.0	1052676.0	812141.0	1184390.0	1374482.0	753578.0	1235228.0	1326543.0	1386382.0	776393.0	1237892.0	856500.0	1379851.0	881326.0	1421347.0	1423573.0	900413.0	846107.0	1308883.0	1428246.0	765907.0	1317957.0	1429111.0	1352268.0	946088.0	1219639.0	1350508.0
LiJ_2014__V1.FI30__bin.20	960797.0	720066.0	759669.0	1061428.0	717452.0	610379.0	853517.0	968364.0	555388.0	892907.0	947479.0	929255.0	578167.0	862132.0	577655.0	956769.0	638005.0	992994.0	994336.0	626813.0	618360.0	965376.0	948851.0	539701.0	923531.0	997787.0	930888.0	706708.0	866377.0	931553.0
VatanenT_2016__G78895__bin.1	1348236.0	873402.0	1052676.0	717452.0	1594567.0	767519.0	1145018.0	1297298.0	708335.0	1184442.0	1261779.0	1317612.0	767777.0	1157220.0	817737.0	1323660.0	824669.0	1344457.0	1379990.0	861687.0	783582.0	1247775.0	1339820.0	748095.0	1266692.0	1347611.0	1309775.0	918757.0	1159514.0	1289988.0
CosteaPI_2017__alien-11-600-0__bin.61	1094058.0	714980.0	812141.0	610379.0	767519.0	1205751.0	949523.0	1078891.0	585982.0	955838.0	1035729.0	1038741.0	560236.0	910367.0	638549.0	1042661.0	690397.0	1124414.0	1128288.0	673132.0	617632.0	1021666.0	1067581.0	558957.0	984089.0	1139331.0	1044176.0	768811.0	983370.0	1026932.0
VatanenT_2016__G69222__bin.8	1586909.0	1001772.0	1184390.0	853517.0	1145018.0	949523.0	1926027.0	1611263.0	843679.0	1422529.0	1529636.0	1522408.0	830197.0	1367276.0	954246.0	1562584.0	1018520.0	1698788.0	1689340.0	993806.0	925233.0	1489725.0	1588021.0	805675.0	1479464.0	1707893.0	1535128.0	1079012.0	1470676.0	1524995.0
KarlssonFH_2013__S59__bin.5	1839303.0	1339229.0	1374482.0	968364.0	1297298.0	1078891.0	1611263.0	2250111.0	968126.0	1637244.0	1766959.0	1764878.0	959843.0	1543650.0	1095396.0	1805797.0	1165513.0	2123599.0	1955935.0	1148134.0	1034361.0	1748686.0	1837388.0	916015.0	1693297.0	2140812.0	1795350.0	1348713.0	1658695.0	1735479.0
VatanenT_2016__G78889__bin.17	949345.0	694717.0	753578.0	555388.0	708335.0	585982.0	843679.0	968126.0	1432779.0	899115.0	928854.0	924264.0	544539.0	839145.0	571967.0	943900.0	616805.0	1005031.0	1010857.0	644609.0	579378.0	931926.0	943282.0	525574.0	895108.0	1008996.0	943317.0	680519.0	855602.0	913938.0
VatanenT_2016__G78793__bin.2	1627625.0	1071962.0	1235228.0	892907.0	1184442.0	955838.0	1422529.0	1637244.0	899115.0	1886800.0	1573225.0	1568844.0	878546.0	1410440.0	976069.0	1595163.0	1040722.0	1707766.0	1725022.0	1039704.0	961577.0	1558320.0	1609624.0	851116.0	1525932.0	1713521.0	1579308.0	1110894.0	1492135.0	1535979.0
