	VincentC_2016__MM098.8__bin.1	KarlssonFH_2013__S54__bin.24	Obregon-TitoAJ_2015__SM24__bin.22	LiJ_2014__V1.FI30__bin.20	VatanenT_2016__G78895__bin.1	CosteaPI_2017__alien-11-600-0__bin.61	VatanenT_2016__G69222__bin.8	KarlssonFH_2013__S59__bin.5	VatanenT_2016__G78889__bin.17	VatanenT_2016__G78793__bin.2	CosteaPI_2017__alien-11-877-0__bin.3	VatanenT_2016__G78880__bin.10	BackhedF_2015__SID82_12M__bin.39	OhJ_2014__MET0310__bin.48	VatanenT_2016__G78780__bin.6	BackhedF_2015__SID38_M__bin.25	ZellerG_2014__CCIS63448910ST-4-0__bin.46	SchirmerM_2016__G89053__bin.11	NielsenHB_2014__V1_UC50_1__bin.21	CM_madagascar__A81_03_1FE__bin.34	CosteaPI_2017__SID713A040-11-0-0__bin.67	ZellerG_2014__CCIS74239020ST-4-0__bin.54	BackhedF_2015__SID637_12M__bin.20	CM_madagascar__V40_01_1FE__bin.14	CosteaPI_2017__SID713A053-11-0-0__bin.33	ZellerG_2014__CCIS50471204ST-4-0__bin.28	IjazUZ_2017__S68_a_WGS__bin.4	KosticAD_2015__PRJNA231909.3109952__bin.14	VatanenT_2016__G78553__bin.4	BackhedF_2015__SID38_12M__bin.19
VincentC_2016__MM098.8__bin.1	1.0	0.9891488420379432	0.98437492249817	0.9860522045759926	0.9864385760356496	0.9887483113326716	0.990969236421244	0.9892209168364321	0.9907746920245011	0.9911705706166961	0.9896794470885087	0.9917467723254307	0.9938192172307263	0.9862801824221237	0.9842104301428937	0.9929621670561568	0.9893820657703694	0.9890401861562312	0.9904406278623523	0.9834135607446709	0.9903925010155513	0.9902623581581506	0.9826101997805449	0.9913901244822926	0.9925215793086142	0.9892996653062636	0.9897946248145478	0.9897514868737838	0.9892455802296374	0.9869650103683589
KarlssonFH_2013__S54__bin.24	0.9891488420379432	1.0	0.9849755504319846	0.9889704554860249	0.9845225909718549	0.995626451089541	0.9951795418518385	0.9997491093756183	0.9947676535913185	0.9938906416458793	0.9964266239717843	0.9921398715841153	0.9887791425036461	0.9869101723456934	0.9847878641363471	0.9900133913566174	0.9929086306286156	0.9994152083732614	0.9927723005594454	0.9823728892626625	0.9956778034933634	0.9958739067275322	0.9821996771962186	0.9913828615222494	0.9905983546652175	0.9997768854751046	0.9892321474814353	0.9994561974467264	0.9942712809142401	0.9863524272656844
Obregon-TitoAJ_2015__SM24__bin.22	0.98437492249817	0.9849755504319846	1.0	0.9796463986288765	0.9836758888774894	0.9831580969314442	0.9852725875767273	0.9843650189671455	0.9844700880333556	0.9845024562267047	0.9843706536463575	0.9867179464245786	0.9841472038001373	0.9866216115783929	0.9859065966141273	0.9846251515562188	0.982939343670787	0.9842445229771477	0.9844258074577138	0.9876123512210507	0.983914563997225	0.9846449224262215	0.9872711003566612	0.9871668492388762	0.9850488293624147	0.984551234998541	0.9853631084962449	0.9846969837900914	0.98383620071185	0.9839156820988842
LiJ_2014__V1.FI30__bin.20	0.9860522045759926	0.9889704554860249	0.9796463986288765	1.0	0.9819848575235696	0.989963612771737	0.990519228088017	0.988837875013941	0.9908928532845506	0.991525433219809	0.9900588825715398	0.9869077917256297	0.9844716146027013	0.9820340736685333	0.9817763197756446	0.9854959765627858	0.9891944420498272	0.9889797924257347	0.9915068950535835	0.978480025143065	0.990159454039718	0.9898257259347654	0.9784887195144443	0.9864146999912915	0.9861282404164018	0.9895428583455186	0.9856051426165124	0.9898119166614783	0.9899339433064359	0.9824304145872538
VatanenT_2016__G78895__bin.1	0.9864385760356496	0.9845225909718549	0.9836758888774894	0.9819848575235696	1.0	0.9854492201495989	0.9862709581858102	0.9850080706206285	0.985193446603655	0.9855307393692557	0.9856654770764135	0.9902292936008475	0.9847416632694128	0.9849734709044088	0.9827450635106397	0.9861837632020307	0.9835764409720749	0.9847663406118604	0.9846230769788187	0.9829508858785151	0.9858776745764961	0.9854557111658753	0.9819662342702751	0.9888757443907525	0.9868231582736766	0.9850379671878606	0.9864297302971885	0.9857100408486683	0.9849333427625712	0.9847905561912204
CosteaPI_2017__alien-11-600-0__bin.61	0.9887483113326716	0.995626451089541	0.9831580969314442	0.989963612771737	0.9854492201495989	1.0	0.9963476398149387	0.9951070126639299	0.9957319508107758	0.9951079576246183	0.9970040425632574	0.9906223014206621	0.9881300023561499	0.985676106449377	0.9837459615471953	0.9895814651166582	0.9935051861465215	0.9947537117111669	0.9947212059332369	0.9830716709352697	0.994759015076939	0.9972936360806761	0.9814758786452737	0.9897469751698252	0.9901126828975835	0.9949329913782737	0.988826596282619	0.9952146886555994	0.9950649297822793	0.985897800438588
VatanenT_2016__G69222__bin.8	0.990969236421244	0.9951795418518385	0.9852725875767273	0.990519228088017	0.9862709581858102	0.9963476398149387	1.0	0.9954700132753002	0.9964998536173117	0.9966749359767006	0.996678948455711	0.9925033236819565	0.9884690019356851	0.9862734371114538	0.9847722704627528	0.9902411646349892	0.994973098220948	0.9953313774290847	0.9965572353700262	0.9833881059281188	0.9955827342950371	0.9970222692107604	0.9824347411022902	0.9911862723803022	0.991225200478011	0.9955723221536712	0.989847100697792	0.9952919893383948	0.9970476161982653	0.9868799569834655
KarlssonFH_2013__S59__bin.5	0.9892209168364321	0.9997491093756183	0.9843650189671455	0.988837875013941	0.9850080706206285	0.9951070126639299	0.9954700132753002	1.0	0.9943189212974344	0.9938011683047854	0.9954509414196934	0.9914266028586679	0.9880678402613761	0.9856975350630001	0.9839026251693451	0.9889505852540457	0.9930871641929347	0.9995017891795955	0.9938643155319579	0.9813723833629175	0.9950375159156233	0.9952701628537084	0.9818633843260106	0.9910580066920301	0.9900147463794007	0.9997463579240027	0.9891508619489237	0.9995247320964504	0.9942020684936049	0.9861433068334449
VatanenT_2016__G78889__bin.17	0.9907746920245011	0.9947676535913185	0.9844700880333556	0.9908928532845506	0.985193446603655	0.9957319508107758	0.9964998536173117	0.9943189212974344	1.0	0.9972662006528642	0.9954449246060199	0.9915392139042525	0.9884838367867131	0.9860477033170668	0.9847368816732434	0.9901959953384892	0.9956793476058073	0.9941762990395321	0.9970183715401881	0.9829369431702009	0.9951551491427013	0.9960372390082475	0.9835383268206115	0.9911582384212309	0.9910111405551062	0.9947561734635222	0.9900107811053972	0.9943278585902818	0.9952419466060154	0.9871216647081094
VatanenT_2016__G78793__bin.2	0.9911705706166961	0.9938906416458793	0.9845024562267047	0.991525433219809	0.9855307393692557	0.9951079576246183	0.9966749359767006	0.9938011683047854	0.9972662006528642	1.0	0.9951615312495035	0.9920196016939862	0.9890318776706057	0.9862213210062108	0.9844273304448763	0.9901746718046995	0.996820476553777	0.9936800475006529	0.9981559655471061	0.9824536598878142	0.9953617858996211	0.9960977206222086	0.9822529982157324	0.9910999205748687	0.9908337986227433	0.9942305930303743	0.9898297228912917	0.9939499178139408	0.9943972897894627	0.9869184409422265
