	VincentC_2016__MM098.8__bin.1	KarlssonFH_2013__S54__bin.24	Obregon-TitoAJ_2015__SM24__bin.22	LiJ_2014__V1.FI30__bin.20	VatanenT_2016__G78895__bin.1	CosteaPI_2017__alien-11-600-0__bin.61	VatanenT_2016__G69222__bin.8	KarlssonFH_2013__S59__bin.5	VatanenT_2016__G78889__bin.17	VatanenT_2016__G78793__bin.2	CosteaPI_2017__alien-11-877-0__bin.3	VatanenT_2016__G78880__bin.10	BackhedF_2015__SID82_12M__bin.39	OhJ_2014__MET0310__bin.48	VatanenT_2016__G78780__bin.6	BackhedF_2015__SID38_M__bin.25	ZellerG_2014__CCIS63448910ST-4-0__bin.46	SchirmerM_2016__G89053__bin.11	NielsenHB_2014__V1_UC50_1__bin.21	CM_madagascar__A81_03_1FE__bin.34	CosteaPI_2017__SID713A040-11-0-0__bin.67	ZellerG_2014__CCIS74239020ST-4-0__bin.54	BackhedF_2015__SID637_12M__bin.20	CM_madagascar__V40_01_1FE__bin.14	CosteaPI_2017__SID713A053-11-0-0__bin.33	ZellerG_2014__CCIS50471204ST-4-0__bin.28	IjazUZ_2017__S68_a_WGS__bin.4	KosticAD_2015__PRJNA231909.3109952__bin.14	VatanenT_2016__G78553__bin.4	BackhedF_2015__SID38_12M__bin.19
VincentC_2016__MM098.8__bin.1	1.0	0.4136286636645658	0.508933033025552	0.3470767616582968	0.4872254403870981	0.39629636685223424	0.5761110240016646	0.66656201321491	0.3445822971786797	0.5910126009105949	0.6388499745754391	0.6662747962737998	0.35508403293616314	0.568141486582133	0.3946441367445718	0.6733881780920882	0.4171470711931666	0.7016354513628884	0.7178067909221862	0.41291355209690345	0.37870872538690026	0.6213473258783929	0.6784379208424248	0.34366825857144745	0.6346501595079798	0.7127416615500043	0.6750576265622916	0.4492567528952493	0.587365605185145	0.6439246289992394
KarlssonFH_2013__S54__bin.24	0.7523789659428036	1.0	0.5958396750212575	0.4745430652809579	0.5730069329864619	0.47436247710994955	0.6643399002566884	0.8922075204644381	0.46052116013572764	0.7099667344594217	0.7440132688991186	0.7174841335632778	0.4766381546154605	0.6510310185172845	0.4343258796842972	0.741927508842823	0.520635030640015	0.94865831651842	0.8113333404413547	0.5051844131750732	0.46958455391389875	0.7697647422586983	0.7522376940156679	0.4137621513848647	0.7045111058393285	0.9525459600227102	0.7534884836724303	0.7176953750769666	0.6977513774012896	0.722850467663389
Obregon-TitoAJ_2015__SM24__bin.22	0.7816643887913907	0.5031101578232777	1.0	0.41874287167581664	0.582640170916606	0.44927108928952236	0.6566059414564486	0.7612878613536375	0.4174307254896775	0.6842544145672984	0.7347399705498578	0.769714405643354	0.42992762377190263	0.6872061808162202	0.4751347735056754	0.7644635702192331	0.48743529999589247	0.7871487322203348	0.7885267107837373	0.5003592647254931	0.4684209963645899	0.7251605156531951	0.7934016827205764	0.4254223259535426	0.7304873115126198	0.791695104940748	0.7497435631971129	0.524188897285174	0.6751616691264719	0.7476678739686964
LiJ_2014__V1.FI30__bin.20	0.8925673715032956	0.6709112629401147	0.7011375241655581	1.0	0.663753923959044	0.569283079021846	0.7964977370108948	0.9021384399130228	0.5184807636504785	0.8341027370674223	0.8837716736321257	0.8640143278677405	0.5362483371458073	0.7976452477228789	0.5343066133548389	0.8883240313992093	0.5945867265608219	0.9252167834276088	0.9288345511895296	0.5778291132323625	0.5768408219869836	0.9002532437433345	0.8747084116868973	0.501559220220307	0.8580139208688672	0.9302119408947191	0.8643902365492525	0.6590253884389708	0.808020892608825	0.8622214601461428
VatanenT_2016__G78895__bin.1	0.8340521282580161	0.5392586200517131	0.6493875766900983	0.4418296628489114	1.0	0.4743300218805481	0.7082160862478654	0.8013768000968289	0.4376404378116442	0.7320507698955264	0.7799559378815691	0.8182396851308223	0.4741487814560316	0.7148216412355203	0.5039781959616624	0.8186372852316648	0.5086804129271457	0.8303044023863532	0.8521247460909451	0.5311761750995725	0.4844675701930367	0.771135361511934	0.8250879392336603	0.46393346908596506	0.7839124978755988	0.8324817959985376	0.8102519367326678	0.5679460317440409	0.7162094788114892	0.7966852443327874
CosteaPI_2017__alien-11-600-0__bin.61	0.8971570415450619	0.5903814303284841	0.6622121814537164	0.5011424415157026	0.6272862307391824	1.0	0.784618880681003	0.8904093797143855	0.48391500400994897	0.7888544152150817	0.8564172868195837	0.8534100324196289	0.45912132770364694	0.7442058932565678	0.5209782119193763	0.8557305778722141	0.5688678674120942	0.9276500703710799	0.9308157322697638	0.5488172931227094	0.5095537967623497	0.8450343395941616	0.8690061214960634	0.4588227585960949	0.8080930474036513	0.9401261122735955	0.8563202518596295	0.6345688288875564	0.8115415205958776	0.8396841470585553
VatanenT_2016__G69222__bin.8	0.8164880346952561	0.5176163158668077	0.6058829912560936	0.4389476367672935	0.5863354978928126	0.4911950870886026	1.0	0.8327837564063224	0.4365078994219707	0.7361262329136612	0.7915548432083247	0.7845139242596287	0.42607087024221363	0.70015010173793	0.48790333676526865	0.8033817802138807	0.5261608482124082	0.8778989079592342	0.8740915885395169	0.5074160434926406	0.47826224658325145	0.7711672785480163	0.8100234316549041	0.41462243260348897	0.7614026179279937	0.8828178421174782	0.7889515567538773	0.5575892757474324	0.7613257758068812	0.781394549505277
KarlssonFH_2013__S59__bin.5	0.8086165526945115	0.5950342005349958	0.6013001136388383	0.42555900575571604	0.5679048722485247	0.47713735011295	0.7128377222279256	1.0	0.4278126723526084	0.7231176595287966	0.7817041025976051	0.7776269704027935	0.42148587336358073	0.6762208619930307	0.4789821479918102	0.7936692900927999	0.5143995118463045	0.9433050191746096	0.8639280462163866	0.5007517406919036	0.45741210100301716	0.7734796194498849	0.8017666683999145	0.40345742943348123	0.7450250232099661	0.9511837416020811	0.7892375087273472	0.5991135548424056	0.7328873997771665	0.7605984771417944
VatanenT_2016__G78889__bin.17	0.6564773771809889	0.48233677350100745	0.5177874605923175	0.3840997111208358	0.48705836699169935	0.4072372640860873	0.5867799569926695	0.6718593725899109	1.0	0.625816682126134	0.6453353936650383	0.6396269068711923	0.3756811064372105	0.5775049745983156	0.3931080787755823	0.6523308898301831	0.42863553974478963	0.697370634270882	0.7034183220161657	0.4422245161326346	0.40241446866543973	0.647854972748763	0.647520657407737	0.3635780535588531	0.6191199061404445	0.7005302283185335	0.6518060356831026	0.47227032221996557	0.5943212456352305	0.6296630534087951
VatanenT_2016__G78793__bin.2	0.8550211999152004	0.5646666313334746	0.6445224719101124	0.46922832308670764	0.6186686453254187	0.5041138435446257	0.7514304642781429	0.8623569005723977	0.4752263090947636	1.0	0.8297715709137164	0.8248484206063176	0.4605204579181683	0.7372302310790757	0.5092585329658681	0.837126351494594	0.5498266906932372	0.8993920924316302	0.9125720797116811	0.541372164511342	0.5072699809200764	0.8226833792664829	0.8379573881704473	0.44707494170023315	0.8013276446894212	0.9029229383082468	0.8285170659317364	0.5852093491626034	0.7863976044095824	0.8034163663345347
