	VincentC_2016__MM098.8__bin.1	KarlssonFH_2013__S54__bin.24	Obregon-TitoAJ_2015__SM24__bin.22	LiJ_2014__V1.FI30__bin.20	VatanenT_2016__G78895__bin.1	CosteaPI_2017__alien-11-600-0__bin.61	VatanenT_2016__G69222__bin.8	KarlssonFH_2013__S59__bin.5	VatanenT_2016__G78889__bin.17	VatanenT_2016__G78793__bin.2	CosteaPI_2017__alien-11-877-0__bin.3	VatanenT_2016__G78880__bin.10	BackhedF_2015__SID82_12M__bin.39	OhJ_2014__MET0310__bin.48	VatanenT_2016__G78780__bin.6	BackhedF_2015__SID38_M__bin.25	ZellerG_2014__CCIS63448910ST-4-0__bin.46	SchirmerM_2016__G89053__bin.11	NielsenHB_2014__V1_UC50_1__bin.21	CM_madagascar__A81_03_1FE__bin.34	CosteaPI_2017__SID713A040-11-0-0__bin.67	ZellerG_2014__CCIS74239020ST-4-0__bin.54	BackhedF_2015__SID637_12M__bin.20	CM_madagascar__V40_01_1FE__bin.14	CosteaPI_2017__SID713A053-11-0-0__bin.33	ZellerG_2014__CCIS50471204ST-4-0__bin.28	IjazUZ_2017__S68_a_WGS__bin.4	KosticAD_2015__PRJNA231909.3109952__bin.14	VatanenT_2016__G78553__bin.4	BackhedF_2015__SID38_12M__bin.19
VincentC_2016__MM098.8__bin.1	0.0	12386.0	22051.0	13401.0	18284.0	12310.0	14331.0	19826.0	8758.0	14371.0	18185.0	15135.0	6028.0	21573.0	17282.0	13028.0	12220.0	21223.0	18911.0	19010.0	10028.0	16678.0	32774.0	8147.0	13053.0	21043.0	18999.0	12698.0	17430.0	23214.0
KarlssonFH_2013__S54__bin.24	12386.0	0.0	13639.0	7942.0	13518.0	3127.0	4829.0	336.0	3635.0	6549.0	4004.0	8530.0	8117.0	12958.0	10068.0	11231.0	5580.0	833.0	8864.0	13603.0	3059.0	4786.0	20458.0	5397.0	10034.0	319.0	12308.0	586.0	6033.0	15009.0
Obregon-TitoAJ_2015__SM24__bin.22	22051.0	13639.0	0.0	15462.0	17184.0	13678.0	17443.0	21490.0	11703.0	19143.0	20733.0	18414.0	12308.0	16561.0	12071.0	21215.0	15036.0	22394.0	22171.0	11154.0	13610.0	20098.0	18180.0	9829.0	19705.0	22078.0	19793.0	14478.0	19714.0	21722.0
LiJ_2014__V1.FI30__bin.20	13401.0	7942.0	15462.0	0.0	12925.0	6126.0	8092.0	10809.0	5058.0	7567.0	9419.0	12166.0	8978.0	15489.0	10527.0	13877.0	6894.0	10943.0	8445.0	13489.0	6085.0	9822.0	20411.0	7332.0	12811.0	10434.0	13400.0	7200.0	8721.0	16367.0
VatanenT_2016__G78895__bin.1	18284.0	13518.0	17184.0	12925.0	0.0	11168.0	15720.0	19449.0	10488.0	17138.0	18087.0	12874.0	11715.0	17389.0	14110.0	18288.0	13544.0	20481.0	21220.0	14691.0	11066.0	18148.0	24162.0	8322.0	16691.0	20163.0	17774.0	13129.0	17470.0	19620.0
CosteaPI_2017__alien-11-600-0__bin.61	12310.0	3127.0	13678.0	6126.0	11168.0	0.0	3468.0	5279.0	2501.0	4676.0	3103.0	9741.0	6650.0	13040.0	10379.0	10863.0	4484.0	5899.0	5956.0	11395.0	3237.0	2765.0	19776.0	5731.0	9730.0	5773.0	11667.0	3679.0	4853.0	14482.0
VatanenT_2016__G69222__bin.8	14331.0	4829.0	17443.0	8092.0	15720.0	3468.0	0.0	7299.0	2953.0	4730.0	5080.0	11413.0	9573.0	18768.0	14531.0	15249.0	5120.0	7931.0	5816.0	16509.0	4087.0	4436.0	27894.0	7101.0	12982.0	7562.0	15586.0	5080.0	4342.0	20008.0
KarlssonFH_2013__S59__bin.5	19826.0	336.0	21490.0	10809.0	19449.0	5279.0	7299.0	0.0	5500.0	10149.0	8038.0	15131.0	11453.0	22078.0	17633.0	19953.0	8057.0	1058.0	12001.0	21387.0	5133.0	8271.0	33324.0	8191.0	16908.0	543.0	19478.0	641.0	9617.0	24048.0
VatanenT_2016__G78889__bin.17	8758.0	3635.0	11703.0	5058.0	10488.0	2501.0	2953.0	5500.0	0.0	2458.0	4231.0	7820.0	6271.0	11708.0	8730.0	9254.0	2665.0	5853.0	3014.0	10999.0	2807.0	3693.0	15528.0	4647.0	8046.0	5291.0	9423.0	3860.0	4071.0	11770.0
VatanenT_2016__G78793__bin.2	14371.0	6549.0	19143.0	7567.0	17138.0	4676.0	4730.0	10149.0	2458.0	0.0	7612.0	12520.0	9636.0	19434.0	15200.0	15673.0	3309.0	10793.0	3181.0	18243.0	4460.0	6081.0	28566.0	7575.0	13987.0	9886.0	16062.0	6721.0	8360.0	20093.0
CosteaPI_2017__alien-11-877-0__bin.3	18185.0	4004.0	20733.0	9419.0	18087.0	3103.0	5080.0	8038.0	4231.0	7612.0	0.0	14778.0	10880.0	22420.0	16468.0	16838.0	5840.0	9679.0	8513.0	20945.0	4807.0	5098.0	30246.0	8471.0	16014.0	8353.0	17043.0	4869.0	7859.0	21751.0
VatanenT_2016__G78880__bin.10	15135.0	8530.0	18414.0	12166.0	12874.0	9741.0	11413.0	15131.0	7820.0	12520.0	14778.0	0.0	8161.0	17651.0	14081.0	12984.0	10801.0	16197.0	15107.0	16691.0	8187.0	13736.0	26546.0	6359.0	9686.0	15433.0	9990.0	9499.0	13782.0	18561.0
BackhedF_2015__SID82_12M__bin.39	6028.0	8117.0	12308.0	8978.0	11715.0	6650.0	9573.0	11453.0	6271.0	9636.0	10880.0	8161.0	0.0	11954.0	9595.0	7479.0	7918.0	11894.0	10970.0	11088.0	6323.0	10485.0	16411.0	5078.0	7698.0	11947.0	10373.0	8016.0	10884.0	13396.0
OhJ_2014__MET0310__bin.48	21573.0	12958.0	16561.0	15489.0	17389.0	13040.0	18768.0	22078.0	11708.0	19434.0	22420.0	17651.0	11954.0	0.0	8009.0	20996.0	14760.0	23752.0	22908.0	8625.0	12578.0	20957.0	10386.0	8712.0	19598.0	23184.0	22666.0	13702.0	20573.0	23954.0
VatanenT_2016__G78780__bin.6	17282.0	10068.0	12071.0	10527.0	14110.0	10379.0	14531.0	17633.0	8730.0	15200.0	16468.0	14081.0	9595.0	8009.0	0.0	16878.0	10847.0	18457.0	17434.0	4973.0	10084.0	16641.0	7496.0	6931.0	14660.0	17898.0	16293.0	11193.0	16085.0	18264.0
BackhedF_2015__SID38_M__bin.25	13028.0	11231.0	21215.0	13877.0	18288.0	10863.0	15249.0	19953.0	9254.0	15673.0	16838.0	12984.0	7479.0	20996.0	16878.0	0.0	11839.0	20366.0	18671.0	18639.0	10078.0	16802.0	31346.0	7659.0	11196.0	20187.0	17976.0	12170.0	18238.0	23253.0
ZellerG_2014__CCIS63448910ST-4-0__bin.46	12220.0	5580.0	15036.0	6894.0	13544.0	4484.0	5120.0	8057.0	2665.0	3309.0	5840.0	10801.0	7918.0	14760.0	10847.0	11839.0	0.0	8123.0	4188.0	12889.0	4050.0	5850.0	21440.0	5828.0	10922.0	8196.0	12668.0	5527.0	6576.0	15532.0
SchirmerM_2016__G89053__bin.11	21223.0	833.0	22394.0	10943.0	20481.0	5899.0	7931.0	1058.0	5853.0	10793.0	9679.0	16197.0	11894.0	23752.0	18457.0	20366.0	8123.0	0.0	13634.0	21636.0	5113.0	8964.0	36793.0	8316.0	17590.0	646.0	21339.0	444.0	9970.0	26271.0
NielsenHB_2014__V1_UC50_1__bin.21	18911.0	8864.0	22171.0	8445.0	21220.0	5956.0	5816.0	12001.0	3014.0	3181.0	8513.0	15107.0	10970.0	22908.0	17434.0	18671.0	4188.0	13634.0	0.0	21252.0	4852.0	7997.0	36681.0	8273.0	16764.0	12829.0	20463.0	8213.0	8374.0	24514.0
CM_madagascar__A81_03_1FE__bin.34	19010.0	13603.0	11154.0	13489.0	14691.0	11395.0	16509.0	21387.0	10999.0	18243.0	20945.0	16691.0	11088.0	8625.0	4973.0	18639.0	12889.0	21636.0	21252.0	0.0	11488.0	19325.0	2289.0	7820.0	17180.0	20778.0	19641.0	13476.0	17506.0	19244.0
CosteaPI_2017__SID713A040-11-0-0__bin.67	10028.0	3059.0	13610.0	6085.0	11066.0	3237.0	4087.0	5133.0	2807.0	4460.0	4807.0	8187.0	6323.0	12578.0	10084.0	10078.0	4050.0	5113.0	4852.0	11488.0	0.0	4552.0	16754.0	5664.0	9966.0	4966.0	9194.0	3741.0	5437.0	12441.0
ZellerG_2014__CCIS74239020ST-4-0__bin.54	16678.0	4786.0	20098.0	9822.0	18148.0	2765.0	4436.0	8271.0	3693.0	6081.0	5098.0	13736.0	10485.0	20957.0	16641.0	16802.0	5850.0	8964.0	7997.0	19325.0	4552.0	0.0	30389.0	7962.0	15401.0	7563.0	17300.0	4991.0	7632.0	22885.0
BackhedF_2015__SID637_12M__bin.20	32774.0	20458.0	18180.0	20411.0	24162.0	19776.0	27894.0	33324.0	15528.0	28566.0	30246.0	26546.0	16411.0	10386.0	7496.0	31346.0	21440.0	36793.0	36681.0	2289.0	16754.0	30389.0	0.0	11012.0	27149.0	35650.0	34881.0	21048.0	30517.0	34247.0
CM_madagascar__V40_01_1FE__bin.14	8147.0	5397.0	9829.0	7332.0	8322.0	5731.0	7101.0	8191.0	4647.0	7575.0	8471.0	6359.0	5078.0	8712.0	6931.0	7659.0	5828.0	8316.0	8273.0	7820.0	5664.0	7962.0	11012.0	0.0	7279.0	8491.0	8704.0	5740.0	8013.0	9594.0
CosteaPI_2017__SID713A053-11-0-0__bin.33	13053.0	10034.0	19705.0	12811.0	16691.0	9730.0	12982.0	16908.0	8046.0	13987.0	16014.0	9686.0	7698.0	19598.0	14660.0	11196.0	10922.0	17590.0	16764.0	17180.0	9966.0	15401.0	27149.0	7279.0	0.0	17614.0	13753.0	10911.0	15111.0	19538.0
