	BritoIL_2016__W2.61.ST__bin.63	LiJ_2017__H2M615912__bin.50	BritoIL_2016__W2.17.ST__bin.59	BritoIL_2016__W2.35.ST__bin.94	BritoIL_2016__W3.22.ST__bin.82	BritoIL_2016__WL.14.ST__bin.58	BritoIL_2016__M1.59.ST__bin.30	BritoIL_2016__W1.41.ST__bin.35	FengQ_2015__SID31160__bin.57	BritoIL_2016__M1.22.ST__bin.76	BritoIL_2016__W1.33.ST__bin.49	BritoIL_2016__W1.1.ST__bin.115	BritoIL_2016__WL.37.ST__bin.63	Obregon-TitoAJ_2015__SM43__bin.3	BritoIL_2016__W2.7.ST__bin.18	BritoIL_2016__WL.43.ST__bin.39	LiJ_2014__MH0329__bin.15	CM_madagascar__A53_01_1FE__bin.4	BritoIL_2016__M1.52.ST__bin.16	Obregon-TitoAJ_2015__SM31__bin.33	ZellerG_2014__CCIS74726977ST-3-0__bin.68	Obregon-TitoAJ_2015__SM37__bin.42	HMP_2012__SRS024009__bin.28	BritoIL_2016__W1.53.ST__bin.71	CM_madagascar__A81_01_1FE__bin.50	BritoIL_2016__M1.15.ST__bin.23	BritoIL_2016__M1.48.ST__bin.38	CM_madagascar__A75_02_1FE__bin.34	BritoIL_2016__M2.46.ST__bin.81	CM_madagascar__A46_02_1FE__bin.8	BritoIL_2016__M1.3.ST__bin.76	BritoIL_2016__W2.39.ST__bin.22	LiJ_2017__H1F613739__bin.39	BritoIL_2016__W2.6.ST__bin.50	Obregon-TitoAJ_2015__SM03__bin.1	BritoIL_2016__WL.12.ST__bin.24	XieH_2016__YSZC12003_37204__bin.77	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.48	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.31
BritoIL_2016__W2.61.ST__bin.63	2261473.0	1561978.0	1403991.0	1659378.0	1583709.0	991646.0	1244176.0	1695237.0	1618060.0	1572723.0	1618714.0	1543689.0	1626221.0	1388021.0	1359564.0	1620570.0	1642328.0	1007865.0	900824.0	1441924.0	955028.0	1519730.0	1585363.0	1517044.0	1719757.0	1302195.0	1582519.0	1361679.0	1693072.0	1560556.0	1014858.0	1816091.0	1352930.0	1719172.0	1688859.0	1023599.0	1504081.0	1730643.0	1698374.0
LiJ_2017__H2M615912__bin.50	1561978.0	2041096.0	1478716.0	1714251.0	1596424.0	1039114.0	1303089.0	1713519.0	1757701.0	1677440.0	1643802.0	1579259.0	1683160.0	1504615.0	1393915.0	1666534.0	1691444.0	1054667.0	952474.0	1542211.0	1014685.0	1629600.0	1667991.0	1608040.0	1720684.0	1397653.0	1656170.0	1454562.0	1726965.0	1581829.0	1067769.0	1724289.0	1432409.0	1726043.0	1772592.0	1050513.0	1629627.0	1777715.0	1743948.0
BritoIL_2016__W2.17.ST__bin.59	1403991.0	1478716.0	1727088.0	1574330.0	1493874.0	966711.0	1195273.0	1546855.0	1543248.0	1523907.0	1489004.0	1439501.0	1517559.0	1334764.0	1257949.0	1500958.0	1525057.0	979887.0	900583.0	1415827.0	936156.0	1456557.0	1532374.0	1485534.0	1569877.0	1313953.0	1535560.0	1322370.0	1577647.0	1462869.0	969694.0	1577597.0	1293723.0	1575588.0	1575806.0	950554.0	1445413.0	1596890.0	1583347.0
BritoIL_2016__W2.35.ST__bin.94	1659378.0	1714251.0	1574330.0	2423033.0	1686334.0	1067940.0	1346528.0	1854748.0	1818036.0	1772012.0	1745333.0	1657437.0	1776439.0	1557089.0	1451661.0	1802021.0	1822294.0	1081078.0	971547.0	1682143.0	1061035.0	1690303.0	1797750.0	1771278.0	1818768.0	1442027.0	1802479.0	1590225.0	1827295.0	1662536.0	1090394.0	1860473.0	1500676.0	1871293.0	1894720.0	1072435.0	1674426.0	1884078.0	1888691.0
BritoIL_2016__W3.22.ST__bin.82	1583709.0	1596424.0	1493874.0	1686334.0	2078990.0	1015883.0	1253074.0	1693297.0	1677821.0	1627772.0	1613106.0	1591958.0	1629379.0	1480125.0	1363252.0	1668677.0	1683528.0	1005902.0	956319.0	1522710.0	1004652.0	1602478.0	1632933.0	1574593.0	1716998.0	1347926.0	1662876.0	1416772.0	1734961.0	1612416.0	1023073.0	1708195.0	1396207.0	1724988.0	1714121.0	1027282.0	1575835.0	1744762.0	1717162.0
BritoIL_2016__WL.14.ST__bin.58	991646.0	1039114.0	966711.0	1067940.0	1015883.0	1239308.0	869165.0	1060035.0	1078110.0	1059053.0	1039939.0	1032996.0	1065747.0	942844.0	878266.0	1053808.0	1061259.0	693850.0	651377.0	994290.0	675496.0	1002379.0	1035440.0	1038914.0	1080344.0	914654.0	1062668.0	917034.0	1090171.0	1002132.0	704230.0	1071701.0	898082.0	1093346.0	1088462.0	684154.0	1014061.0	1099947.0	1078642.0
BritoIL_2016__M1.59.ST__bin.30	1244176.0	1303089.0	1195273.0	1346528.0	1253074.0	869165.0	1534530.0	1343555.0	1336180.0	1346741.0	1289035.0	1277461.0	1326375.0	1175315.0	1089126.0	1310960.0	1315382.0	869848.0	804544.0	1232208.0	801622.0	1266563.0	1304688.0	1302092.0	1343166.0	1114026.0	1317865.0	1155309.0	1345890.0	1252104.0	870204.0	1347555.0	1122209.0	1372507.0	1393942.0	842045.0	1244587.0	1375375.0	1368140.0
BritoIL_2016__W1.41.ST__bin.35	1695237.0	1713519.0	1546855.0	1854748.0	1693297.0	1060035.0	1343555.0	2208441.0	1784080.0	1818763.0	1721800.0	1651627.0	1771890.0	1537618.0	1462722.0	1800381.0	1815696.0	1078867.0	982469.0	1621687.0	1063126.0	1687194.0	1738499.0	1696296.0	1808968.0	1437640.0	1741504.0	1540463.0	1824693.0	1676141.0	1094060.0	1832856.0	1451081.0	1900272.0	1876276.0	1081171.0	1671298.0	1887569.0	1841340.0
FengQ_2015__SID31160__bin.57	1618060.0	1757701.0	1543248.0	1818036.0	1677821.0	1078110.0	1336180.0	1784080.0	2132109.0	1755227.0	1715818.0	1656856.0	1751088.0	1563102.0	1426342.0	1775544.0	1817146.0	1080755.0	1002353.0	1624636.0	1062655.0	1699926.0	1748316.0	1689274.0	1807276.0	1446675.0	1730019.0	1513657.0	1823229.0	1656577.0	1093129.0	1795135.0	1475451.0	1810424.0	1875775.0	1081244.0	1700371.0	1893100.0	1834528.0
BritoIL_2016__M1.22.ST__bin.76	1572723.0	1677440.0	1523907.0	1772012.0	1627772.0	1059053.0	1346741.0	1818763.0	1755227.0	2030715.0	1665970.0	1608256.0	1724215.0	1497047.0	1416986.0	1731134.0	1717973.0	1060347.0	963010.0	1587667.0	1043526.0	1656022.0	1697171.0	1670278.0	1752752.0	1437613.0	1705873.0	1493373.0	1771918.0	1627840.0	1089596.0	1764668.0	1427108.0	1783085.0	1792798.0	1063886.0	1613525.0	1791207.0	1779090.0
