	BritoIL_2016__W2.61.ST__bin.63	LiJ_2017__H2M615912__bin.50	BritoIL_2016__W2.17.ST__bin.59	BritoIL_2016__W2.35.ST__bin.94	BritoIL_2016__W3.22.ST__bin.82	BritoIL_2016__WL.14.ST__bin.58	BritoIL_2016__M1.59.ST__bin.30	BritoIL_2016__W1.41.ST__bin.35	FengQ_2015__SID31160__bin.57	BritoIL_2016__M1.22.ST__bin.76	BritoIL_2016__W1.33.ST__bin.49	BritoIL_2016__W1.1.ST__bin.115	BritoIL_2016__WL.37.ST__bin.63	Obregon-TitoAJ_2015__SM43__bin.3	BritoIL_2016__W2.7.ST__bin.18	BritoIL_2016__WL.43.ST__bin.39	LiJ_2014__MH0329__bin.15	CM_madagascar__A53_01_1FE__bin.4	BritoIL_2016__M1.52.ST__bin.16	Obregon-TitoAJ_2015__SM31__bin.33	ZellerG_2014__CCIS74726977ST-3-0__bin.68	Obregon-TitoAJ_2015__SM37__bin.42	HMP_2012__SRS024009__bin.28	BritoIL_2016__W1.53.ST__bin.71	CM_madagascar__A81_01_1FE__bin.50	BritoIL_2016__M1.15.ST__bin.23	BritoIL_2016__M1.48.ST__bin.38	CM_madagascar__A75_02_1FE__bin.34	BritoIL_2016__M2.46.ST__bin.81	CM_madagascar__A46_02_1FE__bin.8	BritoIL_2016__M1.3.ST__bin.76	BritoIL_2016__W2.39.ST__bin.22	LiJ_2017__H1F613739__bin.39	BritoIL_2016__W2.6.ST__bin.50	Obregon-TitoAJ_2015__SM03__bin.1	BritoIL_2016__WL.12.ST__bin.24	XieH_2016__YSZC12003_37204__bin.77	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.48	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.31
BritoIL_2016__W2.61.ST__bin.63	1.0	0.668982561365977	0.6042512999270829	0.7130454354308011	0.6802942153189536	0.42663078444889685	0.5356553007707808	0.7278128016562656	0.6930730545976008	0.6755893172281959	0.6961422930983479	0.6644523281949419	0.6991748298564697	0.5942180163106081	0.5843067770431042	0.6959207560735856	0.7023130499457655	0.43271266117260737	0.38772782164544967	0.6169341840473002	0.40900377762635237	0.6500042229113503	0.6795256896721739	0.6522089806068876	0.7386331828856679	0.5614208084730615	0.6795477991556831	0.5840206803264951	0.7274471107990235	0.6695348562640367	0.43666097273768023	0.794138599045843	0.5790725779171363	0.7387083551295992	0.7225171381661422	0.4397952131199444	0.6438591130648033	0.7412827833894102	0.727128734236491
LiJ_2017__H2M615912__bin.50	0.7412125642301979	1.0	0.702936559573876	0.814374728087263	0.757631194221144	0.4937979399303119	0.6196856982719088	0.8136030838333914	0.8346398209589357	0.7966651250112685	0.7799804614775591	0.7500338053673125	0.7991691718566887	0.7127180691158084	0.6615813268949623	0.7911254541677608	0.802578124693792	0.501259617382034	0.4527513649529469	0.7311076990009289	0.48196557143809016	0.7724575424183869	0.7917819641996261	0.7634579657203777	0.8167460031277314	0.6654998099060504	0.7857621591537095	0.6900660233521598	0.8195278419045454	0.7505379462798418	0.5072069123647295	0.8181001775516682	0.6808082520371408	0.8195993721020471	0.8396640824341433	0.49878888597106663	0.7727613007913395	0.8431920889561294	0.8266299086373203
BritoIL_2016__W2.17.ST__bin.59	0.7912150394189525	0.8307399507147292	1.0	0.8876681442983797	0.8428319807676274	0.54562593220496	0.6748972837516096	0.8715479466014471	0.867320599760985	0.8583117941876731	0.838843185755445	0.8118578786952373	0.8552824175722372	0.7499067795039975	0.7087565891257422	0.8463575683462569	0.8569551754166551	0.5517738528667908	0.5082474083544093	0.7952785266297953	0.5259604606134719	0.818400683694172	0.8613133783570959	0.8379254560277184	0.8840881298463078	0.7425915761096133	0.866169529288606	0.7444241405186071	0.8885192879575331	0.8240743957459029	0.5470138174777429	0.8888556923561509	0.7268263111086407	0.8875245499939783	0.8849635918957227	0.5355025337446616	0.8116158528112059	0.8969160807092633	0.889269104990597
BritoIL_2016__W2.35.ST__bin.94	0.6655018730656991	0.6860067526938346	0.6327115643905799	1.0	0.6763172437189258	0.4295707074563161	0.540784215485303	0.743469032406905	0.7278538922086493	0.710767868204849	0.700016879671057	0.6652014231750042	0.7139234174689325	0.6223295349258553	0.5822124585178988	0.7232076492561184	0.7278159232664185	0.43377824404372534	0.39056546072628806	0.6727378455018979	0.42421419766053536	0.6763403552489792	0.7192353550281816	0.7108735209136648	0.7292872197778569	0.5800985789297959	0.7225865268859318	0.6367882732096508	0.7326961704607408	0.665350822708564	0.4377257759180333	0.7458198051780558	0.5994004208774705	0.7507144970786612	0.7571122638445288	0.43017655970843155	0.669079207753258	0.7533880058587729	0.7548229842515558
BritoIL_2016__W3.22.ST__bin.82	0.7400069264402426	0.7438217596044233	0.7001693129837084	0.7882380386630046	1.0	0.4751297505038504	0.5862428390708949	0.7910398799417024	0.7820220395480498	0.7606145291704144	0.7540733721662922	0.7448121443585587	0.7614817772091257	0.6892154363416851	0.6384773375533311	0.7790152910788412	0.7834352257586616	0.4696631537429232	0.4480492931663933	0.7090620926507583	0.46829373878662234	0.7459420199231357	0.7612826420521503	0.7365206181847916	0.8018186715664818	0.6321078985468906	0.7765102285244276	0.6607799941317659	0.8108725871697314	0.7526274777656458	0.4787795997094743	0.7982905160678984	0.6499458871856045	0.8059865607819181	0.7982178846459098	0.48019759594803246	0.7339857334571114	0.8129081909965896	0.7996993732533586
BritoIL_2016__WL.14.ST__bin.58	0.7785102654061784	0.8132675654478144	0.7603791793484751	0.8398751561355208	0.7970496438334942	1.0	0.6837251111103939	0.8316036045922403	0.8446003737569676	0.831004883370397	0.8227994977842473	0.8193209436233769	0.836528126986996	0.7381643626927284	0.689343569153108	0.8275715157168355	0.8309879384301562	0.5445514755008439	0.5136802150877748	0.7785417345809112	0.5290500827881366	0.7846636994193533	0.8100480268020541	0.815463145561878	0.8470832109532094	0.7207062328331618	0.8343825747917386	0.7195217008201351	0.8551796647806679	0.7856222988958355	0.5531691879661876	0.8411831441417307	0.7026050021463591	0.8582265264163549	0.8515929857630226	0.536670464485019	0.7930893692286342	0.8607004876915182	0.8438402721518783
BritoIL_2016__M1.59.ST__bin.30	0.7894078317139449	0.8242510736186324	0.7595856711827074	0.853901846167882	0.7942451434641224	0.55218601135201	1.0	0.8563286478596053	0.8456674030484904	0.8584022469420605	0.8177448469563972	0.8108404527770718	0.8411604856210044	0.7430913699960248	0.6910207034075581	0.8320547659543965	0.8324021035756877	0.5509784754941253	0.5115338246889928	0.778878874964973	0.5072178452034174	0.8006275537135148	0.8253282764103667	0.8272415658214567	0.8509954187927249	0.7087538203880016	0.836112034303663	0.7316083752028308	0.8537519631418089	0.7932963187425466	0.5525359556346242	0.8551302353163509	0.70954885209152	0.8699986315028054	0.8809948322939272	0.5340612435077841	0.7868722019119861	0.8693586961480062	0.8645735176242888
BritoIL_2016__W1.41.ST__bin.35	0.7452900032194656	0.7519521689734976	0.6815848827294911	0.8157111736288178	0.7446719201463838	0.4666699268850742	0.5950179334652816	1.0	0.7831293659192164	0.8139760129430672	0.7584042317634929	0.7275381139908197	0.7792850250470807	0.6743245574593119	0.6437237852403573	0.7923299739499493	0.7950925562421635	0.4747507404544654	0.43327623423039147	0.7108335699255719	0.4663973364015611	0.7401171233462881	0.7629825745854202	0.7483840410497722	0.7955367610001807	0.634678490392091	0.7661028752862313	0.6765732025442381	0.8036261779237027	0.7357022442528462	0.4821029857714107	0.8059377633362178	0.635814133137358	0.8359698085663144	0.8221899520974298	0.4761145984882548	0.7329944517422019	0.82817924499681	0.8070711420409239
FengQ_2015__SID31160__bin.57	0.7351247051628225	0.7990116827985811	0.702562111036537	0.8271687798325508	0.7625388758267049	0.4909317487989592	0.608647118885573	0.8111663146677773	1.0	0.7981894921882512	0.7798583468293601	0.7539018877552696	0.7962313371408309	0.7092859699011637	0.6484288561232094	0.8074333910695934	0.8262021313169261	0.491604791312264	0.4566164300230429	0.737413049708059	0.4832726657033013	0.7714985490891882	0.794722033442005	0.7686863101276717	0.8215278862384615	0.6597885004941118	0.7862585824645926	0.6873658898302104	0.828141994616598	0.7526575798892083	0.49724146373379596	0.8161862268767686	0.6699043060181257	0.822695274960145	0.8516422002815053	0.49140123699116695	0.7727470781278069	0.8599081941870702	0.833038554783081
BritoIL_2016__M1.22.ST__bin.76	0.7523591444392739	0.800737671214326	0.7299793422513745	0.8480825719020149	0.7786961735152398	0.5071469900995462	0.6486602009637	0.8852143210642557	0.8380432507762045	1.0	0.7978559275920057	0.7703035630307552	0.8255323863762272	0.7139805437986129	0.6778533669175636	0.8287957689779216	0.8188667538280852	0.5075113937701746	0.46224556375463816	0.7569279785691247	0.4981747808038056	0.7900350369204935	0.8098206789234333	0.8017018636293128	0.8382678022272944	0.6901362328047017	0.8162253196534225	0.7137658410953778	0.8483061384783193	0.7775128464604831	0.5225361510600947	0.8442578106725956	0.6804726414095528	0.8533964638070828	0.8549446869698604	0.5096884594834825	0.7693290294305207	0.8547413103266583	0.8477940035898686
