	BritoIL_2016__W2.61.ST__bin.63	LiJ_2017__H2M615912__bin.50	BritoIL_2016__W2.17.ST__bin.59	BritoIL_2016__W2.35.ST__bin.94	BritoIL_2016__W3.22.ST__bin.82	BritoIL_2016__WL.14.ST__bin.58	BritoIL_2016__M1.59.ST__bin.30	BritoIL_2016__W1.41.ST__bin.35	FengQ_2015__SID31160__bin.57	BritoIL_2016__M1.22.ST__bin.76	BritoIL_2016__W1.33.ST__bin.49	BritoIL_2016__W1.1.ST__bin.115	BritoIL_2016__WL.37.ST__bin.63	Obregon-TitoAJ_2015__SM43__bin.3	BritoIL_2016__W2.7.ST__bin.18	BritoIL_2016__WL.43.ST__bin.39	LiJ_2014__MH0329__bin.15	CM_madagascar__A53_01_1FE__bin.4	BritoIL_2016__M1.52.ST__bin.16	Obregon-TitoAJ_2015__SM31__bin.33	ZellerG_2014__CCIS74726977ST-3-0__bin.68	Obregon-TitoAJ_2015__SM37__bin.42	HMP_2012__SRS024009__bin.28	BritoIL_2016__W1.53.ST__bin.71	CM_madagascar__A81_01_1FE__bin.50	BritoIL_2016__M1.15.ST__bin.23	BritoIL_2016__M1.48.ST__bin.38	CM_madagascar__A75_02_1FE__bin.34	BritoIL_2016__M2.46.ST__bin.81	CM_madagascar__A46_02_1FE__bin.8	BritoIL_2016__M1.3.ST__bin.76	BritoIL_2016__W2.39.ST__bin.22	LiJ_2017__H1F613739__bin.39	BritoIL_2016__W2.6.ST__bin.50	Obregon-TitoAJ_2015__SM03__bin.1	BritoIL_2016__WL.12.ST__bin.24	XieH_2016__YSZC12003_37204__bin.77	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.48	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.31
BritoIL_2016__W2.61.ST__bin.63	1.0	0.6906905366546494	0.6208303172312913	0.7337598105305702	0.7002997603774177	0.43849561767927364	0.5501617750908369	0.7496162899136979	0.715489417737908	0.6954418646607764	0.7157786097822083	0.6826033297766544	0.7190981276362796	0.613768548198453	0.6011851567540272	0.7165993138100698	0.7262204766539331	0.4456674919399878	0.39833506745382324	0.6376038979903806	0.4223035163364763	0.6720089074687162	0.7010311420919021	0.670821186014602	0.7604587806266093	0.5758171775652418	0.6997735546698988	0.6021203879064663	0.7486589492777495	0.6900617429436477	0.4487597243035844	0.8030566803141138	0.5982516704820265	0.7602000996695517	0.7467960041972643	0.4526249042106627	0.6650890813200069	0.7652724573762322	0.7510034389090651
LiJ_2017__H2M615912__bin.50	0.7652643481737262	1.0	0.7244715584176344	0.8398678945037372	0.7821405754555396	0.5090960934713507	0.6384261200845036	0.8395092636505094	0.8611554772533971	0.8218329760089678	0.805352614477712	0.7737308779204898	0.824635391965885	0.7371603295484387	0.6829247619906168	0.8164897682421601	0.8286939957748191	0.5167160192367238	0.46664831051552697	0.7555798453379948	0.4971275236441598	0.7983945880056597	0.8172036004185986	0.7878316355526639	0.8430196325895499	0.684756131019805	0.8114121040852561	0.7126377201268338	0.8460969008807033	0.7749900053696641	0.523135119563215	0.8447858405484112	0.7017842374880946	0.8456451827841512	0.8684510674657145	0.5146808381379416	0.7984078161928689	0.87096099350545	0.8544174306353057
BritoIL_2016__W2.17.ST__bin.59	0.8129238348017009	0.8561903041420009	1.0	0.9115516985816589	0.8649669269892444	0.5597346516216892	0.6920741734063348	0.8956434182855767	0.893554931769545	0.8823563130541119	0.8621471517374911	0.83348445475853	0.8786807620688697	0.7728407585484932	0.7283641597880363	0.8690686288133552	0.8830221737398442	0.5673636780523054	0.5214459251642071	0.8197769887811159	0.5420430227064283	0.8433600372418777	0.8872587847289773	0.8601379894944554	0.9089733702046451	0.7607909961739066	0.8891035083331017	0.765664517384175	0.9134722724030275	0.84701474389261	0.5614618363395496	0.9134433219384305	0.7490776381979378	0.9122800922709208	0.9124063162965639	0.5503795984917966	0.8369075576924858	0.9246141482078505	0.9167726253670919
BritoIL_2016__W2.35.ST__bin.94	0.6848350806613034	0.7074814911724273	0.6497352698044145	1.0	0.6959599807348889	0.44074513223715894	0.5557200417823447	0.7654654311352755	0.7503141723616641	0.7313197963048791	0.7203092157638794	0.6840340185214151	0.733146845296783	0.6426198074892088	0.5991090505164395	0.7437046874722714	0.7520714740575138	0.44616726227005576	0.4009631730149775	0.6942303303339245	0.43789539804038985	0.6975980104274271	0.741942020599802	0.7310168701788213	0.7506162730759341	0.5951330419354586	0.743893706771637	0.6562952299865499	0.7541354162324657	0.6861384058739605	0.4500120303768046	0.7678281723773469	0.619337829901615	0.7722936501483884	0.7819621111227127	0.4426002452298421	0.6910454789513804	0.7775700950007697	0.7794739072889226
BritoIL_2016__W3.22.ST__bin.82	0.7617684548747228	0.7678844054083954	0.7185575688194749	0.8111313666732404	1.0	0.4886425620132853	0.602732095873477	0.8144805891322229	0.8070365898825872	0.7829628810143386	0.7759084940283503	0.7657362469275947	0.7837358525053031	0.7119442613961587	0.6557280217798065	0.8026383003285249	0.8097816728315191	0.48384167312012083	0.45999211155416814	0.732427765405317	0.48324041962683806	0.7707963963270626	0.7854453364374047	0.75738363339891	0.8258808363676593	0.6483561729493649	0.7998480031168981	0.6814712913482027	0.8345210895675303	0.7755766021000582	0.49210097210664794	0.8216465687665645	0.6715794688767142	0.8297240486967229	0.8244969913275196	0.4941255128692298	0.7579810388698358	0.8392353979576621	0.825959720825978
BritoIL_2016__WL.14.ST__bin.58	0.8001610576224797	0.8384630777821171	0.7800409583412679	0.8617228324193824	0.8197179393661624	1.0	0.7013309040206309	0.855344272771579	0.8699290249074484	0.8545518950898404	0.8391287718630074	0.8335264518586178	0.8599532965170885	0.7607826303065904	0.7086745183602462	0.8503196945392106	0.8563319207170453	0.5598688945766508	0.5255973494885856	0.8022945062889936	0.5450590168061531	0.8088215358893834	0.8354985201418856	0.838301697398871	0.8717316437883077	0.7380360652880479	0.8574688455170143	0.7399564918486768	0.8796610689191064	0.8086222311160745	0.5682445364671252	0.864757590526326	0.7246640867322732	0.8822229825031388	0.8782820735442682	0.5520451735968782	0.8182477640747902	0.8875493420521775	0.870358296726883
BritoIL_2016__M1.59.ST__bin.30	0.8107863645546193	0.8491779241852554	0.7789179748848182	0.8774856144878236	0.8165848826676572	0.566404697203704	1.0	0.8755482134594957	0.8707421816451943	0.8776244192032739	0.8400194196268564	0.8324770450887242	0.8643526030771637	0.7659120382136549	0.7097456550214072	0.8543071820036102	0.8571888460961988	0.5668497846246082	0.5242934318651313	0.8029872338761705	0.5223892657686718	0.8253751963141809	0.850219937049129	0.8485282138504949	0.8752947156458329	0.7259721217571504	0.8588069311124579	0.7528748216066157	0.8770698520068034	0.8159527672968271	0.5670817774823561	0.8781548747825066	0.7313046991587001	0.894415228115449	0.908383674480134	0.5487315334336897	0.8110541990055588	0.8962842042840479	0.8915694056160518
BritoIL_2016__W1.41.ST__bin.35	0.7676170656132538	0.7758953035195416	0.7004284923165256	0.8398449403900761	0.766738617875687	0.4799924471606894	0.6083726031168594	1.0	0.807845896720809	0.8235506404744343	0.7796450074962383	0.7478701038424843	0.8023261658337262	0.6962459037846155	0.662332387417187	0.8152271217569317	0.8221618779944766	0.48851972952865846	0.44486993313382606	0.7343130289647765	0.4813920770353385	0.7639751299672484	0.7872064501609959	0.7680965894040185	0.8191153850159456	0.6509750543482936	0.7885671385380003	0.6975341428636762	0.8262357925794712	0.7589702419036778	0.49539924317652134	0.8299320651989345	0.6570612481836735	0.8604585768874966	0.8495929934283959	0.4895629994190472	0.7567772922165455	0.854706555438882	0.8337736892223971
FengQ_2015__SID31160__bin.57	0.7589011631206473	0.8243954694623962	0.7238129007475697	0.8526937412674492	0.7869302179203783	0.5056542606405208	0.626694038625605	0.8367677262278804	1.0	0.8232351160283081	0.8047515394381807	0.7770972309577043	0.8212938456711172	0.7331248074090021	0.6689817453047663	0.8327641785668556	0.8522763142034483	0.5068948163531977	0.4701227751489253	0.7619854332025239	0.4984055693212683	0.7972978867403121	0.8199937245234648	0.7923018945091457	0.8476470949655951	0.6785183121500824	0.8114120807144475	0.7099341543982977	0.8551293578330189	0.7769663746084277	0.51269845960033	0.8419527331857799	0.692014807873331	0.8491235673223085	0.8797744392993041	0.5071241667288117	0.7975066002723126	0.8879001964721316	0.8604288054691388
BritoIL_2016__M1.22.ST__bin.76	0.7744676136237729	0.8260341800794302	0.7504287898597292	0.8726049691857302	0.8015757996567712	0.5215172980945135	0.6631856267373807	0.8956269097337637	0.8643394075485727	1.0	0.8203859231846911	0.7919653915000382	0.8490679391248895	0.7372019214907065	0.6977768913904708	0.8524751134452644	0.8459941449194003	0.5221545120807204	0.4742221335834915	0.7818265980208942	0.5138712226974244	0.8154871560017039	0.8357504622756025	0.8225073434726192	0.8631206250015389	0.707934397490539	0.8400356524672344	0.7353927065097761	0.8725586800708125	0.8016092853994775	0.5365578133810013	0.8689885089734404	0.7027613426797951	0.8780577284355511	0.8828407728312442	0.5238972480136307	0.7945600441223903	0.8820573049393933	0.8760904410515508
