	BritoIL_2016__W2.61.ST__bin.63	LiJ_2017__H2M615912__bin.50	BritoIL_2016__W2.17.ST__bin.59	BritoIL_2016__W2.35.ST__bin.94	BritoIL_2016__W3.22.ST__bin.82	BritoIL_2016__WL.14.ST__bin.58	BritoIL_2016__M1.59.ST__bin.30	BritoIL_2016__W1.41.ST__bin.35	FengQ_2015__SID31160__bin.57	BritoIL_2016__M1.22.ST__bin.76	BritoIL_2016__W1.33.ST__bin.49	BritoIL_2016__W1.1.ST__bin.115	BritoIL_2016__WL.37.ST__bin.63	Obregon-TitoAJ_2015__SM43__bin.3	BritoIL_2016__W2.7.ST__bin.18	BritoIL_2016__WL.43.ST__bin.39	LiJ_2014__MH0329__bin.15	CM_madagascar__A53_01_1FE__bin.4	BritoIL_2016__M1.52.ST__bin.16	Obregon-TitoAJ_2015__SM31__bin.33	ZellerG_2014__CCIS74726977ST-3-0__bin.68	Obregon-TitoAJ_2015__SM37__bin.42	HMP_2012__SRS024009__bin.28	BritoIL_2016__W1.53.ST__bin.71	CM_madagascar__A81_01_1FE__bin.50	BritoIL_2016__M1.15.ST__bin.23	BritoIL_2016__M1.48.ST__bin.38	CM_madagascar__A75_02_1FE__bin.34	BritoIL_2016__M2.46.ST__bin.81	CM_madagascar__A46_02_1FE__bin.8	BritoIL_2016__M1.3.ST__bin.76	BritoIL_2016__W2.39.ST__bin.22	LiJ_2017__H1F613739__bin.39	BritoIL_2016__W2.6.ST__bin.50	Obregon-TitoAJ_2015__SM03__bin.1	BritoIL_2016__WL.12.ST__bin.24	XieH_2016__YSZC12003_37204__bin.77	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.48	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.31
BritoIL_2016__W2.61.ST__bin.63	0.0	49092.0	37493.0	46845.0	45242.0	26832.0	32806.0	49308.0	50694.0	44896.0	44407.0	41048.0	45056.0	44213.0	38170.0	46764.0	54066.0	29297.0	23988.0	46744.0	30077.0	49763.0	48634.0	42091.0	49358.0	32557.0	45740.0	40932.0	47970.0	46421.0	27361.0	20168.0	43373.0	48603.0	54906.0	29014.0	48011.0	54252.0	53992.0
LiJ_2017__H2M615912__bin.50	49092.0	0.0	43955.0	52034.0	50026.0	31225.0	38251.0	52877.0	54121.0	51370.0	51787.0	48368.0	51979.0	49889.0	43564.0	51771.0	53305.0	31548.0	28365.0	49950.0	30947.0	52940.0	51888.0	49749.0	53627.0	39304.0	52354.0	46071.0	54230.0	49909.0	32511.0	54468.0	42814.0	53162.0	58757.0	32437.0	52347.0	56679.0	56717.0
BritoIL_2016__W2.17.ST__bin.59	37493.0	43955.0	0.0	41249.0	38229.0	24367.0	29666.0	41615.0	45309.0	41527.0	40248.0	37351.0	40411.0	39609.0	33864.0	39224.0	45020.0	26925.0	22795.0	42311.0	27776.0	43107.0	44810.0	38363.0	42979.0	31432.0	39609.0	36684.0	43096.0	39620.0	24953.0	42465.0	38430.0	42755.0	47396.0	25694.0	43681.0	47837.0	47501.0
BritoIL_2016__W2.35.ST__bin.94	46845.0	52034.0	41249.0	0.0	47595.0	27076.0	36190.0	53298.0	54422.0	49798.0	49169.0	45632.0	46579.0	49164.0	40941.0	49665.0	58772.0	30019.0	25194.0	52077.0	33150.0	51508.0	55019.0	48808.0	51681.0	36429.0	51628.0	47266.0	51948.0	50369.0	29770.0	53327.0	48309.0	52287.0	60212.0	30103.0	53225.0	58594.0	59730.0
BritoIL_2016__W3.22.ST__bin.82	45242.0	50026.0	38229.0	47595.0	0.0	28093.0	34281.0	48733.0	52005.0	46462.0	45395.0	43501.0	46266.0	47253.0	35864.0	49112.0	54774.0	29477.0	24829.0	48577.0	31074.0	51672.0	50234.0	43374.0	50025.0	33780.0	48519.0	43017.0	49165.0	47711.0	27695.0	48557.0	44976.0	49350.0	54634.0	28956.0	49886.0	54734.0	54595.0
BritoIL_2016__WL.14.ST__bin.58	26832.0	31225.0	24367.0	27076.0	28093.0	0.0	21819.0	29422.0	31390.0	29182.0	20237.0	17605.0	29031.0	28031.0	23957.0	28192.0	31409.0	18983.0	14769.0	29437.0	19840.0	29939.0	31541.0	28304.0	30547.0	21477.0	28611.0	25325.0	30340.0	28504.0	18683.0	29216.0	27338.0	29739.0	33076.0	19054.0	31179.0	33274.0	32864.0
BritoIL_2016__M1.59.ST__bin.30	32806.0	38251.0	29666.0	36190.0	34281.0	21819.0	0.0	29493.0	38478.0	29497.0	34181.0	33202.0	35589.0	35019.0	28734.0	34147.0	38036.0	24355.0	19580.0	36995.0	23281.0	37976.0	38197.0	32665.0	37288.0	26422.0	34826.0	32634.0	35782.0	34767.0	22321.0	35332.0	33385.0	37468.0	42029.0	22512.0	37108.0	41318.0	41426.0
BritoIL_2016__W1.41.ST__bin.35	49308.0	52877.0	41615.0	53298.0	48733.0	29422.0	29493.0	0.0	54585.0	21145.0	46909.0	44902.0	50885.0	48412.0	41096.0	50567.0	59781.0	30408.0	25604.0	51853.0	33115.0	52689.0	53497.0	43534.0	52072.0	35990.0	49611.0	46291.0	49932.0	51386.0	29364.0	52990.0	46923.0	54082.0	60518.0	29700.0	52523.0	58584.0	58971.0
FengQ_2015__SID31160__bin.57	50694.0	54121.0	45309.0	54422.0	52005.0	31390.0	38478.0	54585.0	0.0	53400.0	53075.0	49455.0	53436.0	50827.0	43821.0	54008.0	55593.0	32600.0	28797.0	52391.0	32265.0	55007.0	53882.0	50351.0	55689.0	39934.0	53630.0	48118.0	57540.0	51829.0	32956.0	54937.0	47142.0	56348.0	59981.0	33523.0	52790.0	59682.0	58399.0
BritoIL_2016__M1.22.ST__bin.76	44896.0	51370.0	41527.0	49798.0	46462.0	29182.0	29497.0	21145.0	53400.0	0.0	45752.0	43989.0	47794.0	47156.0	40459.0	48086.0	55088.0	29736.0	24321.0	50562.0	31875.0	51686.0	52656.0	42250.0	50469.0	36143.0	48352.0	43918.0	49250.0	48933.0	28474.0	50221.0	45262.0	50080.0	56649.0	28854.0	51237.0	55471.0	57462.0
