	LiJ_2014__MH0357__bin.61	BritoIL_2016__W2.47.ST__bin.34	QinJ_2012__T2D-073__bin.53	CosteaPI_2017__SID713A014-11-0-0__bin.28	BritoIL_2016__WL.5.ST__bin.6	CM_madagascar__A94_01_1FE__bin.15	BritoIL_2016__WL.44.ST__bin.12	LiJ_2014__MH0400__bin.25	CosteaPI_2017__SID713A058-11-0-0__bin.50	CosteaPI_2017__SID713B005-11-90-0__bin.30	LiuW_2016__SRR3993014__bin.77	LiJ_2014__V1.CD6-0-PT__bin.78	LiuW_2016__SRR3993042__bin.16	LiuW_2016__SRR3993060__bin.20	CosteaPI_2017__SID713A057-11-90-0__bin.8	LiJ_2014__V1.CD44-4__bin.14	CosteaPI_2017__SID713B003-11-0-0__bin.34	CosteaPI_2017__SID713B003-11-90-0__bin.67	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	CosteaPI_2017__SID713A049-11-0-0__bin.2	LiJ_2014__V1.CD44-0__bin.7	CosteaPI_2017__SID713A058-11-90-0__bin.42	CosteaPI_2017__SID713A038-11-90-0__bin.55	CM_madagascar__A72_01_1FE__bin.16	LiJ_2014__O2.UC16-1__bin.29	CosteaPI_2017__SID713B040-11-90-0__bin.114	KarlssonFH_2013__S468__bin.13	LiJ_2014__MH0222__bin.7	LiuW_2016__SRR3993051__bin.10	CosteaPI_2017__SID713B042-11-0-0__bin.61	LiuW_2016__SRR3993050__bin.66
LiJ_2014__MH0357__bin.61	0.0	41766.0	48654.0	45868.0	49141.0	40663.0	47400.0	39870.0	33678.0	42327.0	36356.0	57414.0	34117.0	47932.0	42562.0	45091.0	49358.0	45950.0	45899.0	37637.0	43510.0	39492.0	36395.0	51348.0	40818.0	39102.0	33292.0	15457.0	40863.0	32667.0	47602.0
BritoIL_2016__W2.47.ST__bin.34	41766.0	0.0	45642.0	48805.0	41808.0	41589.0	41737.0	52566.0	43124.0	52148.0	41499.0	61489.0	39376.0	48664.0	51998.0	50425.0	52928.0	52550.0	53906.0	45502.0	47564.0	49645.0	41560.0	45925.0	51166.0	46949.0	46256.0	47953.0	41423.0	38975.0	48164.0
QinJ_2012__T2D-073__bin.53	48654.0	45642.0	0.0	58131.0	53980.0	44571.0	54672.0	63141.0	48264.0	63380.0	45713.0	73672.0	43037.0	58891.0	62841.0	60199.0	64920.0	62818.0	65895.0	51180.0	55198.0	57222.0	48028.0	55354.0	60599.0	53646.0	51204.0	57046.0	48908.0	43653.0	56681.0
CosteaPI_2017__SID713A014-11-0-0__bin.28	45868.0	48805.0	58131.0	0.0	57373.0	49065.0	55636.0	56880.0	40582.0	48582.0	44749.0	72380.0	43219.0	57448.0	50638.0	58170.0	55293.0	52146.0	58343.0	42957.0	54263.0	47238.0	23931.0	60372.0	52495.0	43723.0	43322.0	47000.0	47029.0	35870.0	56273.0
BritoIL_2016__WL.5.ST__bin.6	49141.0	41808.0	53980.0	57373.0	0.0	44618.0	50520.0	61458.0	46005.0	58038.0	45882.0	68781.0	43288.0	58575.0	58010.0	56675.0	62162.0	58926.0	61049.0	49254.0	52582.0	53280.0	46692.0	56472.0	56249.0	52443.0	47169.0	51883.0	48490.0	41891.0	55525.0
CM_madagascar__A94_01_1FE__bin.15	40663.0	41589.0	44571.0	49065.0	44618.0	0.0	43164.0	49391.0	41880.0	50456.0	40551.0	64064.0	39201.0	48612.0	50639.0	49683.0	51295.0	51271.0	50390.0	42588.0	46478.0	48670.0	40688.0	44944.0	49207.0	45340.0	44627.0	45464.0	41209.0	36095.0	46705.0
BritoIL_2016__WL.44.ST__bin.12	47400.0	41737.0	54672.0	55636.0	50520.0	43164.0	0.0	59967.0	44533.0	59362.0	43992.0	71934.0	42917.0	57445.0	58162.0	59434.0	62304.0	61083.0	61501.0	47279.0	54530.0	52411.0	44415.0	54280.0	57569.0	50824.0	49230.0	52048.0	44881.0	41699.0	55408.0
LiJ_2014__MH0400__bin.25	39870.0	52566.0	63141.0	56880.0	61458.0	49391.0	59967.0	0.0	42842.0	55739.0	46064.0	75617.0	42706.0	61975.0	55636.0	58110.0	64198.0	60066.0	58052.0	47207.0	54413.0	50862.0	45135.0	62891.0	51614.0	48069.0	42126.0	40651.0	50058.0	38293.0	60550.0
CosteaPI_2017__SID713A058-11-0-0__bin.50	33678.0	43124.0	48264.0	40582.0	46005.0	41880.0	44533.0	42842.0	0.0	40506.0	38839.0	60413.0	39075.0	43220.0	928.0	44944.0	39198.0	38934.0	44059.0	25463.0	43071.0	734.0	36659.0	46896.0	41231.0	36361.0	36409.0	37033.0	40102.0	29715.0	46363.0
CosteaPI_2017__SID713B005-11-90-0__bin.30	42327.0	52148.0	63380.0	48582.0	58038.0	50456.0	59362.0	55739.0	40506.0	0.0	45728.0	74482.0	42467.0	55159.0	53704.0	59597.0	49462.0	48341.0	59146.0	44144.0	54345.0	49096.0	40251.0	61384.0	52771.0	45640.0	41855.0	48501.0	46867.0	15193.0	61204.0
LiuW_2016__SRR3993014__bin.77	36356.0	41499.0	45713.0	44749.0	45882.0	40551.0	43992.0	46064.0	38839.0	45728.0	0.0	61068.0	41314.0	10119.0	44922.0	46243.0	45213.0	44239.0	46600.0	39058.0	45131.0	42187.0	38707.0	47724.0	42380.0	40893.0	39783.0	40563.0	41636.0	33877.0	44456.0
LiJ_2014__V1.CD6-0-PT__bin.78	57414.0	61489.0	73672.0	72380.0	68781.0	64064.0	71934.0	75617.0	60413.0	74482.0	61068.0	0.0	55666.0	72918.0	74071.0	74426.0	76755.0	76075.0	76149.0	64099.0	71772.0	69715.0	59984.0	71264.0	71486.0	66656.0	60266.0	67254.0	60077.0	54140.0	75872.0
LiuW_2016__SRR3993042__bin.16	34117.0	39376.0	43037.0	43219.0	43288.0	39201.0	42917.0	42706.0	39075.0	42467.0	41314.0	55666.0	0.0	44317.0	42925.0	44743.0	44020.0	43574.0	43613.0	38012.0	43101.0	40890.0	37186.0	45750.0	42358.0	40889.0	35895.0	37580.0	40816.0	32359.0	40648.0
LiuW_2016__SRR3993060__bin.20	47932.0	48664.0	58891.0	57448.0	58575.0	48612.0	57445.0	61975.0	43220.0	55159.0	10119.0	72918.0	44317.0	0.0	55594.0	58710.0	60234.0	56673.0	62053.0	45085.0	53006.0	50558.0	44888.0	59778.0	53284.0	48159.0	47334.0	49099.0	46448.0	40319.0	55940.0
CosteaPI_2017__SID713A057-11-90-0__bin.8	42562.0	51998.0	62841.0	50638.0	58010.0	50639.0	58162.0	55636.0	928.0	53704.0	44922.0	74071.0	42925.0	55594.0	0.0	58714.0	54256.0	51876.0	59162.0	31268.0	53391.0	603.0	42057.0	61482.0	54084.0	45394.0	45127.0	48966.0	46164.0	36638.0	61293.0
LiJ_2014__V1.CD44-4__bin.14	45091.0	50425.0	60199.0	58170.0	56675.0	49683.0	59434.0	58110.0	44944.0	59597.0	46243.0	74426.0	44743.0	58710.0	58714.0	0.0	61429.0	60031.0	60893.0	48782.0	696.0	53165.0	44842.0	58965.0	56083.0	52511.0	48376.0	53011.0	46199.0	41368.0	61002.0
CosteaPI_2017__SID713B003-11-0-0__bin.34	49358.0	52928.0	64920.0	55293.0	62162.0	51295.0	62304.0	64198.0	39198.0	49462.0	45213.0	76755.0	44020.0	60234.0	54256.0	61429.0	0.0	817.0	67519.0	41032.0	55399.0	47035.0	44714.0	66070.0	55645.0	46105.0	46721.0	50477.0	49660.0	34976.0	63567.0
