	LiJ_2014__MH0357__bin.61	BritoIL_2016__W2.47.ST__bin.34	QinJ_2012__T2D-073__bin.53	CosteaPI_2017__SID713A014-11-0-0__bin.28	BritoIL_2016__WL.5.ST__bin.6	CM_madagascar__A94_01_1FE__bin.15	BritoIL_2016__WL.44.ST__bin.12	LiJ_2014__MH0400__bin.25	CosteaPI_2017__SID713A058-11-0-0__bin.50	CosteaPI_2017__SID713B005-11-90-0__bin.30	LiuW_2016__SRR3993014__bin.77	LiJ_2014__V1.CD6-0-PT__bin.78	LiuW_2016__SRR3993042__bin.16	LiuW_2016__SRR3993060__bin.20	CosteaPI_2017__SID713A057-11-90-0__bin.8	LiJ_2014__V1.CD44-4__bin.14	CosteaPI_2017__SID713B003-11-0-0__bin.34	CosteaPI_2017__SID713B003-11-90-0__bin.67	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	CosteaPI_2017__SID713A049-11-0-0__bin.2	LiJ_2014__V1.CD44-0__bin.7	CosteaPI_2017__SID713A058-11-90-0__bin.42	CosteaPI_2017__SID713A038-11-90-0__bin.55	CM_madagascar__A72_01_1FE__bin.16	LiJ_2014__O2.UC16-1__bin.29	CosteaPI_2017__SID713B040-11-90-0__bin.114	KarlssonFH_2013__S468__bin.13	LiJ_2014__MH0222__bin.7	LiuW_2016__SRR3993051__bin.10	CosteaPI_2017__SID713B042-11-0-0__bin.61	LiuW_2016__SRR3993050__bin.66
LiJ_2014__MH0357__bin.61	1.0	0.5753017132458182	0.728312753009142	0.8144250044197008	0.7816747719484338	0.6114688488502286	0.7153163357134795	0.8991069707420801	0.6035378581081284	0.7358537114000314	0.6155070070984889	0.6454346238859607	0.5564932645757736	0.8578589271463515	0.736535394062519	0.7217910725040676	0.9002890534249436	0.7875317494324305	0.8676556808386745	0.6412681195246899	0.6934051072763756	0.6704241614304449	0.6571605644831846	0.8122216462461508	0.6924767204122257	0.6552308781770657	0.549791300231023	0.6998728524499126	0.7000276668274739	0.5921010708160915	0.7348928634567153
BritoIL_2016__W2.47.ST__bin.34	0.652149151882231	1.0	0.87688068834453	0.8612532204585378	0.8157911869119885	0.7955708682033537	0.8409978029269022	0.8376464314403934	0.756116960600439	0.8386224051638295	0.7601725729871532	0.788046133440064	0.7033430496687973	0.8434960465704769	0.8799852358499378	0.8481874005415408	0.894678056046027	0.889193015787111	0.8771631772586801	0.7639672086415566	0.8092429919821833	0.8404316928785054	0.7442507278759948	0.8073391638894251	0.8211584762808382	0.805555351126927	0.7190118435883225	0.7810258027298959	0.7530616646692417	0.6338819128405647	0.8918990218184474
QinJ_2012__T2D-073__bin.53	0.5652970560497521	0.6004101815892734	1.0	0.7622826748863202	0.7314849449557395	0.6470449831442578	0.7613364896099865	0.7528917569470582	0.603494877381598	0.7536809553176504	0.6268134410250586	0.6622397651320842	0.5747674364968585	0.7679904086814922	0.7648882698996409	0.763770368081965	0.8317658546115194	0.8007289619134261	0.798229962947214	0.611797352774385	0.711151070631316	0.6863765987953484	0.6252497739194746	0.7281742655435449	0.7051320763785873	0.6585794506853738	0.5721412975180952	0.665144991943277	0.654573765046032	0.5136960415654812	0.7768433072993485
CosteaPI_2017__SID713A014-11-0-0__bin.28	0.630247414552706	0.5879488784801125	0.7600063380172827	1.0	0.7801488661132495	0.6466644251727497	0.7496046468487688	0.8176169827946019	0.6254784430119495	0.7336726491366384	0.6509916678260601	0.6545370928596825	0.5905072732612964	0.8414208752647281	0.7707338187327057	0.7695392570607058	0.8949021471965867	0.8240767363848568	0.8435104886456739	0.6298002751627015	0.71795050163088	0.6986118196293032	0.6884049065528915	0.7979842013325295	0.7197912318941397	0.6868845553339826	0.5705664796178639	0.6602718391071124	0.7058510720524356	0.5557467266459521	0.7907318091174698
BritoIL_2016__WL.5.ST__bin.6	0.6417279979270847	0.5908165260875322	0.7736980013341113	0.8276417677670692	1.0	0.6387358824670152	0.7579104718711217	0.8227866524919057	0.6073240000213195	0.7274407491030418	0.6346568804510886	0.638788361335046	0.5727252563162213	0.8397225671842258	0.7468706400002952	0.7478152596248498	0.8845063111988674	0.8039114796293844	0.8501716017985492	0.6209275065936828	0.6999840513440125	0.6780966734547536	0.649298894622843	0.8134318842742562	0.697969354801017	0.6660605630736545	0.5493352608384238	0.6583359196942122	0.6931535986768764	0.5378063095179038	0.7665350458390612
CM_madagascar__A94_01_1FE__bin.15	0.6338721885085414	0.727536800602187	0.8641776410133224	0.8662562007345107	0.8065360478684798	1.0	0.8271803133732928	0.8212345454037169	0.7384286606206377	0.8091773459251428	0.7556659518975205	0.7677335053473084	0.6856715533959472	0.8488356441671421	0.8453929487385239	0.857649979861526	0.8903498917492311	0.892598256598327	0.8492026924466745	0.7130754090077479	0.8240699804206404	0.8106797071482782	0.7258760236194791	0.815232865989586	0.7924950275053245	0.7943302689029864	0.6956962683252348	0.743848446852548	0.749018184679643	0.5906738675085135	0.8775347815778003
BritoIL_2016__WL.44.ST__bin.12	0.5997793247840879	0.6220666841141063	0.822453179795865	0.8122049725202828	0.7740809212248103	0.6690617115938237	1.0	0.7942071708976708	0.6260229259356189	0.7717866527087149	0.6544167495420047	0.6905069876995551	0.6008986129285528	0.8173805809997382	0.7867180319288145	0.8002910232923318	0.8759918345982727	0.8562562679926721	0.8268239727819943	0.639772624967286	0.740732164354881	0.6994030881968072	0.649546820204135	0.7718268516095264	0.7314449620518189	0.694076315100759	0.5978393090813923	0.6863263020151793	0.6771433656110966	0.5425670766814971	0.8331611619994765
LiJ_2014__MH0400__bin.25	0.6579864416864235	0.5407730702025926	0.7098708016757663	0.7732065239836107	0.7334456309725125	0.5797562368863755	0.6931800198890351	1.0	0.5706095466637624	0.7289839378315982	0.5909495753387659	0.6297701065828613	0.5283681890927537	0.8239228325903879	0.704273949713122	0.6996105155324155	0.8774302577205236	0.7811935687003163	0.8384792526517799	0.592243714871202	0.6616773524850879	0.6381405323697519	0.609068259738665	0.7500315220374676	0.6763350085392742	0.6259132710884258	0.5351012962958226	0.6393531714458949	0.6565121240151875	0.5311655186553813	0.7131337437106683
CosteaPI_2017__SID713A058-11-0-0__bin.50	0.6760714423571257	0.7471809448261241	0.8709693119194973	0.9053999094859102	0.8286738343234127	0.7979382031554623	0.8363440363354212	0.8734167726300608	1.0	0.8649219861409391	0.8301971338696675	0.7849350541825845	0.7701165886369574	0.9095989129358508	0.9577694150764698	0.8759727607412757	0.935053063745303	0.9279752870801485	0.8935133620166404	0.7820629940024627	0.8420534726810239	0.9221634769493955	0.79591142597732	0.8478501784828205	0.856080359505406	0.829223184361761	0.7230727575525842	0.783999704626456	0.829860363275894	0.6478722196147053	0.9074227707269155
CosteaPI_2017__SID713B005-11-90-0__bin.30	0.6068380644401374	0.6100936776444599	0.8007741811134075	0.781850440300579	0.730725163645529	0.6437210114516864	0.7590759741923155	0.8214737858271893	0.6367518164303653	1.0	0.6513075580471098	0.699165689914065	0.5939441064134551	0.7835299331085773	0.8089282463673452	0.7766900565624185	0.8712436895467017	0.8514106009849619	0.8292279522295904	0.6658682417711853	0.7113739305485657	0.7384056102802422	0.6477508881378716	0.749556651788178	0.7477560773505691	0.711277971297888	0.6183762376890047	0.7184576177230558	0.6753990957590954	0.6018955452668202	0.8144036894478596
