	LiJ_2014__MH0357__bin.61	BritoIL_2016__W2.47.ST__bin.34	QinJ_2012__T2D-073__bin.53	CosteaPI_2017__SID713A014-11-0-0__bin.28	BritoIL_2016__WL.5.ST__bin.6	CM_madagascar__A94_01_1FE__bin.15	BritoIL_2016__WL.44.ST__bin.12	LiJ_2014__MH0400__bin.25	CosteaPI_2017__SID713A058-11-0-0__bin.50	CosteaPI_2017__SID713B005-11-90-0__bin.30	LiuW_2016__SRR3993014__bin.77	LiJ_2014__V1.CD6-0-PT__bin.78	LiuW_2016__SRR3993042__bin.16	LiuW_2016__SRR3993060__bin.20	CosteaPI_2017__SID713A057-11-90-0__bin.8	LiJ_2014__V1.CD44-4__bin.14	CosteaPI_2017__SID713B003-11-0-0__bin.34	CosteaPI_2017__SID713B003-11-90-0__bin.67	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	CosteaPI_2017__SID713A049-11-0-0__bin.2	LiJ_2014__V1.CD44-0__bin.7	CosteaPI_2017__SID713A058-11-90-0__bin.42	CosteaPI_2017__SID713A038-11-90-0__bin.55	CM_madagascar__A72_01_1FE__bin.16	LiJ_2014__O2.UC16-1__bin.29	CosteaPI_2017__SID713B040-11-90-0__bin.114	KarlssonFH_2013__S468__bin.13	LiJ_2014__MH0222__bin.7	LiuW_2016__SRR3993051__bin.10	CosteaPI_2017__SID713B042-11-0-0__bin.61	LiuW_2016__SRR3993050__bin.66
LiJ_2014__MH0357__bin.61	2002398.0	1193749.0	1507026.0	1676671.0	1614365.0	1265067.0	1479748.0	1840240.0	1242201.0	1515799.0	1268846.0	1349831.0	1148438.0	1765707.0	1517399.0	1490404.0	1852095.0	1622902.0	1783291.0	1321711.0	1431983.0	1381948.0	1352292.0	1677739.0	1427432.0	1351135.0	1134193.0	1416881.0	1442597.0	1218289.0	1519150.0
BritoIL_2016__W2.47.ST__bin.34	1193749.0	1766441.0	1594600.0	1570158.0	1482855.0	1446918.0	1527310.0	1532219.0	1378760.0	1533525.0	1384299.0	1453526.0	1281790.0	1538650.0	1606440.0	1548698.0	1633324.0	1623257.0	1603363.0	1395005.0	1477044.0	1534218.0	1356235.0	1472042.0	1501694.0	1469915.0	1316348.0	1427589.0	1371662.0	1158690.0	1623651.0
QinJ_2012__T2D-073__bin.53	1507026.0	1594600.0	2579833.0	2024693.0	1941089.0	1713839.0	2018793.0	2005476.0	1605180.0	2007751.0	1662787.0	1782140.0	1525841.0	2040178.0	2036125.0	2030599.0	2210737.0	2128565.0	2125195.0	1629515.0	1889849.0	1827959.0	1661068.0	1933922.0	1879722.0	1752671.0	1527233.0	1773009.0	1737599.0	1368903.0	2060807.0
CosteaPI_2017__SID713A014-11-0-0__bin.28	1676671.0	1570158.0	2024693.0	2587560.0	2076055.0	1722348.0	1995283.0	2172513.0	1659045.0	1947004.0	1729229.0	1766034.0	1571192.0	2234675.0	2044958.0	2049399.0	2370906.0	2184494.0	2240977.0	1672603.0	1912003.0	1854938.0	1805220.0	2125204.0	1914998.0	1821078.0	1519697.0	1755493.0	1873461.0	1473898.0	2102339.0
BritoIL_2016__WL.5.ST__bin.6	1614365.0	1482855.0	1941089.0	2076055.0	2439077.0	1602544.0	1899122.0	2068298.0	1527315.0	1832322.0	1593859.0	1626835.0	1440209.0	2106723.0	1879685.0	1880654.0	2219541.0	2019728.0	2134683.0	1563744.0	1759897.0	1707210.0	1630382.0	2040495.0	1758650.0	1677016.0	1387040.0	1657615.0	1739145.0	1353642.0	1925163.0
CM_madagascar__A94_01_1FE__bin.15	1265067.0	1446918.0	1713839.0	1722348.0	1602544.0	1931626.0	1640967.0	1635709.0	1468248.0	1613484.0	1500215.0	1547038.0	1363662.0	1688245.0	1683622.0	1706342.0	1771118.0	1775437.0	1690732.0	1419983.0	1638273.0	1614600.0	1442809.0	1619669.0	1580011.0	1579689.0	1388452.0	1482301.0	1488032.0	1177056.0	1741774.0
BritoIL_2016__WL.44.ST__bin.12	1479748.0	1527310.0	2018793.0	1995283.0	1899122.0	1640967.0	2388125.0	1956633.0	1539554.0	1902485.0	1606821.0	1720951.0	1477938.0	2009452.0	1936943.0	1970629.0	2154282.0	2105930.0	2036060.0	1575136.0	1823491.0	1722673.0	1595614.0	1897499.0	1804351.0	1708365.0	1476945.0	1691081.0	1661984.0	1337417.0	2045101.0
LiJ_2014__MH0400__bin.25	1840240.0	1532219.0	2005476.0	2172513.0	2068298.0	1635709.0	1956633.0	2736181.0	1604133.0	2050371.0	1663009.0	1798782.0	1488417.0	2316377.0	1982657.0	1972371.0	2465006.0	2197553.0	2352283.0	1667693.0	1864882.0	1796930.0	1711656.0	2115113.0	1902189.0	1760681.0	1506260.0	1790037.0	1846394.0	1491658.0	2011813.0
CosteaPI_2017__SID713A058-11-0-0__bin.50	1242201.0	1378760.0	1605180.0	1659045.0	1527315.0	1468248.0	1539554.0	1604133.0	1787567.0	1586612.0	1522872.0	1463537.0	1415710.0	1669189.0	1713005.0	1610804.0	1710668.0	1697752.0	1641274.0	1423453.0	1548298.0	1649163.0	1459404.0	1562485.0	1571532.0	1518653.0	1328950.0	1438485.0	1523533.0	1187830.0	1668442.0
CosteaPI_2017__SID713B005-11-90-0__bin.30	1515799.0	1533525.0	2007751.0	1947004.0	1832322.0	1613484.0	1902485.0	2050371.0	1586612.0	2428114.0	1627177.0	1772136.0	1484631.0	1957659.0	2017874.0	1945489.0	2164941.0	2115663.0	2072606.0	1660948.0	1781642.0	1842029.0	1613064.0	1881393.0	1868408.0	1772704.0	1543343.0	1792998.0	1686813.0	1476664.0	2038669.0
