	QinN_2014__LD-24__bin.3	HMP_2012__SRS017511__bin.37	BritoIL_2016__W1.9.SA__bin.3	CM_periimplantitis__SP_184SPT_T016__bin.15	HMP_2012__SRS014477__bin.4	CM_periimplantitis__SP_385SPI_T016__bin.1	ZellerG_2014__CCIS35100175ST-4-0__bin.56	CM_periimplantitis__SP_384SPI_T016__bin.6	HMP_2012__SRS048411__bin.62	CM_cf__CF_TNFC041IS_t3M15__bin.7	HMP_2012__SRS055401__bin.1	FengQ_2015__SID31874__bin.79	YuJ_2015__SZAXPI017464-37__bin.5	CM_periimplantitis__SP_305SPI_T016__bin.4	BritoIL_2016__W2.8.SA__bin.15	FengQ_2015__SID530373__bin.76	YuJ_2015__SZAXPI003409-8__bin.1	HMP_2012__SRS015062__bin.1	HMP_2012__SRS015061__bin.7	HMP_2012__SRS023595__bin.55	ZellerG_2014__CCMD18872694ST-21-0__bin.29	HMP_2012__SRS049318__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.62	HMP_2012__SRS063603__bin.8	LiJ_2014__V1.FI17__bin.37	HMP_2012__SRS022149__bin.24	YuJ_2015__SZAXPI015217-140__bin.30	HMP_2012__SRS016746__bin.33	HMP_2012__SRS020226__bin.31	YuJ_2015__SZAXPI003412-1__bin.20	CM_periimplantitis__SP_186SPI_T016_R__bin.1
QinN_2014__LD-24__bin.3	1.0	0.9674721009329544	0.9703222090895535	0.9670501823411577	0.9675635783750716	0.9678776035065241	0.966457317020148	0.9671985420619946	0.9666647058937602	0.9672978198923515	0.9672757178063053	0.9676518568015994	0.9674654804730414	0.9688200343652206	0.9666418569628868	0.9880781108963075	0.9668999117562982	0.9678039715519102	0.967905178314843	0.9666709683673177	0.9671422960416229	0.9667984597358091	0.9669224254751905	0.9680346934192546	0.9672944460878065	0.9673185063840455	0.9670731522750834	0.9679045762579626	0.9669773358260568	0.9674930077070097	0.9684468087969462
HMP_2012__SRS017511__bin.37	0.9674721009329544	1.0	0.9713190492296682	0.9668095098863345	0.9680642746511268	0.9676566944247076	0.9673592685909816	0.967104832775589	0.968270155262358	0.9677076101347504	0.9675489888564393	0.9678578591532739	0.9681038013955607	0.9681972367140926	0.96751801167512	0.9674881591273211	0.9672198419352817	0.9681615917314614	0.9680674437868402	0.9678217178987778	0.9674733330537144	0.9674759933681735	0.9674930900672543	0.9679888129831244	0.9679243882684359	0.9676372913639237	0.9660847125376896	0.9684160915050077	0.9681438593306275	0.9680305450045656	0.9695294471969594
BritoIL_2016__W1.9.SA__bin.3	0.9703222090895535	0.9713190492296682	1.0	0.9698855329611908	0.9716576900997839	0.9717294219241734	0.9712980730250533	0.9701307210955673	0.9720554247237677	0.9708782918228578	0.9698334207756142	0.9704324584067098	0.9719012593096573	0.9709659651404867	0.9703536378738379	0.9697504652476333	0.9707782612083936	0.9715859318273835	0.9713413587367369	0.970341770750367	0.9717342714580284	0.9720829708347147	0.9712051761750771	0.9709412323561346	0.9713925316908231	0.9701984334273064	0.9719212678264625	0.970384615951633	0.9701398044139671	0.9714851638750837	0.9718598010267151
CM_periimplantitis__SP_184SPT_T016__bin.15	0.9670501823411577	0.9668095098863345	0.9698855329611908	1.0	0.9670118390401123	0.9676032433504138	0.9674110421378386	0.9999099391088309	0.9668841371138935	0.9906752938855705	0.9815895174863445	0.9680572095170973	0.9670795930031757	0.9679927531497764	0.9675540056751727	0.9646862113319707	0.9672757255751364	0.9673769918099444	0.9667136080415432	0.9681475086573758	0.9667894891431186	0.9672098807397504	0.9661134176147862	0.9670604806472521	0.9677093452792438	0.9674436351734119	0.9652733266974678	0.9681571272774152	0.9672451052171654	0.967034535187906	0.9677165894375611
HMP_2012__SRS014477__bin.4	0.9675635783750716	0.9680642746511268	0.9716576900997839	0.9670118390401123	1.0	0.9681967169863982	0.9675375258768346	0.9671581091812145	0.9686230456287495	0.9674108415538307	0.9663900336852406	0.9678660687593423	0.9726129500453335	0.9683904436224905	0.9664196493826982	0.9672745794250405	0.9682335345304756	0.9998335666226563	0.9997736767608238	0.9671115437660568	0.9668521486377527	0.9671956067538162	0.9669132563067575	0.9676168446498582	0.9682421235292251	0.9675259137960621	0.9661126468254314	0.9691016712591912	0.967582521273155	0.9681571452148389	0.993269297146971
CM_periimplantitis__SP_385SPI_T016__bin.1	0.9678776035065241	0.9676566944247076	0.9717294219241734	0.9676032433504138	0.9681967169863982	1.0	0.9691205256313736	0.9678459205245472	0.9683428860639682	0.9675223964023106	0.966833384226062	0.9682076195025952	0.9693216659393077	0.9696674333867628	0.9674486920229809	0.9669635568859699	0.9694114186989984	0.9682959817236402	0.9665042531250512	0.9680850265107207	0.9729225440554508	0.9684875910053571	0.9673305391754115	0.9684317301728802	0.9695096348316017	0.9676299715113892	0.9694742124636714	0.9681847001939333	0.9664050973377378	0.9690747913758179	0.9687927590925142
ZellerG_2014__CCIS35100175ST-4-0__bin.56	0.966457317020148	0.9673592685909816	0.9712980730250533	0.9674110421378386	0.9675375258768346	0.9691205256313736	1.0	0.9674087024985591	0.9689780414994673	0.9681344063970152	0.9666432851002201	0.9673818795531436	0.9683695195292675	0.9684493394507739	0.966923763596775	0.9649781497624904	0.9810989871524147	0.9671939790888402	0.9660499093824062	0.9674518480793798	0.9685083428656978	0.9691324934486003	0.9678634711647687	0.966388097542491	0.969591634415915	0.9669795233711969	0.9666200232751687	0.9673291414171585	0.9670261548026989	0.9685289496782823	0.9682212032700749
CM_periimplantitis__SP_384SPI_T016__bin.6	0.9671985420619946	0.967104832775589	0.9701307210955673	0.9999099391088309	0.9671581091812145	0.9678459205245472	0.9674087024985591	1.0	0.9672588068898978	0.990956901036074	0.9826621327163267	0.9683635667703745	0.96717729927575	0.9678381259963953	0.9674306375003844	0.9666010806385855	0.9676316781512457	0.9676071136670723	0.9672885079289532	0.9681647728614236	0.9669946880044618	0.9670772107652136	0.9665519528583926	0.9679798804074151	0.9676456629282664	0.9679041062743151	0.9666773601963949	0.9683938423676111	0.968159738054292	0.9672562466395463	0.9678558543909838
HMP_2012__SRS048411__bin.62	0.9666647058937602	0.968270155262358	0.9720554247237677	0.9668841371138935	0.9686230456287495	0.9683428860639682	0.9689780414994673	0.9672588068898978	1.0	0.9677087914795302	0.9673311829919686	0.9681099055301524	0.9687316383012359	0.9685536729497448	0.9672031711006495	0.9669740116682306	0.9688998726328314	0.9686141444681271	0.9682737770669798	0.967587005840614	0.9684015190846813	0.9691042143433244	0.968929871311393	0.9678176870584119	0.9688185951281508	0.9679562557421352	0.9669142041964124	0.9687349965354517	0.9673967184188347	0.9687225996049526	0.9690932389927467
CM_cf__CF_TNFC041IS_t3M15__bin.7	0.9672978198923515	0.9677076101347504	0.9708782918228578	0.9906752938855705	0.9674108415538307	0.9675223964023106	0.9681344063970152	0.990956901036074	0.9677087914795302	1.0	0.9835260593506187	0.9683711499265024	0.9675271426173744	0.9684504718180637	0.9678633842535913	0.966959394759473	0.96762421361406	0.9674967502954982	0.9671319193156748	0.9681060925498756	0.9674074620888833	0.9677275743850017	0.9668151496882577	0.9679497464571325	0.9680265324759186	0.9682803738972378	0.9668942052535091	0.9690540716709652	0.9680690982370044	0.9677971276897777	0.9688562897161883
