	QinN_2014__LD-24__bin.3	HMP_2012__SRS017511__bin.37	BritoIL_2016__W1.9.SA__bin.3	CM_periimplantitis__SP_184SPT_T016__bin.15	HMP_2012__SRS014477__bin.4	CM_periimplantitis__SP_385SPI_T016__bin.1	ZellerG_2014__CCIS35100175ST-4-0__bin.56	CM_periimplantitis__SP_384SPI_T016__bin.6	HMP_2012__SRS048411__bin.62	CM_cf__CF_TNFC041IS_t3M15__bin.7	HMP_2012__SRS055401__bin.1	FengQ_2015__SID31874__bin.79	YuJ_2015__SZAXPI017464-37__bin.5	CM_periimplantitis__SP_305SPI_T016__bin.4	BritoIL_2016__W2.8.SA__bin.15	FengQ_2015__SID530373__bin.76	YuJ_2015__SZAXPI003409-8__bin.1	HMP_2012__SRS015062__bin.1	HMP_2012__SRS015061__bin.7	HMP_2012__SRS023595__bin.55	ZellerG_2014__CCMD18872694ST-21-0__bin.29	HMP_2012__SRS049318__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.62	HMP_2012__SRS063603__bin.8	LiJ_2014__V1.FI17__bin.37	HMP_2012__SRS022149__bin.24	YuJ_2015__SZAXPI015217-140__bin.30	HMP_2012__SRS016746__bin.33	HMP_2012__SRS020226__bin.31	YuJ_2015__SZAXPI003412-1__bin.20	CM_periimplantitis__SP_186SPI_T016_R__bin.1
QinN_2014__LD-24__bin.3	1989339.0	1752926.0	1361321.0	1440706.0	1853657.0	1301802.0	1839984.0	1862905.0	1547009.0	1768720.0	1800834.0	1848205.0	1856920.0	1182009.0	1726475.0	1156612.0	1609180.0	1821001.0	1621570.0	1712501.0	1858590.0	1609594.0	1810169.0	1830203.0	1467182.0	1850864.0	1057192.0	1627771.0	1519623.0	1743348.0	891764.0
HMP_2012__SRS017511__bin.37	1752926.0	2095510.0	1428021.0	1532216.0	1954363.0	1352521.0	1945177.0	1971931.0	1612110.0	1873909.0	1887368.0	1939541.0	1960359.0	1225208.0	1828675.0	1142230.0	1691206.0	1905246.0	1665980.0	1771350.0	1955042.0	1689429.0	1902334.0	1914362.0	1549495.0	1948848.0	1076889.0	1735599.0	1542340.0	1871599.0	942976.0
BritoIL_2016__W1.9.SA__bin.3	1361321.0	1428021.0	1709795.0	1203840.0	1531209.0	1107052.0	1554042.0	1526150.0	1278996.0	1439476.0	1488601.0	1502526.0	1538859.0	964041.0	1388737.0	888774.0	1360186.0	1494295.0	1328116.0	1399915.0	1524744.0	1348281.0	1531942.0	1473600.0	1233559.0	1504686.0	852104.0	1356626.0	1227286.0	1469656.0	741004.0
CM_periimplantitis__SP_184SPT_T016__bin.15	1440706.0	1532216.0	1203840.0	1814249.0	1629524.0	1170148.0	1642182.0	1798783.0	1348689.0	1652599.0	1646399.0	1645880.0	1635885.0	1025549.0	1573168.0	860627.0	1423836.0	1588756.0	1317956.0	1443278.0	1630809.0	1317958.0	1603437.0	1586028.0	1313476.0	1658969.0	869015.0	1435015.0	1354912.0	1562696.0	831077.0
HMP_2012__SRS014477__bin.4	1853657.0	1954363.0	1531209.0	1629524.0	2359383.0	1440323.0	2098885.0	2106791.0	1747429.0	1978388.0	2019282.0	2090625.0	2188224.0	1289610.0	1933333.0	1223147.0	1819277.0	2241137.0	1895519.0	1912738.0	2109639.0	1800582.0	2077811.0	2033619.0	1638932.0	2115379.0	1146770.0	1810551.0	1647969.0	1975294.0	1014010.0
CM_periimplantitis__SP_385SPI_T016__bin.1	1301802.0	1352521.0	1107052.0	1170148.0	1440323.0	1636873.0	1461100.0	1439413.0	1217104.0	1373993.0	1424565.0	1435973.0	1438996.0	940804.0	1331713.0	883267.0	1271651.0	1426980.0	1282939.0	1331914.0	1477059.0	1264486.0	1442295.0	1415662.0	1195558.0	1446894.0	820978.0	1290134.0	1225424.0	1365973.0	724992.0
ZellerG_2014__CCIS35100175ST-4-0__bin.56	1839984.0	1945177.0	1554042.0	1642182.0	2098885.0	1461100.0	2398515.0	2118541.0	1743926.0	1991929.0	2027238.0	2066704.0	2110243.0	1265235.0	1905507.0	1236371.0	1935928.0	2044076.0	1793250.0	1869292.0	2137455.0	1807629.0	2154153.0	2047846.0	1667403.0	2084767.0	1146286.0	1824623.0	1629261.0	2033615.0	980528.0
CM_periimplantitis__SP_384SPI_T016__bin.6	1862905.0	1971931.0	1526150.0	1798783.0	2106791.0	1439413.0	2118541.0	2335518.0	1735062.0	2095410.0	2136768.0	2137093.0	2134346.0	1287767.0	1983889.0	1241118.0	1825056.0	2056717.0	1781698.0	1948282.0	2122931.0	1795747.0	2080540.0	2094277.0	1637153.0	2177911.0	1165814.0	1839863.0	1671186.0	1971460.0	984005.0
HMP_2012__SRS048411__bin.62	1547009.0	1612110.0	1278996.0	1348689.0	1747429.0	1217104.0	1743926.0	1735062.0	1950576.0	1643853.0	1665472.0	1706047.0	1764883.0	1088267.0	1602472.0	1029462.0	1526296.0	1704016.0	1505663.0	1574492.0	1737362.0	1525030.0	1719111.0	1657370.0	1375371.0	1711036.0	975071.0	1522565.0	1369218.0	1660560.0	815485.0
CM_cf__CF_TNFC041IS_t3M15__bin.7	1768720.0	1873909.0	1439476.0	1652599.0	1978388.0	1373993.0	1991929.0	2095410.0	1643853.0	2127700.0	1971538.0	1988501.0	1984057.0	1238719.0	1857414.0	1147709.0	1717827.0	1934022.0	1666693.0	1814265.0	1977784.0	1689151.0	1945677.0	1938331.0	1570302.0	1998731.0	1075129.0	1741263.0	1586958.0	1866790.0	948763.0
HMP_2012__SRS055401__bin.1	1800834.0	1887368.0	1488601.0	1646399.0	2019282.0	1424565.0	2027238.0	2136768.0	1665472.0	1971538.0	2334669.0	2042013.0	2018802.0	1249370.0	1886921.0	1196279.0	1757801.0	1973652.0	1726441.0	1874727.0	2027368.0	1730183.0	1994943.0	2008002.0	1574787.0	2067041.0	1128007.0	1769315.0	1640347.0	1882680.0	947360.0
FengQ_2015__SID31874__bin.79	1848205.0	1939541.0	1502526.0	1645880.0	2090625.0	1435973.0	2066704.0	2137093.0	1706047.0	1988501.0	2042013.0	2273463.0	2086908.0	1276907.0	1999285.0	1213321.0	1785155.0	2050080.0	1756732.0	1966251.0	2079705.0	1770915.0	2041861.0	2049722.0	1611658.0	2194056.0	1141443.0	1807202.0	1691953.0	1930962.0	980127.0
YuJ_2015__SZAXPI017464-37__bin.5	1856920.0	1960359.0	1538859.0	1635885.0	2188224.0	1438996.0	2110243.0	2134346.0	1764883.0	1984057.0	2018802.0	2086908.0	2379503.0	1287725.0	1935886.0	1232565.0	1827525.0	2148987.0	1852084.0	1894952.0	2108789.0	1802575.0	2091314.0	2040803.0	1650204.0	2110839.0	1160228.0	1836274.0	1627357.0	1976078.0	1000541.0
CM_periimplantitis__SP_305SPI_T016__bin.4	1182009.0	1225208.0	964041.0	1025549.0	1289610.0	940804.0	1265235.0	1287767.0	1088267.0	1238719.0	1249370.0	1276907.0	1287725.0	1358615.0	1208326.0	760798.0	1119103.0	1257833.0	1129971.0	1192188.0	1263902.0	1122046.0	1243592.0	1262188.0	1047110.0	1282289.0	712376.0	1160829.0	1073603.0	1219584.0	672406.0
BritoIL_2016__W2.8.SA__bin.15	1726475.0	1828675.0	1388737.0	1573168.0	1933333.0	1331713.0	1905507.0	1983889.0	1602472.0	1857414.0	1886921.0	1999285.0	1935886.0	1208326.0	2088452.0	1118911.0	1635840.0	1882409.0	1652841.0	1862142.0	1920310.0	1665443.0	1893031.0	1898872.0	1522031.0	2005785.0	1100869.0	1683370.0	1654357.0	1814364.0	925852.0
FengQ_2015__SID530373__bin.76	1156612.0	1142230.0	888774.0	860627.0	1223147.0	883267.0	1236371.0	1241118.0	1029462.0	1147709.0	1196279.0	1213321.0	1232565.0	760798.0	1118911.0	1393768.0	1094075.0	1198516.0	1245701.0	1206636.0	1246285.0	1174087.0	1244510.0	1278169.0	956257.0	1223510.0	740445.0	1070392.0	1066217.0	1150190.0	567757.0
YuJ_2015__SZAXPI003409-8__bin.1	1609180.0	1691206.0	1360186.0	1423836.0	1819277.0	1271651.0	1935928.0	1825056.0	1526296.0	1717827.0	1757801.0	1785155.0	1827525.0	1119103.0	1635840.0	1094075.0	2044927.0	1783764.0	1521060.0	1599878.0	1834104.0	1544858.0	1873650.0	1747345.0	1477141.0	1781445.0	966128.0	1590966.0	1387682.0	1751816.0	862539.0
HMP_2012__SRS015062__bin.1	1821001.0	1905246.0	1494295.0	1588756.0	2241137.0	1426980.0	2044076.0	2056717.0	1704016.0	1934022.0	1973652.0	2050080.0	2148987.0	1257833.0	1882409.0	1198516.0	1783764.0	2320524.0	1899318.0	1877401.0	2060395.0	1763080.0	2042074.0	1987869.0	1605848.0	2066077.0	1131478.0	1774362.0	1628208.0	1912906.0	989280.0
HMP_2012__SRS015061__bin.7	1621570.0	1665980.0	1328116.0	1317956.0	1895519.0	1282939.0	1793250.0	1781698.0	1505663.0	1666693.0	1726441.0	1756732.0	1852084.0	1129971.0	1652841.0	1245701.0	1521060.0	1899318.0	2080323.0	1777233.0	1775521.0	1698144.0	1809748.0	1786726.0	1370939.0	1788774.0	1173347.0	1550447.0	1609455.0	1677973.0	878911.0
HMP_2012__SRS023595__bin.55	1712501.0	1771350.0	1399915.0	1443278.0	1912738.0	1331914.0	1869292.0	1948282.0	1574492.0	1814265.0	1874727.0	1966251.0	1894952.0	1192188.0	1862142.0	1206636.0	1599878.0	1877401.0	1777233.0	2135028.0	1880666.0	1759944.0	1839105.0	1907093.0	1458372.0	1999056.0	1153304.0	1646769.0	1762232.0	1762475.0	893852.0
ZellerG_2014__CCMD18872694ST-21-0__bin.29	1858590.0	1955042.0	1524744.0	1630809.0	2109639.0	1477059.0	2137455.0	2122931.0	1737362.0	1977784.0	2027368.0	2079705.0	2108789.0	1263902.0	1920310.0	1246285.0	1834104.0	2060395.0	1775521.0	1880666.0	2382499.0	1803323.0	2096339.0	2044803.0	1647385.0	2104632.0	1148727.0	1822564.0	1623871.0	1989402.0	981724.0
HMP_2012__SRS049318__bin.42	1609594.0	1689429.0	1348281.0	1317958.0	1800582.0	1264486.0	1807629.0	1795747.0	1525030.0	1689151.0	1730183.0	1770915.0	1802575.0	1122046.0	1665443.0	1174087.0	1544858.0	1763080.0	1698144.0	1759944.0	1803323.0	1998156.0	1795895.0	1779215.0	1420696.0	1768711.0	1110005.0	1571980.0	1556866.0	1735906.0	849121.0
ZellerG_2014__CCIS33816588ST-4-0__bin.62	1810169.0	1902334.0	1531942.0	1603437.0	2077811.0	1442295.0	2154153.0	2080540.0	1719111.0	1945677.0	1994943.0	2041861.0	2091314.0	1243592.0	1893031.0	1244510.0	1873650.0	2042074.0	1809748.0	1839105.0	2096339.0	1795895.0	2552409.0	2007636.0	1634307.0	2098153.0	1102109.0	1785361.0	1616469.0	1996769.0	960074.0
HMP_2012__SRS063603__bin.8	1830203.0	1914362.0	1473600.0	1586028.0	2033619.0	1415662.0	2047846.0	2094277.0	1657370.0	1938331.0	2008002.0	2049722.0	2040803.0	1262188.0	1898872.0	1278169.0	1747345.0	1987869.0	1786726.0	1907093.0	2044803.0	1779215.0	2007636.0	2395046.0	1562899.0	2083008.0	1151206.0	1755598.0	1674551.0	1918769.0	954230.0
LiJ_2014__V1.FI17__bin.37	1467182.0	1549495.0	1233559.0	1313476.0	1638932.0	1195558.0	1667403.0	1637153.0	1375371.0	1570302.0	1574787.0	1611658.0	1650204.0	1047110.0	1522031.0	956257.0	1477141.0	1605848.0	1370939.0	1458372.0	1647385.0	1420696.0	1634307.0	1562899.0	1752347.0	1614906.0	885216.0	1463796.0	1292581.0	1576766.0	821611.0
HMP_2012__SRS022149__bin.24	1850864.0	1948848.0	1504686.0	1658969.0	2115379.0	1446894.0	2084767.0	2177911.0	1711036.0	1998731.0	2067041.0	2194056.0	2110839.0	1282289.0	2005785.0	1223510.0	1781445.0	2066077.0	1788774.0	1999056.0	2104632.0	1768711.0	2098153.0	2083008.0	1614906.0	2380094.0	1152356.0	1806450.0	1712697.0	1935781.0	977205.0
YuJ_2015__SZAXPI015217-140__bin.30	1057192.0	1076889.0	852104.0	869015.0	1146770.0	820978.0	1146286.0	1165814.0	975071.0	1075129.0	1128007.0	1141443.0	1160228.0	712376.0	1100869.0	740445.0	966128.0	1131478.0	1173347.0	1153304.0	1148727.0	1110005.0	1102109.0	1151206.0	885216.0	1152356.0	1268334.0	1028065.0	1024577.0	1060930.0	572297.0
HMP_2012__SRS016746__bin.33	1627771.0	1735599.0	1356626.0	1435015.0	1810551.0	1290134.0	1824623.0	1839863.0	1522565.0	1741263.0	1769315.0	1807202.0	1836274.0	1160829.0	1683370.0	1070392.0	1590966.0	1774362.0	1550447.0	1646769.0	1822564.0	1571980.0	1785361.0	1755598.0	1463796.0	1806450.0	1028065.0	1993184.0	1449832.0	1707334.0	895764.0
