	QinN_2014__LD-24__bin.3	HMP_2012__SRS017511__bin.37	BritoIL_2016__W1.9.SA__bin.3	CM_periimplantitis__SP_184SPT_T016__bin.15	HMP_2012__SRS014477__bin.4	CM_periimplantitis__SP_385SPI_T016__bin.1	ZellerG_2014__CCIS35100175ST-4-0__bin.56	CM_periimplantitis__SP_384SPI_T016__bin.6	HMP_2012__SRS048411__bin.62	CM_cf__CF_TNFC041IS_t3M15__bin.7	HMP_2012__SRS055401__bin.1	FengQ_2015__SID31874__bin.79	YuJ_2015__SZAXPI017464-37__bin.5	CM_periimplantitis__SP_305SPI_T016__bin.4	BritoIL_2016__W2.8.SA__bin.15	FengQ_2015__SID530373__bin.76	YuJ_2015__SZAXPI003409-8__bin.1	HMP_2012__SRS015062__bin.1	HMP_2012__SRS015061__bin.7	HMP_2012__SRS023595__bin.55	ZellerG_2014__CCMD18872694ST-21-0__bin.29	HMP_2012__SRS049318__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.62	HMP_2012__SRS063603__bin.8	LiJ_2014__V1.FI17__bin.37	HMP_2012__SRS022149__bin.24	YuJ_2015__SZAXPI015217-140__bin.30	HMP_2012__SRS016746__bin.33	HMP_2012__SRS020226__bin.31	YuJ_2015__SZAXPI003412-1__bin.20	CM_periimplantitis__SP_186SPI_T016_R__bin.1
QinN_2014__LD-24__bin.3	0.0	57019.0	40401.0	47471.0	60126.0	41817.0	61718.0	61106.0	51570.0	57841.0	58931.0	59786.0	60414.0	36855.0	57592.0	13789.0	53264.0	58629.0	52044.0	57076.0	61069.0	53441.0	59876.0	58503.0	47985.0	60489.0	34810.0	52244.0	50182.0	56671.0	28138.0
HMP_2012__SRS017511__bin.37	57019.0	0.0	40957.0	50855.0	62414.0	43745.0	63492.0	64867.0	51152.0	60513.0	61247.0	62341.0	62528.0	38965.0	59399.0	37136.0	55438.0	60660.0	53199.0	56999.0	63591.0	54947.0	61839.0	61281.0	49701.0	63070.0	36523.0	54817.0	49133.0	59834.0	28733.0
BritoIL_2016__W1.9.SA__bin.3	40401.0	40957.0	0.0	36253.0	43398.0	31297.0	44604.0	45585.0	35741.0	41920.0	44906.0	44426.0	43240.0	27990.0	41171.0	26885.0	39747.0	42459.0	38062.0	41519.0	43098.0	37640.0	44112.0	42821.0	35289.0	44842.0	23926.0	40177.0	36647.0	41907.0	20852.0
CM_periimplantitis__SP_184SPT_T016__bin.15	47471.0	50855.0	36253.0	0.0	53755.0	37909.0	53517.0	162.0	44663.0	15410.0	30311.0	52574.0	53854.0	32825.0	51043.0	30392.0	46594.0	51830.0	43870.0	45972.0	54160.0	43216.0	54335.0	52243.0	42413.0	54010.0	30178.0	45695.0	44380.0	51515.0	26830.0
HMP_2012__SRS014477__bin.4	60126.0	62414.0	43398.0	53755.0	0.0	45807.0	68135.0	69191.0	54829.0	64474.0	67868.0	67180.0	59929.0	40764.0	64922.0	40028.0	57792.0	373.0	429.0	62907.0	69930.0	59067.0	68748.0	65855.0	52049.0	68695.0	38861.0	55943.0	53423.0	62899.0	6825.0
CM_periimplantitis__SP_385SPI_T016__bin.1	41817.0	43745.0	31297.0	37909.0	45807.0	0.0	45118.0	46283.0	38530.0	44624.0	47248.0	45653.0	44146.0	28537.0	43349.0	29180.0	38898.0	45241.0	42973.0	42508.0	39995.0	39847.0	47119.0	44690.0	36453.0	46836.0	25061.0	41046.0	41168.0	42243.0	22625.0
ZellerG_2014__CCIS35100175ST-4-0__bin.56	61718.0	63492.0	44604.0	53517.0	68135.0	45118.0	0.0	69046.0	54100.0	63474.0	67622.0	67412.0	66748.0	39919.0	63027.0	43300.0	36591.0	67058.0	60881.0	60842.0	67312.0	55797.0	69227.0	68832.0	50703.0	68840.0	38263.0	59612.0	53723.0	64000.0	31160.0
CM_periimplantitis__SP_384SPI_T016__bin.6	61106.0	64867.0	45585.0	162.0	69191.0	46283.0	69046.0	0.0	56808.0	18949.0	37047.0	67610.0	70055.0	41417.0	64614.0	41452.0	59074.0	66623.0	58282.0	62024.0	70068.0	59121.0	69590.0	67059.0	52969.0	69902.0	38848.0	58151.0	53211.0	64553.0	31630.0
HMP_2012__SRS048411__bin.62	51570.0	51152.0	35741.0	44663.0	54829.0	38530.0	54100.0	56808.0	0.0	53082.0	54409.0	54406.0	55185.0	34222.0	52556.0	33999.0	47468.0	53482.0	47769.0	51034.0	54898.0	47117.0	53413.0	53338.0	42886.0	54828.0	32261.0	47603.0	44641.0	51938.0	25204.0
CM_cf__CF_TNFC041IS_t3M15__bin.7	57841.0	60513.0	41920.0	15410.0	64474.0	44624.0	63474.0	18949.0	53082.0	0.0	32479.0	62894.0	64428.0	39081.0	59691.0	37921.0	55616.0	62862.0	54781.0	57864.0	64461.0	54513.0	64567.0	62124.0	50208.0	63399.0	35593.0	53885.0	50673.0	60116.0	29548.0
